ID,Size,Predicted %,Actual value
0,45,0.9996406755300036,YES
1,79,0.18183898277383714,YES
2,67,3.5932446999640676E-4,NO
3,45,0.9999280937657296,YES
4,28,8.36225279090187E-6,NO
5,28,8.36225279090187E-6,NO
6,564,0.9996406755300036,YES
7,1492,3.5932446999640676E-4,NO
8,174,3.5932446999640676E-4,NO
9,25,2.3971042980080064E-5,NO
10,39,5.136370640505419E-5,NO
11,47,8.987956138774044E-5,NO
12,184,1.797268152408339E-4,NO
13,30,2.7658691743880515E-5,NO
14,221,0.9996406755300036,YES
15,50,2.7658691743880515E-5,NO
16,101,7.190623427051126E-5,NO
17,41,5.992329817833174E-5,NO
18,250,0.3333533077660594,NO
19,227,5.136370640505419E-5,NO
20,363,5.992329817833174E-5,NO
21,408,3.5932446999640676E-4,NO
22,145,0.16668664229639837,NO
23,49,4.4943820224719104E-5,NO
24,85,2.7658691743880515E-5,NO
25,64,2.7658691743880515E-5,NO
26,42,1.1983223487118034E-4,NO
27,36,2.7658691743880515E-5,NO
28,37,5.136370640505419E-5,NO
29,83,7.190623427051126E-5,NO
30,32,3.9950461427829494E-5,NO
31,26,2.3971042980080064E-5,NO
32,883,0.9996406755300036,YES
33,421,0.9996406755300036,NO
34,213,0.9998202731847591,YES
35,24,1.4982171216252659E-5,NO
36,24,1.4982171216252659E-5,NO
37,27,2.7658691743880515E-5,NO
38,259,0.5,NO
39,30,2.7658691743880515E-5,NO
40,428,5.136370640505419E-5,NO
41,981,3.5932446999640676E-4,NO
42,126,3.5932446999640676E-4,NO
43,562,5.136370640505419E-5,NO
44,226,0.9996406755300036,NO
45,37,2.3971042980080064E-5,NO
46,35,2.3971042980080064E-5,NO
47,283,1.797268152408339E-4,NO
48,316,5.136370640505419E-5,NO
49,204,5.136370640505419E-5,NO
50,133,5.136370640505419E-5,NO
51,298,0.9996406755300036,NO
52,336,5.136370640505419E-5,NO
53,701,0.9996406755300036,NO
54,301,1.797268152408339E-4,NO
55,76,5.136370640505419E-5,NO
56,69,3.5932446999640676E-4,NO
57,266,5.136370640505419E-5,NO
58,253,1.797268152408339E-4,NO
59,217,5.136370640505419E-5,NO
60,100,1.797268152408339E-4,NO
61,191,2.7658691743880515E-5,NO
62,476,5.992329817833174E-5,NO
63,95,2.7658691743880515E-5,NO
64,551,1.797268152408339E-4,NO
65,136,2.7658691743880515E-5,NO
66,33,2.996344459759094E-5,NO
67,496,3.5932446999640676E-4,YES
68,156,0.9996406755300036,NO
69,113,0.40001438124685407,NO
70,34,2.7658691743880515E-5,NO
71,39,2.7658691743880515E-5,NO
72,36,1.5633549597436098E-5,NO
73,288,3.5932446999640676E-4,YES
74,75,1.797268152408339E-4,NO
75,57,1.892469862417441E-5,NO
76,124,8.987956138774044E-5,NO
77,59,8.987956138774044E-5,NO
78,32,8.987956138774044E-5,NO
79,25,2.1151039573595043E-5,NO
80,53,2.7658691743880515E-5,YES
81,53,8.987956138774044E-5,NO
82,88,0.9999550561797753,YES
83,107,5.136370640505419E-5,NO
84,134,3.5932446999640676E-4,YES
85,169,3.9950461427829494E-5,NO
86,94,1.797268152408339E-4,NO
87,35,3.5955702574428306E-5,NO
88,695,0.9996406755300036,NO
89,162,7.190623427051126E-5,NO
90,39,7.190623427051126E-5,NO
91,79,2.996344459759094E-5,NO
92,85,2.7658691743880515E-5,NO
93,110,5.136370640505419E-5,NO
94,122,7.190623427051126E-5,YES
95,53,5.136370640505419E-5,NO
96,52,2.7658691743880515E-5,NO
97,177,1.797268152408339E-4,YES
98,533,0.9996406755300036,YES
99,183,3.9950461427829494E-5,YES
100,215,5.992329817833174E-5,NO
101,76,3.9950461427829494E-5,NO
102,563,0.9998801677651288,YES
103,257,8.987956138774044E-5,NO
104,55,1.3829728384134535E-5,NO
105,102,4.4943820224719104E-5,NO
106,403,5.992329817833174E-5,NO
107,35,3.9950461427829494E-5,NO
108,145,0.9999550561797753,YES
109,119,5.136370640505419E-5,NO
110,108,7.190623427051126E-5,NO
111,91,0.7499775280898876,YES
112,69,0.22224441692301544,NO
113,80,0.1667066155321189,NO
114,63,5.136370640505419E-5,NO
115,160,0.9999400767018217,YES
116,102,0.5999856187531459,YES
117,54,2.7658691743880515E-5,NO
118,267,3.9950461427829494E-5,NO
119,55,3.9950461427829494E-5,NO
120,46,3.9950461427829494E-5,NO
121,226,3.9950461427829494E-5,NO
122,54,3.9950461427829494E-5,NO
123,270,5.136370640505419E-5,NO
124,74,2.7658691743880515E-5,NO
125,359,3.9950461427829494E-5,NO
126,78,3.9950461427829494E-5,NO
127,180,5.136370640505419E-5,NO
128,57,3.9950461427829494E-5,NO
129,50,3.9950461427829494E-5,NO
130,243,3.9950461427829494E-5,NO
131,254,5.136370640505419E-5,NO
132,306,3.9950461427829494E-5,NO
133,139,3.9950461427829494E-5,NO
134,372,1.797268152408339E-4,NO
135,75,3.9950461427829494E-5,NO
136,222,3.9950461427829494E-5,NO
137,572,3.5932446999640676E-4,NO
138,38,3.5932446999640676E-4,NO
139,348,0.9996406755300036,NO
140,121,3.5932446999640676E-4,NO
141,62,3.5932446999640676E-4,NO
142,52,3.5932446999640676E-4,NO
143,158,0.9996406755300036,NO
144,778,3.5932446999640676E-4,NO
145,199,0.9996406755300036,NO
146,115,3.5932446999640676E-4,NO
147,52,3.5932446999640676E-4,NO
148,88,3.5932446999640676E-4,NO
149,61,5.992329817833174E-5,NO
150,98,5.992329817833174E-5,NO
151,28,8.36225279090187E-6,NO
152,55,1.3829728384134535E-5,NO
153,195,1.1983223487118034E-4,NO
154,28,2.568317238545305E-5,NO
155,50,3.9950461427829494E-5,NO
156,55,5.992329817833174E-5,NO
157,542,0.9996406755300036,NO
158,130,8.987956138774044E-5,NO
159,87,3.9950461427829494E-5,NO
160,65,5.992329817833174E-5,NO
161,140,1.797268152408339E-4,NO
162,134,7.190623427051126E-5,NO
163,117,3.9950461427829494E-5,NO
164,28,2.568317238545305E-5,NO
165,57,5.136370640505419E-5,NO
166,60,1.892469862417441E-5,YES
167,62,3.9950461427829494E-5,NO
168,89,5.992329817833174E-5,NO
169,60,1.892469862417441E-5,NO
170,68,5.992329817833174E-5,NO
171,522,0.2000431437405623,NO
172,43,1.997602876548142E-5,NO
173,247,4.4943820224719104E-5,NO
174,35,3.5955702574428306E-5,NO
175,42,3.9950461427829494E-5,NO
176,57,1.892469862417441E-5,NO
177,125,1.797268152408339E-4,NO
178,61,3.9950461427829494E-5,NO
179,92,5.992329817833174E-5,NO
180,92,1.797268152408339E-4,NO
181,80,3.9950461427829494E-5,NO
182,101,4.4943820224719104E-5,NO
183,59,3.9950461427829494E-5,NO
184,84,3.9950461427829494E-5,NO
185,81,1.797268152408339E-4,NO
186,173,1.797268152408339E-4,NO
187,193,0.9996406755300036,NO
188,54,3.5932446999640676E-4,NO
189,94,3.5932446999640676E-4,NO
190,69,3.5932446999640676E-4,NO
191,69,1.797268152408339E-4,NO
192,62,3.5932446999640676E-4,NO
193,59,1.797268152408339E-4,NO
194,85,3.5932446999640676E-4,NO
195,106,3.5932446999640676E-4,NO
196,65,1.797268152408339E-4,NO
197,182,0.9996406755300036,NO
198,145,0.9996406755300036,NO
199,128,3.5932446999640676E-4,NO
200,63,3.5932446999640676E-4,NO
201,159,0.9998202731847591,NO
202,99,0.10002876456205954,NO
203,73,3.5932446999640676E-4,NO
204,74,3.5932446999640676E-4,NO
205,330,0.9996406755300036,NO
206,81,1.797268152408339E-4,NO
207,66,1.1983223487118034E-4,NO
208,245,8.987956138774044E-5,NO
209,91,1.797268152408339E-4,NO
210,57,1.797268152408339E-4,NO
211,85,0.083358302870498,NO
212,94,1.797268152408339E-4,NO
213,54,2.7658691743880515E-5,NO
214,75,1.797268152408339E-4,NO
215,137,4.4943820224719104E-5,NO
216,133,1.797268152408339E-4,NO
217,79,0.18183898277383714,NO
218,76,2.7658691743880515E-5,NO
219,81,5.136370640505419E-5,NO
220,99,1.797268152408339E-4,NO
221,115,5.136370640505419E-5,NO
222,180,5.136370640505419E-5,NO
223,118,5.136370640505419E-5,NO
224,132,8.987956138774044E-5,NO
225,94,1.797268152408339E-4,NO
226,88,4.4943820224719104E-5,NO
227,51,2.7658691743880515E-5,NO
228,111,1.797268152408339E-4,NO
