ID,Size,Predicted %,Actual value
0,50,5.040322580645161E-4,YES
1,79,5.040322580645161E-4,YES
2,67,5.040322580645161E-4,NO
3,45,0.9994959677419356,YES
4,28,1.6274982097519693E-5,NO
5,28,1.6274982097519693E-5,NO
6,459,5.040322580645161E-4,YES
7,1479,5.040322580645161E-4,YES
8,25,4.58631443771785E-5,NO
9,39,1.6812373907195696E-4,NO
10,47,2.521432173474533E-4,NO
11,184,2.521432173474533E-4,NO
12,30,1.0088781275221953E-4,NO
13,215,0.9994959677419356,YES
14,50,5.6053811659192826E-5,NO
15,82,2.521432173474533E-4,NO
16,41,2.521432173474533E-4,NO
17,245,1.6812373907195696E-4,YES
18,227,1.6812373907195696E-4,NO
19,363,2.521432173474533E-4,NO
20,407,5.040322580645161E-4,NO
21,145,0.25003152982721655,NO
22,49,1.2610340479192938E-4,NO
23,85,5.6053811659192826E-5,NO
24,64,5.6053811659192826E-5,NO
25,42,2.521432173474533E-4,NO
26,36,5.6053811659192826E-5,NO
27,37,1.6812373907195696E-4,NO
28,83,5.040322580645161E-4,NO
29,32,1.0088781275221953E-4,NO
30,26,4.58631443771785E-5,NO
31,866,0.9994959677419356,YES
32,376,0.9994959677419356,YES
33,207,0.9994959677419356,YES
34,24,3.153181560194236E-5,NO
35,24,3.153181560194236E-5,NO
36,27,5.6053811659192826E-5,NO
37,260,1.6812373907195696E-4,YES
38,30,1.0088781275221953E-4,NO
39,428,1.6812373907195696E-4,NO
40,979,1.6812373907195696E-4,NO
41,123,1.6812373907195696E-4,NO
42,562,1.6812373907195696E-4,NO
43,205,1.6812373907195696E-4,NO
44,37,4.58631443771785E-5,NO
45,35,4.58631443771785E-5,NO
46,283,5.040322580645161E-4,NO
47,316,1.6812373907195696E-4,NO
48,204,1.6812373907195696E-4,NO
49,133,1.6812373907195696E-4,NO
50,285,1.6812373907195696E-4,NO
51,336,1.6812373907195696E-4,NO
52,701,5.040322580645161E-4,NO
53,301,5.040322580645161E-4,NO
54,76,1.6812373907195696E-4,NO
55,69,4.58631443771785E-5,NO
56,266,1.6812373907195696E-4,NO
57,253,5.040322580645161E-4,NO
58,217,1.6812373907195696E-4,NO
59,100,5.040322580645161E-4,NO
60,191,5.6053811659192826E-5,NO
61,476,2.521432173474533E-4,NO
62,95,5.6053811659192826E-5,NO
63,551,5.040322580645161E-4,NO
64,136,5.6053811659192826E-5,NO
65,33,6.30596544330937E-5,NO
66,474,0.9994959677419356,YES
67,140,2.521432173474533E-4,YES
68,111,2.521432173474533E-4,YES
69,34,5.6053811659192826E-5,NO
70,39,5.6053811659192826E-5,NO
71,36,2.655337227827934E-5,NO
72,271,5.040322580645161E-4,YES
73,75,5.040322580645161E-4,NO
74,57,4.58631443771785E-5,NO
75,124,1.6812373907195696E-4,NO
76,59,2.521432173474533E-4,NO
77,32,5.040322580645161E-4,NO
78,25,3.88078236572493E-5,NO
79,53,5.6053811659192826E-5,NO
80,53,5.6053811659192826E-5,NO
81,88,0.9998738965952081,YES
82,107,1.6812373907195696E-4,NO
83,133,0.9994959677419356,YES
84,169,1.0088781275221953E-4,NO
85,94,5.040322580645161E-4,NO
86,35,5.040322580645161E-4,NO
87,685,5.040322580645161E-4,NO
88,162,5.040322580645161E-4,NO
89,39,5.040322580645161E-4,NO
90,79,6.30596544330937E-5,NO
91,85,5.6053811659192826E-5,NO
92,110,1.6812373907195696E-4,NO
93,111,8.407600470825626E-5,NO
94,53,1.6812373907195696E-4,NO
95,52,5.6053811659192826E-5,NO
96,159,5.040322580645161E-4,NO
97,524,5.040322580645161E-4,NO
98,183,1.0088781275221953E-4,NO
99,215,5.040322580645161E-4,NO
100,76,1.0088781275221953E-4,NO
101,563,5.040322580645161E-4,YES
102,257,5.040322580645161E-4,NO
103,55,2.8028476932563484E-5,NO
104,102,1.2610340479192938E-4,NO
105,403,2.521432173474533E-4,NO
106,35,1.0088781275221953E-4,NO
107,145,0.9998738965952081,YES
108,119,1.6812373907195696E-4,NO
109,108,5.040322580645161E-4,NO
110,91,0.5,YES
111,69,0.4000201775625504,NO
112,80,0.5,NO
113,63,1.6812373907195696E-4,NO
114,160,0.9997478567826525,YES
115,102,5.040322580645161E-4,YES
116,54,5.6053811659192826E-5,NO
117,267,1.0088781275221953E-4,NO
118,55,1.0088781275221953E-4,NO
119,46,1.0088781275221953E-4,NO
120,226,1.0088781275221953E-4,NO
121,54,1.0088781275221953E-4,NO
122,270,1.6812373907195696E-4,NO
123,74,5.6053811659192826E-5,NO
124,359,1.0088781275221953E-4,NO
125,78,1.0088781275221953E-4,NO
126,180,1.6812373907195696E-4,NO
127,57,1.0088781275221953E-4,NO
128,50,1.0088781275221953E-4,NO
129,243,1.0088781275221953E-4,NO
130,254,1.6812373907195696E-4,NO
131,306,1.0088781275221953E-4,NO
132,139,1.0088781275221953E-4,NO
133,372,5.040322580645161E-4,NO
134,75,1.0088781275221953E-4,NO
135,222,1.0088781275221953E-4,NO
136,61,2.521432173474533E-4,NO
137,98,2.521432173474533E-4,NO
138,28,1.6274982097519693E-5,NO
139,55,2.8028476932563484E-5,NO
140,194,2.521432173474533E-4,NO
141,28,8.407600470825626E-5,NO
142,50,1.0088781275221953E-4,NO
143,55,2.521432173474533E-4,NO
144,124,5.040322580645161E-4,NO
145,87,1.0088781275221953E-4,NO
146,65,2.521432173474533E-4,NO
147,140,5.040322580645161E-4,NO
148,134,5.040322580645161E-4,NO
149,117,1.0088781275221953E-4,NO
150,28,8.407600470825626E-5,NO
151,57,1.6812373907195696E-4,NO
152,60,4.58631443771785E-5,NO
153,62,1.0088781275221953E-4,NO
154,89,2.521432173474533E-4,NO
155,60,4.58631443771785E-5,NO
156,68,2.521432173474533E-4,NO
157,522,0.9994959677419356,NO
158,43,3.603603603603604E-5,NO
159,247,1.2610340479192938E-4,NO
160,35,1.2610340479192938E-4,NO
161,42,1.0088781275221953E-4,NO
162,57,4.58631443771785E-5,NO
163,125,5.040322580645161E-4,NO
164,61,1.0088781275221953E-4,NO
165,92,2.521432173474533E-4,NO
166,92,5.040322580645161E-4,NO
167,80,1.0088781275221953E-4,NO
168,101,5.040322580645161E-4,NO
169,59,1.0088781275221953E-4,NO
170,84,1.0088781275221953E-4,NO
171,81,5.040322580645161E-4,NO
172,173,5.040322580645161E-4,NO
173,151,5.040322580645161E-4,NO
174,78,2.521432173474533E-4,NO
175,72,5.040322580645161E-4,NO
176,73,5.040322580645161E-4,NO
177,324,0.9994959677419356,NO
178,81,5.040322580645161E-4,NO
179,66,5.6053811659192826E-5,NO
180,239,5.040322580645161E-4,NO
181,91,5.040322580645161E-4,NO
182,57,5.040322580645161E-4,NO
183,85,0.12504729474082482,NO
184,94,2.521432173474533E-4,NO
185,54,5.6053811659192826E-5,NO
186,75,5.040322580645161E-4,NO
187,137,1.2610340479192938E-4,NO
188,133,5.040322580645161E-4,NO
189,79,1.0088781275221953E-4,NO
190,76,5.6053811659192826E-5,NO
191,81,1.6812373907195696E-4,NO
192,99,5.040322580645161E-4,NO
193,115,1.6812373907195696E-4,NO
194,180,1.6812373907195696E-4,NO
195,118,1.6812373907195696E-4,NO
196,132,0.6666106254203094,NO
197,94,5.040322580645161E-4,NO
198,88,1.2610340479192938E-4,NO
199,51,5.6053811659192826E-5,NO
200,111,5.040322580645161E-4,NO
