ID,Size,Predicted %,Actual value
0,45,4.230118443316413E-4,YES
1,79,2.1159542953872197E-4,YES
2,67,2.1159542953872197E-4,NO
3,45,2.1159542953872197E-4,YES
4,28,9.007710600273834E-6,NO
5,28,9.007710600273834E-6,NO
6,564,4.230118443316413E-4,YES
7,1491,4.230118443316413E-4,YES
8,25,1.5119900813450663E-5,NO
9,39,2.228163992869875E-5,NO
10,47,0.4000169319336268,NO
11,184,6.047411707789067E-5,NO
12,30,4.7036688617121355E-5,NO
13,221,4.230118443316413E-4,YES
14,50,1.693422746054325E-5,NO
15,101,0.9995769881556684,NO
16,41,7.055171440666009E-5,NO
17,250,4.230118443316413E-4,NO
18,227,8.465966813410092E-5,NO
19,363,1.0582010582010582E-4,NO
20,407,1.4108352144469525E-4,NO
21,145,0.1333540302551366,NO
22,49,7.055171440666009E-5,NO
23,85,0.031262403090519406,NO
24,64,3.2564803959880164E-5,NO
25,42,5.291565244999471E-5,NO
26,36,1.1760001881600301E-5,NO
27,37,2.3519450585634318E-5,NO
28,83,8.465966813410092E-5,NO
29,32,4.7036688617121355E-5,NO
30,26,2.6459226332222046E-5,NO
31,882,4.230118443316413E-4,YES
32,413,4.230118443316413E-4,NO
33,213,2.1159542953872197E-4,YES
34,24,2.0159664543182E-5,NO
35,24,2.0159664543182E-5,NO
36,27,2.0159664543182E-5,NO
37,259,4.230118443316413E-4,NO
38,30,4.7036688617121355E-5,NO
39,428,8.465966813410092E-5,NO
40,979,7.055171440666009E-5,YES
41,123,4.233341800016933E-5,NO
42,562,8.465966813410092E-5,NO
43,205,5.291565244999471E-5,NO
44,37,2.3519450585634318E-5,NO
45,35,1.6282932230436056E-5,NO
46,283,0.1667137011429378,NO
47,316,8.465966813410092E-5,NO
48,204,8.465966813410092E-5,NO
49,133,6.047411707789067E-5,NO
50,285,0.1667137011429378,NO
51,336,8.465966813410092E-5,NO
52,701,4.230118443316413E-4,NO
53,301,2.1159542953872197E-4,NO
54,76,1.45985401459854E-5,NO
55,69,0.10001693408407772,NO
56,266,6.047411707789067E-5,NO
57,253,2.1159542953872197E-4,NO
58,217,8.465966813410092E-5,NO
59,100,0.04349506700044176,NO
60,191,0.08336273195512595,NO
61,476,1.0582010582010582E-4,NO
62,95,0.1333540302551366,NO
63,551,0.3333803611738149,NO
64,136,3.848522167487685E-5,NO
65,33,4.233341800016933E-5,NO
66,491,4.230118443316413E-4,YES
67,143,4.230118443316413E-4,YES
68,113,4.230118443316413E-4,NO
69,34,3.527834615113243E-5,NO
70,39,2.228163992869875E-5,NO
71,36,1.1760001881600301E-5,NO
72,277,4.230118443316413E-4,YES
73,75,0.07695063175719682,NO
74,57,1.5679879578524836E-5,NO
75,124,8.465966813410092E-5,NO
76,59,3.2564803959880164E-5,NO
77,32,4.7036688617121355E-5,NO
78,25,1.5119900813450663E-5,NO
79,53,2.3519450585634318E-5,NO
80,53,2.3519450585634318E-5,NO
81,88,3.023888720895071E-5,YES
