ID,Size,Predicted %,Actual value
0,45,2.1449101282656257E-5,YES
1,79,1.2869681604077116E-5,YES
2,67,4.825789016504199E-5,NO
3,45,3.8607057370087256E-5,YES
4,28,3.5749780138852145E-6,NO
5,28,3.5749780138852145E-6,NO
6,564,1.9297568506368199E-4,YES
7,1492,1.9297568506368199E-4,NO
8,174,0.9999892752193217,NO
9,25,1.2869681604077116E-5,NO
10,39,2.4130109550697362E-5,NO
11,47,3.217296184286726E-5,NO
12,184,1.9297568506368199E-4,NO
13,30,1.3788919224511183E-5,NO
14,221,3.8607057370087256E-5,YES
15,50,2.1449101282656257E-5,NO
16,101,2.7577077932822238E-5,NO
17,41,2.4130109550697362E-5,NO
18,250,1.9297568506368199E-4,NO
19,227,3.8607057370087256E-5,NO
20,363,2.7577077932822238E-5,NO
21,408,0.9999933431854189,NO
22,145,0.913040011415046,NO
23,49,2.4130109550697362E-5,NO
24,85,1.3788919224511183E-5,NO
25,64,1.3788919224511183E-5,NO
26,42,9.650646593321753E-5,NO
27,36,1.3788919224511183E-5,NO
28,37,2.4130109550697362E-5,NO
29,83,3.8607057370087256E-5,NO
30,32,1.4849573817231445E-5,NO
31,26,1.9304273966256128E-5,NO
32,883,1.9297568506368199E-4,YES
33,421,1.9297568506368199E-4,NO
34,213,1.9297568506368199E-4,YES
35,24,1.0160330007518643E-5,NO
36,24,1.0160330007518643E-5,NO
37,27,1.2065345913467338E-5,NO
38,259,9.650646593321753E-5,NO
39,30,1.3788919224511183E-5,NO
40,428,2.4130109550697362E-5,NO
41,981,1.9297568506368199E-4,NO
42,126,3.8607057370087256E-5,NO
43,562,3.217296184286726E-5,NO
44,226,0.9999824505984347,NO
45,37,1.0160330007518643E-5,NO
46,35,1.2065345913467338E-5,NO
47,283,3.217296184286726E-5,NO
48,316,2.7577077932822238E-5,NO
49,204,1.754940156540662E-5,NO
50,133,3.217296184286726E-5,NO
51,298,2.4130109550697362E-5,NO
52,336,3.8607057370087256E-5,NO
53,701,9.650646593321753E-5,NO
54,301,9.650646593321753E-5,NO
55,76,1.6086998487822142E-5,NO
56,69,1.2869681604077116E-5,NO
57,266,2.4130109550697362E-5,NO
58,253,6.434178355424013E-5,NO
59,217,1.754940156540662E-5,NO
60,100,1.9297568506368199E-4,NO
61,191,1.9304273966256128E-5,NO
62,476,4.825789016504199E-5,NO
63,95,1.754940156540662E-5,NO
64,551,6.434178355424013E-5,NO
65,136,1.3788919224511183E-5,NO
66,33,1.2065345913467338E-5,NO
67,496,9.650646593321753E-5,YES
68,156,1.9297568506368199E-4,NO
69,113,0.868417309314069,NO
70,34,1.4849573817231445E-5,NO
71,39,1.2869681604077116E-5,NO
72,36,1.2065345913467338E-5,NO
73,288,9.650646593321753E-5,YES
74,75,9.650646593321753E-5,NO
75,57,1.0724780678235129E-5,NO
76,124,2.7577077932822238E-5,NO
77,59,2.4130109550697362E-5,NO
78,32,6.434178355424013E-5,NO
79,25,1.1355635802048556E-5,NO
80,53,1.6086998487822142E-5,YES
81,53,3.8607057370087256E-5,NO
82,88,2.1449101282656257E-5,YES
83,107,2.4130109550697362E-5,NO
84,134,0.7391264205737691,YES
85,169,3.8607057370087256E-5,NO
86,94,4.825789016504199E-5,NO
87,35,1.3788919224511183E-5,NO
88,695,1.9297568506368199E-4,NO
89,162,3.8607057370087256E-5,NO
90,39,3.217296184286726E-5,NO
91,79,2.4130109550697362E-5,NO
92,85,1.1355635802048556E-5,NO
93,110,6.434178355424013E-5,NO
94,122,3.217296184286726E-5,YES
95,53,4.825789016504199E-5,NO
96,52,1.2065345913467338E-5,NO
97,177,1.9297568506368199E-4,YES
98,533,0.9999758698904494,YES
99,183,2.1449101282656257E-5,YES
100,215,1.9304273966256128E-5,NO
101,76,3.217296184286726E-5,NO
102,563,9.650646593321753E-5,YES
103,257,3.8607057370087256E-5,NO
104,55,7.424897165174262E-6,NO
105,102,1.9304273966256128E-5,NO
106,403,2.4130109550697362E-5,NO
107,35,1.9304273966256128E-5,NO
108,145,2.4130109550697362E-5,YES
109,119,3.217296184286726E-5,NO
110,108,2.7577077932822238E-5,NO
111,91,1.9304273966256128E-5,YES
112,69,0.8461504192612684,NO
113,80,0.8124924591588041,NO
114,63,1.754940156540662E-5,NO
115,160,1.9304273966256128E-5,YES
116,102,9.650646593321753E-5,YES
117,54,1.9304273966256128E-5,NO
118,267,2.1449101282656257E-5,NO
119,55,3.8607057370087256E-5,NO
120,46,2.1449101282656257E-5,NO
121,226,1.6086998487822142E-5,NO
122,54,1.0724780678235129E-5,NO
123,270,3.8607057370087256E-5,NO
124,74,1.6086998487822142E-5,NO
125,359,2.4130109550697362E-5,NO
126,78,1.754940156540662E-5,NO
127,180,3.217296184286726E-5,NO
128,57,2.1449101282656257E-5,NO
129,50,3.217296184286726E-5,NO
130,243,1.9304273966256128E-5,NO
131,254,2.4130109550697362E-5,NO
132,306,3.8607057370087256E-5,NO
133,139,2.7577077932822238E-5,NO
134,372,9.650646593321753E-5,NO
135,75,2.1449101282656257E-5,NO
136,222,3.8607057370087256E-5,NO
137,572,1.9297568506368199E-4,NO
138,38,1.9297568506368199E-4,NO
139,348,6.434178355424013E-5,NO
140,121,0.9999862110807756,NO
141,62,1.9297568506368199E-4,NO
142,52,9.650646593321753E-5,NO
143,158,9.650646593321753E-5,NO
144,778,1.9297568506368199E-4,NO
145,199,9.650646593321753E-5,NO
146,115,0.9999862110807756,NO
147,52,9.650646593321753E-5,NO
148,88,9.650646593321753E-5,NO
149,61,3.217296184286726E-5,NO
150,98,6.434178355424013E-5,NO
151,28,3.5749780138852145E-6,NO
152,55,7.424897165174262E-6,NO
153,195,1.9297568506368199E-4,NO
154,28,1.0160330007518643E-5,NO
155,50,1.1355635802048556E-5,NO
156,55,3.8607057370087256E-5,NO
157,542,1.9297568506368199E-4,NO
158,130,9.650646593321753E-5,NO
159,87,1.2065345913467338E-5,NO
160,65,3.8607057370087256E-5,NO
161,140,1.9297568506368199E-4,NO
162,134,4.825789016504199E-5,NO
163,117,2.4130109550697362E-5,NO
164,28,1.0160330007518643E-5,NO
165,57,2.1449101282656257E-5,NO
166,60,9.192697321248E-6,YES
167,62,1.6086998487822142E-5,NO
168,89,3.217296184286726E-5,NO
169,60,9.192697321248E-6,NO
170,68,6.434178355424013E-5,NO
171,522,0.7999942086060114,NO
172,43,1.0724780678235129E-5,NO
173,247,2.4130109550697362E-5,NO
174,35,1.3788919224511183E-5,NO
175,42,2.7577077932822238E-5,NO
176,57,1.0724780678235129E-5,NO
177,125,1.9297568506368199E-4,NO
178,61,2.7577077932822238E-5,NO
179,92,2.4130109550697362E-5,NO
180,92,1.9297568506368199E-4,NO
181,80,2.7577077932822238E-5,NO
182,101,2.1449101282656257E-5,NO
183,59,2.7577077932822238E-5,NO
184,84,1.9304273966256128E-5,NO
185,81,9.650646593321753E-5,NO
186,173,1.9297568506368199E-4,NO
187,193,9.650646593321753E-5,NO
188,54,9.650646593321753E-5,NO
189,94,9.650646593321753E-5,NO
190,69,9.650646593321753E-5,NO
191,69,9.650646593321753E-5,NO
192,62,1.9297568506368199E-4,NO
193,59,1.9297568506368199E-4,NO
194,85,1.9297568506368199E-4,NO
195,106,9.650646593321753E-5,NO
196,65,1.9297568506368199E-4,NO
197,182,9.650646593321753E-5,NO
198,145,1.9297568506368199E-4,NO
199,128,1.9297568506368199E-4,NO
200,63,1.9297568506368199E-4,NO
201,159,0.9999931054453193,NO
202,99,0.44000092662661583,NO
203,73,1.9297568506368199E-4,NO
204,74,1.9297568506368199E-4,NO
205,330,0.9999916066542445,NO
206,81,4.825789016504199E-5,NO
207,66,1.9297568506368199E-4,NO
208,245,1.9297568506368199E-4,NO
209,91,9.650646593321753E-5,NO
210,57,9.650646593321753E-5,NO
211,85,0.6399978378712298,NO
212,94,9.650646593321753E-5,NO
213,54,1.1355635802048556E-5,NO
214,75,9.650646593321753E-5,NO
215,137,2.4130109550697362E-5,NO
216,133,0.9999925751028348,NO
217,79,1.2869681604077116E-5,NO
218,76,1.2869681604077116E-5,NO
219,81,2.1449101282656257E-5,NO
220,99,6.434178355424013E-5,NO
221,115,2.4130109550697362E-5,NO
222,180,4.825789016504199E-5,NO
223,118,3.217296184286726E-5,NO
224,132,9.650646593321753E-5,NO
225,94,0.9428522575592104,NO
226,88,3.217296184286726E-5,NO
227,51,1.4849573817231445E-5,NO
228,111,9.650646593321753E-5,NO
