ID,Size,Predicted %,Actual value
0,25,0.05555555555555555,NO
1,25,0.05555555555555555,NO
2,354,0.05555555555555555,YES
3,774,0.9938271604938271,YES
4,25,0.05555555555555555,NO
5,38,0.05555555555555555,NO
6,235,0.9968944099378884,NO
7,199,0.05555555555555555,NO
8,34,0.05555555555555555,NO
9,36,0.05555555555555555,NO
10,36,0.05555555555555555,NO
11,26,0.05555555555555555,NO
12,441,0.9968944099378884,YES
13,465,0.05555555555555555,YES
14,191,0.05555555555555555,YES
15,24,0.05555555555555555,NO
16,24,0.05555555555555555,NO
17,52,0.05555555555555555,NO
18,54,0.05555555555555555,NO
19,192,0.05555555555555555,NO
20,300,0.05555555555555555,NO
21,250,0.05555555555555555,NO
22,618,0.05555555555555555,NO
23,37,0.05555555555555555,NO
24,35,0.05555555555555555,NO
25,279,0.05555555555555555,NO
26,274,0.05555555555555555,NO
27,398,0.05555555555555555,NO
28,238,0.05555555555555555,NO
29,74,0.05555555555555555,NO
30,69,0.05555555555555555,NO
31,203,0.05555555555555555,NO
32,229,0.05555555555555555,NO
33,202,0.05555555555555555,NO
34,101,0.05555555555555555,NO
35,165,0.05555555555555555,NO
36,337,0.05555555555555555,NO
37,94,0.05555555555555555,NO
38,381,0.05555555555555555,NO
39,138,0.05555555555555555,NO
40,40,0.05555555555555555,NO
41,86,0.05555555555555555,NO
42,90,0.05555555555555555,NO
43,78,0.05555555555555555,NO
44,84,0.05555555555555555,NO
45,59,0.9938271604938271,NO
46,111,0.05555555555555555,NO
47,149,0.05555555555555555,NO
48,74,0.05555555555555555,NO
49,230,0.9968944099378884,NO
50,208,0.9968944099378884,NO
51,55,0.05555555555555555,NO
52,29,0.9044943820224719,NO
53,110,0.05555555555555555,NO
54,96,0.05555555555555555,NO
55,42,0.05555555555555555,NO
56,36,0.05555555555555555,NO
57,356,0.029411764705882353,YES
58,100,0.05555555555555555,YES
59,73,0.05555555555555555,YES
60,111,0.05555555555555555,NO
61,99,0.05555555555555555,YES
62,79,0.05555555555555555,NO
63,28,0.05555555555555555,NO
64,309,0.9938271604938271,YES
65,94,0.05555555555555555,YES
66,45,0.05555555555555555,YES
67,39,0.05555555555555555,NO
68,40,0.05555555555555555,YES
69,28,0.05555555555555555,NO
70,27,0.05555555555555555,NO
71,71,0.05555555555555555,YES
72,80,0.05555555555555555,NO
73,40,0.05555555555555555,YES
74,87,0.05555555555555555,NO
