ID,Size,Predicted %,Actual value
0,40,0.12504902601647272,YES
1,28,2.905456447207856E-5,NO
2,28,2.905456447207856E-5,NO
3,449,2.6136957658128593E-4,YES
4,1358,0.9994775339602926,NO
5,25,7.470491558344539E-5,NO
6,39,0.12504902601647272,NO
7,50,1.0458063166701526E-4,NO
8,82,2.6136957658128593E-4,NO
9,41,5.22466039707419E-4,NO
10,245,0.9994775339602926,NO
11,227,0.9994775339602926,NO
12,363,5.22466039707419E-4,NO
13,375,0.9994775339602926,YES
14,145,0.6666376154784731,NO
15,49,5.22466039707419E-4,NO
16,85,1.0458063166701526E-4,NO
17,64,1.0458063166701526E-4,NO
18,36,1.0458063166701526E-4,NO
19,37,3.735524841240194E-5,NO
20,92,5.22466039707419E-4,NO
21,32,5.22466039707419E-4,NO
22,26,7.470491558344539E-5,NO
23,669,0.9994775339602926,YES
24,398,5.22466039707419E-4,NO
25,206,0.9994775339602926,YES
26,24,6.536802196365537E-5,NO
27,24,6.536802196365537E-5,NO
28,27,1.0458063166701526E-4,NO
29,30,5.22466039707419E-4,NO
30,428,2.6136957658128593E-4,NO
31,972,1.0458063166701526E-4,NO
32,123,5.22466039707419E-4,NO
33,562,1.0458063166701526E-4,NO
34,205,5.22466039707419E-4,NO
35,37,7.470491558344539E-5,NO
36,35,7.470491558344539E-5,NO
37,276,2.6136957658128593E-4,NO
38,316,1.30718954248366E-4,NO
39,204,0.2000627483790002,NO
40,133,1.0458063166701526E-4,NO
41,285,2.6136957658128593E-4,NO
42,336,1.0458063166701526E-4,NO
43,464,2.6136957658128593E-4,NO
44,294,2.6136957658128593E-4,NO
45,76,7.470491558344539E-5,NO
46,69,7.470491558344539E-5,NO
47,266,0.9994775339602926,NO
48,247,5.22466039707419E-4,NO
49,217,0.9994775339602926,NO
50,99,1.0458063166701526E-4,NO
51,191,1.0458063166701526E-4,NO
52,476,0.9994775339602926,NO
53,95,1.0458063166701526E-4,NO
54,550,0.9994775339602926,NO
55,136,1.0458063166701526E-4,NO
56,33,1.30718954248366E-4,NO
57,479,0.9994775339602926,YES
58,140,0.9994775339602926,NO
59,111,5.22466039707419E-4,NO
60,34,1.0458063166701526E-4,NO
61,39,1.0458063166701526E-4,NO
62,36,3.735524841240194E-5,NO
63,202,5.22466039707419E-4,YES
64,106,5.22466039707419E-4,NO
65,57,1.30718954248366E-4,NO
66,43,7.470491558344539E-5,NO
67,27,1.0458063166701526E-4,NO
68,25,7.470491558344539E-5,NO
69,53,1.0458063166701526E-4,NO
70,88,7.470491558344539E-5,YES
71,107,5.22466039707419E-4,NO
72,132,1.7427675148135236E-4,YES
73,169,5.22466039707419E-4,NO
74,80,8.715356458079135E-5,NO
75,29,2.905456447207856E-5,NO
76,430,0.9994775339602926,NO
77,79,1.30718954248366E-4,NO
78,85,1.0458063166701526E-4,NO
79,110,5.22466039707419E-4,NO
80,111,1.7427675148135236E-4,NO
81,53,2.6136957658128593E-4,NO
82,52,1.0458063166701526E-4,NO
83,158,5.22466039707419E-4,NO
84,270,5.22466039707419E-4,YES
85,183,5.22466039707419E-4,NO
86,215,0.5,NO
87,76,5.22466039707419E-4,NO
88,285,5.22466039707419E-4,YES
89,258,0.9994775339602926,NO
90,55,5.810575246949447E-5,NO
91,102,5.22466039707419E-4,NO
92,403,5.22466039707419E-4,NO
93,35,5.22466039707419E-4,NO
94,145,0.9994775339602926,YES
95,119,0.9994775339602926,NO
96,71,2.6136957658128593E-4,YES
97,75,0.9994775339602926,YES
98,69,0.9999128464354193,NO
99,80,5.22466039707419E-4,YES
100,63,5.22466039707419E-4,NO
101,120,0.9994775339602926,YES
102,98,1.30718954248366E-4,YES
