ID,Size,Predicted %,Actual value
0,45,6.236722068888868E-4,YES
1,79,6.93738301516559E-5,YES
2,67,6.236722068888868E-4,NO
3,45,2.0806375373691785E-4,YES
4,28,1.5610790403621654E-5,NO
5,28,1.5610790403621654E-5,NO
6,564,1.2485903515378438E-4,YES
7,1491,0.9999375626865605,YES
8,173,6.236722068888868E-4,NO
9,25,4.4599672276128305E-5,NO
10,39,1.0405352663580033E-4,NO
11,47,2.0806375373691785E-4,NO
12,184,6.236722068888868E-4,NO
13,30,5.676183840995008E-5,NO
14,221,7.804420536425108E-5,YES
15,50,5.203217744946233E-5,NO
16,101,1.5606405093881925E-4,NO
17,41,1.2485903515378438E-4,NO
18,250,0.8333159883716875,NO
19,227,1.0405352663580033E-4,NO
20,363,1.2485903515378438E-4,NO
21,407,1.5606405093881925E-4,YES
22,145,0.6896470051528723,NO
23,49,8.919138873884139E-5,NO
24,85,5.203217744946233E-5,NO
25,64,5.203217744946233E-5,NO
26,42,3.120307083249215E-4,NO
27,36,5.203217744946233E-5,NO
28,37,1.0405352663580033E-4,NO
29,83,1.5606405093881925E-4,NO
30,32,7.804420536425108E-5,NO
31,26,4.4599672276128305E-5,NO
32,883,0.9999375626865605,YES
33,413,6.236722068888868E-4,YES
34,213,1.5606405093881925E-4,YES
35,24,2.838253024957072E-5,NO
36,24,2.838253024957072E-5,NO
37,27,5.203217744946233E-5,NO
38,259,0.9090444675867556,NO
39,30,5.676183840995008E-5,NO
40,428,1.0405352663580033E-4,NO
41,979,6.236722068888868E-4,YES
42,123,1.0405352663580033E-4,YES
43,562,1.0405352663580033E-4,NO
44,205,1.0405352663580033E-4,YES
45,37,4.4599672276128305E-5,NO
46,35,4.4599672276128305E-5,NO
47,283,6.236722068888868E-4,NO
48,316,1.0405352663580033E-4,NO
49,204,1.0405352663580033E-4,NO
50,133,1.0405352663580033E-4,NO
51,285,1.0405352663580033E-4,YES
52,336,1.0405352663580033E-4,NO
53,701,6.236722068888868E-4,YES
54,301,6.236722068888868E-4,NO
55,76,1.0405352663580033E-4,NO
56,69,4.4599672276128305E-5,YES
57,266,1.0405352663580033E-4,NO
58,253,6.236722068888868E-4,NO
59,217,1.0405352663580033E-4,NO
60,100,6.236722068888868E-4,NO
61,191,5.203217744946233E-5,NO
62,476,1.2485903515378438E-4,NO
63,95,5.203217744946233E-5,NO
64,551,6.236722068888868E-4,NO
65,136,5.203217744946233E-5,NO
66,33,5.676183840995008E-5,NO
67,491,0.9999375626865605,YES
68,143,1.0405352663580033E-4,YES
69,113,0.8695451510538528,NO
70,34,5.203217744946233E-5,NO
71,39,5.203217744946233E-5,NO
72,36,2.838253024957072E-5,NO
73,277,0.9999375626865605,YES
74,75,6.236722068888868E-4,NO
75,57,3.672972003921502E-5,NO
76,124,2.0806375373691785E-4,NO
77,59,2.0806375373691785E-4,NO
78,32,2.0806375373691785E-4,NO
79,25,3.9025148368819204E-5,NO
80,53,5.203217744946233E-5,NO
81,53,2.0806375373691785E-4,NO
82,88,1.0405352663580033E-4,YES
83,107,1.0405352663580033E-4,NO
84,133,6.236722068888868E-4,YES
85,169,7.804420536425108E-5,NO
86,94,6.236722068888868E-4,NO
87,35,7.804420536425108E-5,NO
88,689,6.236722068888868E-4,YES
89,162,1.5606405093881925E-4,NO
90,39,1.5606405093881925E-4,NO
91,79,5.676183840995008E-5,NO
92,85,5.203217744946233E-5,NO
93,110,1.0405352663580033E-4,NO
94,122,1.2485903515378438E-4,YES
95,53,1.0405352663580033E-4,NO
96,52,5.203217744946233E-5,NO
97,177,6.236722068888868E-4,YES
98,533,0.9999375626865605,NO
99,183,7.804420536425108E-5,YES
100,215,1.2485903515378438E-4,NO
101,76,7.804420536425108E-5,NO
102,563,6.236722068888868E-4,YES
103,257,2.0806375373691785E-4,NO
104,55,2.6017442468914472E-5,NO
105,102,8.919138873884139E-5,NO
106,403,1.2485903515378438E-4,NO
107,35,7.804420536425108E-5,NO
108,145,1.0405352663580033E-4,YES
109,119,1.0405352663580033E-4,NO
110,108,1.5606405093881925E-4,NO
111,91,1.0405352663580033E-4,YES
112,69,0.7692178374324545,NO
113,80,0.7142666001404531,NO
114,63,1.0405352663580033E-4,NO
115,160,1.5606405093881925E-4,YES
116,102,2.0806375373691785E-4,YES
117,54,5.203217744946233E-5,NO
118,267,7.804420536425108E-5,NO
119,55,7.804420536425108E-5,NO
120,46,7.804420536425108E-5,NO
121,226,7.804420536425108E-5,NO
122,54,7.804420536425108E-5,NO
123,270,1.0405352663580033E-4,NO
124,74,5.203217744946233E-5,NO
125,359,7.804420536425108E-5,NO
126,78,7.804420536425108E-5,NO
127,180,1.0405352663580033E-4,NO
128,57,7.804420536425108E-5,NO
129,50,7.804420536425108E-5,NO
130,243,7.804420536425108E-5,NO
131,254,1.0405352663580033E-4,NO
132,306,7.804420536425108E-5,NO
133,139,7.804420536425108E-5,NO
134,372,6.236722068888868E-4,NO
135,75,7.804420536425108E-5,NO
136,222,7.804420536425108E-5,NO
137,61,1.2485903515378438E-4,NO
138,98,1.2485903515378438E-4,NO
139,28,1.5610790403621654E-5,NO
140,55,2.6017442468914472E-5,NO
141,195,1.2485903515378438E-4,NO
142,28,5.203217744946233E-5,NO
143,50,7.804420536425108E-5,NO
144,55,1.2485903515378438E-4,NO
145,130,2.0806375373691785E-4,NO
146,87,7.804420536425108E-5,NO
147,65,1.2485903515378438E-4,NO
148,140,6.236722068888868E-4,NO
149,134,1.5606405093881925E-4,NO
150,117,7.804420536425108E-5,NO
151,28,5.203217744946233E-5,NO
152,57,1.0405352663580033E-4,NO
153,60,3.672972003921502E-5,NO
154,62,7.804420536425108E-5,NO
155,89,1.2485903515378438E-4,NO
156,60,3.672972003921502E-5,NO
157,68,1.2485903515378438E-4,NO
158,522,0.769204906876371,NO
159,43,3.672972003921502E-5,NO
160,247,8.919138873884139E-5,NO
161,35,7.804420536425108E-5,NO
162,42,7.804420536425108E-5,NO
163,57,3.672972003921502E-5,NO
164,125,6.236722068888868E-4,NO
165,61,7.804420536425108E-5,NO
166,92,1.2485903515378438E-4,NO
167,92,6.236722068888868E-4,NO
168,80,7.804420536425108E-5,NO
169,101,8.919138873884139E-5,NO
170,59,7.804420536425108E-5,NO
171,84,7.804420536425108E-5,NO
172,81,6.236722068888868E-4,NO
173,173,6.236722068888868E-4,NO
174,159,0.9999687793939496,NO
175,99,0.5263140598059033,NO
176,73,6.236722068888868E-4,NO
177,74,6.236722068888868E-4,NO
178,330,0.9999375626865605,NO
179,81,6.236722068888868E-4,NO
180,66,3.120307083249215E-4,NO
181,245,1.5606405093881925E-4,NO
182,91,6.236722068888868E-4,NO
183,57,6.236722068888868E-4,NO
184,85,0.49999999999999994,NO
185,94,6.236722068888868E-4,NO
186,54,5.203217744946233E-5,NO
187,75,6.236722068888868E-4,NO
188,137,8.919138873884139E-5,NO
189,133,6.236722068888868E-4,NO
190,79,6.93738301516559E-5,NO
191,76,5.203217744946233E-5,NO
192,81,1.0405352663580033E-4,NO
193,99,6.236722068888868E-4,NO
194,115,1.0405352663580033E-4,NO
195,180,1.0405352663580033E-4,NO
196,118,1.0405352663580033E-4,NO
197,132,2.0806375373691785E-4,NO
198,94,6.236722068888868E-4,NO
199,88,8.919138873884139E-5,NO
200,51,5.203217744946233E-5,NO
201,111,6.236722068888868E-4,NO
