ID,Size,Predicted %,Actual value
0,45,2.2603978300180828E-4,YES
1,79,7.53693096171239E-5,YES
2,67,7.53693096171239E-5,NO
3,45,1.1304544426859595E-4,YES
4,28,8.697618592029503E-6,NO
5,28,8.697618592029503E-6,NO
6,564,0.9999849243200868,YES
7,1491,2.2603978300180828E-4,YES
8,25,2.2613178960698293E-5,NO
9,39,0.516128796942021,NO
10,47,5.652911249293386E-5,NO
11,184,2.2603978300180828E-4,NO
12,30,2.826615410707219E-5,NO
13,221,1.1304544426859595E-4,YES
14,50,1.5075679913164084E-5,NO
15,101,2.2603978300180828E-4,NO
16,41,3.230391523452642E-5,NO
17,250,1.1304544426859595E-4,NO
18,227,5.652911249293386E-5,NO
19,363,4.522431259044862E-5,NO
20,407,4.522431259044862E-5,NO
21,145,0.7586166562694947,NO
22,49,2.5125628140703518E-5,NO
23,85,1.5075679913164084E-5,NO
24,64,2.2613178960698293E-5,NO
25,42,7.53693096171239E-5,NO
26,36,2.055751994079434E-5,NO
27,37,7.53693096171239E-5,NO
28,83,4.522431259044862E-5,NO
29,32,2.5125628140703518E-5,NO
30,26,3.7687495289063086E-5,NO
31,882,2.2603978300180828E-4,YES
32,413,0.9999748743718593,NO
33,213,1.1304544426859595E-4,YES
34,24,8.37548996616302E-6,NO
35,24,8.37548996616302E-6,NO
36,27,2.2613178960698293E-5,NO
37,259,7.53693096171239E-5,NO
38,30,2.826615410707219E-5,NO
39,428,5.652911249293386E-5,NO
40,979,2.2603978300180828E-4,YES
41,123,3.7687495289063086E-5,NO
42,562,3.7687495289063086E-5,NO
43,205,5.652911249293386E-5,NO
44,37,2.055751994079434E-5,NO
45,35,2.826615410707219E-5,NO
46,283,7.53693096171239E-5,NO
47,316,4.522431259044862E-5,NO
48,204,7.53693096171239E-5,NO
49,133,7.53693096171239E-5,NO
50,285,3.230391523452642E-5,NO
51,336,5.652911249293386E-5,NO
52,701,0.7222166386090103,NO
53,301,0.8499920852083851,NO
54,76,2.2613178960698293E-5,NO
55,69,2.5125628140703518E-5,NO
56,266,1.1304544426859595E-4,NO
57,253,4.522431259044862E-5,NO
58,217,3.7687495289063086E-5,NO
59,100,0.42857373606848653,NO
60,191,2.055751994079434E-5,NO
61,476,1.1304544426859595E-4,NO
62,95,2.2613178960698293E-5,NO
63,551,0.8636288880208869,NO
64,136,3.7687495289063086E-5,NO
65,33,5.652911249293386E-5,NO
66,491,1.1304544426859595E-4,YES
67,143,1.1304544426859595E-4,YES
68,113,2.2603978300180828E-4,NO
69,34,2.5125628140703518E-5,NO
70,39,1.0768435561681599E-5,NO
71,36,9.42240648261566E-6,NO
72,277,1.1304544426859595E-4,YES
73,75,2.055751994079434E-5,NO
74,57,1.0768435561681599E-5,NO
75,124,2.2603978300180828E-4,NO
76,59,1.1304544426859595E-4,NO
77,32,2.2603978300180828E-4,NO
78,25,1.5075679913164084E-5,NO
79,53,1.6152479405588758E-5,NO
80,53,2.2603978300180828E-4,NO
81,88,2.2603978300180828E-4,YES
82,107,1.1304544426859595E-4,NO
83,133,2.2603978300180828E-4,YES
84,169,4.522431259044862E-5,NO
85,94,1.1304544426859595E-4,NO
86,35,5.652911249293386E-5,NO
87,689,2.2603978300180828E-4,YES
88,162,7.53693096171239E-5,NO
