ID,Size,Predicted %,Actual value
0,40,0.1250792979488264,YES
1,28,4.699689820471849E-5,NO
2,28,4.699689820471849E-5,NO
3,449,4.22654268808115E-4,YES
4,1358,0.9991554054054055,NO
5,25,1.208313194780087E-4,NO
6,39,0.1250792979488264,NO
7,50,1.6914749661705008E-4,NO
8,82,8.445945945945946E-4,NO
9,41,8.445945945945946E-4,NO
10,245,0.9991554054054055,NO
11,227,0.9991554054054055,NO
12,363,8.445945945945946E-4,NO
13,375,0.9991554054054055,YES
14,145,0.5999661705006767,NO
15,49,8.445945945945946E-4,NO
16,85,1.6914749661705008E-4,NO
17,64,1.6914749661705008E-4,NO
18,36,1.6914749661705008E-4,NO
19,37,6.042296072507553E-5,NO
20,92,8.445945945945946E-4,NO
21,32,8.445945945945946E-4,NO
22,26,1.208313194780087E-4,NO
23,669,0.9991554054054055,YES
24,398,0.9991554054054055,NO
25,206,2.818489289740699E-4,YES
26,24,1.0573059843518715E-4,NO
27,24,1.0573059843518715E-4,NO
28,27,1.6914749661705008E-4,NO
29,30,8.445945945945946E-4,NO
30,428,4.22654268808115E-4,NO
31,972,1.6914749661705008E-4,NO
32,123,8.445945945945946E-4,NO
33,562,1.6914749661705008E-4,NO
34,205,8.445945945945946E-4,NO
35,37,1.208313194780087E-4,NO
36,35,1.208313194780087E-4,NO
37,276,4.22654268808115E-4,NO
38,316,2.1141649048625794E-4,NO
39,204,0.20010148849797027,NO
40,133,1.6914749661705008E-4,NO
41,285,4.22654268808115E-4,NO
42,336,1.6914749661705008E-4,NO
43,464,4.22654268808115E-4,NO
44,294,4.22654268808115E-4,NO
45,76,1.208313194780087E-4,NO
46,69,1.208313194780087E-4,NO
47,266,0.5000000000000001,NO
48,247,8.445945945945946E-4,NO
49,217,8.445945945945946E-4,NO
50,99,1.6914749661705008E-4,NO
51,191,1.6914749661705008E-4,NO
52,476,0.9991554054054055,NO
53,95,1.6914749661705008E-4,NO
54,550,0.9991554054054055,NO
55,136,1.6914749661705008E-4,NO
56,33,2.1141649048625794E-4,NO
57,479,0.9991554054054055,YES
58,140,8.445945945945946E-4,NO
59,111,8.445945945945946E-4,NO
60,34,1.6914749661705008E-4,NO
61,39,1.6914749661705008E-4,NO
62,36,6.042296072507553E-5,NO
63,202,8.445945945945946E-4,YES
64,106,8.445945945945946E-4,NO
65,57,2.1141649048625794E-4,NO
66,43,1.208313194780087E-4,NO
67,27,1.6914749661705008E-4,NO
68,25,1.208313194780087E-4,NO
69,53,1.6914749661705008E-4,NO
70,88,1.208313194780087E-4,YES
71,107,8.445945945945946E-4,NO
72,132,2.818489289740699E-4,YES
73,169,8.445945945945946E-4,NO
74,80,1.40964195094446E-4,NO
75,29,4.699689820471849E-5,NO
76,430,0.9991554054054055,NO
77,79,2.1141649048625794E-4,NO
78,85,1.6914749661705008E-4,NO
79,110,8.445945945945946E-4,NO
80,111,2.818489289740699E-4,NO
81,53,4.22654268808115E-4,NO
82,52,1.6914749661705008E-4,NO
83,158,8.445945945945946E-4,NO
84,270,8.445945945945946E-4,YES
85,183,8.445945945945946E-4,NO
86,215,0.5000000000000001,NO
87,76,8.445945945945946E-4,NO
88,285,8.445945945945946E-4,YES
89,258,8.445945945945946E-4,NO
90,55,9.398496240601504E-5,NO
91,102,8.445945945945946E-4,NO
92,403,0.9991554054054055,NO
93,35,8.445945945945946E-4,NO
