ID,Size,Predicted %,Actual value
0,45,0.9999314675440063,YES
1,79,0.6896462077916857,YES
2,67,6.844801959774877E-4,NO
3,45,0.9999862920056931,YES
4,28,1.593945712482234E-5,NO
5,28,1.593945712482234E-5,NO
6,564,0.9999314675440063,YES
7,1492,6.844801959774877E-4,NO
8,174,6.844801959774877E-4,NO
9,25,4.569039151235429E-5,NO
10,39,9.789775784216721E-5,NO
11,47,1.712959219937566E-4,NO
12,184,3.424745150118965E-4,NO
13,30,5.2718941360694676E-5,NO
14,221,0.9999314675440063,YES
15,50,5.2718941360694676E-5,NO
16,101,1.370461277721302E-4,NO
17,41,1.1421032383765303E-4,NO
18,250,0.8333142950178021,NO
19,227,9.789775784216721E-5,NO
20,363,1.1421032383765303E-4,NO
21,408,6.844801959774877E-4,NO
22,145,0.6666590512534635,NO
23,49,8.566263465686225E-5,NO
24,85,5.2718941360694676E-5,NO
25,64,5.2718941360694676E-5,NO
26,42,2.283684835983739E-4,NO
27,36,5.2718941360694676E-5,NO
28,37,9.789775784216721E-5,NO
29,83,1.370461277721302E-4,NO
30,32,7.614601366568851E-5,NO
31,26,4.569039151235429E-5,NO
32,883,0.9999314675440063,YES
33,421,0.9999314675440063,NO
34,213,0.9999657314234934,YES
35,24,2.8557473296823084E-5,NO
36,24,2.8557473296823084E-5,NO
37,27,5.2718941360694676E-5,NO
38,259,0.9090399339016904,NO
39,30,5.2718941360694676E-5,NO
40,428,9.789775784216721E-5,NO
41,981,6.844801959774877E-4,NO
42,126,6.844801959774877E-4,NO
43,562,9.789775784216721E-5,NO
44,226,0.9999314675440063,NO
45,37,4.569039151235429E-5,NO
46,35,4.569039151235429E-5,NO
47,283,3.424745150118965E-4,NO
48,316,9.789775784216721E-5,NO
49,204,9.789775784216721E-5,NO
50,133,9.789775784216721E-5,NO
51,298,0.9999314675440063,NO
52,336,9.789775784216721E-5,NO
53,701,0.9999314675440063,NO
54,301,3.424745150118965E-4,NO
55,76,9.789775784216721E-5,NO
56,69,6.844801959774877E-4,NO
57,266,9.789775784216721E-5,NO
58,253,3.424745150118965E-4,NO
59,217,9.789775784216721E-5,NO
60,100,3.424745150118965E-4,NO
61,191,5.2718941360694676E-5,NO
62,476,1.1421032383765303E-4,NO
63,95,5.2718941360694676E-5,NO
64,551,3.424745150118965E-4,NO
65,136,5.2718941360694676E-5,NO
66,33,5.7111684662826775E-5,NO
67,496,6.844801959774877E-4,YES
68,156,0.9999314675440063,NO
69,113,0.86954319202236,NO
70,34,5.2718941360694676E-5,NO
71,39,5.2718941360694676E-5,NO
72,36,2.979902857190559E-5,NO
73,288,6.844801959774877E-4,YES
74,75,3.424745150118965E-4,NO
75,57,3.6072055676636136E-5,NO
76,124,1.712959219937566E-4,NO
77,59,1.712959219937566E-4,NO
78,32,1.712959219937566E-4,NO
79,25,4.031548475332023E-5,NO
80,53,5.2718941360694676E-5,YES
81,53,1.712959219937566E-4,NO
82,88,0.9999914324154748,YES
83,107,9.789775784216721E-5,NO
84,134,6.844801959774877E-4,YES
85,169,7.614601366568851E-5,NO
86,94,3.424745150118965E-4,NO
87,35,6.853245599378578E-5,NO
88,695,0.9999314675440063,NO
89,162,1.370461277721302E-4,NO
90,39,1.370461277721302E-4,NO
91,79,5.7111684662826775E-5,NO
92,85,5.2718941360694676E-5,NO
93,110,9.789775784216721E-5,NO
94,122,1.370461277721302E-4,YES
95,53,9.789775784216721E-5,NO
96,52,5.2718941360694676E-5,NO
97,177,3.424745150118965E-4,YES
98,533,0.9999314675440063,YES
99,183,7.614601366568851E-5,YES
100,215,1.1421032383765303E-4,NO
101,76,7.614601366568851E-5,NO
102,563,0.9999771537603901,YES
103,257,1.712959219937566E-4,NO
104,55,2.6360860397000826E-5,NO
105,102,8.566263465686225E-5,NO
106,403,1.1421032383765303E-4,NO
107,35,7.614601366568851E-5,NO
108,145,0.9999914324154748,YES
109,119,9.789775784216721E-5,NO
110,108,1.370461277721302E-4,NO
111,91,0.9677315938099806,YES
112,69,0.7407285185346882,NO
113,80,0.6666514365361625,NO
114,63,9.789775784216721E-5,NO
115,160,0.9999885766192137,YES
116,102,0.9374812588905496,YES
117,54,5.2718941360694676E-5,NO
118,267,7.614601366568851E-5,NO
119,55,7.614601366568851E-5,NO
120,46,7.614601366568851E-5,NO
121,226,7.614601366568851E-5,NO
122,54,7.614601366568851E-5,NO
123,270,9.789775784216721E-5,NO
124,74,5.2718941360694676E-5,NO
125,359,7.614601366568851E-5,NO
126,78,7.614601366568851E-5,NO
127,180,9.789775784216721E-5,NO
128,57,7.614601366568851E-5,NO
129,50,7.614601366568851E-5,NO
130,243,7.614601366568851E-5,NO
131,254,9.789775784216721E-5,NO
132,306,7.614601366568851E-5,NO
133,139,7.614601366568851E-5,NO
134,372,3.424745150118965E-4,NO
135,75,7.614601366568851E-5,NO
136,222,7.614601366568851E-5,NO
137,572,6.844801959774877E-4,NO
138,38,6.844801959774877E-4,NO
139,348,0.9999314675440063,NO
140,121,6.844801959774877E-4,NO
141,62,6.844801959774877E-4,NO
142,52,6.844801959774877E-4,NO
143,158,0.9999314675440063,NO
144,778,6.844801959774877E-4,NO
145,199,0.9999314675440063,NO
146,115,6.844801959774877E-4,NO
147,52,6.844801959774877E-4,NO
148,88,6.844801959774877E-4,NO
149,61,1.1421032383765303E-4,NO
150,98,1.1421032383765303E-4,NO
151,28,1.593945712482234E-5,NO
152,55,2.6360860397000826E-5,NO
153,195,2.283684835983739E-4,NO
154,28,4.895367137574944E-5,NO
155,50,7.614601366568851E-5,NO
156,55,1.1421032383765303E-4,NO
157,542,0.9999314675440063,NO
158,130,1.712959219937566E-4,NO
159,87,7.614601366568851E-5,NO
160,65,1.1421032383765303E-4,NO
161,140,3.424745150118965E-4,NO
162,134,1.370461277721302E-4,NO
163,117,7.614601366568851E-5,NO
164,28,4.895367137574944E-5,NO
165,57,9.789775784216721E-5,NO
166,60,3.6072055676636136E-5,YES
167,62,7.614601366568851E-5,NO
168,89,1.1421032383765303E-4,NO
169,60,3.6072055676636136E-5,NO
170,68,1.1421032383765303E-4,NO
171,522,0.7142647341408389,NO
172,43,3.8075906161315143E-5,NO
173,247,8.566263465686225E-5,NO
174,35,6.853245599378578E-5,NO
175,42,7.614601366568851E-5,NO
176,57,3.6072055676636136E-5,NO
177,125,3.424745150118965E-4,NO
178,61,7.614601366568851E-5,NO
179,92,1.1421032383765303E-4,NO
180,92,3.424745150118965E-4,NO
181,80,7.614601366568851E-5,NO
182,101,8.566263465686225E-5,NO
183,59,7.614601366568851E-5,NO
184,84,7.614601366568851E-5,NO
185,81,3.424745150118965E-4,NO
186,173,3.424745150118965E-4,NO
187,193,0.9999314675440063,NO
188,54,6.844801959774877E-4,NO
189,94,6.844801959774877E-4,NO
190,69,6.844801959774877E-4,NO
191,69,3.424745150118965E-4,NO
192,62,6.844801959774877E-4,NO
193,59,3.424745150118965E-4,NO
194,85,6.844801959774877E-4,NO
195,106,6.844801959774877E-4,NO
196,65,3.424745150118965E-4,NO
197,182,0.9999314675440063,NO
198,145,0.9999314675440063,NO
199,128,6.844801959774877E-4,NO
200,63,6.844801959774877E-4,NO
201,159,0.9999657314234934,NO
202,99,0.526313890944438,NO
203,73,6.844801959774877E-4,NO
204,74,6.844801959774877E-4,NO
205,330,0.9999314675440063,NO
206,81,3.424745150118965E-4,NO
207,66,2.283684835983739E-4,NO
208,245,1.712959219937566E-4,NO
209,91,3.424745150118965E-4,NO
210,57,3.424745150118965E-4,NO
211,85,0.4761920303260022,NO
212,94,3.424745150118965E-4,NO
213,54,5.2718941360694676E-5,NO
214,75,3.424745150118965E-4,NO
215,137,8.566263465686225E-5,NO
216,133,3.424745150118965E-4,NO
217,79,0.6896462077916857,NO
218,76,5.2718941360694676E-5,NO
219,81,9.789775784216721E-5,NO
220,99,3.424745150118965E-4,NO
221,115,9.789775784216721E-5,NO
222,180,9.789775784216721E-5,NO
223,118,9.789775784216721E-5,NO
224,132,1.712959219937566E-4,NO
225,94,3.424745150118965E-4,NO
226,88,8.566263465686225E-5,NO
227,51,5.2718941360694676E-5,NO
228,111,3.424745150118965E-4,NO
