ID,Size,Predicted %,Actual value
0,28,2.9887110630140174E-4,NO
1,28,2.9887110630140174E-4,NO
2,449,0.026869562458942235,NO
3,1087,2.7679066550177204E-5,YES
4,25,2.977936713772753E-4,NO
5,50,3.6040960036197466E-4,NO
6,76,3.5747776121946353E-4,NO
7,38,3.0010719533528086E-4,NO
8,168,4.384495883938134E-4,NO
9,268,4.954392814167375E-4,YES
10,371,6.643183161049537E-4,YES
11,145,4.1426665240321657E-4,YES
12,85,3.4285196085262395E-4,NO
13,64,3.066806647103569E-4,NO
14,36,3.0010719533528086E-4,NO
15,36,3.2561408253881005E-4,NO
16,39,0.004875911578525447,NO
17,26,2.977936713772753E-4,NO
18,504,0.02795643805664349,YES
19,357,3.708968992620087E-4,YES
20,196,4.2990785495025197E-4,NO
21,24,2.977936713772753E-4,NO
22,27,2.977936713772753E-4,NO
23,69,3.087442706400199E-4,YES
24,56,3.04788017539394E-4,NO
25,26,2.977936713772753E-4,NO
26,187,4.1968000059015517E-4,NO
27,983,6.72742893753736E-69,NO
28,252,5.764763565643085E-4,NO
29,620,2.6902980621806217E-5,NO
30,37,3.2561408253881005E-4,NO
31,35,3.2561408253881005E-4,NO
32,286,9.913630540821447E-73,NO
33,232,8.762108320475793E-8,NO
34,203,4.4234956972848057E-4,NO
35,270,5.373650389213216E-14,NO
36,425,0.001100604204787892,NO
37,244,4.6934502124109257E-4,NO
38,74,3.1098212114547875E-4,NO
39,69,3.3498499924421084E-4,NO
40,247,2.541385189326572E-5,NO
41,231,4.404959413481486E-4,NO
42,202,4.4234956972848057E-4,NO
43,99,3.86539067647245E-4,NO
44,191,1.0981910397897232E-4,NO
45,447,2.612443426520693E-4,YES
46,95,3.638883724525692E-4,NO
47,549,9.281028295145476E-6,NO
48,136,3.925527187823179E-4,NO
49,40,3.0010719533528086E-4,NO
50,86,3.63240057079384E-4,NO
51,90,3.4587171591302985E-4,NO
52,79,3.1339779553775637E-4,NO
53,85,3.159951761542498E-4,NO
54,59,3.066806647103569E-4,NO
55,105,0.004731960336050906,NO
56,52,3.0306332809135894E-4,NO
57,157,1.9799414429351795E-4,YES
58,74,2.7503236128184193E-4,NO
59,243,0.007492170395387681,YES
60,227,0.007534413659420542,YES
61,55,3.04788017539394E-4,NO
62,29,2.9887110630140174E-4,NO
63,111,0.0050360139989637535,NO
64,113,0.004678719224022987,NO
65,71,0.0054265176017886455,NO
66,54,3.306926083352816E-4,NO
67,205,4.020455692998278E-4,NO
68,121,3.9916432008509534E-4,NO
69,107,3.5253629414563675E-4,NO
70,74,3.5747776121946353E-4,NO
71,55,0.0056083850862253485,NO
72,104,0.019059427523960063,NO
73,61,0.006123272099431031,NO
74,148,0.11608157976815822,NO
75,66,0.007711579623599424,NO
76,87,0.010736275020789839,NO
77,85,0.010352571593923497,NO
78,72,0.009006323876961195,NO
79,54,0.005371821655962686,NO
80,60,0.005914037589136815,NO
81,76,3.1098212114547875E-4,NO
82,33,2.9887110630140174E-4,NO
83,430,0.003078684408622465,YES
84,146,3.5305724125217784E-4,YES
85,125,3.356536935129593E-4,YES
86,75,3.1098212114547875E-4,NO
87,47,3.0306332809135894E-4,YES
88,34,3.2561408253881005E-4,NO
89,39,3.2561408253881005E-4,NO
90,36,3.2561408253881005E-4,NO
91,79,3.400339010298725E-4,NO
92,28,2.9887110630140174E-4,NO
93,426,0.015786000924913387,NO
94,212,4.506394689380825E-4,NO
95,88,3.159951761542498E-4,NO
96,57,3.04788017539394E-4,NO
97,43,3.015038721867086E-4,NO
98,27,2.977936713772753E-4,NO
99,25,2.977936713772753E-4,NO
100,53,3.04788017539394E-4,NO
101,108,3.282906206249386E-4,YES
102,102,3.24921148562267E-4,NO
103,85,3.159951761542498E-4,NO
104,54,3.04788017539394E-4,NO
105,78,3.1339779553775637E-4,NO
106,98,3.217521637618544E-4,NO
107,78,3.1339779553775637E-4,NO
108,77,3.1098212114547875E-4,YES
109,97,3.490980704335368E-4,NO
110,176,4.128101381631601E-4,NO
111,123,3.356536935129593E-4,NO
112,51,3.5915291650490415E-4,NO
113,71,3.5747776121946353E-4,NO
114,94,3.187784587464596E-4,NO
