ID,Size,Predicted %,Actual value
0,45,0.014518593874532885,YES
1,79,0.01451652275545659,YES
2,67,0.014477887759947851,NO
3,45,0.014151349542789378,YES
4,28,0.01432204600671664,NO
5,28,0.01432204600671664,NO
6,564,0.388255672543071,YES
7,1492,1.0,NO
8,174,0.02386224655595107,NO
9,25,0.01432204600671664,NO
10,39,0.014182314270264323,NO
11,47,0.015223125749366162,NO
12,184,0.018174866609251557,NO
13,30,0.01499834373430156,NO
14,221,0.02577822801238966,YES
15,50,0.015854093338719302,NO
16,101,0.017968197463330938,NO
17,41,0.014182314270264323,NO
18,250,0.027958289404308417,NO
19,227,0.022641004245073818,NO
20,363,0.059267206571065385,NO
21,408,0.43191473987078594,NO
22,145,0.017352227673473403,NO
23,49,0.015532604365050075,NO
24,85,0.014586797510277156,NO
25,64,0.014104308405018985,NO
26,42,0.014182314270264323,NO
27,36,0.014221041622006205,NO
28,37,0.014590067779733963,NO
29,83,0.014179712244987099,NO
30,32,0.014637810089330745,NO
31,26,0.01432204600671664,NO
32,883,0.9944806012148255,YES
33,421,0.09932838005340916,NO
34,213,0.023816934472850063,YES
35,24,0.014384485934195338,NO
36,24,0.014384485934195338,NO
37,27,0.014693654090553938,NO
38,259,0.024738890279726502,NO
39,30,0.01499834373430156,NO
40,428,0.10345820307310068,NO
41,981,0.9843168731175904,NO
42,126,0.01989325193361174,NO
43,562,0.2608404524691553,NO
44,226,0.029894663274771804,NO
45,37,0.01494944335762938,NO
46,35,0.01494944335762938,NO
47,283,0.0022988692377907244,NO
48,316,0.006138830837688656,NO
49,204,0.019366367713256095,NO
50,133,0.018345925143782603,NO
51,298,0.0033767432073303614,NO
52,336,0.002259593604714017,NO
53,701,0.8343459830841661,NO
54,301,0.039094490814281534,NO
55,76,0.014149330059988583,NO
56,69,0.017078136544003256,NO
57,266,0.02765942715519372,NO
58,253,0.025187707226903944,NO
59,217,0.022614368105722156,NO
60,100,0.016745935114512913,NO
61,191,0.022792095521951175,NO
62,476,0.1540627417571479,NO
63,95,0.017460756722407208,NO
64,551,0.25561881886831883,NO
65,136,0.018504447483528894,NO
66,33,0.014637810089330745,NO
67,496,0.6526494577161789,YES
68,156,0.03851563072125251,NO
69,113,0.014993026074004863,NO
70,34,0.014590067779733963,NO
71,39,0.014908762390848386,NO
72,36,0.014590067779733963,NO
73,288,0.037023857914221386,YES
74,75,0.014874114151247172,NO
75,57,0.014104595980387033,NO
