ID,Size,Predicted %,Actual value
0,28,0.03874963225608006,NO
1,28,0.03874963225608006,NO
2,387,0.15903281660587953,NO
3,1087,0.9999907723816689,NO
4,25,0.03874963225608006,NO
5,50,0.03836159631592863,NO
6,76,0.03868782432075556,NO
7,38,0.03846593094796155,NO
8,168,0.04517303486533133,NO
9,268,0.053123591904425616,NO
10,374,0.14362557352260036,YES
11,145,0.042842961299188576,NO
12,85,0.03888219144992439,NO
13,64,0.03843523244109789,NO
14,36,0.03858518007345723,NO
15,36,0.03858518007345723,NO
16,36,0.03858518007345723,NO
17,26,0.03874963225608006,NO
18,491,0.3517348487818374,NO
19,354,0.12384128311280419,NO
20,196,0.0504690228138244,NO
21,24,0.03874963225608006,NO
22,27,0.03874963225608006,NO
23,69,0.027869522908373794,NO
24,56,0.028479931322961838,NO
25,26,0.03874963225608006,NO
26,187,0.048117709086182535,NO
27,983,0.9998374848944676,NO
28,252,0.06382310053785356,NO
29,620,0.7712859247323786,NO
30,37,0.03846593094796155,NO
31,35,0.03858518007345723,NO
32,286,0.07649423385061414,NO
33,232,0.05797230556568298,NO
34,203,0.051773743255804854,NO
35,270,0.0709315664485256,NO
36,425,0.20681695876792108,NO
37,244,0.06174431248242358,NO
38,74,0.038539004128203436,NO
39,69,0.03843523244109789,NO
40,228,0.05797230556568298,NO
41,231,0.05797230556568298,NO
42,202,0.051773743255804854,NO
43,99,0.039410333463366164,NO
44,191,0.04925185733129815,NO
45,447,0.256248876157709,YES
46,95,0.03912275792683597,NO
47,549,0.5377029287505176,NO
48,136,0.04218935682664699,NO
49,40,0.03846593094796155,NO
50,86,0.03888219144992439,NO
51,90,0.03912275792683597,NO
52,79,0.03868782432075556,NO
53,85,0.03888219144992439,NO
54,59,0.03837616227262711,NO
55,112,0.04013056263767997,NO
56,52,0.03836159631592863,NO
57,157,0.03296524663747087,NO
58,74,0.038539004128203436,NO
59,230,0.04326634822363392,NO
60,206,0.03768502756862293,NO
61,55,0.03836159631592863,NO
62,29,0.03874963225608006,NO
63,111,0.04013056263767997,NO
64,98,0.039410333463366164,NO
65,43,0.038391485941087565,NO
66,54,0.03836159631592863,NO
67,205,0.051773743255804854,NO
68,121,0.04056566347700718,NO
69,107,0.03974588919634912,NO
70,74,0.038539004128203436,NO
71,76,0.03868782432075556,NO
72,33,0.02757297623738889,NO
73,420,0.15754769569722402,YES
74,146,0.042842961299188576,NO
75,125,0.04105268026795861,NO
76,75,0.038539004128203436,NO
77,47,0.038391485941087565,NO
78,34,0.03858518007345723,NO
79,39,0.03846593094796155,NO
80,36,0.03858518007345723,NO
81,79,0.03868782432075556,NO
82,28,0.03874963225608006,NO
83,422,0.20681695876792108,NO
84,212,0.03963170196021176,NO
85,88,0.03888219144992439,NO
86,57,0.03837616227262711,NO
87,43,0.038391485941087565,NO
88,27,0.03874963225608006,NO
89,25,0.03874963225608006,NO
90,53,0.03836159631592863,NO
91,108,0.029518586283051755,NO
92,102,0.029266743216987915,NO
93,85,0.03888219144992439,NO
94,54,0.03836159631592863,NO
95,78,0.03868782432075556,NO
96,98,0.039410333463366164,NO
97,78,0.03868782432075556,NO
98,77,0.03868782432075556,NO
99,97,0.039410333463366164,NO
100,176,0.047062384971123195,NO
101,123,0.04105268026795861,NO
102,51,0.03836159631592863,NO
103,71,0.038539004128203436,NO
104,94,0.02905094653565215,NO
