ID,Size,Predicted %,Actual value
0,45,0.12547532182017032,YES
1,79,0.12441558616698403,YES
2,67,0.12429634369361685,NO
3,45,0.1201729837764679,YES
4,28,0.12184794146111569,NO
5,28,0.12184794146111569,NO
6,564,0.9400220341957376,YES
7,1492,1.0,NO
8,174,0.17427675655212918,NO
9,25,0.12257686482879443,NO
10,39,0.12064706269965186,NO
11,47,0.13042078842555352,NO
12,184,0.15303225904189796,NO
13,30,0.12992073870377369,NO
14,221,0.2291822812796338,YES
15,50,0.13582566448220743,NO
16,101,0.15636079102635214,NO
17,41,0.12281557115747523,NO
18,250,0.23601549714534112,NO
19,227,0.1909127015352973,NO
20,363,0.47239517068144715,NO
21,408,0.6298101621575054,NO
22,145,0.14651954168240194,NO
23,49,0.13311717443933213,NO
24,85,0.12487237389480337,NO
25,64,0.1217234971562893,NO
26,42,0.1201729837764679,NO
27,36,0.12064706269965186,NO
28,37,0.125967323485026,NO
29,83,0.11933118720097818,NO
30,32,0.1265463789155971,NO
31,26,0.12526478717172618,NO
32,883,0.9999447231692626,YES
33,421,0.6820734861413901,NO
34,213,0.20051633134543398,YES
35,24,0.12526478717172618,NO
36,24,0.12526478717172618,NO
37,27,0.12721349726857287,NO
38,259,0.3465999725785773,NO
39,30,0.12992073870377369,NO
40,428,0.6353839501495583,NO
41,981,0.9999979190498777,NO
42,126,0.1457479032329735,NO
43,562,0.9481370648742253,NO
44,226,0.23139661680175513,NO
45,37,0.12865195412411945,NO
46,35,0.1292415256283194,NO
47,283,0.4532604227350708,NO
48,316,0.5163103222840961,NO
49,204,0.16662553255638704,NO
50,133,0.15802400233047229,NO
51,298,0.47666219982483576,NO
52,336,0.5582926105672635,NO
53,701,0.9931048501968094,NO
54,301,0.33085101474447703,NO
55,76,0.1217751711448301,NO
56,69,0.12695053476194673,NO
57,266,0.3517290321642458,NO
58,253,0.2138668674088542,NO
59,217,0.19039379686897737,NO
60,100,0.142524587577189,NO
61,191,0.22855474734060938,NO
62,476,0.7917242879333073,NO
63,95,0.1502001500024456,NO
64,551,0.938522946376844,NO
65,136,0.15802400233047229,NO
66,33,0.1265463789155971,NO
67,496,0.7876750461929583,YES
68,156,0.14119833102618834,NO
69,113,0.12831178345214178,NO
70,34,0.1265463789155971,NO
71,39,0.12865195412411945,NO
72,36,0.125967323485026,NO
73,288,0.26540069805756306,YES
74,75,0.12707195402192095,NO
75,57,0.11924656796995386,NO
76,124,0.14410943724493483,NO
77,59,0.11924656796995386,NO
78,32,0.12120505305400446,NO
79,25,0.12526478717172618,NO
80,53,0.11947335471428282,YES
81,53,0.13819555655851973,NO
82,88,0.1329092736118426,YES
83,107,0.1295136990612084,NO
84,134,0.14369919701448053,YES
85,169,0.15858088574937465,NO
86,94,0.12834911488595596,NO
87,35,0.12120505305400446,NO
88,695,0.9951894417474624,NO
89,162,0.1957834177756215,NO
90,39,0.13678861250963362,NO
91,79,0.1217751711448301,NO
92,85,0.12222361789751442,NO
93,110,0.13569862955811554,NO
94,122,0.12646961188315722,YES
95,53,0.12474920026507257,NO
96,52,0.11947335471428282,NO
97,177,0.1599979590272478,YES
98,533,0.9251705731464944,YES
99,183,0.17505812945465818,YES
100,215,0.26736669477251995,NO
101,76,0.16245944065691723,NO
102,563,0.9484847243233434,YES
103,257,0.2350220555433238,NO
104,55,0.11947335471428282,NO
105,102,0.12619806977314074,NO
106,403,0.4992553286199166,NO
107,35,0.1265463789155971,NO
108,145,0.13789652103672412,YES
109,119,0.12919684088029376,NO
110,108,0.155141424557146,NO
111,91,0.1199349210535281,YES
112,69,0.11903704543873259,NO
113,80,0.12460164313867843,NO
114,63,0.11910121715818954,NO
115,160,0.14565369672909,YES
116,102,0.12086941107802048,YES
117,54,0.12474920026507257,NO
118,267,0.29872114523828996,NO
119,55,0.12474920026507257,NO
120,46,0.12506951648149647,NO
121,226,0.20164238904149268,NO
122,54,0.13277937523098157,NO
123,270,0.25064770740279557,NO
124,74,0.1323202681857048,NO
125,359,0.5315794849977274,NO
126,78,0.12707195402192095,NO
127,180,0.19404222789199227,NO
128,57,0.14338434168884598,NO
129,50,0.12506951648149647,NO
130,243,0.30556476134587,NO
131,254,0.23354707587254683,NO
132,306,0.36526941687479897,NO
133,139,0.17688889683743814,NO
134,372,0.5013764964677063,NO
135,75,0.12974302783852282,NO
136,222,0.2291822812796338,NO
137,572,0.9999999999804227,NO
138,38,0.13944210536452614,NO
139,348,0.9994962353429417,NO
140,121,0.32831827849926964,NO
141,62,0.15558152619988844,NO
142,52,0.15430743997761115,NO
143,158,0.5366742019309446,NO
144,778,1.0,NO
145,199,0.7818713648518244,NO
146,115,0.29850121468874957,NO
147,52,0.15430743997761115,NO
148,88,0.2174276067489944,NO
149,61,0.12968847206258086,NO
150,98,0.12036046369605727,NO
151,28,0.12184794146111569,NO
152,55,0.11947335471428282,NO
153,195,0.19352177371049012,NO
154,28,0.12452214807597098,NO
155,50,0.11978197816471252,NO
156,55,0.13008880478732238,NO
157,542,0.999999999487949,NO
158,130,0.14244760456711128,NO
159,87,0.1195920309053128,NO
160,65,0.13230177440278673,NO
161,140,0.13650509806262834,NO
162,134,0.12963002616091104,NO
163,117,0.12831178345214178,NO
164,28,0.12452214807597098,NO
165,57,0.12451381496829592,NO
166,60,0.1217234971562893,YES
167,62,0.1217234971562893,NO
168,89,0.12257300277678701,NO
