ID,Size,Predicted %,Actual value
0,45,0.03493642586704126,YES
1,79,0.03505165118261302,YES
2,67,0.03487190333614628,NO
3,45,0.03389664599253444,YES
4,28,0.03422130546862862,NO
5,28,0.03422130546862862,NO
6,564,0.9616089988473524,YES
7,1492,1.0,NO
8,174,0.055685853948842186,NO
9,25,0.034298972392268846,NO
10,39,0.033978165765020926,NO
11,47,0.03654856343729503,NO
12,184,0.044272080541015606,NO
13,30,0.03620634533727189,NO
14,221,0.06042126604111085,YES
15,50,0.03860146702096246,NO
16,101,0.043400654389995505,NO
17,41,0.03463203844151451,NO
18,250,0.06684479055741421,NO
19,227,0.05455130079275576,NO
20,363,0.1348822875735703,NO
21,408,0.9999964328822254,NO
22,145,0.04220397044506801,NO
23,49,0.037745099339533864,NO
24,85,0.03551196281954169,NO
25,64,0.034168610677252895,NO
26,42,0.03393409140580779,NO
27,36,0.034028893878504295,NO
28,37,0.03541216645246742,NO
29,83,0.034063395471813314,NO
30,32,0.03547182492772332,NO
31,26,0.034653533698877956,NO
32,883,0.9998351996214762,YES
33,421,0.8190473176613531,NO
34,213,0.05664032324563969,YES
35,24,0.034653533698877956,NO
36,24,0.034653533698877956,NO
37,27,0.035270680692506474,NO
38,259,0.052255970105744134,NO
39,30,0.03620634533727189,NO
40,428,0.21509741887537967,NO
41,981,0.9990167349598384,NO
42,126,0.4755201144325561,NO
43,562,0.4256019419382553,NO
44,226,0.5763476368272722,NO
45,37,0.03607776640635899,NO
46,35,0.03574728793536182,NO
47,283,0.0028421942380966983,NO
48,316,0.00893361267163729,NO
49,204,0.047298338933108544,NO
50,133,0.044534997807732686,NO
51,298,0.06715213536415778,NO
52,336,0.0025869162963873286,NO
53,701,0.9952435964147521,NO
54,301,0.08932770946533389,NO
55,76,0.03431158675301734,NO
56,69,0.43480613303723276,NO
57,266,0.058559097856271204,NO
58,253,0.060872204246481064,NO
59,217,0.05419999465344028,NO
60,100,0.04020303664924043,NO
61,191,0.05276869793489688,NO
62,476,0.30301823835558206,NO
63,95,0.042036507077725084,NO
64,551,0.4088245467234177,NO
65,136,0.04456926533430859,NO
66,33,0.03513169040640882,NO
67,496,1.0,YES
68,156,0.9999377073258293,NO
69,113,0.03619429136761901,NO
70,34,0.03547182492772332,NO
71,39,0.036349287408526776,NO
72,36,0.03541216645246742,NO
73,288,0.627584621882324,YES
74,75,0.03628602306915274,NO
75,57,0.0338082460022985,NO
76,124,0.041016671322795566,NO
77,59,0.0338082460022985,NO
78,32,0.034086304320511136,NO
79,25,0.034653533698877956,NO
80,53,0.033823891405242834,YES
81,53,0.038854314777182535,NO
82,88,0.03783540920437199,YES
83,107,0.036622389163076044,NO
84,134,0.04692772815162325,YES
85,169,0.04522934557082652,NO
86,94,0.03641759391685618,NO
87,35,0.034028893878504295,NO
88,695,0.9931033531936441,NO
89,162,0.04984720841365653,NO
90,39,0.038476082891492645,NO
91,79,0.03436022886455479,NO
92,85,0.034477756301952225,NO
93,110,0.038710737524436045,NO
94,122,0.035922958849303174,YES
95,53,0.03486152006410054,NO
96,52,0.033823891405242834,NO
97,177,0.04599312384936251,YES
98,533,0.26669627497805753,YES
99,183,0.04992104312303951,YES
100,215,0.053361643315802794,NO
101,76,0.043333016761401597,NO
102,563,0.4780505290527517,YES
103,257,0.06623162792921608,NO
104,55,0.033812788326683454,NO
