ID,Size,Predicted %,Actual value
0,40,0.02965167293631072,YES
1,28,0.02938044191684068,NO
2,28,0.02938044191684068,NO
3,449,0.20270517527544255,YES
4,1358,0.9999593654369645,NO
5,25,0.029306378930789013,NO
6,39,0.02965167293631072,NO
7,50,0.036973653872777186,NO
8,82,0.09360205606037451,NO
9,41,0.07781602550578653,NO
10,245,0.06899753413431757,NO
11,227,0.05841902023797893,NO
12,363,0.11618516705772448,NO
13,375,0.0999655904183734,YES
14,145,0.04395224751939327,NO
15,49,0.03572868928557218,NO
16,85,0.03341845481691744,NO
17,64,0.030581138681756867,NO
18,36,0.029553020536835502,NO
19,37,0.03144543868313904,NO
20,92,0.11452003584993452,NO
21,32,0.031245332246116697,NO
22,26,0.02938044191684068,NO
23,669,0.9438088108591668,YES
24,398,0.2309263470053853,NO
25,206,0.05783543656036507,YES
26,24,0.029306378930789013,NO
27,24,0.029306378930789013,NO
28,27,0.03115832652344471,NO
29,30,0.03209195700923673,NO
30,428,0.18314437290474414,NO
31,972,2.22949398079854E-4,NO
32,123,0.04320741262870764,NO
33,562,0.06524706197364354,NO
34,205,0.05399880255283119,NO
35,37,0.032297304771137535,NO
36,35,0.032190142240181824,NO
37,276,1.4030244418477768E-6,NO
38,316,1.670606460643305E-5,NO
39,204,0.04910336674983773,NO
40,133,0.04573960447242381,NO
41,285,1.198690919013596E-6,NO
42,336,2.4807205744299635E-7,NO
43,464,0.24497338642994673,NO
44,294,0.08378045999117724,NO
45,76,0.03111351656011555,NO
46,69,0.03348951274488545,NO
47,266,0.021846147081312516,NO
48,247,0.06243624591647464,NO
49,217,0.0581409874872689,NO
50,99,0.04106355586490043,NO
51,191,0.03934743700038419,NO
52,476,0.17656098440272777,NO
53,95,0.042333665010365236,NO
54,550,0.3514153547566119,NO
55,136,0.04619497354829311,NO
56,33,0.031341011104088996,NO
57,479,0.7654675846207143,YES
58,140,0.038676476314017647,NO
59,111,0.08877829556573624,NO
60,34,0.031341011104088996,NO
61,39,0.033114139298361565,NO
62,36,0.031341011104088996,NO
63,202,0.23185158656380386,YES
64,106,0.03735656198859462,NO
65,57,0.030271907037621067,NO
66,43,0.029758669661974036,NO
67,27,0.02938044191684068,NO
68,25,0.029306378930789013,NO
69,53,0.030130611942687787,NO
70,88,0.03704395059254734,YES
71,107,0.03589542453219987,NO
72,132,0.04285922279686914,YES
73,169,0.0478941486598318,NO
74,80,0.03320046143137738,NO
75,29,0.029462634091384783,NO
76,430,0.19578442477376234,NO
77,79,0.03111351656011555,NO
78,85,0.0315158030386365,NO
79,110,0.03879944516565321,NO
80,111,0.03324407547832065,NO
81,53,0.03195239685450147,NO
82,52,0.029998043614171757,NO
83,158,0.10443029824646406,NO
84,270,0.17539584571768288,YES
85,183,0.052867160763857175,NO
86,215,0.029384116488723376,NO
87,76,0.04016572246141333,NO
88,285,0.07771153321000362,YES
89,258,0.0712947059536118,NO
90,55,0.030130611942687787,NO
91,102,0.03439653231885734,NO
92,403,0.32460145137177593,NO
93,35,0.031341011104088996,NO
94,145,0.03950877643706642,YES
95,119,0.03587369175119046,NO
96,71,0.03894145924614064,YES
97,75,0.030926735757885966,YES
98,69,0.030749324456415938,NO
99,80,0.03320046143137738,YES
100,63,0.030422042337927294,NO
101,120,0.03587369175119046,YES
102,98,0.032193577094357086,YES
103,54,0.03195239685450147,NO
104,267,0.062458480067878054,NO
105,55,0.03195239685450147,NO
106,46,0.03168087769794232,NO
107,226,0.06218615819370109,NO
108,54,0.035184630793496686,NO
109,270,0.07589111403506628,NO
110,74,0.03610932221714382,NO
111,359,0.04011692059738176,NO
112,78,0.03388502476952472,NO
113,180,0.05210955723768976,NO
114,57,0.03913252823401222,NO
115,50,0.03181207596751439,NO
116,243,0.02819095052575331,NO
117,254,0.07054715424631765,NO
118,306,0.07225272999021497,NO
119,139,0.04486425582654564,NO
120,375,0.12263329486111105,NO
121,75,0.03534306290213789,NO
122,222,0.05829502926103303,NO
123,61,0.08763937822709547,NO
124,98,0.07904446026101367,NO
125,28,0.02938044191684068,NO
126,55,0.030130611942687787,NO
127,194,0.1353702337266778,NO
128,28,0.030282988410065353,NO
129,50,0.029998043614171757,NO
130,55,0.08684892687164289,NO
131,118,0.09475186648952304,NO
132,87,0.031731637718098976,NO
133,65,0.09156066468791046,NO
134,144,0.04271348984488279,NO
135,117,0.0355543850729913,NO
136,28,0.030282988410065353,NO
137,57,0.032101952293363524,NO
138,60,0.030422042337927294,NO
139,62,0.03135555240257886,NO
140,89,0.08270355683508276,NO
141,60,0.030422042337927294,NO
142,68,0.07566272404932908,NO
143,522,0.35506791332424636,NO
144,43,0.029758669661974036,NO
145,247,0.05423340324481843,NO
146,35,0.029553020536835502,NO
147,42,0.03155869761891203,NO
148,57,0.030271907037621067,NO
149,91,0.03651547393543982,NO
150,61,0.030422042337927294,NO
151,92,0.03195750031570167,NO
152,93,0.03388588495707239,NO
153,80,0.03130981889433417,NO
154,101,0.03142083182059518,NO
155,59,0.029318732362915014,NO
156,84,0.030524694554024918,NO
157,82,0.032269664002287625,NO
158,132,0.03790154387871714,NO
159,143,0.04533537996046832,NO
160,78,0.09961813820499427,NO
161,66,0.09803219038027876,NO
162,66,0.09803219038027876,NO
163,85,0.0315158030386365,YES
164,54,0.030130611942687787,NO
165,77,0.0320675429700735,NO
166,137,0.03552747948679345,NO
167,130,0.09271764383762805,NO
168,79,0.03299270911285035,NO
169,76,0.0320675429700735,NO
170,81,0.03130981889433417,NO
171,98,0.03505781300068139,NO
172,115,0.033534344909430504,NO
173,180,0.04404691376598436,NO
174,118,0.03487065165471442,NO
175,64,0.03242925293594046,NO
176,95,0.03118184023903854,NO
177,88,0.08036816369700302,NO
178,51,0.0387817104713403,NO
179,120,0.042814335621859774,NO
