ID,Size,Predicted %,Actual value
0,28,0.05876136570918326,NO
1,28,0.05876136570918326,NO
2,449,0.2629342557571513,NO
3,1087,0.9968445005630435,YES
4,25,0.058494186710478235,NO
5,50,0.059743901739657074,NO
6,76,0.06149454166379876,NO
7,38,0.05905842906336503,NO
8,168,0.07335019666594644,NO
9,268,0.10143217256126258,YES
10,371,0.15675868853344715,YES
11,145,0.07021156605025003,YES
12,85,0.062569542605023,NO
13,64,0.0605544259904362,NO
14,36,0.05905842906336503,NO
15,36,0.05905842906336503,NO
16,39,0.0613134541692929,NO
17,26,0.058494186710478235,NO
18,504,0.30212059016152415,YES
19,357,0.1482220788691344,YES
20,196,0.07962435248137115,NO
21,24,0.058494186710478235,NO
22,27,0.058494186710478235,NO
23,69,0.061007972158923854,YES
24,56,0.060133265907465226,NO
25,26,0.058494186710478235,NO
26,187,0.07694760332409022,NO
27,983,0.9856690202338468,NO
28,252,0.09492694808255155,NO
29,620,0.524882227555486,NO
30,37,0.05905842906336503,NO
31,35,0.05905842906336503,NO
32,286,0.10878037614967404,NO
33,232,0.08917513176510525,NO
34,203,0.0810521744379291,NO
35,270,0.10143217256126258,NO
36,425,0.19974542872213197,NO
37,244,0.09293008128212425,NO
38,74,0.06149454166379876,NO
39,69,0.061007972158923854,NO
40,247,0.09306201086377215,NO
41,231,0.08917513176510525,NO
42,202,0.0810521744379291,NO
43,99,0.06378551772950462,NO
44,191,0.07825684885718358,NO
45,447,0.2260207518696241,YES
46,95,0.06315949553713124,NO
47,549,0.37278740793539433,NO
48,136,0.06835313188198351,NO
49,40,0.059385789248103386,NO
50,86,0.062569542605023,NO
51,90,0.06315949553713124,NO
52,79,0.06201482007413245,NO
53,85,0.062569542605023,NO
54,59,0.0605544259904362,NO
55,105,0.06500472841895134,NO
56,52,0.059743901739657074,NO
57,157,0.07225520424122407,YES
58,74,0.06149454166379876,NO
59,243,0.09192915089281962,YES
60,227,0.08646415372751351,YES
61,55,0.060133265907465226,NO
62,29,0.05876136570918326,NO
63,111,0.06762028063202496,NO
64,113,0.06524472511496611,NO
65,71,0.060850971682439935,NO
66,54,0.060133265907465226,NO
67,205,0.0810521744379291,NO
68,121,0.06666900926681425,NO
69,107,0.0644485022272582,NO
70,74,0.06149454166379876,NO
71,55,0.06008445558898335,NO
72,104,0.07427269256082629,NO
73,61,0.06135155981639032,NO
74,148,0.10481856359889397,NO
75,66,0.06181068360721802,NO
76,87,0.0672817294063426,NO
77,85,0.0672817294063426,NO
78,72,0.06350944892350789,NO
79,54,0.06008445558898335,NO
80,60,0.06050529582281152,NO
81,76,0.06149454166379876,NO
82,33,0.05876136570918326,NO
83,430,0.20890503467561491,YES
84,146,0.07021156605025003,YES
85,125,0.06666900926681425,YES
86,75,0.06149454166379876,NO
87,47,0.059743901739657074,YES
88,34,0.05905842906336503,NO
89,39,0.05905842906336503,NO
90,36,0.05905842906336503,NO
91,79,0.06201482007413245,NO
92,28,0.05876136570918326,NO
93,426,0.20261915588188736,NO
94,212,0.08409750161297806,NO
95,88,0.062569542605023,NO
96,57,0.060133265907465226,NO
97,43,0.059385789248103386,NO
98,27,0.058494186710478235,NO
99,25,0.058494186710478235,NO
100,53,0.060133265907465226,NO
101,108,0.06514939796564446,YES
102,102,0.0644485022272582,NO
103,85,0.062569542605023,NO
104,54,0.060133265907465226,NO
105,78,0.06201482007413245,NO
106,98,0.06378551772950462,NO
107,78,0.06201482007413245,NO
108,77,0.06201482007413245,YES
109,97,0.06378551772950462,NO
110,176,0.07569464916458082,NO
111,123,0.06666900926681425,NO
112,51,0.059743901739657074,NO
113,71,0.06149454166379876,NO
114,94,0.06315949553713124,NO
