ID,Size,Predicted %,Actual value
0,45,0.006734439616791758,YES
1,79,0.006852671160614509,YES
2,67,0.006813260274958455,NO
3,45,0.0060833938514289355,YES
4,28,0.00611032270079482,NO
5,28,0.00611032270079482,NO
6,564,0.31046473979299194,YES
7,1491,1.0,YES
8,25,0.006124705653167345,NO
9,39,0.006090764552900837,NO
10,47,0.0060833938514289355,NO
11,184,0.007588663530587511,NO
12,30,0.00611032270079482,NO
13,221,0.018823749541556006,YES
14,50,0.006084262249017692,NO
15,101,0.006954977622735088,NO
16,41,0.006085560211769375,NO
17,250,0.010849744491398628,NO
18,227,0.00884843459465439,NO
19,363,0.01966860890917815,NO
20,407,0.027176079261119732,NO
21,145,0.00677519759977747,NO
22,49,0.006084262249017692,NO
23,85,0.0061759947441008285,NO
24,64,0.006105111510908595,NO
25,42,0.006085560211769375,NO
26,36,0.006090764552900837,NO
27,37,0.006090764552900837,NO
28,83,0.0061759947441008285,NO
29,32,0.006099014620251935,NO
30,26,0.00611032270079482,NO
31,882,0.9942263324980697,YES
32,413,0.0317454731652689,NO
33,213,0.008369454611165129,YES
34,24,0.006124705653167345,NO
35,24,0.006124705653167345,NO
36,27,0.00611032270079482,NO
37,259,0.011410166581897968,NO
38,30,0.00611032270079482,NO
39,428,0.03304082856603429,NO
40,979,0.9940639350422364,YES
41,123,0.006526095025053705,NO
42,562,0.12340493414297603,NO
43,205,0.008084606408896173,NO
44,37,0.006090764552900837,NO
45,35,0.006090764552900837,NO
46,283,0.01155606553001801,NO
47,316,0.013950090169682246,NO
48,204,0.008084606408896173,NO
49,133,0.006642861452509571,NO
50,285,0.011853777841126846,NO
51,336,0.016191398789258554,NO
52,701,0.4870563309615384,NO
53,301,0.012831206785169186,NO
54,76,0.00613432932040672,NO
55,69,0.006118177118989043,NO
56,266,0.010738506739262616,NO
57,253,0.010022920302126625,NO
58,217,0.008521946287064484,NO
59,100,0.006297745940335788,NO
60,191,0.00770398760791324,NO
61,476,0.050408747972782074,NO
62,95,0.00626240006614848,NO
63,551,0.1065370735362781,NO
64,136,0.006642861452509571,NO
65,33,0.006099014620251935,NO
66,491,0.31945196130172215,YES
67,143,0.007499721655930601,YES
68,113,0.007103022802689726,NO
69,34,0.006099014620251935,NO
70,39,0.006090764552900837,NO
71,36,0.006090764552900837,NO
72,277,0.024364797162807362,YES
73,75,0.00613432932040672,NO
74,57,0.0060881666963489576,NO
75,124,0.006526095025053705,NO
76,59,0.006095113003072793,NO
77,32,0.006099014620251935,NO
78,25,0.006124705653167345,NO
79,53,0.006084262249017692,NO
80,53,0.006084262249017692,NO
81,88,0.006201570410768111,YES
82,107,0.006336448986332129,NO
83,133,0.006642861452509571,YES
84,169,0.007274583801134728,NO
85,94,0.006230357713532921,NO
86,35,0.006090764552900837,NO
87,689,0.4599205737202716,YES
88,162,0.007090043373201729,NO
89,39,0.006090764552900837,NO
90,79,0.006153592250079692,NO
91,85,0.0061759947441008285,NO
92,110,0.006378568166729596,NO
93,122,0.007141718941705572,NO
94,53,0.006084262249017692,NO
95,52,0.006084262249017692,NO
96,177,0.008128344137180298,NO
97,527,0.1667140265253643,YES
98,183,0.007588663530587511,NO
99,215,0.008521946287064484,NO
100,76,0.00613432932040672,NO
101,563,0.12340493414297603,YES
102,257,0.01025095125522322,NO
103,55,0.0060881666963489576,NO
104,102,0.006297745940335788,NO
105,403,0.026169282779176968,NO
106,35,0.006090764552900837,NO
107,145,0.00677519759977747,YES
108,119,0.0064733182426048395,NO
109,108,0.006336448986332129,NO
110,91,0.006230357713532921,YES
111,69,0.006118177118989043,NO
112,80,0.006153592250079692,NO
113,63,0.006105111510908595,NO
114,160,0.007090043373201729,YES
115,102,0.006297745940335788,YES
116,54,0.0060881666963489576,NO
117,267,0.010738506739262616,NO
118,55,0.0060881666963489576,NO
119,46,0.0060833938514289355,NO
120,226,0.00884843459465439,NO
121,54,0.0060881666963489576,NO
122,270,0.010738506739262616,NO
123,74,0.00613432932040672,NO
124,359,0.019018611555139706,NO
125,78,0.006153592250079692,NO
126,180,0.00747877693424385,NO
127,57,0.0060881666963489576,NO
128,50,0.006084262249017692,NO
129,243,0.009596114787943439,NO
130,254,0.010022920302126625,NO
131,306,0.01318742968220881,NO
132,139,0.006707033584038704,NO
133,372,0.02106558671428431,NO
134,75,0.00613432932040672,NO
135,222,0.008681509886533226,NO
136,61,0.006095113003072793,NO
137,98,0.00626240006614848,NO
138,28,0.00611032270079482,NO
139,55,0.0060881666963489576,NO
140,195,0.00871223417119365,NO
141,28,0.00611032270079482,NO
142,50,0.006084262249017692,NO
143,55,0.0060881666963489576,NO
144,130,0.007286657181300637,NO
145,87,0.006201570410768111,NO
146,65,0.006105111510908595,NO
147,140,0.006707033584038704,NO
148,134,0.006642861452509571,NO
149,117,0.006424167904056544,NO
150,28,0.00611032270079482,NO
151,57,0.0060881666963489576,NO
152,60,0.006095113003072793,NO
153,62,0.006095113003072793,NO
154,89,0.006201570410768111,NO
155,60,0.006095113003072793,NO
156,68,0.006118177118989043,NO
157,522,0.0797948519703889,NO
158,43,0.006085560211769375,NO
159,247,0.009596114787943439,NO
160,35,0.006090764552900837,NO
161,42,0.006085560211769375,NO
162,57,0.0060881666963489576,NO
163,125,0.006526095025053705,NO
164,61,0.006095113003072793,NO
165,92,0.006230357713532921,NO
166,92,0.006230357713532921,NO
167,80,0.006153592250079692,NO
168,101,0.006297745940335788,NO
169,59,0.006095113003072793,NO
170,84,0.0061759947441008285,NO
171,81,0.0061759947441008285,NO
172,173,0.007274583801134728,NO
173,159,0.015167477409551433,NO
174,99,0.046199125369927284,NO
175,73,0.006831234907417616,NO
176,74,0.006831234907417616,NO
177,330,0.016846248411231102,NO
178,81,0.0061759947441008285,NO
179,66,0.006105111510908595,NO
180,245,0.010619076015829634,NO
181,91,0.006230357713532921,NO
182,57,0.0060881666963489576,NO
183,85,0.0061759947441008285,NO
184,94,0.006230357713532921,NO
185,54,0.0060881666963489576,NO
186,75,0.00613432932040672,NO
187,137,0.006707033584038704,NO
188,133,0.006642861452509571,NO
189,79,0.006153592250079692,NO
190,76,0.00613432932040672,NO
191,81,0.0061759947441008285,NO
192,99,0.00626240006614848,NO
193,115,0.006424167904056544,NO
194,180,0.00747877693424385,NO
195,118,0.0064733182426048395,NO
196,132,0.006642861452509571,NO
197,94,0.006230357713532921,NO
198,88,0.006201570410768111,NO
199,51,0.006084262249017692,NO
200,111,0.006378568166729596,NO
