ID,Size,Predicted %,Actual value
0,28,0.1745388790835182,NO
1,28,0.1745388790835182,NO
2,449,0.4029009499886716,NO
3,1311,0.9985538040387434,YES
4,25,0.1745388790835182,NO
5,50,0.17917041223589902,NO
6,76,0.18607672534385875,NO
7,38,0.17757582595118665,NO
8,175,0.2166672214085548,NO
9,326,0.30991964476783895,NO
10,370,0.3242130632271396,YES
11,145,0.2243559287631459,NO
12,85,0.18793993583772658,NO
13,64,0.18251615447290875,NO
14,36,0.1760322632189593,NO
15,36,0.1760322632189593,NO
16,32,0.17361683198506914,NO
17,26,0.1745388790835182,NO
18,527,0.4740699518344138,YES
19,395,0.35642671907991264,NO
20,213,0.23161036186163472,NO
21,24,0.16970681805016588,NO
22,24,0.1745388790835182,NO
23,27,0.1745388790835182,NO
24,73,0.18274037956630246,NO
25,56,0.18081689087705602,NO
26,30,0.17136585061886916,NO
27,294,0.4798916601771446,NO
28,983,0.9287490132635104,NO
29,252,0.2558371294187935,NO
30,620,0.5923060931781404,NO
31,37,0.1760322632189593,NO
32,35,0.1760322632189593,NO
33,286,0.2752889091703753,NO
34,232,0.24521828724186492,NO
35,203,0.23221515357060907,NO
36,270,0.26723756227654294,NO
37,425,0.3775054830289967,NO
38,244,0.2522123853743633,NO
39,74,0.18607672534385875,NO
40,69,0.1842691193302559,NO
41,247,0.2522123853743633,NO
42,237,0.244551728821037,NO
43,202,0.23221515357060907,NO
44,99,0.1918371394619959,NO
45,191,0.22618522406467345,NO
46,464,0.4079676956580788,NO
47,95,0.1918371394619959,NO
48,549,0.5037251911694308,NO
49,136,0.20497050819149498,NO
50,40,0.17757582595118665,NO
51,86,0.189859737364894,NO
52,105,0.18861325253572658,NO
53,79,0.18793993583772658,NO
54,85,0.18793993583772658,NO
55,72,0.18099528050014702,NO
56,105,0.1938731743549124,NO
57,52,0.18081689087705602,NO
58,151,0.3247820048622123,NO
59,264,0.9975240010554748,NO
60,183,0.4320855641808451,NO
61,195,0.22773221050467352,NO
62,76,0.18274037956630246,NO
63,250,0.2512980180930921,NO
64,237,0.24455948656119503,NO
65,55,0.18081689087705602,NO
66,35,0.17283777032704553,NO
67,110,0.19596889661145359,NO
68,114,0.19812538273693395,NO
69,71,0.1842691193302559,NO
70,54,0.18081689087705602,NO
71,267,0.30895421141645096,NO
72,55,0.1981755014025552,NO
73,46,0.17661595028219937,NO
74,226,0.5474528754463274,NO
75,54,0.19615532851174555,NO
76,266,0.983462946698538,NO
77,74,0.18607672534385875,NO
78,359,0.9999967735545994,NO
79,78,0.19885884470014017,NO
80,181,0.35228140620272363,NO
81,57,0.1816210502914819,NO
82,50,0.18867440501194893,NO
83,243,0.5612214143868758,NO
84,253,0.7766861319656426,NO
85,306,0.9535904656930104,NO
86,139,0.30736485955327575,NO
87,375,0.9064452340988814,NO
88,75,0.19040626721875853,NO
89,222,0.4666615823923464,NO
90,28,0.1713994855259997,NO
91,55,0.18081689087705602,NO
92,149,0.2341365232891681,NO
93,25,0.1699664136502551,NO
94,50,0.1783718092437205,NO
95,41,0.1729205282929736,NO
96,101,0.18889518919687737,NO
97,81,0.18539787725906712,NO
98,51,0.17374751451142,NO
99,135,0.5532718288321609,NO
100,117,0.25195107915253945,NO
101,25,0.1699664136502551,NO
102,54,0.18081689087705602,NO
103,60,0.18251615447290875,NO
104,62,0.2070832395923059,NO
105,83,0.2634322845821129,NO
106,60,0.2070832395923059,NO
107,63,0.21548550214262754,NO
108,452,0.9996126290346639,NO
109,42,0.1810982800643512,NO
110,57,0.20521266797049564,NO
111,156,0.3419924583592916,NO
112,61,0.2070832395923059,NO
113,91,0.28603962193999943,NO
114,93,0.30621359548227034,NO
115,80,0.2634322845821129,NO
116,101,0.2326278070711769,NO
117,59,0.2070832395923059,NO
118,84,0.2680534512982951,NO
119,82,0.2634322845821129,NO
120,132,0.27458608836674603,NO
121,76,0.18607672534385875,NO
122,33,0.1760322632189593,NO
123,430,0.3784679427026206,NO
124,153,0.20620369759764778,NO
125,122,0.20034373070825287,NO
126,75,0.18607672534385875,NO
127,60,0.17896506820492197,NO
128,34,0.1760322632189593,NO
129,39,0.17757582595118665,NO
130,36,0.1760322632189593,NO
131,79,0.18793993583772658,NO
132,28,0.1745388790835182,NO
133,438,0.38474353482841267,YES
134,194,0.2220152476951792,NO
135,99,0.18689931192379827,NO
136,55,0.17835001788708127,NO
137,43,0.17757582595118665,NO
138,27,0.1745388790835182,NO
139,25,0.1745388790835182,NO
140,53,0.18081689087705602,NO
141,108,0.19596889661145359,NO
142,103,0.1938731743549124,NO
143,85,0.18793993583772658,NO
144,54,0.18081689087705602,NO
145,78,0.18607672534385875,NO
146,98,0.1918371394619959,NO
147,99,0.33185008749824063,NO
148,79,0.20464642352753076,NO
149,78,0.18607672534385875,NO
150,101,0.19302444854995318,NO
151,177,0.2204558930811818,NO
152,123,0.20034373070825287,NO
153,88,0.28603962193999943,NO
154,51,0.17917041223589902,NO
155,119,0.2145475328246285,NO
156,124,0.19611792199068984,NO
157,169,0.7965763421860688,NO
158,144,0.20375852887110768,NO
159,78,0.18607672534385875,NO
160,59,0.2070832395923059,NO
