ID,Size,Predicted %,Actual value
0,50,0.36772262951207585,YES
1,79,0.3823723189566293,YES
2,67,0.3761304365416976,NO
3,45,0.09195818670193431,YES
4,28,0.0893649006928723,NO
5,28,0.0893649006928723,NO
6,459,0.6893891797830128,YES
7,1479,1.0,YES
8,25,0.08893048822408556,NO
9,39,0.09097450753381722,NO
10,47,0.10645109466759817,NO
11,184,0.3290921084139383,NO
12,30,0.10036170454213726,NO
13,215,0.176011573089406,YES
14,50,0.1151928464015895,NO
15,82,0.11837126288397251,NO
16,41,0.09500588153774342,NO
17,245,0.20800388563378552,YES
18,227,0.18115998975568653,NO
19,363,0.3001038407304385,NO
20,407,0.2521990371102619,NO
21,145,0.14108772007424109,NO
22,49,0.11096759502882284,NO
23,85,0.1073397569786109,NO
24,64,0.09744319143164397,NO
25,42,0.22360830846480992,NO
26,36,0.09061774232814873,NO
27,37,0.09788340164962515,NO
28,83,0.09907689218445104,NO
29,32,0.09701400691192952,NO
30,26,0.0911201745612454,NO
31,866,0.9957299416854111,YES
32,376,0.9698443394387936,YES
33,207,0.5443437607758026,YES
34,24,0.09079106267912684,NO
35,24,0.09079106267912684,NO
36,27,0.09474935015498788,NO
37,260,0.045119965747216294,YES
38,30,0.10036170454213726,NO
39,428,0.39818958906841956,NO
40,979,1.406621428898623E-4,NO
41,123,0.1392580493153362,NO
42,562,0.12213654309330489,NO
43,205,0.17205920181060047,NO
44,37,0.1015092090263212,NO
45,35,0.09933982135064102,NO
46,283,3.7689959554762994E-6,NO
47,316,3.5639056993142E-5,NO
48,204,0.15596310002451064,NO
49,133,0.14798453607097842,NO
50,285,2.3067066201386484E-6,NO
51,336,4.1586053086584686E-7,NO
52,701,0.9974270967288906,NO
53,301,0.9510755099761636,NO
54,76,0.09976177109889002,NO
55,69,0.10758273423980885,NO
56,266,0.06739493905657437,NO
57,253,0.4074700233009987,NO
58,217,0.18146158021931888,NO
59,100,0.7548152742009001,NO
60,191,0.1283276244591004,NO
61,476,0.3690956300365057,NO
62,95,0.1349033399348408,NO
63,551,0.7814731128809136,NO
64,136,0.14882158176435667,NO
65,33,0.09569568704718313,NO
66,474,0.9727825600956203,YES
67,140,0.12495771688488139,YES
68,111,0.11222812360468278,YES
69,34,0.09738200780103684,NO
70,39,0.10322056062598713,NO
71,36,0.09775689720289497,NO
72,271,0.5984320430698259,YES
73,75,0.26217190827267495,NO
74,57,0.0940705306361304,NO
75,124,0.1360350881945874,NO
76,59,0.09434854510334853,NO
77,32,0.0899236978492847,NO
78,25,0.09090006003679967,NO
79,53,0.09338923826036273,NO
80,53,0.11686974658061873,NO
81,88,0.11859306801145456,YES
82,107,0.1148452901963379,NO
83,133,0.1380753137989697,YES
84,169,0.15388119581076126,NO
85,94,0.2682360628885709,NO
86,35,0.22135450838461407,NO
