ID,Size,Predicted %,Actual value
0,28,0.18492095307471873,NO
1,28,0.18492095307471873,NO
2,449,0.5911559186983184,NO
3,1339,0.9992944371572922,NO
4,25,0.18400094409597295,NO
5,50,0.21968981337668134,NO
6,76,0.21754920658422836,NO
7,38,0.18699136003261074,NO
8,178,0.2854484021478849,NO
9,326,0.4295835987767885,NO
10,370,0.39125800029836477,YES
11,145,0.2547903196086682,NO
12,49,0.22186592345290387,NO
13,85,0.21068250010975761,NO
14,64,0.19208161173897834,NO
15,36,0.18591745483021896,NO
16,36,0.19751712132066448,NO
17,32,0.19751712132066448,NO
18,26,0.18492095307471873,NO
19,543,0.7853829785910907,YES
20,395,0.33608323245371374,NO
21,209,0.31639359409502615,NO
22,24,0.18400094409597295,NO
23,24,0.18400094409597295,NO
24,27,0.18492095307471873,NO
25,73,0.19511984839638333,NO
26,56,0.19068762377305087,NO
27,30,0.19647345143673217,NO
28,294,0.3672754828693788,NO
29,983,8.552809394659798E-6,NO
30,262,0.3623492341699089,NO
31,626,0.4191069508462572,NO
32,37,0.19751712132066448,NO
33,35,0.19751712132066448,NO
34,286,3.7249475243350606E-7,NO
35,232,0.007903081163403864,NO
36,203,0.27292623819371137,YES
37,286,2.1460921517982367E-6,NO
38,425,0.5256397743108955,NO
39,249,0.2964868275919775,NO
40,74,0.19511984839638333,NO
41,69,0.20551463427975855,NO
42,247,0.10208385206438025,YES
43,237,0.29581467669054745,NO
44,214,0.27692492081591674,NO
45,99,0.24068602382873389,NO
46,191,0.2101380277709601,NO
47,464,0.517207251542169,YES
48,95,0.2472671896887017,NO
49,549,0.20813703125215655,NO
50,136,0.2657199763146041,NO
51,40,0.18699136003261074,NO
52,86,0.22121211387710413,NO
53,105,0.21668037619532604,NO
54,79,0.19676680747160644,NO
55,85,0.19850091492564625,NO
56,72,0.20714757017052132,NO
57,105,0.20424173177542032,NO
58,52,0.18937536351757278,NO
59,151,0.2370877937413046,NO
60,264,0.35568013371591073,NO
61,183,0.29381923663127296,NO
62,195,0.1560742372392451,NO
63,76,0.23156761476072654,NO
64,250,0.33575077544834564,NO
65,237,0.3276724036157947,NO
66,55,0.19068762377305087,NO
67,102,0.24505587968469883,NO
68,389,0.9832235328825865,NO
69,35,0.19751712132066448,NO
70,130,0.2149098466210328,YES
71,114,0.20853447653647028,YES
72,71,0.2308353625085095,NO
73,54,0.20113746963189635,NO
74,267,0.30864322741721806,NO
75,55,0.20251087287045716,NO
76,46,0.19984811200084923,NO
77,226,0.3278288472682004,NO
78,54,0.21131775232892844,NO
79,266,0.367344426592595,NO
80,74,0.21754920658422836,NO
81,359,0.17016887715042317,NO
82,78,0.20886970666002685,NO
83,181,0.28527590814284526,NO
84,57,0.23184544903352508,NO
85,50,0.20113746963189635,NO
86,243,0.14131715940225653,NO
87,253,0.3521150015735327,NO
88,306,0.33217911660516586,NO
89,139,0.2502699340154611,NO
90,375,0.46584232363808903,NO
91,75,0.21754920658422836,NO
92,222,0.2969017127328131,NO
93,28,0.18492095307471873,NO
94,55,0.19068762377305087,NO
95,154,0.27399747352240905,NO
96,25,0.18400094409597295,NO
97,50,0.18937536351757278,NO
98,41,0.19864167998939183,NO
99,101,0.21668037619532604,NO
100,84,0.20075750070209986,NO
101,51,0.20113746963189635,NO
102,135,0.24259476812659705,NO
103,117,0.20853447653647028,NO
104,25,0.18400094409597295,NO
105,54,0.18937536351757278,NO
106,60,0.19068762377305087,NO
107,62,0.19208161173897834,NO
108,83,0.19850091492564625,NO
109,60,0.19068762377305087,NO
110,63,0.17886025819833246,NO
111,452,0.63433599585446,NO
112,43,0.18871720904952693,NO
113,247,0.6458393246084694,NO
114,35,0.18559806619350394,NO
115,42,0.19864167998939183,NO
116,57,0.19068762377305087,NO
117,156,0.25165723492394027,NO
118,61,0.19208161173897834,NO
119,91,0.20032369717189982,NO
120,93,0.20032369717189982,NO
121,80,0.19676680747160644,NO
122,101,0.19038060800271436,NO
123,59,0.17754113581215217,NO
124,84,0.18493885183742956,NO
125,82,0.19676680747160644,NO
126,132,0.22864478996168786,NO
127,76,0.19511984839638333,NO
128,33,0.18591745483021896,NO
129,430,0.5963147260321876,NO
130,153,0.2267303202486669,NO
131,122,0.21082589575400723,NO
132,75,0.19511984839638333,NO
133,60,0.19068762377305087,NO
134,34,0.19751712132066448,NO
135,39,0.19864167998939183,NO
136,36,0.19751712132066448,NO
137,79,0.20886970666002685,NO
138,28,0.18492095307471873,NO
139,438,0.6148579084982478,YES
140,194,0.2647431925571296,NO
141,99,0.22525525176935116,NO
142,55,0.19068762377305087,NO
143,43,0.18814364732396865,NO
144,27,0.18492095307471873,NO
145,25,0.18400094409597295,NO
146,53,0.18937536351757278,NO
147,108,0.20634037574317626,NO
148,103,0.20424173177542032,NO
149,85,0.19850091492564625,NO
150,54,0.18937536351757278,NO
151,79,0.19900857446573364,NO
152,137,0.21894435198656678,NO
153,99,0.20223674871765468,NO
154,79,0.19676680747160644,NO
155,78,0.19676680747160644,NO
156,101,0.21668037619532604,NO
157,177,0.2534503117935836,NO
158,123,0.21321655965721784,NO
159,88,0.19850091492564625,NO
160,51,0.2303305611646347,NO
161,119,0.25039559697882596,NO
162,132,0.24984289184065728,NO
163,169,0.2788114297723787,NO
