ID,Size,Predicted %,Actual value
0,45,0.01809063679307559,YES
1,28,0.010965514974176119,NO
2,28,0.010965514974176119,NO
3,449,0.07188102362889957,YES
4,1470,0.9995738051210713,YES
5,25,0.010965514974176119,NO
6,39,0.011124091796939328,NO
7,47,0.023293587956660703,NO
8,30,0.01978030537718358,NO
9,215,0.9870188201539385,YES
10,50,0.013330476675547043,NO
11,82,0.013444979127577677,NO
12,41,0.011124091796939328,NO
13,245,0.024824600254158606,NO
14,227,0.02058353914677668,NO
15,363,0.043871121419026674,NO
16,407,0.043992931431662906,NO
17,145,0.015864735524611654,NO
18,49,0.012866674039571788,NO
19,85,0.012461783294384698,NO
20,64,0.01140166570152548,NO
21,36,0.011066627905145668,NO
22,37,0.011625940235558092,NO
23,83,0.011759826144737133,NO
24,32,0.01157046302801402,NO
25,26,0.010965514974176119,NO
26,835,0.9933836381490273,YES
27,365,0.06681804023792448,NO
28,206,0.021272416406036408,YES
29,24,0.010965514974176119,NO
30,24,0.010965514974176119,NO
31,27,0.011519776539982651,NO
32,260,0.9993092211497604,NO
33,30,0.012099067352866831,NO
34,428,0.06438841703309833,NO
35,972,0.004896021563488819,NO
36,123,0.015980516997260774,NO
37,562,0.05029687098741494,NO
38,205,0.021348487096813966,NO
39,37,0.012157047900775968,NO
40,35,0.011625940235558092,NO
41,276,3.453717488847273E-5,NO
42,316,1.7518633012452667E-4,NO
43,204,0.01772770337580039,NO
44,133,0.017010762562847403,NO
45,285,3.5373748896640985E-5,NO
46,336,1.236091498497913E-5,NO
47,464,0.08141600405432127,NO
48,294,0.03068539639443029,NO
49,76,0.011662377063572527,NO
50,69,0.01261436859696552,NO
51,266,0.014353289934704146,NO
52,247,0.021538590997456027,NO
53,217,0.020432887183246498,NO
54,99,0.014761440440563472,NO
55,191,0.017769997370858475,NO
56,476,0.11839631487335327,NO
57,95,0.015599464882349876,NO
58,550,0.05117470041744821,NO
59,136,0.017010762562847403,NO
60,33,0.01157046302801402,NO
61,483,0.0895171286287782,YES
62,140,0.022976717475671343,NO
63,111,0.013093058189720074,NO
64,34,0.011625940235558092,NO
65,39,0.012220103875320344,NO
66,36,0.011625940235558092,NO
67,257,0.04534426106922145,YES
68,61,0.021593107595387493,NO
69,57,0.011324953638711159,NO
70,124,0.18994672018095984,NO
71,59,0.01782772328487928,NO
72,32,0.01781364817647083,NO
73,25,0.010965514974176119,NO
74,53,0.011253177285607157,NO
75,53,0.028070964824128745,NO
76,88,0.01356244019424249,YES
77,107,0.012954151151115052,NO
78,133,0.024851967603306897,YES
79,169,0.01755837003467858,NO
80,80,0.012353735373748427,NO
81,29,0.011013789909390316,NO
82,588,0.772706617128685,NO
83,162,0.018271952752217012,NO
