ID,Size,Predicted %,Actual value
0,40,0.05335565831592929,YES
1,28,0.05098775371685646,NO
2,28,0.05098775371685646,NO
3,449,0.9999999942380429,YES
4,1352,1.0,NO
5,25,0.0505438277363866,NO
6,39,0.05306653692130385,NO
7,50,0.0711035967697579,NO
8,76,0.0862859038704616,NO
9,40,0.02400017566426834,NO
10,245,0.9864712522560732,NO
11,227,0.8647227918506669,NO
12,363,0.9999987976197118,NO
13,375,0.999998419591934,YES
14,145,0.27536664471002875,NO
15,49,0.06848919282507886,NO
16,85,0.08723990463912679,NO
17,64,0.0651832347504332,NO
18,36,0.05239938508115934,NO
19,37,0.024641020593660662,NO
20,32,0.05616905470461497,NO
21,26,0.052175034259226476,NO
22,660,1.0,YES
23,398,0.9999999712856141,NO
24,206,0.8471879940015773,NO
25,24,0.022055842139909593,NO
26,24,0.022055842139909593,NO
27,27,0.05419733916514916,NO
28,30,0.057910606310942914,NO
29,428,0.9999999028265807,NO
30,972,1.0,NO
31,123,0.9999967276589579,NO
32,562,1.0,NO
33,205,0.6909768285310164,NO
34,37,0.05968505035491208,NO
35,35,0.058202721028541175,NO
36,276,6.251621130440163E-4,NO
37,316,0.7258215129359803,NO
38,204,0.8195164893872977,NO
39,133,0.23151690544860618,NO
40,285,1.6210462943628314E-4,NO
41,336,7.227524329681924E-4,NO
42,464,0.9999999999002348,NO
43,294,0.9985969412380218,NO
44,76,0.034802405224510766,NO
45,69,0.07618864748707029,NO
46,266,0.9205915022671606,NO
47,247,0.982485271651448,NO
48,217,0.9779944717085967,NO
49,99,0.1272335173425029,NO
50,191,0.5021050653816704,NO
51,476,0.9999999999288693,NO
52,95,0.12309953358304185,NO
53,549,0.9999999999999473,YES
54,136,0.1589681350121203,NO
55,33,0.05526329289939749,NO
56,478,0.9999999997907423,YES
57,140,0.22744328040248957,NO
58,111,0.026277935693109208,NO
59,34,0.05642866459702081,NO
60,39,0.06098323035140425,NO
61,36,0.05699019857577514,NO
62,202,0.3912309049591211,YES
63,106,0.13097092121705714,NO
64,57,0.005251093041511068,NO
65,43,0.07400317574143685,NO
66,27,0.021640204382587045,NO
67,25,0.052067182631553834,NO
68,53,0.058067987659586415,NO
69,88,0.10093799011900677,YES
70,107,0.12370331068204764,NO
71,132,0.3623193689850528,YES
72,169,0.4429099528519211,NO
73,80,0.08292859454949877,NO
74,29,0.05107796449039538,NO
75,430,0.9999997248857417,NO
76,79,0.07815961756620114,NO
77,85,0.08276546192055532,NO
78,110,0.012344310336616468,NO
79,111,0.12551409225717805,NO
80,53,0.06166615150727394,NO
81,52,0.057295606450202055,NO
82,155,0.21573840069450073,NO
83,270,0.9943661104380845,NO
84,183,0.5643570426434018,NO
85,215,0.20719106765962395,NO
86,76,0.08925158679725395,NO
87,285,0.9849043099964666,YES
88,258,1.009898717029619E-61,NO
89,55,0.05887084903081277,NO
90,102,0.11124254933643565,NO
91,390,0.999999580093963,NO
92,35,0.05661780138409337,NO
93,145,0.4786551780541865,YES
94,119,0.15047897328508164,NO
95,71,0.08940778433135803,NO
96,75,0.07197590646102636,YES
97,69,0.005947632650328216,NO
98,80,0.08153762350073178,YES
99,63,0.0056582705561664245,NO
100,120,0.15479478951710657,YES
101,98,0.015334986289431909,YES
102,54,0.06322764704323301,NO
103,267,0.9710828731352857,NO
104,55,0.06359042843097955,NO
105,46,0.05981559672584105,NO
106,226,0.8718463609017651,NO
107,54,0.0699365287228009,NO
108,270,0.9823830224794642,NO
109,74,0.08427558874071983,NO
110,359,0.9995031234362953,NO
111,78,0.08288614300027757,NO
112,180,0.5219399646780741,NO
113,57,0.07874614694436756,NO
114,50,0.06134392202977304,NO
115,243,0.7878053236085087,NO
116,254,0.9913896441534349,NO
117,306,0.9961960222163814,NO
118,139,0.24018354777085887,NO
119,375,0.9999984747783406,NO
120,75,0.0835002645969964,NO
121,222,0.833712639694629,NO
122,28,0.05083103631457579,NO
123,55,0.05887084903081277,NO
124,187,0.14472004495772609,NO
125,28,0.022576449030530018,NO
126,50,0.008917173109044807,NO
127,41,0.05955544771954424,NO
128,113,0.027524460348955074,NO
129,87,0.00800480718506432,NO
130,51,0.06543603734016593,NO
131,144,0.16588048908688718,NO
132,117,0.14160396423828742,NO
133,28,0.022576449030530018,NO
134,57,0.028578116404084357,NO
135,60,0.06287588526332884,NO
136,62,0.06532074537733493,NO
137,83,0.08188851078475773,NO
138,60,0.06287588526332884,NO
139,63,0.06151885510584947,NO
140,522,0.9999999999425907,NO
141,43,0.054042792305357815,NO
142,247,0.9309899742734301,NO
143,35,0.05220597796253632,NO
144,42,0.05860671283837187,NO
145,57,0.060027940705613625,NO
146,91,0.33766420038726475,NO
147,61,0.08656906695452163,NO
148,92,0.08060317845051743,NO
149,93,0.09651069919705794,NO
150,80,0.07833735766023839,NO
151,101,0.10002068547392778,NO
152,59,0.059307253041365623,NO
153,84,0.07787071687640186,NO
154,82,0.08167079042043184,NO
155,132,0.31399998256000844,NO
156,143,0.25913663417914845,NO
157,78,0.1388527754243298,NO
158,66,0.11800325540898268,NO
159,66,0.11800325540898268,NO
160,85,0.07073296127400919,YES
161,54,0.058165371037731235,NO
162,77,0.11538216572035215,NO
163,137,0.1234547795601388,NO
164,99,0.10535097022118017,NO
165,79,0.1148796964308503,NO
166,76,0.07547373562223093,NO
167,81,0.06573662870161924,NO
168,98,0.07236888797776746,NO
169,115,0.12962433797248746,NO
170,180,0.8272765739838538,NO
171,118,0.3558745820408228,NO
172,64,0.088077122584648,NO
173,95,0.02640912841314888,NO
174,88,0.08392978586998978,NO
175,51,0.07503423104989944,NO
176,120,0.10690725769789715,NO
177,40,0.05335565831592929,NO
178,86,0.09890079782221141,NO
179,105,0.12059548640713044,NO
180,76,0.07547373562223093,NO
181,51,0.07503423104989944,NO
182,79,0.08240743142711919,NO
183,28,0.05098775371685646,NO
184,469,1.6089061218983136E-49,NO
185,73,0.07012302598791344,NO
186,56,0.059534092081065075,NO
187,77,0.07817412885238954,NO
188,60,0.061056663726843,NO
189,117,0.1468109555942045,NO
190,103,0.09934595009266274,NO
191,28,0.022674031613132757,NO
192,28,0.022674031613132757,NO
193,449,0.13892011247458308,NO
194,1344,1.0,NO
195,25,0.02265069856912792,NO
196,50,0.029425511974993563,NO
197,76,0.028980296957867635,NO
198,38,0.024036129645793703,NO
199,207,0.09793435411792809,NO
200,221,0.8362410967953711,NO
201,340,0.16512228121142328,NO
202,370,0.03563170866776957,NO
203,145,0.03488759802493615,NO
204,49,0.028324129220792246,NO
205,85,0.026471519052462165,NO
206,64,0.02424682458005151,NO
207,36,0.022833403351912446,NO
208,36,0.024901954133546962,NO
209,32,0.02481069504076421,NO
210,26,0.02335405288725751,NO
211,559,0.08599026188157159,NO
212,381,0.13094547567035,NO
213,202,0.096918663373471,NO
214,24,0.023330955269279797,NO
215,24,0.023330955269279797,NO
216,27,0.024287881806624032,NO
217,73,0.023816968198382825,NO
218,56,0.023295471779287192,NO
219,30,0.0258379750453344,NO
220,294,0.059892166562629565,NO
221,983,1.1982402332509032E-65,NO
222,262,0.056099636373728126,NO
223,626,0.06576515663617674,NO
224,37,0.02596259449569013,NO
225,35,0.025514922996920975,NO
226,286,4.644503471713055E-9,NO
227,232,3.735167130648731E-4,NO
228,203,0.017539662171017753,NO
229,286,1.9901291295499518E-8,NO
230,425,0.11745733741967973,NO
231,249,0.042826856257684495,NO
232,74,0.024610853019890456,NO
233,69,0.026959307930489406,NO
234,260,0.0037027653957609767,NO
235,237,0.04137715206213463,NO
236,214,0.03995705638483421,NO
237,99,0.032507436771646435,NO
238,191,0.02476267964461676,NO
239,471,0.019523373447057207,NO
240,95,0.03330535261339812,NO
241,549,0.020779281368245854,NO
242,136,0.03642105609190051,NO
243,40,0.022893982676401768,NO
244,86,0.029477760504941906,NO
245,105,0.02815859544462655,NO
246,79,0.024783100621144093,NO
247,85,0.025028359933808843,NO
248,72,0.02707721636353664,NO
249,111,0.05854797057584553,NO
250,53,0.06166615150727394,NO
251,52,0.02317434548618203,NO
