ID,Size,Predicted %,Actual value
0,45,0.007400255393633993,YES
1,79,0.0073991921017546435,YES
2,67,0.007379357682036524,NO
3,45,0.007211750063509528,YES
4,28,0.007299359440566831,NO
5,28,0.007299359440566831,NO
6,564,0.6834317913640342,YES
7,1492,1.0,NO
8,174,0.0179322640755965,NO
9,25,0.007299359440566831,NO
10,39,0.00722764149947765,NO
11,47,0.0077620822304969,NO
12,184,0.009280772037839786,NO
13,30,0.007646613242370088,NO
14,221,0.01321340952958417,YES
15,50,0.008086344064654994,NO
16,101,0.009174293953053417,NO
17,41,0.00722764149947765,NO
18,250,0.014346513913354394,NO
19,227,0.011587143454769449,NO
20,363,0.030896877713329957,NO
21,408,0.9995214674766121,NO
22,145,0.008857070005057085,NO
23,49,0.00792110156253503,NO
24,85,0.007435271684320325,NO
25,64,0.007187608975119134,NO
26,42,0.00722764149947765,NO
27,36,0.00724751748794012,NO
28,37,0.007436950726453397,NO
29,83,0.007226306092876464,NO
30,32,0.007461463502843116,NO
31,26,0.007299359440566831,NO
32,883,0.9983710512616306,YES
33,421,0.2639918406131286,NO
34,213,0.012196121603289683,YES
35,24,0.0073314102369187156,NO
36,24,0.0073314102369187156,NO
37,27,0.007490137483619024,NO
38,259,0.012674075077271925,NO
39,30,0.007646613242370088,NO
40,428,0.055174982071362504,NO
41,981,0.9952703462181718,NO
42,126,0.06243118560707771,NO
43,562,0.15152142938406427,NO
44,226,0.09419117560607236,NO
45,37,0.007621496873440847,NO
46,35,0.007621496873440847,NO
47,283,0.001164673314766213,NO
48,316,0.003116025366188744,NO
49,204,0.009895073797898616,NO
50,133,0.009368919760396785,NO
51,298,0.010893724775769895,NO
52,336,0.0011447529152166884,NO
53,701,0.9438276472546095,NO
54,301,0.020173465073276498,NO
55,76,0.0072107136599080775,NO
56,69,0.055105184579625856,NO
57,266,0.01419103152429193,NO
58,253,0.012906906946199424,NO
59,217,0.011573357702543578,NO
60,100,0.008545019904952161,NO
61,191,0.011665348926474568,NO
62,476,0.0843856297551621,NO
63,95,0.008912948247036333,NO
64,551,0.148049872425089,NO
65,136,0.009450620910513323,NO
66,33,0.007461463502843116,NO
67,496,0.9999999996661653,YES
68,156,0.9908667305169557,NO
69,113,0.0076438819093290755,NO
70,34,0.007436950726453397,NO
71,39,0.007600603115703087,NO
72,36,0.007436950726453397,NO
73,288,0.11108433682895681,YES
74,75,0.007582808435642078,NO
75,57,0.007187756552776817,NO
76,124,0.008646211222323523,NO
77,59,0.007187756552776817,NO
78,32,0.00727141045162038,NO
79,25,0.007299359440566831,NO
80,53,0.007191823791407057,YES
81,53,0.008235266677307422,NO
82,88,0.007971742806659523,YES
83,107,0.007786875868415895,NO
84,134,0.015162482093897684,YES
85,169,0.00955990820756768,NO
86,94,0.007673630709022249,NO
87,35,0.00724751748794012,NO
88,695,0.9285225434595511,NO
89,162,0.01080070685729701,NO
90,39,0.008117566298698664,NO
91,79,0.0072107136599080775,NO
92,85,0.007245880901977753,NO
93,110,0.008146497341706652,NO
94,122,0.007551096374399007,YES
95,53,0.007379812147566513,NO
96,52,0.007191823791407057,NO
97,177,0.009629725323487527,YES
98,533,0.09131851960405928,YES
99,183,0.010776829531354644,YES
100,215,0.012301229529822152,NO
101,76,0.009275799536974976,NO
102,563,0.18429201169679102,YES
103,257,0.014231998875915574,NO
104,55,0.007191823791407057,NO
105,102,0.0075572162864080685,NO
106,403,0.037407849818684065,NO
107,35,0.007436950726453397,NO
108,145,0.008293405669171763,YES
109,119,0.007693869725995594,NO
110,108,0.009161969658770744,NO
111,91,0.007269470014475123,YES
112,69,0.007191380818753632,NO
113,80,0.007415189056008328,NO
114,63,0.007187608975119134,NO
115,160,0.008769398377692637,YES
116,102,0.007364742386144845,YES
117,54,0.007379812147566513,NO
118,267,0.01651438963466274,NO
119,55,0.007379812147566513,NO
120,46,0.007400255393633993,NO
121,226,0.012230278312370583,NO
122,54,0.007912313641479237,NO
123,270,0.015546873199350197,NO
124,74,0.007920289023454588,NO
125,359,0.02671295387361295,NO
126,78,0.007582808435642078,NO
127,180,0.01118361123991225,NO
128,57,0.008522566926299012,NO
129,50,0.007388013042783557,NO
130,243,0.013529540944873695,NO
131,254,0.014120784678831487,NO
132,306,0.020966229226999512,NO
133,139,0.010110401724073948,NO
134,372,0.033280293802851336,NO
135,75,0.007760967356692558,NO
136,222,0.01321340952958417,NO
137,572,1.0,NO
138,38,0.031982341038964746,NO
139,348,0.9999999999975228,NO
140,121,0.414066812393967,NO
141,62,0.05079654405584645,NO
142,52,0.04213760977382716,NO
143,158,0.9019924205693206,NO
144,778,1.0,NO
145,199,0.9967412722204004,NO
146,115,0.33579144289010776,NO
147,52,0.04213760977382716,NO
148,88,0.1256709497359255,NO
149,61,0.007736113279004169,NO
150,98,0.00713297577582462,NO
151,28,0.007299359440566831,NO
152,55,0.007191823791407057,NO
153,195,0.011391041797738756,NO
154,28,0.007299359440566831,NO
155,50,0.00719981729780518,NO
156,55,0.007740647230647343,NO
157,542,1.0,NO
158,130,0.008615108043031318,NO
159,87,0.007245880901977753,NO
160,65,0.007907679940499011,NO
161,140,0.008212675549568033,NO
162,134,0.007738070541491125,NO
163,117,0.007693869725995594,NO
164,28,0.007299359440566831,NO
165,57,0.007375639384481116,NO
166,60,0.007187756552776817,YES
167,62,0.007187608975119134,NO
168,89,0.007269470014475123,NO
169,60,0.007187756552776817,NO
170,68,0.006999152783306261,NO
171,522,0.1418820729361797,NO
172,43,0.007211750063509528,NO
173,247,0.011472708411712043,NO
174,35,0.00724751748794012,NO
175,42,0.007416559107034463,NO
176,57,0.007187756552776817,NO
177,125,0.009021054894800724,NO
178,61,0.007187608975119134,NO
179,92,0.007269470014475123,NO
180,92,0.007459472729534921,NO
181,80,0.007226306092876464,NO
182,101,0.00713297577582462,NO
183,59,0.00699562471255157,NO
184,84,0.007052206409030133,NO
185,81,0.007226306092876464,NO
186,173,0.00949987532948833,NO
187,193,0.9939430706566387,NO
188,54,0.03930583242935808,NO
189,94,0.1549023604203386,NO
190,69,0.06024260440054256,NO
191,69,0.061357120619059596,NO
192,62,0.05079654405584645,NO
193,59,0.04779270591836389,NO
194,85,0.10643880420725174,NO
195,106,0.24487638173404458,NO
196,65,0.055897563195611864,NO
197,182,0.9861292459510259,NO
198,145,0.7688492468548758,NO
199,128,0.9589931533296024,NO
200,63,0.04635350006797483,NO
201,159,0.010688286964729366,NO
202,99,0.008689635399209769,NO
203,73,0.008393893155369998,NO
204,74,0.008393893155369998,NO
205,330,0.019237261372016173,NO
206,81,0.007415189056008328,NO
207,66,0.007191380818753632,NO
208,245,0.011512468167913889,NO
209,91,0.007459472729534921,NO
210,57,0.007187756552776817,NO
211,85,0.007245880901977753,NO
212,94,0.007297111977797109,NO
213,54,0.007191823791407057,NO
214,75,0.0072107136599080775,NO
215,137,0.007738070541491125,NO
216,133,0.007871475704404003,NO
217,79,0.0073991921017546435,NO
218,76,0.0072107136599080775,NO
219,81,0.007226306092876464,NO
220,99,0.007706995814488389,NO
221,115,0.007449217299656456,NO
222,180,0.009145626467586968,NO
223,118,0.007497941709127811,NO
