ID,Size,Predicted %,Actual value
0,45,0.0016881933498397229,YES
1,28,0.0016671570402548486,NO
2,28,0.0016671570402548486,NO
3,449,0.012757957491191711,YES
4,1470,1.0,YES
5,25,0.0016616382503087483,NO
6,39,0.0016804259001850406,NO
7,47,0.0019140821688023635,NO
8,30,0.0018902364240385562,NO
9,215,0.0032509634286273757,YES
10,50,0.002049136381806117,NO
11,82,0.0020693342468775513,NO
12,41,0.0017594911883239174,NO
13,245,0.0038046993603802993,NO
14,227,0.003274777073851891,NO
15,363,0.007072846486559876,NO
16,407,0.0073287534322233295,NO
17,145,0.0024478839254466643,NO
18,49,0.0019895473450320163,NO
19,85,0.0019424091462015615,NO
20,64,0.0018083232324103112,NO
21,36,0.0016734168608885938,NO
22,37,0.0018270551188537885,NO
23,83,0.0017790879818427533,NO
24,32,0.0018202216250182252,NO
25,26,0.0017398211060942518,NO
26,834,0.5773614350284578,YES
27,365,0.006376962469703023,NO
28,206,0.003233303522315322,YES
29,24,0.0017398211060942518,NO
30,24,0.0017398211060942518,NO
31,27,0.0017398211060942518,NO
32,260,0.0014706009377567454,NO
33,30,0.0018902364240385562,NO
34,428,0.011326842687797302,NO
35,972,6.505066571797553E-4,NO
36,123,0.002438816105970875,NO
37,562,0.008185623030489144,NO
38,205,0.003178971703138934,NO
39,37,0.001897332268494025,NO
40,35,0.0018270551188537885,NO
41,276,2.4475578970280657E-6,NO
42,316,1.5584093219252476E-5,NO
43,204,0.00278613572350472,NO
44,133,0.0025986504802983246,NO
45,285,2.5739371330467058E-6,NO
46,336,9.309826578634837E-7,NO
47,464,0.015222161596607704,YES
48,294,0.004820774410551936,YES
49,76,0.0018337685991114637,NO
50,69,0.001971448506119673,NO
51,266,0.0017946019927592017,NO
52,247,0.0034671442885724686,NO
53,217,0.003224967438880818,NO
54,99,0.00226363837668048,YES
55,191,0.002577071658081953,NO
56,476,0.013287888817461173,NO
57,95,0.0023610746918012082,NO
58,550,0.007890573392751598,YES
59,136,0.002575520042068728,NO
60,33,0.0017521529473152957,NO
61,464,0.026180880748299024,YES
62,140,0.0021839556106075697,NO
63,111,0.0019520503309595825,NO
64,34,0.0018270551188537885,NO
65,39,0.0019052773786000091,NO
66,36,0.0018270551188537885,NO
67,257,0.0073802271912802786,YES
68,61,0.001873708168695142,NO
69,57,0.0017060453880202897,NO
70,124,0.0023874742289398186,NO
71,59,0.001716153570245961,NO
72,32,0.0016671570402548486,NO
73,25,0.0017398211060942518,NO
74,53,0.0017060453880202897,NO
75,53,0.0021133798529291074,NO
76,88,0.0021038883169484665,YES
77,107,0.002014775919829629,NO
78,133,0.0023849367092721365,YES
79,169,0.002700074105906393,NO
80,80,0.0019268057238535203,NO
81,29,0.0016671570402548486,NO
82,588,0.022455551292046662,NO
83,162,0.0026799423100263356,NO
84,39,0.0020294535343525987,NO
85,79,0.0018478217347984906,NO
86,85,0.0018627867324438638,NO
87,110,0.002186030157049109,NO
88,111,0.0019520503309595825,NO
