ID,Size,Predicted %,Actual value
0,28,0.0,NO
1,28,0.0,NO
2,449,0.18,NO
3,1339,0.21230952380952378,NO
4,25,0.0,NO
5,50,0.0,NO
6,76,0.0,NO
7,38,0.0,NO
8,178,0.14,NO
9,326,0.135,NO
10,370,0.655,YES
11,145,0.6266666666666668,NO
12,49,0.01,NO
13,85,0.0,NO
14,64,0.01,NO
15,36,0.0,NO
16,36,0.0,NO
17,32,0.0,NO
18,26,0.0,NO
19,543,0.69,YES
20,395,0.4566666666666667,NO
21,209,0.15,NO
22,24,0.0,NO
23,24,0.0,NO
24,27,0.0,NO
25,73,0.7548333333333334,NO
26,56,0.0,NO
27,30,0.01,NO
28,294,0.28,NO
29,983,0.018666666666666668,NO
30,262,0.54,NO
31,626,0.1565,NO
32,37,0.0,NO
33,35,0.0,NO
34,286,0.0,NO
35,232,0.0,NO
36,203,0.0,YES
37,286,0.04,NO
38,425,0.0,NO
39,249,0.14,NO
40,74,0.0,NO
41,69,0.0,NO
42,247,0.0275,YES
43,237,0.03,NO
44,214,0.12,NO
45,99,0.0,NO
46,191,0.0,NO
47,464,0.95,YES
48,95,0.0,NO
49,549,0.01,NO
50,136,0.0,NO
51,40,0.17026767676767676,NO
52,86,0.0,NO
53,105,0.01,NO
54,79,0.0,NO
55,85,0.0,NO
56,72,0.02,NO
57,105,0.09,NO
58,52,0.0,NO
59,151,0.15700000000000003,NO
60,264,0.4,NO
61,183,0.41,NO
62,195,0.19099999999999998,NO
63,76,0.0,NO
64,250,0.47,NO
65,237,0.29,NO
66,55,0.0,NO
67,102,0.17,NO
68,389,0.405,NO
69,35,0.0,NO
70,130,0.365,YES
71,114,0.0,YES
72,71,0.0,NO
73,54,0.0,NO
74,267,0.5683333333333334,NO
75,55,0.0,NO
76,46,0.24145238095238095,NO
77,226,0.3725,NO
78,54,0.0,NO
79,266,0.4,NO
80,74,0.0,NO
81,359,0.11166666666666666,NO
82,78,0.0,NO
83,181,0.14,NO
84,57,0.0,NO
85,50,0.0,NO
86,243,0.19166666666666665,NO
87,253,0.14,NO
88,306,0.4508333333333333,NO
89,139,0.15,NO
90,375,0.47,NO
91,75,0.0,NO
92,222,0.37016666666666664,NO
93,28,0.0,NO
94,55,0.0,NO
95,154,0.20916666666666664,NO
96,25,0.0,NO
97,50,0.0,NO
98,41,0.030095238095238095,NO
99,101,0.04,NO
100,84,0.0,NO
101,51,0.0,NO
102,135,0.07159523809523811,NO
103,117,0.17683333333333334,NO
104,25,0.0,NO
105,54,0.0,NO
106,60,0.0,NO
107,62,0.0,NO
108,83,0.0,NO
109,60,0.0,NO
110,63,0.35,NO
111,452,0.18,NO
112,43,0.01,NO
113,247,0.11,NO
114,35,0.01,NO
115,42,0.0,NO
116,57,0.0,NO
117,156,0.34199999999999997,NO
118,61,0.0,NO
119,91,0.0,NO
120,93,0.15,NO
121,80,0.0,NO
122,101,0.0,NO
123,59,0.0,NO
124,84,0.0,NO
125,82,0.0,NO
126,132,0.06892857142857142,NO
127,76,0.0,NO
128,33,0.0,NO
129,430,0.48,NO
130,153,0.36366666666666664,NO
131,122,0.17933333333333334,NO
132,75,0.0,NO
133,60,0.0,NO
134,34,0.0,NO
135,39,0.0,NO
136,36,0.0,NO
137,79,0.0,NO
138,28,0.0,NO
139,438,0.24,YES
140,194,0.0,NO
141,99,0.01,NO
142,55,0.0,NO
143,43,0.0,NO
144,27,0.0,NO
145,25,0.0,NO
146,53,0.0,NO
147,108,0.8816666666666667,NO
148,103,0.01,NO
149,85,0.0,NO
150,54,0.0,NO
151,79,0.01,NO
152,137,0.12333333333333334,NO
153,99,0.32,NO
154,79,0.0,NO
155,78,0.1065,NO
156,101,0.02,NO
157,177,0.0,NO
158,123,0.025,NO
159,88,0.0,NO
160,51,0.0,NO
161,119,0.03,NO
162,132,0.11,NO
163,169,0.02,NO
