ID,Size,Predicted %,Actual value
0,40,0.7114808531166117,YES
1,28,0.0,NO
2,28,0.0,NO
3,449,0.7986781551781551,YES
4,1470,0.49200000000000005,NO
5,25,0.0,NO
6,39,0.243666918908405,NO
7,50,0.0,NO
8,82,0.0,NO
9,41,0.011929824561403507,NO
10,245,0.46488455988455984,NO
11,227,0.93875,NO
12,363,0.4321212121212122,NO
13,407,0.29,NO
14,145,0.8786836936862512,NO
15,49,0.0,NO
16,85,0.0,NO
17,64,0.0,NO
18,36,0.007647058823529411,NO
19,37,0.0,NO
20,83,0.3,NO
21,32,0.0,NO
22,26,0.0,NO
23,686,0.6175,YES
24,398,0.5314880952380953,NO
25,206,0.68,YES
26,24,0.0,NO
27,24,0.0,NO
28,27,0.0,NO
29,30,0.01,NO
30,428,0.38766666666666666,NO
31,972,0.01,NO
32,123,0.042666666666666665,NO
33,562,0.0,NO
34,205,0.02,NO
35,37,0.0,NO
36,35,0.0,NO
37,276,0.0,NO
38,316,0.0,NO
39,204,0.716083277833278,NO
40,133,0.314,NO
41,285,0.0,NO
42,336,0.0,NO
43,464,0.5121428571428571,NO
44,294,0.08,NO
45,76,0.06837662337662338,NO
46,69,0.0,NO
47,266,0.4365909090909091,NO
48,247,0.6074242424242424,NO
49,217,0.27,NO
50,99,0.0,NO
51,191,0.01,NO
52,476,0.87,NO
53,95,0.0,NO
54,550,0.01,NO
55,136,0.01,NO
56,33,0.0,NO
57,483,0.96,YES
58,140,0.77,NO
59,111,0.5604166944166942,NO
60,34,0.0,NO
61,39,0.0,NO
62,36,0.0,NO
63,210,0.1285714285714286,YES
64,111,0.2142222222222222,NO
65,57,0.0,NO
66,43,0.0,NO
67,27,0.0,NO
68,25,0.0,NO
69,53,0.0,NO
70,88,1.0,YES
71,107,0.06791666666666667,NO
72,132,0.9045705128205128,YES
73,169,0.0275,NO
74,80,0.0,NO
75,29,0.0,NO
76,430,0.39951515151515155,NO
77,162,0.03,NO
78,39,0.0,NO
79,79,0.0,NO
80,85,0.0,NO
81,110,0.42424999999999996,NO
82,111,0.06,NO
83,53,0.0,NO
84,52,0.0,NO
85,154,0.1,NO
86,403,0.18,NO
87,183,0.08,NO
88,215,0.4903928571428572,NO
89,76,0.0,NO
90,554,0.39799999999999996,YES
91,257,0.01,NO
92,55,0.0,NO
93,102,0.09,NO
94,403,0.09,NO
95,35,0.0,NO
96,145,1.0,YES
97,119,0.386031746031746,NO
98,108,0.187,NO
99,91,0.28,YES
100,69,1.0,NO
101,80,0.04,NO
102,63,0.02,NO
103,160,0.14,YES
104,98,0.6737059884559885,YES
105,54,0.0,NO
106,267,0.10732142857142858,NO
107,55,0.0,NO
108,46,0.029166666666666664,NO
109,226,0.09875,NO
110,54,0.0,NO
111,270,0.68,NO
112,74,0.0,NO
113,359,0.07607142857142858,NO
114,78,0.0,NO
115,180,0.09,NO
116,57,0.0,NO
117,50,0.0,NO
118,243,0.389031746031746,NO
119,254,0.0,NO
120,306,0.11242424242424243,NO
121,139,0.12,NO
122,375,0.1790909090909091,NO
123,75,0.0,NO
124,222,0.06675,NO
125,61,0.0,NO
126,98,0.37255988455988454,NO
127,28,0.0,NO
128,55,0.0,NO
129,194,0.09,NO
130,28,0.0,NO
131,50,0.0,NO
132,55,0.0,NO
133,124,0.45,NO
134,87,0.0,NO
135,65,0.01,NO
136,144,0.8225518255543832,NO
137,134,0.12,NO
138,117,0.225,NO
139,28,0.0,NO
140,57,0.0,NO
141,60,0.0,NO
142,62,0.0,NO
143,89,0.0,NO
144,60,0.0,NO
145,68,0.75,NO
146,522,0.2946666666666667,NO
147,43,0.0,NO
148,247,0.04,NO
149,35,0.007647058823529411,NO
150,42,0.0,NO
151,57,0.0,NO
152,117,0.24,NO
153,61,0.0,NO
154,92,0.006666666666666665,NO
155,93,0.01,NO
156,80,0.0,NO
157,101,0.009142857142857144,NO
158,59,0.0,NO
159,84,0.0,NO
160,82,0.0,NO
161,172,0.1776470588235294,NO
162,143,0.2828386809269163,NO
163,78,0.0,NO
164,66,0.0,NO
165,66,0.0,NO
166,85,0.0,NO
167,54,0.0,NO
168,77,0.0175,NO
169,137,0.1552142857142857,NO
170,130,0.7804108946608946,NO
171,79,0.0,NO
172,76,0.0,NO
173,81,0.0,NO
174,98,0.008888888888888889,NO
175,115,0.5371428571428571,NO
176,180,0.027999999999999997,NO
177,118,0.24,NO
178,64,0.0,NO
179,95,0.055456043956043956,NO
180,88,0.01,NO
181,51,0.0,NO
182,120,0.09266666666666666,NO
