ID,Size,Predicted %,Actual value
0,28,0.0,NO
1,28,0.0,NO
2,449,0.43,NO
3,1339,0.39955555555555555,NO
4,25,0.0,NO
5,50,0.0,NO
6,76,0.0,NO
7,38,0.0025,NO
8,178,0.13,NO
9,326,0.31,NO
10,370,0.89,YES
11,145,0.7398769841269842,NO
12,49,0.03,NO
13,85,0.0,NO
14,64,0.01,NO
15,36,0.0,NO
16,36,0.0,NO
17,32,0.01,NO
18,26,0.0,NO
19,543,0.8683333333333333,YES
20,395,0.4313333333333334,NO
21,209,0.05,NO
22,24,0.0,NO
23,24,0.0,NO
24,27,0.0,NO
25,73,1.0,NO
26,56,0.0,NO
27,30,0.04,NO
28,294,0.44,NO
29,983,0.035,NO
30,262,0.36,NO
31,626,0.43450000000000005,NO
32,37,0.0,NO
33,35,0.0,NO
34,286,0.0,NO
35,232,0.02166666666666666,NO
36,203,0.0,YES
37,286,0.01,NO
38,425,0.0,NO
39,249,0.07,NO
40,74,0.01,NO
41,69,0.0,NO
42,247,0.11833333333333332,YES
43,237,0.05,NO
44,214,0.14,NO
45,99,0.01,NO
46,191,0.0,NO
47,464,1.0,YES
48,95,0.0,NO
49,549,0.0,NO
50,136,0.01,NO
51,40,0.17343803418803422,NO
52,86,0.0,NO
53,105,0.15,NO
54,79,0.0,NO
55,85,0.0,NO
56,72,0.01,NO
57,105,0.36,NO
58,52,0.0,NO
59,151,0.44878571428571434,NO
60,264,0.51,NO
61,183,0.84,NO
62,195,0.31983333333333336,NO
63,76,0.0,NO
64,250,0.51,NO
65,237,0.83,NO
66,55,0.0,NO
67,102,0.43,NO
68,389,0.58,NO
69,35,0.0,NO
70,130,0.095,YES
71,114,0.05,YES
72,71,0.0,NO
73,54,0.0,NO
74,267,0.9433333333333332,NO
75,55,0.0,NO
76,46,0.16166666666666668,NO
77,226,0.88,NO
78,54,0.0,NO
79,266,0.79,NO
80,74,0.0,NO
81,359,0.135,NO
82,78,0.0,NO
83,181,0.91,NO
84,57,0.01,NO
85,50,0.0,NO
86,243,0.22916666666666669,NO
87,253,0.49,NO
88,306,0.48766666666666664,NO
89,139,0.5975,NO
90,375,0.65,NO
91,75,0.0,NO
92,222,0.75,NO
93,28,0.0,NO
94,55,0.0,NO
95,154,0.06,NO
96,25,0.0,NO
97,50,0.02,NO
98,41,0.17,NO
99,101,0.05,NO
100,84,0.0,NO
101,51,0.0,NO
102,135,0.8334999999999999,NO
103,117,0.8595,NO
104,25,0.0,NO
105,54,0.0,NO
106,60,0.0,NO
107,62,0.03,NO
108,83,0.19,NO
109,60,0.0,NO
110,63,0.67,NO
111,452,0.38,NO
112,43,0.01,NO
113,247,0.08,NO
114,35,0.0,NO
115,42,0.05,NO
116,57,0.0,NO
117,156,0.858,NO
118,61,0.01,NO
119,91,0.0,NO
120,93,0.57,NO
121,80,0.0,NO
122,101,0.03,NO
123,59,0.0,NO
124,84,0.0,NO
125,82,0.14,NO
126,132,0.7007857142857143,NO
127,76,0.01,NO
128,33,0.01,NO
129,430,0.25,NO
130,153,0.4407857142857142,NO
131,122,0.6108333333333333,NO
132,75,0.0,NO
133,60,0.0,NO
134,34,0.0,NO
135,39,0.0,NO
136,36,0.0,NO
137,79,0.0,NO
138,28,0.0,NO
139,438,0.33,YES
140,194,0.01,NO
141,99,0.08,NO
142,55,0.0,NO
143,43,0.0,NO
144,27,0.0,NO
145,25,0.0,NO
146,53,0.0,NO
147,108,1.0,NO
148,103,0.36,NO
149,85,0.0,NO
150,54,0.0,NO
151,79,0.24,NO
152,137,0.07,NO
153,99,0.5,NO
154,79,0.06,NO
155,78,0.2231825396825397,NO
156,101,0.05,NO
157,177,0.008333333333333333,NO
158,123,0.05,NO
159,88,0.0,NO
160,51,0.0,NO
161,119,0.0475,NO
162,132,0.05041666666666667,NO
163,169,0.12,NO
