ID,Size,Predicted %,Actual value
0,45,0.02,YES
1,79,0.009230769230769232,YES
2,67,0.0,NO
3,45,0.91,YES
4,28,0.0,NO
5,28,0.0,NO
6,564,0.032443438914027144,YES
7,1491,0.49,YES
8,173,0.0,NO
9,25,0.0,NO
10,39,0.4857532502805521,NO
11,47,0.02,NO
12,184,0.0,NO
13,30,0.0,NO
14,221,0.0,YES
15,50,0.0,NO
16,101,0.06647058823529411,NO
17,41,0.0,NO
18,250,0.26731303959271807,NO
19,227,0.06,NO
20,363,0.0,NO
21,407,0.0,YES
22,145,0.7291495996643894,NO
23,49,0.0,NO
24,85,0.0,NO
25,64,0.0,NO
26,42,0.0,NO
27,36,0.0,NO
28,37,0.0,NO
29,83,0.0,NO
30,32,0.0,NO
31,26,0.0,NO
32,883,0.17,YES
33,413,0.21,YES
34,213,0.39455171823360674,YES
35,24,0.0,NO
36,24,0.0,NO
37,27,0.0,NO
38,259,1.0,NO
39,30,0.0,NO
40,428,0.0,NO
41,979,0.0,YES
42,123,0.009310344827586206,YES
43,562,0.0,NO
44,205,0.025333333333333333,YES
45,37,0.0,NO
46,35,0.0,NO
47,283,0.0,NO
48,316,0.0,NO
49,204,0.013803921568627453,NO
50,133,0.0,NO
51,285,0.0,YES
52,336,0.0,NO
53,701,0.323861043768595,YES
54,301,0.0,NO
55,76,0.0,NO
56,69,0.0,YES
57,266,0.01,NO
58,253,0.0,NO
59,217,0.0,NO
60,100,0.09880775833031322,NO
61,191,0.0,NO
62,476,0.0,NO
63,95,0.0,NO
64,551,0.7845879060938881,NO
65,136,0.0,NO
66,33,0.0,NO
67,491,0.88,YES
68,143,0.0,YES
69,113,0.9242261056534816,NO
70,34,0.0,NO
71,39,0.0,NO
72,36,0.0,NO
73,277,0.99,YES
74,75,0.0,NO
75,57,0.0,NO
76,124,0.0,NO
77,59,0.0,NO
78,32,0.0,NO
79,25,0.0,NO
80,53,0.0,NO
81,53,0.0,NO
82,88,0.0,YES
83,107,0.0,NO
84,133,0.13,YES
85,169,0.0,NO
86,94,0.0,NO
87,35,0.0,NO
88,689,0.09,YES
89,162,0.01,NO
90,39,0.0,NO
91,79,0.0,NO
92,85,0.0,NO
93,110,0.0,NO
94,122,0.3384615384615385,YES
95,53,0.0,NO
96,52,0.0,NO
97,177,0.27,YES
98,533,0.34,NO
99,183,0.0,YES
100,215,0.008461538461538461,NO
101,76,0.0,NO
102,563,0.25,YES
103,257,0.0,NO
104,55,0.0,NO
105,102,0.0,NO
106,403,0.06,NO
107,35,0.0,NO
108,145,0.0,YES
109,119,0.0,NO
110,108,0.20716642754662842,NO
111,91,0.0,YES
112,69,0.9070910111760354,NO
113,80,0.813448658797343,NO
114,63,0.0,NO
115,160,0.0,YES
116,102,0.0,YES
117,54,0.0,NO
118,267,0.0,NO
119,55,0.0,NO
120,46,0.0,NO
121,226,0.0,NO
122,54,0.0,NO
123,270,0.15,NO
124,74,0.0,NO
125,359,0.0,NO
126,78,0.0,NO
127,180,0.01,NO
128,57,0.0,NO
129,50,0.0,NO
130,243,0.0,NO
131,254,0.0,NO
132,306,0.0,NO
133,139,0.0,NO
134,372,0.16,NO
135,75,0.0,NO
136,222,0.0,NO
137,61,0.0,NO
138,98,0.027644444444444444,NO
139,28,0.0,NO
140,55,0.0,NO
141,195,0.018571428571428572,NO
142,28,0.0,NO
143,50,0.0,NO
144,55,0.0,NO
145,130,0.18338955886271077,NO
146,87,0.0,NO
147,65,0.0,NO
148,140,0.5444738289321661,NO
149,134,0.0,NO
150,117,0.0,NO
151,28,0.0,NO
152,57,0.0,NO
153,60,0.0,NO
154,62,0.0,NO
155,89,0.0,NO
156,60,0.0,NO
157,68,0.0,NO
158,522,0.7006146010522626,NO
159,43,0.0,NO
160,247,0.0,NO
161,35,0.0,NO
162,42,0.0,NO
163,57,0.0,NO
164,125,0.30716748768472907,NO
165,61,0.0,NO
166,92,0.0,NO
167,92,0.0,NO
168,80,0.0,NO
169,101,0.0,NO
170,59,0.0,NO
171,84,0.0,NO
172,81,0.0,NO
173,173,0.3,NO
174,159,0.86,NO
175,99,0.42891143929448455,NO
176,73,0.0,NO
177,74,0.0,NO
178,330,1.0,NO
179,81,0.09666651404151402,NO
180,66,0.0,NO
181,245,0.018569604086845465,NO
182,91,0.0,NO
183,57,0.0,NO
184,85,0.7408787052819741,NO
185,94,0.0,NO
186,54,0.0,NO
187,75,0.0,NO
188,137,0.0,NO
189,133,0.8501966110850155,NO
190,79,0.009230769230769232,NO
191,76,0.0,NO
192,81,0.0,NO
193,99,0.005,NO
194,115,0.0,NO
195,180,0.0,NO
196,118,0.01,NO
197,132,0.14457768572635943,NO
198,94,0.39456231718443224,NO
199,88,0.0,NO
200,51,0.0,NO
201,111,0.1830967477080922,NO
