ID,Size,Predicted %,Actual value
0,215,0.004484304932735427,NO
1,271,0.004484304932735427,YES
2,458,0.004484304932735427,YES
3,137,0.004484304932735427,YES
4,357,0.004484304932735427,YES
5,1242,0.9955156950672646,YES
6,51,0.004484304932735427,NO
7,154,0.004484304932735427,YES
8,31,0.004484304932735427,NO
9,928,0.004484304932735427,NO
10,180,0.004484304932735427,NO
11,260,0.004484304932735427,YES
12,551,0.004484304932735427,YES
13,40,0.004484304932735427,NO
14,361,0.9955156950672646,YES
15,388,0.004484304932735427,YES
16,51,0.004484304932735427,NO
17,577,0.004484304932735427,NO
18,32,0.004484304932735427,NO
19,66,0.004484304932735427,NO
20,188,0.9955156950672646,YES
21,582,0.004484304932735427,NO
22,158,0.004484304932735427,YES
23,50,0.004484304932735427,NO
24,27,0.004484304932735427,NO
25,928,0.004484304932735427,YES
26,60,0.004484304932735427,NO
27,62,0.004484304932735427,NO
28,87,0.004484304932735427,NO
29,52,0.004484304932735427,NO
30,268,0.004484304932735427,NO
31,163,0.004484304932735427,NO
32,109,0.004484304932735427,NO
33,147,0.004484304932735427,NO
34,58,0.004484304932735427,NO
35,44,0.004484304932735427,NO
36,106,0.004484304932735427,NO
37,139,0.004484304932735427,NO
38,326,0.9955156950672646,NO
39,648,0.9955156950672646,NO
40,778,0.9955156950672646,YES
41,314,0.004484304932735427,YES
42,55,0.004484304932735427,NO
43,191,0.004484304932735427,NO
44,90,0.9955156950672646,NO
45,273,0.9955156950672646,NO
46,137,0.9955156950672646,NO
47,79,0.004484304932735427,NO
48,82,0.004484304932735427,NO
49,147,0.9955156950672646,NO
50,422,0.9955156950672646,NO
51,978,0.9955156950672646,YES
52,467,0.9955156950672646,YES
53,189,0.004484304932735427,NO
54,153,0.004484304932735427,NO
55,84,0.004484304932735427,YES
56,182,0.9955156950672646,NO
57,358,0.9955156950672646,NO
58,126,0.004484304932735427,NO
59,106,0.004484304932735427,NO
60,109,0.004484304932735427,NO
61,85,0.004484304932735427,NO
62,236,0.9955156950672646,NO
63,314,0.004484304932735427,YES
64,694,0.9955156950672646,YES
65,27,0.004484304932735427,NO
66,89,0.004484304932735427,NO
67,301,0.9955156950672646,YES
68,153,0.9955156950672646,NO
69,92,0.004484304932735427,NO
70,466,0.9955156950672646,NO
71,93,0.004484304932735427,NO
72,244,0.9955156950672646,NO
73,192,0.004484304932735427,NO
74,250,0.9955156950672646,YES
75,109,0.9955156950672646,NO
76,601,0.004484304932735427,NO
77,565,0.9955156950672646,YES
78,69,0.004484304932735427,NO
79,77,0.004484304932735427,NO
80,94,0.004484304932735427,NO
81,337,0.004484304932735427,NO
82,214,0.004484304932735427,NO
83,79,0.004484304932735427,NO
84,25,0.004484304932735427,NO
85,84,0.004484304932735427,NO
86,34,0.004484304932735427,NO
87,33,0.004484304932735427,NO
88,104,0.004484304932735427,NO
89,172,0.9955156950672646,NO
90,70,0.004484304932735427,NO
91,140,0.004484304932735427,NO
92,154,0.004484304932735427,YES
93,248,0.004484304932735427,NO
94,275,0.004484304932735427,YES
95,176,0.004484304932735427,NO
96,624,0.004484304932735427,YES
97,91,0.004484304932735427,YES
98,58,0.004484304932735427,YES
99,132,0.004484304932735427,NO
100,4088,0.004484304932735427,NO
101,558,0.004484304932735427,NO
102,727,0.004484304932735427,YES
103,150,0.004484304932735427,YES
104,503,0.9955156950672646,YES
105,325,0.9955156950672646,NO
106,273,0.004484304932735427,YES
107,136,0.004484304932735427,NO
108,56,0.004484304932735427,NO
109,74,0.004484304932735427,NO
110,357,0.9955156950672646,YES
111,174,0.004484304932735427,NO
112,148,0.004484304932735427,NO
113,92,0.004484304932735427,NO
114,45,0.004484304932735427,NO
115,168,0.004484304932735427,NO
116,77,0.004484304932735427,NO
117,664,0.004484304932735427,YES
118,88,0.004484304932735427,NO
119,260,0.004484304932735427,YES
120,54,0.004484304932735427,NO
121,48,0.004484304932735427,NO
122,140,0.004484304932735427,NO
123,152,0.9955156950672646,NO
124,39,0.004484304932735427,NO
125,131,0.004484304932735427,NO
126,47,0.004484304932735427,NO
127,129,0.004484304932735427,NO
128,43,0.004484304932735427,NO
129,243,0.9955156950672646,NO
130,62,0.004484304932735427,NO
131,45,0.004484304932735427,NO
132,94,0.004484304932735427,YES
133,72,0.004484304932735427,NO
134,42,0.004484304932735427,NO
135,48,0.004484304932735427,NO
136,89,0.9955156950672646,NO
137,380,0.004484304932735427,NO
138,138,0.004484304932735427,YES
139,142,0.004484304932735427,YES
140,191,0.004484304932735427,NO
141,46,0.004484304932735427,NO
142,165,0.004484304932735427,NO
143,171,0.9955156950672646,NO
144,56,0.004484304932735427,NO
145,179,0.004484304932735427,NO
146,74,0.004484304932735427,NO
147,36,0.004484304932735427,NO
148,37,0.004484304932735427,NO
149,34,0.004484304932735427,NO
150,34,0.004484304932735427,NO
151,38,0.004484304932735427,NO
152,39,0.004484304932735427,NO
153,156,0.004484304932735427,NO
154,84,0.004484304932735427,NO
155,117,0.004484304932735427,NO
156,94,0.9955156950672646,NO
157,71,0.004484304932735427,NO
158,183,0.004484304932735427,NO
159,85,0.004484304932735427,NO
160,183,0.9955156950672646,NO
161,70,0.004484304932735427,NO
162,54,0.004484304932735427,NO
163,160,0.9955156950672646,NO
164,125,0.9955156950672646,NO
165,151,0.9955156950672646,NO
166,421,0.9955156950672646,YES
167,219,0.9955156950672646,YES
168,50,0.0022522522522522527,NO
169,42,0.004484304932735427,NO
170,624,0.004484304932735427,NO
171,377,0.9955156950672646,NO
172,383,0.9955156950672646,NO
173,72,0.004484304932735427,NO
174,92,0.004484304932735427,NO
175,284,0.9955156950672646,YES
176,371,0.004484304932735427,NO
177,47,0.004484304932735427,NO
178,108,0.9955156950672646,NO
179,111,0.004484304932735427,NO
180,319,0.9955156950672646,NO
181,129,0.004484304932735427,NO
182,49,0.004484304932735427,NO
183,358,0.9955156950672646,NO
184,277,0.9955156950672646,NO
185,49,0.004484304932735427,NO
186,89,0.004484304932735427,NO
187,41,0.004484304932735427,NO
188,66,0.004484304932735427,NO
189,63,0.004484304932735427,NO
190,24,0.004484304932735427,NO
191,50,0.004484304932735427,NO
192,72,0.004484304932735427,NO
193,47,0.004484304932735427,NO
194,47,0.004484304932735427,NO
195,183,0.004484304932735427,NO
196,49,0.004484304932735427,NO
197,50,0.004484304932735427,NO
198,98,0.004484304932735427,NO
199,143,0.004484304932735427,NO
200,43,0.004484304932735427,NO
201,42,0.004484304932735427,NO
202,56,0.004484304932735427,NO
203,44,0.004484304932735427,NO
204,26,0.004484304932735427,NO
205,254,0.9955156950672646,NO
206,16883,0.004484304932735427,NO
207,74,0.004484304932735427,NO
208,153,0.004484304932735427,NO
209,68,0.004484304932735427,NO
210,100,0.004484304932735427,NO
211,549,0.004484304932735427,YES
212,437,0.004484304932735427,NO
213,1033,0.9955156950672646,YES
214,101,0.004484304932735427,YES
215,331,0.9955156950672646,YES
216,123,0.004484304932735427,NO
217,106,0.004484304932735427,NO
218,106,0.004484304932735427,NO
