ID,Size,Predicted %,Actual value
0,215,0.9996554100620263,NO
1,273,0.9991394148020655,YES
2,460,0.9982817869415808,YES
3,138,8.605851979345956E-4,NO
4,358,8.605851979345956E-4,NO
5,1248,4.306632213608958E-4,YES
6,51,0.0017182130584192442,NO
7,157,0.0017182130584192442,NO
8,31,0.0017182130584192442,NO
9,981,0.9991394148020655,YES
10,180,0.9995693367786392,NO
11,262,0.0017182130584192442,NO
12,553,0.9991394148020655,YES
13,40,0.0017182130584192442,NO
14,369,0.9982817869415808,NO
15,390,8.605851979345956E-4,NO
16,51,0.0017182130584192442,NO
17,577,0.9991394148020655,YES
18,32,0.9991394148020655,NO
19,66,8.605851979345956E-4,NO
20,188,0.0017182130584192442,YES
21,582,0.0017182130584192442,YES
22,160,8.605851979345956E-4,YES
23,50,0.0017182130584192442,NO
24,27,0.9991394148020655,NO
25,923,0.9982817869415808,YES
26,60,0.9996554100620263,NO
27,62,8.605851979345956E-4,NO
28,87,0.0017182130584192442,NO
29,52,0.0017182130584192442,NO
30,268,0.0017182130584192442,YES
31,163,0.0017182130584192442,NO
32,109,0.0017182130584192442,NO
33,147,0.0017182130584192442,NO
34,58,0.0017182130584192442,NO
35,44,0.9996554100620263,NO
36,106,0.9991394148020655,YES
37,139,8.605851979345956E-4,NO
38,326,8.605851979345956E-4,YES
39,648,0.0017182130584192442,YES
40,792,0.0017182130584192442,YES
41,319,0.9982817869415808,YES
42,55,0.0017182130584192442,NO
43,191,0.0017182130584192442,NO
44,90,0.0017182130584192442,NO
45,273,0.0017182130584192442,YES
46,137,5.74052812858783E-4,NO
47,79,0.9995693367786392,NO
48,82,8.605851979345956E-4,NO
49,147,5.74052812858783E-4,NO
50,422,0.9991394148020655,YES
51,979,0.0017182130584192442,YES
52,495,8.605851979345956E-4,YES
53,189,8.605851979345956E-4,YES
54,167,8.605851979345956E-4,YES
55,86,0.9982817869415808,NO
56,182,8.605851979345956E-4,YES
57,361,8.605851979345956E-4,YES
58,126,0.0017182130584192442,YES
59,106,0.0017182130584192442,NO
60,109,0.0017182130584192442,NO
61,85,0.0017182130584192442,NO
62,236,0.9991394148020655,NO
63,315,0.9982817869415808,YES
64,695,0.0017182130584192442,YES
65,27,0.9991394148020655,NO
66,89,8.605851979345956E-4,NO
67,301,8.605851979345956E-4,YES
68,153,0.0017182130584192442,YES
69,92,0.9996554100620263,NO
70,466,0.9991394148020655,YES
71,93,0.9996554100620263,NO
72,244,0.0017182130584192442,NO
73,192,0.9991394148020655,YES
74,252,8.605851979345956E-4,NO
75,109,0.0017182130584192442,NO
76,601,0.0017182130584192442,YES
77,565,8.605851979345956E-4,YES
78,69,8.605851979345956E-4,NO
79,77,0.0017182130584192442,NO
80,94,5.74052812858783E-4,YES
81,337,0.0017182130584192442,NO
82,214,0.9991394148020655,NO
83,79,0.0017182130584192442,NO
84,25,0.9991394148020655,NO
85,84,0.9996554100620263,NO
86,34,0.0017182130584192442,NO
87,33,0.0017182130584192442,NO
88,104,0.0017182130584192442,NO
89,172,0.9991394148020655,NO
90,70,0.0017182130584192442,NO
91,140,8.605851979345956E-4,NO
92,156,5.74052812858783E-4,NO
93,248,0.0017182130584192442,NO
94,277,8.605851979345956E-4,YES
95,189,0.0017182130584192442,NO
96,194,0.0017182130584192442,NO
97,346,8.605851979345956E-4,NO
98,304,0.9982817869415808,NO
99,356,0.9995693367786392,YES
100,84,8.605851979345956E-4,NO
101,53,0.0017182130584192442,NO
102,132,5.74052812858783E-4,NO
103,4088,0.9991394148020655,NO
104,691,0.9991394148020655,YES
105,47,0.0017182130584192442,NO
106,101,0.25021533161068044,NO
107,510,0.9995693367786392,YES
108,328,8.605851979345956E-4,YES
109,273,0.9995693367786392,YES
110,136,8.605851979345956E-4,NO
111,56,8.605851979345956E-4,NO
112,74,8.605851979345956E-4,NO
113,359,0.0017182130584192442,YES
114,174,0.0017182130584192442,NO
115,148,8.605851979345956E-4,NO
116,92,0.9995693367786392,NO
117,45,0.0017182130584192442,NO
118,168,0.0017182130584192442,NO
119,77,8.605851979345956E-4,NO
120,666,0.0017182130584192442,NO
121,88,0.9996554100620263,NO
122,262,0.0017182130584192442,NO
123,54,0.0017182130584192442,NO
124,48,0.0017182130584192442,YES
125,140,8.605851979345956E-4,YES
126,152,0.0017182130584192442,NO
127,39,5.74052812858783E-4,NO
128,131,8.605851979345956E-4,NO
129,47,0.9991394148020655,NO
130,129,0.0017182130584192442,NO
131,43,0.9991394148020655,NO
132,243,8.605851979345956E-4,YES
133,62,0.0017182130584192442,NO
134,45,8.605851979345956E-4,NO
135,97,0.9994259471871413,NO
136,476,8.605851979345956E-4,NO
137,77,0.0017182130584192442,NO
138,69,0.9991394148020655,NO
139,104,0.0017182130584192442,NO
140,115,0.0017182130584192442,NO
141,421,0.0017182130584192442,NO
142,61,0.0017182130584192442,NO
143,2009,4.306632213608958E-4,NO
144,179,0.9982817869415808,NO
145,106,0.9994259471871413,NO
146,33,4.306632213608958E-4,NO
147,657,8.605851979345956E-4,NO
148,295,0.0017182130584192442,NO
149,872,0.9991394148020655,NO
150,444,0.0017182130584192442,NO
151,168,8.605851979345956E-4,NO
152,752,8.605851979345956E-4,NO
