ID,Size,Predicted %,Actual value
0,215,8.928571428571429E-4,NO
1,273,0.9991071428571429,YES
2,460,8.928571428571429E-4,YES
3,138,0.5,NO
4,358,4.468275245755139E-4,NO
5,1154,0.9991071428571429,YES
6,51,8.928571428571429E-4,NO
7,157,4.468275245755139E-4,NO
8,31,2.2351363433169427E-4,NO
9,1009,8.928571428571429E-4,YES
10,193,8.928571428571429E-4,NO
11,83,0.9991071428571429,YES
12,262,0.5,NO
13,638,0.9991071428571429,YES
14,40,8.928571428571429E-4,NO
15,374,8.928571428571429E-4,NO
16,390,0.9991071428571429,NO
17,51,0.9991071428571429,NO
18,579,0.9991071428571429,YES
19,32,8.928571428571429E-4,NO
20,66,2.979737783075089E-4,NO
21,260,0.9991071428571429,YES
22,596,8.928571428571429E-4,NO
23,198,0.9991071428571429,NO
24,50,4.468275245755139E-4,NO
25,27,2.979737783075089E-4,NO
26,926,8.928571428571429E-4,NO
27,60,8.928571428571429E-4,NO
28,62,0.9991071428571429,NO
29,87,8.928571428571429E-4,NO
30,52,4.468275245755139E-4,NO
31,297,8.928571428571429E-4,NO
32,163,8.928571428571429E-4,NO
33,118,8.928571428571429E-4,NO
34,83,0.9991071428571429,NO
35,147,4.468275245755139E-4,NO
36,58,4.468275245755139E-4,NO
37,44,8.928571428571429E-4,NO
38,106,8.928571428571429E-4,NO
39,192,8.928571428571429E-4,NO
40,151,8.928571428571429E-4,NO
41,352,8.928571428571429E-4,YES
42,752,0.9991071428571429,YES
43,877,8.928571428571429E-4,YES
44,319,0.9991071428571429,YES
45,27,8.928571428571429E-4,NO
46,55,8.928571428571429E-4,NO
47,94,0.9991071428571429,NO
48,191,4.468275245755139E-4,NO
49,90,4.468275245755139E-4,NO
50,90,8.928571428571429E-4,NO
51,271,8.928571428571429E-4,YES
52,138,8.928571428571429E-4,NO
53,79,8.928571428571429E-4,NO
54,82,8.928571428571429E-4,NO
55,147,8.928571428571429E-4,NO
56,422,8.928571428571429E-4,YES
57,1026,0.9991071428571429,YES
58,530,8.928571428571429E-4,NO
59,189,4.468275245755139E-4,YES
60,167,8.928571428571429E-4,YES
61,86,0.9991071428571429,NO
62,195,0.9991071428571429,YES
63,374,8.928571428571429E-4,YES
64,573,8.928571428571429E-4,NO
65,126,8.928571428571429E-4,YES
66,106,8.928571428571429E-4,YES
67,109,8.928571428571429E-4,NO
68,85,4.468275245755139E-4,NO
69,237,8.928571428571429E-4,NO
70,345,8.928571428571429E-4,YES
71,47,8.928571428571429E-4,NO
72,781,0.9991071428571429,YES
73,27,2.979737783075089E-4,NO
74,89,8.928571428571429E-4,NO
75,300,8.928571428571429E-4,YES
76,166,0.9991071428571429,NO
77,92,0.9991071428571429,NO
78,497,0.9991071428571429,YES
79,93,0.9991071428571429,NO
80,244,8.928571428571429E-4,NO
81,183,0.9991071428571429,YES
82,252,8.928571428571429E-4,NO
83,109,4.468275245755139E-4,YES
84,607,8.928571428571429E-4,YES
85,565,8.928571428571429E-4,YES
86,69,2.979737783075089E-4,NO
87,77,4.468275245755139E-4,NO
88,97,0.9991071428571429,NO
89,343,8.928571428571429E-4,NO
90,214,0.9991071428571429,NO
91,79,8.928571428571429E-4,NO
92,25,2.979737783075089E-4,NO
93,84,0.9991071428571429,NO
94,34,8.928571428571429E-4,NO
95,33,4.468275245755139E-4,NO
96,104,4.468275245755139E-4,NO
97,172,8.928571428571429E-4,NO
98,70,8.928571428571429E-4,NO
99,140,8.928571428571429E-4,NO
100,156,8.928571428571429E-4,NO
101,142,8.928571428571429E-4,NO
102,152,8.928571428571429E-4,NO
103,31,8.928571428571429E-4,NO
104,60,8.928571428571429E-4,NO
105,60,8.928571428571429E-4,NO
106,876,8.928571428571429E-4,NO
107,61,8.928571428571429E-4,NO
108,185,0.9991071428571429,NO
109,264,8.928571428571429E-4,NO
110,248,4.468275245755139E-4,NO
111,286,0.9991071428571429,YES
112,185,8.928571428571429E-4,NO
113,194,8.928571428571429E-4,NO
114,346,8.928571428571429E-4,NO
115,309,8.928571428571429E-4,NO
116,363,8.928571428571429E-4,YES
117,84,4.468275245755139E-4,NO
118,53,8.928571428571429E-4,NO
119,132,8.928571428571429E-4,YES
120,4088,8.928571428571429E-4,NO
121,721,8.928571428571429E-4,YES
122,47,8.928571428571429E-4,NO
123,101,0.9991071428571429,NO
124,517,0.9991071428571429,YES
125,327,8.928571428571429E-4,YES
126,274,8.928571428571429E-4,YES
127,136,8.928571428571429E-4,YES
128,56,4.468275245755139E-4,NO
129,74,4.468275245755139E-4,YES
130,361,8.928571428571429E-4,YES
131,174,4.468275245755139E-4,NO
132,148,4.468275245755139E-4,NO
133,92,8.928571428571429E-4,NO
134,45,8.928571428571429E-4,NO
135,168,4.468275245755139E-4,NO
136,77,8.928571428571429E-4,NO
137,666,0.9991071428571429,NO
138,88,0.9991071428571429,NO
139,263,8.928571428571429E-4,NO
140,54,4.468275245755139E-4,NO
141,51,0.9991071428571429,NO
142,132,8.928571428571429E-4,NO
143,160,8.928571428571429E-4,YES
144,152,4.468275245755139E-4,NO
145,39,2.979737783075089E-4,NO
146,677,8.928571428571429E-4,NO
147,131,8.928571428571429E-4,NO
148,47,8.928571428571429E-4,NO
149,129,4.468275245755139E-4,NO
150,43,8.928571428571429E-4,NO
151,257,8.928571428571429E-4,NO
152,356,0.9991071428571429,NO
153,62,4.468275245755139E-4,NO
154,45,4.468275245755139E-4,NO
155,97,0.9991071428571429,NO
156,476,8.928571428571429E-4,NO
157,77,0.9991071428571429,NO
158,69,2.979737783075089E-4,NO
159,104,4.468275245755139E-4,NO
160,115,4.468275245755139E-4,NO
161,421,0.9991071428571429,NO
162,61,8.928571428571429E-4,NO
163,2009,0.9991071428571429,NO
164,179,0.9991071428571429,NO
165,106,0.9991071428571429,NO
166,33,8.928571428571429E-4,NO
167,657,8.928571428571429E-4,NO
168,295,8.928571428571429E-4,NO
169,872,8.928571428571429E-4,NO
170,444,4.468275245755139E-4,NO
171,168,0.9991071428571429,NO
