ID,Size,Predicted %,Actual value
0,215,0.9991055456171734,NO
1,273,0.9998208527409531,YES
2,460,0.9997014925373134,YES
3,138,0.6665671641791044,NO
4,358,0.6665671641791044,NO
5,1154,4.4762757385854974E-4,YES
6,51,8.944543828264757E-4,NO
7,157,2.239140170174653E-4,NO
8,31,1.1198208286674131E-4,NO
9,1009,2.9850746268656717E-4,YES
10,193,4.4762757385854974E-4,NO
11,83,8.944543828264757E-4,YES
12,262,0.6665671641791044,NO
13,638,0.9997014925373134,YES
14,40,8.944543828264757E-4,NO
15,374,4.4762757385854974E-4,NO
16,390,0.9997014925373134,NO
17,51,0.9997760859829826,NO
18,579,0.9998720245712824,YES
19,32,4.4762757385854974E-4,NO
20,66,2.9850746268656717E-4,NO
21,260,4.4762757385854974E-4,YES
22,596,2.9850746268656717E-4,NO
23,198,0.9997760859829826,NO
24,50,8.944543828264757E-4,NO
25,27,2.9850746268656717E-4,NO
26,926,8.944543828264757E-4,NO
27,60,2.9850746268656717E-4,NO
28,62,4.4762757385854974E-4,NO
29,87,4.4762757385854974E-4,NO
30,52,4.4762757385854974E-4,NO
31,297,0.9997014925373134,NO
32,163,2.9850746268656717E-4,NO
33,118,0.9997760859829826,NO
34,83,2.9850746268656717E-4,NO
35,147,2.239140170174653E-4,NO
36,58,8.944543828264757E-4,NO
37,44,8.944543828264757E-4,NO
38,106,8.944543828264757E-4,NO
39,192,0.9995523724261415,NO
40,151,0.9997760859829826,NO
41,352,8.944543828264757E-4,YES
42,752,0.9997760859829826,YES
43,877,8.944543828264757E-4,YES
44,319,0.9991055456171734,YES
45,27,8.944543828264757E-4,NO
46,55,8.944543828264757E-4,NO
47,94,2.9850746268656717E-4,NO
48,191,2.239140170174653E-4,NO
49,90,8.944543828264757E-4,NO
50,90,2.9850746268656717E-4,NO
51,271,8.944543828264757E-4,YES
52,138,0.9995523724261415,NO
53,79,2.9850746268656717E-4,NO
54,82,4.4762757385854974E-4,NO
55,147,8.944543828264757E-4,NO
56,422,4.4762757385854974E-4,YES
57,1026,0.9997760859829826,YES
58,530,8.944543828264757E-4,NO
59,189,2.239140170174653E-4,YES
60,167,8.944543828264757E-4,YES
61,86,0.9997760859829826,NO
62,195,0.9991055456171734,YES
63,374,4.4762757385854974E-4,YES
64,573,8.944543828264757E-4,NO
65,126,8.944543828264757E-4,YES
66,106,8.944543828264757E-4,YES
67,109,4.4762757385854974E-4,NO
68,85,4.4762757385854974E-4,NO
69,237,0.9995523724261415,NO
70,345,0.9998208527409531,YES
71,47,8.944543828264757E-4,NO
72,781,0.9995523724261415,YES
73,27,2.9850746268656717E-4,NO
74,89,2.239140170174653E-4,NO
75,300,0.9997014925373134,YES
76,166,0.9997014925373134,NO
77,92,0.9995523724261415,NO
78,497,0.9997014925373134,YES
79,93,0.9995523724261415,NO
80,244,4.4762757385854974E-4,NO
81,183,8.944543828264757E-4,YES
82,252,4.4762757385854974E-4,NO
83,109,8.944543828264757E-4,YES
84,607,8.944543828264757E-4,YES
85,565,4.4762757385854974E-4,YES
86,69,2.9850746268656717E-4,NO
87,77,8.944543828264757E-4,NO
88,97,8.944543828264757E-4,NO
89,343,0.9997760859829826,NO
90,214,0.9991055456171734,NO
91,79,8.944543828264757E-4,NO
92,25,2.9850746268656717E-4,NO
93,84,0.9997014925373134,NO
94,34,4.4762757385854974E-4,NO
95,33,8.944543828264757E-4,NO
96,104,8.944543828264757E-4,NO
97,172,4.4762757385854974E-4,NO
98,70,2.9850746268656717E-4,NO
99,140,4.4762757385854974E-4,NO
100,156,8.944543828264757E-4,NO
101,142,8.944543828264757E-4,NO
102,152,4.4762757385854974E-4,NO
103,31,8.944543828264757E-4,NO
104,60,8.944543828264757E-4,NO
105,60,8.944543828264757E-4,NO
106,876,8.944543828264757E-4,NO
107,61,4.4762757385854974E-4,NO
108,185,4.4762757385854974E-4,NO
109,264,0.9991055456171734,NO
110,248,8.944543828264757E-4,NO
111,286,0.9998507017020006,YES
112,185,4.4762757385854974E-4,NO
113,194,8.944543828264757E-4,NO
114,346,4.4762757385854974E-4,NO
115,309,8.944543828264757E-4,NO
116,363,0.9995523724261415,YES
117,84,8.944543828264757E-4,NO
118,53,2.239140170174653E-4,NO
119,132,8.944543828264757E-4,YES
120,4088,4.4762757385854974E-4,NO
121,721,8.944543828264757E-4,YES
122,47,8.944543828264757E-4,NO
123,101,0.9997014925373134,NO
124,517,0.9991055456171734,YES
125,327,8.944543828264757E-4,YES
126,274,4.4762757385854974E-4,YES
127,136,4.4762757385854974E-4,YES
128,56,8.944543828264757E-4,NO
129,74,8.944543828264757E-4,YES
130,361,8.944543828264757E-4,YES
131,174,8.944543828264757E-4,NO
132,148,2.239140170174653E-4,NO
133,92,2.9850746268656717E-4,NO
134,45,4.4762757385854974E-4,NO
135,168,8.944543828264757E-4,NO
136,77,2.239140170174653E-4,NO
137,666,0.9997760859829826,NO
138,88,0.9997014925373134,NO
139,263,0.9995523724261415,NO
140,54,8.944543828264757E-4,NO
141,51,8.944543828264757E-4,NO
142,132,8.944543828264757E-4,NO
143,160,0.9995523724261415,YES
144,152,8.944543828264757E-4,NO
145,39,8.944543828264757E-4,NO
146,677,0.9998208527409531,NO
147,131,8.944543828264757E-4,NO
148,47,8.944543828264757E-4,NO
149,129,8.944543828264757E-4,NO
150,43,4.4762757385854974E-4,NO
151,257,8.944543828264757E-4,NO
152,356,0.9998208527409531,NO
153,62,8.944543828264757E-4,NO
154,45,8.944543828264757E-4,NO
155,97,0.9991055456171734,NO
156,476,4.4762757385854974E-4,NO
157,77,0.9995523724261415,NO
158,69,2.9850746268656717E-4,NO
159,104,2.239140170174653E-4,NO
160,115,2.239140170174653E-4,NO
161,421,0.9997760859829826,NO
162,61,4.4762757385854974E-4,NO
163,2009,0.9997760859829826,NO
164,179,0.9997014925373134,NO
165,106,0.9991055456171734,NO
166,33,4.4762757385854974E-4,NO
167,657,0.9997014925373134,NO
168,295,8.944543828264757E-4,NO
169,872,4.4762757385854974E-4,NO
170,444,8.944543828264757E-4,NO
171,168,0.9997014925373134,NO
172,752,2.239140170174653E-4,NO
173,135,2.9850746268656717E-4,NO
174,1126,8.944543828264757E-4,NO
175,163,0.9997014925373134,NO
176,184,8.944543828264757E-4,NO
177,51,8.944543828264757E-4,NO
178,25,2.9850746268656717E-4,NO
179,180,8.944543828264757E-4,NO
180,64,2.9850746268656717E-4,NO
181,101,2.9850746268656717E-4,NO
182,512,0.9997014925373134,NO
183,187,2.239140170174653E-4,NO
184,56,8.944543828264757E-4,NO
185,39,0.9997760859829826,NO
186,261,0.9998208527409531,NO
187,73,8.944543828264757E-4,NO
188,65,2.9850746268656717E-4,NO
189,329,0.9998208527409531,NO
190,64,4.4762757385854974E-4,NO
191,164,0.9991055456171734,NO
192,624,8.944543828264757E-4,NO
193,74,4.4762757385854974E-4,NO
194,117,4.4762757385854974E-4,NO
195,84,4.4762757385854974E-4,NO
196,226,8.944543828264757E-4,NO
197,76,8.944543828264757E-4,NO
198,323,4.4762757385854974E-4,NO
199,72,8.944543828264757E-4,NO
200,42,2.9850746268656717E-4,NO
201,48,2.9850746268656717E-4,NO
202,89,8.944543828264757E-4,NO
203,380,0.9997760859829826,NO
204,141,2.239140170174653E-4,NO
205,148,2.9850746268656717E-4,NO
206,191,0.9997014925373134,NO
207,46,8.944543828264757E-4,NO
208,165,8.944543828264757E-4,NO
209,171,8.944543828264757E-4,NO
210,56,2.9850746268656717E-4,NO
211,179,8.944543828264757E-4,NO
212,74,8.944543828264757E-4,NO
213,36,2.9850746268656717E-4,NO
214,37,1.791472590469366E-4,NO
215,34,2.9850746268656717E-4,NO
216,34,2.9850746268656717E-4,NO
217,38,2.239140170174653E-4,NO
218,39,2.239140170174653E-4,NO
219,156,8.944543828264757E-4,NO
220,84,4.4762757385854974E-4,NO
221,117,0.9991055456171734,NO
222,94,0.9991055456171734,NO
223,71,4.4762757385854974E-4,NO
224,183,4.4762757385854974E-4,NO
225,85,2.9850746268656717E-4,NO
226,183,8.944543828264757E-4,NO
227,70,8.944543828264757E-4,NO
228,54,0.9997760859829826,NO
229,160,4.4762757385854974E-4,NO
230,128,0.9995523724261415,NO
231,151,4.4762757385854974E-4,NO
232,422,4.4762757385854974E-4,NO
233,221,4.4762757385854974E-4,NO
234,50,8.944543828264757E-4,NO
235,42,0.9997760859829826,NO
236,624,0.9997760859829826,NO
237,377,8.944543828264757E-4,NO
238,382,0.9997014925373134,NO
239,72,8.944543828264757E-4,NO
240,92,8.944543828264757E-4,NO
241,282,4.4762757385854974E-4,NO
242,371,4.4762757385854974E-4,NO
243,47,8.944543828264757E-4,NO
244,108,0.9991055456171734,NO
245,111,2.239140170174653E-4,NO
246,319,8.944543828264757E-4,NO
247,129,4.4762757385854974E-4,NO
248,49,8.944543828264757E-4,NO
249,358,8.944543828264757E-4,NO
250,277,2.239140170174653E-4,NO
251,49,8.944543828264757E-4,NO
252,89,4.4762757385854974E-4,NO
253,41,8.944543828264757E-4,NO
254,66,2.9850746268656717E-4,NO
255,63,2.239140170174653E-4,NO
256,24,2.9850746268656717E-4,NO
257,50,2.9850746268656717E-4,NO
258,72,8.944543828264757E-4,NO
259,47,8.944543828264757E-4,NO
260,47,2.9850746268656717E-4,NO
261,183,8.944543828264757E-4,NO
262,49,8.944543828264757E-4,NO
263,50,8.944543828264757E-4,NO
264,98,2.9850746268656717E-4,NO
265,143,4.4762757385854974E-4,NO
266,43,2.9850746268656717E-4,NO
267,42,2.9850746268656717E-4,NO
268,56,4.4762757385854974E-4,NO
269,44,0.9997014925373134,NO
270,26,4.4762757385854974E-4,NO
271,254,8.944543828264757E-4,NO
272,16883,0.9997760859829826,NO
273,74,8.944543828264757E-4,NO
274,153,0.6665671641791044,NO
275,68,2.9850746268656717E-4,NO
276,100,4.4762757385854974E-4,NO
277,550,4.4762757385854974E-4,NO
278,437,2.239140170174653E-4,NO
279,1038,8.944543828264757E-4,NO
280,104,4.4762757385854974E-4,NO
281,332,8.944543828264757E-4,NO
282,123,4.4762757385854974E-4,NO
283,106,0.6666169005673336,NO
284,106,0.9995523724261415,NO
285,94,0.9995523724261415,NO
286,101,0.6666169005673336,NO
287,38,0.9995523724261415,NO
288,628,0.9997760859829826,NO
289,32,8.944543828264757E-4,NO
290,111,2.239140170174653E-4,NO
291,35,4.4762757385854974E-4,NO
292,90,0.6666169005673336,NO
293,27,4.4762757385854974E-4,NO
294,28,4.4762757385854974E-4,NO
295,92,8.944543828264757E-4,NO
296,979,0.9997014925373134,NO
297,67,2.9850746268656717E-4,NO
298,29,8.944543828264757E-4,NO
299,105,4.4762757385854974E-4,NO
300,72,4.4762757385854974E-4,NO
301,37,8.944543828264757E-4,NO
302,47,8.944543828264757E-4,NO
303,31,1.1198208286674131E-4,NO
304,90,0.9995523724261415,NO
305,223,0.6665671641791044,NO
306,214,8.944543828264757E-4,NO
307,107,4.4762757385854974E-4,NO
308,37,8.944543828264757E-4,NO
309,27,2.9850746268656717E-4,NO
310,48,8.944543828264757E-4,NO
311,167,8.944543828264757E-4,NO
312,213,4.4762757385854974E-4,NO
313,867,8.944543828264757E-4,NO
314,159,4.4762757385854974E-4,NO
315,100,8.944543828264757E-4,NO
316,96,8.944543828264757E-4,NO
317,842,4.4762757385854974E-4,NO
318,535,4.4762757385854974E-4,NO
319,83,8.944543828264757E-4,NO
320,63,2.9850746268656717E-4,NO
321,76,8.944543828264757E-4,NO
322,202,2.239140170174653E-4,NO
323,155,4.4762757385854974E-4,NO
324,1263,0.9997760859829826,NO
325,74,8.944543828264757E-4,NO
326,101,4.4762757385854974E-4,NO
327,27,2.9850746268656717E-4,NO
328,22,4.4762757385854974E-4,NO
329,491,8.944543828264757E-4,NO
330,62,4.4762757385854974E-4,NO
331,59,8.944543828264757E-4,NO
332,99,8.944543828264757E-4,NO
333,27,2.239140170174653E-4,NO
334,77,4.4762757385854974E-4,NO
335,863,8.944543828264757E-4,NO
336,64,2.9850746268656717E-4,NO
337,45,8.944543828264757E-4,NO
338,63,2.9850746268656717E-4,NO
339,54,4.4762757385854974E-4,NO
340,64,8.944543828264757E-4,NO
341,132,8.944543828264757E-4,NO
342,182,0.9991055456171734,NO
343,70,2.9850746268656717E-4,NO
344,36,4.4762757385854974E-4,NO
345,58,4.4762757385854974E-4,NO
346,62,4.4762757385854974E-4,NO
347,132,4.4762757385854974E-4,NO
348,74,4.4762757385854974E-4,NO
349,86,0.9997760859829826,NO
350,74,8.944543828264757E-4,NO
351,48,2.9850746268656717E-4,NO
352,74,2.9850746268656717E-4,NO
353,86,4.4762757385854974E-4,NO
354,355,8.944543828264757E-4,NO
355,53,2.9850746268656717E-4,NO
356,804,4.4762757385854974E-4,NO
357,75,4.4762757385854974E-4,NO
358,125,2.9850746268656717E-4,NO
359,200,2.239140170174653E-4,NO
360,134,2.239140170174653E-4,NO
361,57,8.944543828264757E-4,NO
362,123,4.4762757385854974E-4,NO
363,266,2.239140170174653E-4,NO
364,162,0.9991055456171734,NO
365,130,0.6665671641791044,NO
366,108,8.944543828264757E-4,NO
367,354,2.239140170174653E-4,NO
368,88,8.944543828264757E-4,NO
369,28,4.4762757385854974E-4,NO
370,58,0.9995523724261415,NO
371,308,2.239140170174653E-4,NO
372,343,8.944543828264757E-4,NO
373,103,2.9850746268656717E-4,NO
374,35,4.4762757385854974E-4,NO
375,98,2.9850746268656717E-4,NO
376,117,4.4762757385854974E-4,NO
