ID,Size,Predicted %,Actual value
0,215,0.003787878787878788,NO
1,271,0.003787878787878788,YES
2,458,0.003787878787878788,YES
3,137,0.003787878787878788,YES
4,357,0.003787878787878788,YES
5,1242,0.9962121212121212,YES
6,51,0.003787878787878788,NO
7,154,0.003787878787878788,YES
8,31,0.003787878787878788,NO
9,928,0.003787878787878788,NO
10,180,0.003787878787878788,NO
11,260,0.003787878787878788,YES
12,551,0.003787878787878788,YES
13,40,0.003787878787878788,NO
14,361,0.9962121212121212,YES
15,388,0.003787878787878788,YES
16,51,0.003787878787878788,NO
17,577,0.003787878787878788,NO
18,32,0.003787878787878788,NO
19,66,0.003787878787878788,NO
20,188,0.9962121212121212,YES
21,582,0.003787878787878788,NO
22,158,0.003787878787878788,YES
23,50,0.003787878787878788,NO
24,27,0.003787878787878788,NO
25,928,0.9962121212121212,YES
26,60,0.003787878787878788,NO
27,62,0.003787878787878788,NO
28,87,0.003787878787878788,NO
29,52,0.003787878787878788,NO
30,268,0.003787878787878788,NO
31,163,0.003787878787878788,NO
32,109,0.003787878787878788,NO
33,147,0.003787878787878788,NO
34,58,0.003787878787878788,NO
35,44,0.003787878787878788,NO
36,106,0.003787878787878788,NO
37,139,0.003787878787878788,NO
38,326,0.9962121212121212,NO
39,648,0.9962121212121212,NO
40,778,0.9962121212121212,YES
41,314,0.003787878787878788,YES
42,55,0.003787878787878788,NO
43,191,0.003787878787878788,NO
44,90,0.9962121212121212,NO
45,273,0.9962121212121212,NO
46,137,0.9962121212121212,NO
47,79,0.003787878787878788,NO
48,82,0.003787878787878788,NO
49,147,0.9962121212121212,NO
50,422,0.9962121212121212,NO
51,978,0.9962121212121212,YES
52,467,0.9962121212121212,YES
53,189,0.003787878787878788,NO
54,153,0.003787878787878788,NO
55,84,0.003787878787878788,YES
56,182,0.9962121212121212,NO
57,358,0.9962121212121212,NO
58,126,0.003787878787878788,NO
59,106,0.9962121212121212,NO
60,109,0.9962121212121212,NO
61,85,0.003787878787878788,NO
62,236,0.9962121212121212,NO
63,314,0.003787878787878788,YES
64,694,0.9962121212121212,YES
65,27,0.003787878787878788,NO
66,89,0.003787878787878788,NO
67,301,0.9962121212121212,YES
68,153,0.9962121212121212,NO
69,92,0.003787878787878788,NO
70,466,0.9962121212121212,NO
71,93,0.003787878787878788,NO
72,244,0.9962121212121212,NO
73,192,0.003787878787878788,NO
74,250,0.9962121212121212,YES
75,109,0.9962121212121212,NO
76,601,0.003787878787878788,NO
77,565,0.9962121212121212,YES
78,69,0.9962121212121212,NO
79,77,0.003787878787878788,NO
80,94,0.003787878787878788,NO
81,337,0.003787878787878788,NO
82,214,0.003787878787878788,NO
83,79,0.003787878787878788,NO
84,25,0.003787878787878788,NO
85,84,0.003787878787878788,NO
86,34,0.003787878787878788,NO
87,33,0.003787878787878788,NO
88,104,0.9962121212121212,NO
89,172,0.9962121212121212,NO
90,70,0.003787878787878788,NO
91,140,0.003787878787878788,NO
92,154,0.003787878787878788,YES
93,248,0.003787878787878788,NO
94,275,0.9962121212121212,YES
95,176,0.003787878787878788,NO
96,624,0.003787878787878788,YES
97,91,0.003787878787878788,YES
98,58,0.003787878787878788,YES
99,132,0.003787878787878788,NO
100,4088,0.003787878787878788,NO
101,558,0.003787878787878788,NO
102,727,0.003787878787878788,YES
103,150,0.003787878787878788,YES
104,503,0.9962121212121212,YES
105,325,0.9962121212121212,NO
106,273,0.003787878787878788,YES
107,136,0.003787878787878788,NO
108,56,0.003787878787878788,NO
109,74,0.003787878787878788,NO
110,357,0.9962121212121212,YES
111,174,0.003787878787878788,NO
112,148,0.003787878787878788,NO
113,92,0.003787878787878788,NO
114,45,0.9962121212121212,NO
115,168,0.003787878787878788,NO
116,77,0.003787878787878788,NO
117,664,0.003787878787878788,YES
118,88,0.003787878787878788,NO
119,260,0.003787878787878788,YES
120,54,0.003787878787878788,NO
121,48,0.003787878787878788,NO
122,140,0.003787878787878788,NO
123,152,0.9962121212121212,NO
124,39,0.003787878787878788,NO
125,131,0.003787878787878788,NO
126,47,0.003787878787878788,NO
127,129,0.003787878787878788,NO
128,43,0.003787878787878788,NO
129,243,0.9962121212121212,NO
130,62,0.9962121212121212,NO
131,45,0.003787878787878788,NO
132,94,0.003787878787878788,YES
133,72,0.003787878787878788,NO
134,42,0.003787878787878788,NO
135,48,0.003787878787878788,NO
136,89,0.9962121212121212,NO
137,380,0.003787878787878788,NO
138,138,0.003787878787878788,YES
139,142,0.9962121212121212,YES
140,191,0.003787878787878788,NO
141,46,0.003787878787878788,NO
142,165,0.003787878787878788,NO
143,171,0.9962121212121212,NO
144,56,0.003787878787878788,NO
145,179,0.003787878787878788,NO
146,74,0.003787878787878788,NO
147,36,0.003787878787878788,NO
148,37,0.003787878787878788,NO
149,34,0.003787878787878788,NO
150,34,0.003787878787878788,NO
151,38,0.003787878787878788,NO
152,39,0.003787878787878788,NO
153,156,0.003787878787878788,NO
154,84,0.003787878787878788,NO
155,117,0.003787878787878788,NO
156,94,0.9962121212121212,NO
157,71,0.003787878787878788,NO
158,183,0.9962121212121212,NO
159,85,0.003787878787878788,NO
160,183,0.9962121212121212,NO
161,70,0.9962121212121212,NO
162,54,0.003787878787878788,NO
163,160,0.9962121212121212,NO
164,125,0.9962121212121212,NO
165,151,0.9962121212121212,NO
166,421,0.9962121212121212,YES
167,219,0.9962121212121212,YES
168,50,0.0019011406844106464,NO
169,42,0.003787878787878788,NO
170,624,0.003787878787878788,NO
171,377,0.9962121212121212,NO
172,383,0.9962121212121212,NO
173,72,0.003787878787878788,NO
174,92,0.003787878787878788,NO
175,284,0.9962121212121212,YES
176,371,0.003787878787878788,NO
177,47,0.003787878787878788,NO
178,108,0.9962121212121212,NO
179,111,0.003787878787878788,NO
180,319,0.9962121212121212,NO
181,129,0.003787878787878788,NO
182,49,0.003787878787878788,NO
183,358,0.9962121212121212,NO
184,277,0.9962121212121212,NO
185,49,0.9962121212121212,NO
186,89,0.003787878787878788,NO
187,41,0.003787878787878788,NO
188,66,0.003787878787878788,NO
189,63,0.003787878787878788,NO
190,24,0.003787878787878788,NO
191,50,0.003787878787878788,NO
192,72,0.9962121212121212,NO
193,47,0.003787878787878788,NO
194,47,0.003787878787878788,NO
195,183,0.003787878787878788,NO
196,49,0.003787878787878788,NO
197,50,0.003787878787878788,NO
198,98,0.003787878787878788,NO
199,143,0.003787878787878788,NO
200,43,0.003787878787878788,NO
201,42,0.003787878787878788,NO
202,56,0.003787878787878788,NO
203,44,0.003787878787878788,NO
204,26,0.003787878787878788,NO
205,254,0.9962121212121212,NO
206,16883,0.003787878787878788,NO
207,74,0.003787878787878788,NO
208,153,0.003787878787878788,NO
209,68,0.003787878787878788,NO
210,100,0.003787878787878788,NO
211,549,0.003787878787878788,YES
212,437,0.003787878787878788,NO
213,1033,0.9962121212121212,YES
214,101,0.003787878787878788,YES
215,331,0.9962121212121212,YES
216,123,0.003787878787878788,NO
217,106,0.003787878787878788,NO
218,106,0.003787878787878788,NO
219,93,0.003787878787878788,YES
220,101,0.003787878787878788,YES
221,38,0.003787878787878788,NO
222,584,0.9962121212121212,YES
223,32,0.003787878787878788,NO
224,111,0.003787878787878788,NO
225,35,0.003787878787878788,NO
226,90,0.003787878787878788,NO
227,27,0.003787878787878788,NO
228,28,0.003787878787878788,NO
229,92,0.9962121212121212,NO
230,885,0.9962121212121212,YES
231,67,0.003787878787878788,NO
232,29,0.003787878787878788,NO
233,105,0.003787878787878788,NO
234,72,0.003787878787878788,NO
235,37,0.003787878787878788,NO
236,47,0.003787878787878788,NO
237,31,0.003787878787878788,NO
238,90,0.9962121212121212,NO
239,223,0.9962121212121212,NO
240,214,0.003787878787878788,NO
241,107,0.003787878787878788,NO
242,37,0.003787878787878788,NO
243,27,0.003787878787878788,NO
244,48,0.003787878787878788,NO
245,166,0.9962121212121212,YES
246,213,0.9962121212121212,NO
247,866,0.003787878787878788,YES
248,159,0.9962121212121212,NO
249,100,0.9962121212121212,NO
250,96,0.9962121212121212,NO
251,841,0.9962121212121212,YES
252,525,0.003787878787878788,NO
253,83,0.003787878787878788,NO
254,63,0.003787878787878788,NO
255,76,0.003787878787878788,NO
256,202,0.003787878787878788,NO
257,155,0.003787878787878788,YES
258,1262,0.9962121212121212,YES
259,74,0.003787878787878788,NO
260,101,0.003787878787878788,NO
261,27,0.003787878787878788,NO
262,22,0.003787878787878788,NO
263,489,0.003787878787878788,YES
264,62,0.003787878787878788,NO
265,59,0.003787878787878788,NO
266,99,0.003787878787878788,NO
267,27,0.003787878787878788,NO
268,77,0.003787878787878788,NO
269,846,0.9962121212121212,NO
270,64,0.9962121212121212,NO
271,45,0.003787878787878788,NO
272,63,0.003787878787878788,NO
273,54,0.003787878787878788,NO
274,64,0.003787878787878788,NO
275,132,0.003787878787878788,NO
276,177,0.9962121212121212,NO
277,70,0.003787878787878788,NO
278,36,0.003787878787878788,NO
279,58,0.003787878787878788,NO
280,62,0.003787878787878788,NO
281,132,0.003787878787878788,NO
282,74,0.003787878787878788,NO
283,83,0.003787878787878788,YES
284,74,0.003787878787878788,NO
285,48,0.003787878787878788,NO
286,74,0.003787878787878788,NO
