ID,Size,Predicted %,Actual value
0,215,0.999738702585147,NO
1,274,0.0026007419399086025,NO
2,461,0.999738702585147,YES
3,138,0.0026007419399086025,NO
4,358,0.0026007419399086025,NO
5,1248,0.999738702585147,YES
6,51,0.0013037617177332572,NO
7,45,0.0026007419399086025,NO
8,157,0.0026007419399086025,NO
9,31,4.353440190658887E-4,NO
10,1008,0.999738702585147,YES
11,55,0.999738702585147,NO
12,204,0.999738702585147,NO
13,55,0.0026007419399086025,NO
14,103,0.0026007419399086025,NO
15,83,0.0026007419399086025,NO
16,262,0.0026007419399086025,NO
17,83,0.0026007419399086025,NO
18,867,0.0026007419399086025,YES
19,40,0.0013037617177332572,NO
20,387,0.999738702585147,YES
21,390,0.999738702585147,NO
22,51,0.0026007419399086025,NO
23,637,0.999738702585147,YES
24,32,0.0013037617177332572,NO
25,68,0.0026007419399086025,YES
26,547,0.999738702585147,YES
27,566,0.0026007419399086025,NO
28,314,0.0026007419399086025,YES
29,839,0.999738702585147,YES
30,211,0.999738702585147,NO
31,31,0.0026007419399086025,NO
32,50,0.0026007419399086025,NO
33,27,3.731984362585188E-4,NO
34,175,0.999738702585147,NO
35,50,0.0026007419399086025,NO
36,62,0.0026007419399086025,NO
37,87,0.0026007419399086025,NO
38,52,0.0026007419399086025,NO
39,373,0.999738702585147,NO
40,224,0.0026007419399086025,NO
41,118,0.0026007419399086025,YES
42,83,0.0026007419399086025,NO
43,147,8.699305999643836E-4,NO
44,58,0.0026007419399086025,NO
45,44,0.0013037617177332572,NO
46,106,0.999738702585147,NO
47,189,0.999738702585147,NO
48,151,0.0026007419399086025,NO
49,352,0.0026007419399086025,YES
50,849,0.999738702585147,YES
51,877,0.999738702585147,YES
52,41,0.0026007419399086025,NO
53,319,0.999738702585147,YES
54,27,3.731984362585188E-4,NO
55,55,0.0013037617177332572,NO
56,94,0.0026007419399086025,NO
57,191,0.0026007419399086025,NO
58,90,0.0026007419399086025,NO
59,90,0.0026007419399086025,NO
60,271,0.999738702585147,YES
61,152,0.999738702585147,NO
62,90,0.0026007419399086025,YES
63,82,0.0026007419399086025,NO
64,147,0.0026007419399086025,NO
65,422,0.0026007419399086025,YES
66,1059,0.0026007419399086025,YES
67,530,0.0026007419399086025,YES
68,205,0.0026007419399086025,YES
69,190,0.0026007419399086025,NO
70,86,0.0026007419399086025,NO
71,207,0.0026007419399086025,YES
72,397,0.999738702585147,YES
73,573,0.999738702585147,NO
74,126,0.0026007419399086025,YES
75,167,0.999738702585147,NO
76,109,0.0026007419399086025,YES
77,85,8.699305999643836E-4,NO
78,237,0.0026007419399086025,NO
79,424,0.0026007419399086025,YES
80,47,0.0026007419399086025,NO
81,1118,0.999738702585147,YES
82,27,3.731984362585188E-4,NO
83,89,0.0026007419399086025,NO
84,474,0.0026007419399086025,YES
85,166,0.999738702585147,NO
86,92,0.0026007419399086025,NO
87,476,0.999738702585147,NO
88,93,0.0026007419399086025,NO
89,244,0.0026007419399086025,NO
90,204,0.0026007419399086025,NO
91,252,0.999738702585147,NO
92,109,0.0026007419399086025,YES
93,618,0.999738702585147,NO
94,565,0.0026007419399086025,YES
95,69,0.0026007419399086025,NO
96,77,0.0026007419399086025,NO
97,97,0.0026007419399086025,NO
98,343,0.0026007419399086025,NO
99,214,0.0026007419399086025,NO
100,79,0.0026007419399086025,NO
101,25,0.0026007419399086025,NO
102,84,0.0026007419399086025,NO
103,34,0.0026007419399086025,NO
104,33,0.0026007419399086025,NO
