ID,Size,Predicted %,Actual value
0,215,0.3044267842735328,NO
1,271,0.31632498534102405,YES
2,458,0.2522817403032314,YES
3,137,0.2729262100127617,YES
4,357,0.29278556616882123,YES
5,1242,1.0,YES
6,51,0.2092196375307434,NO
7,154,0.25161318986078024,YES
8,31,0.2092196375307434,NO
9,928,0.9971272182354531,NO
10,180,0.3165113119981007,NO
11,260,0.9453475511337567,YES
12,551,0.9990421934315501,YES
13,40,0.21283578412147314,NO
14,361,0.821825202164212,YES
15,388,0.5069653176168873,YES
16,51,0.5472501351054687,NO
17,577,0.999791081469287,NO
18,32,0.2092196375307434,NO
19,66,0.23836588830074404,NO
20,188,0.9986606654763412,YES
21,582,0.9998530029485465,NO
22,158,0.25307261041714585,YES
23,50,0.18213744443161836,NO
24,27,0.2092196375307434,NO
25,928,0.9999998731672904,YES
26,60,0.22644910271589255,NO
27,62,0.18213744443161836,NO
28,87,0.20850567038747497,NO
29,52,0.18213744443161836,NO
30,268,0.9960515776261233,NO
31,163,0.2885864941192448,NO
32,109,0.39156326932391283,NO
33,147,0.2848326692008534,NO
34,58,0.18213744443161833,NO
35,44,0.2092196375307434,NO
36,106,0.7872390547887581,NO
37,139,0.5183692562800636,NO
38,326,0.5513059907774356,NO
39,648,0.9999999999999991,NO
40,778,1.0,YES
41,314,0.9756522926556928,YES
42,55,0.20897375842126947,NO
43,191,0.26471724055452633,NO
44,90,0.3893961026088317,NO
45,273,0.9861224529941578,NO
46,137,0.6668097708442055,NO
47,79,0.58916214837285,NO
48,82,0.2108229032515905,NO
49,147,0.9923312393917372,NO
50,422,0.9964627671176394,NO
51,978,1.0,YES
52,467,0.9999999946243497,YES
53,189,0.8923240638007275,NO
54,153,0.492455765891183,NO
55,84,0.23809606924728155,YES
56,182,0.9905754789367812,NO
57,358,0.9999999999990697,NO
58,126,0.6037077962550618,NO
59,106,0.38419958194591897,NO
60,109,0.30033817716280714,NO
61,85,0.23977308891022758,NO
62,236,0.987811349753697,NO
63,314,0.9989989348681256,YES
64,694,0.9999999999999538,YES
65,27,0.2092196375307434,NO
66,89,0.21420887661499227,NO
67,301,0.9999964511720291,YES
68,153,0.9855587087079367,NO
69,92,0.8626669161652177,NO
70,466,0.9992463048164558,NO
71,93,0.8626669161652177,NO
72,244,0.9954180009291698,NO
73,192,0.9912232159473647,NO
74,250,0.9925442505687224,YES
75,109,0.8828246453254751,NO
76,601,7.3197604352769446E-6,NO
77,565,0.9999999999999925,YES
78,69,0.6449673456499502,NO
79,77,0.7595572073590332,NO
80,94,0.7674877569477611,NO
81,337,0.06917651340103215,NO
82,214,0.7929275301004965,NO
83,79,0.8092008529074286,NO
84,25,0.3727184266551238,NO
85,84,0.7853011354863061,NO
86,34,0.45168126227049615,NO
87,33,0.45168126227049615,NO
88,104,0.8667582010356104,NO
89,172,0.9868073711734597,NO
90,70,0.6722458564813002,NO
91,140,0.8256966103282203,NO
92,154,0.8528367458475173,YES
93,248,0.41028543510681037,NO
94,275,0.7005051151856039,YES
95,176,0.4728514345552548,NO
96,624,0.9999999265679788,YES
