ID,Size,Predicted %,Actual value
0,215,0.030261969829894212,NO
1,271,0.031812014851031474,YES
2,458,0.019086509546101887,YES
3,137,0.026212715494608626,YES
4,357,0.02362155377333799,YES
5,1242,1.0,YES
6,51,0.01877564084323341,NO
7,154,0.019618320560871243,YES
8,31,0.01877564084323341,NO
9,928,0.2787129727472195,NO
10,180,0.03196246032230115,NO
11,260,0.09464593542449913,YES
12,551,0.9231414741665651,YES
13,40,0.019158123997525936,NO
14,361,0.03506988107520592,YES
15,388,0.0507649805422767,YES
16,51,0.013997720455130536,NO
17,577,0.982075988937751,NO
18,32,0.01877564084323341,NO
19,66,0.022063302782332702,NO
20,188,0.962989814518711,YES
21,582,0.9968162698411653,NO
22,158,0.01975669945954948,YES
23,50,0.01320882833017398,NO
24,27,0.01877564084323341,NO
25,928,0.9999648875307738,YES
26,60,0.020669174574699925,NO
27,62,0.01320882833017398,NO
28,87,0.015537162243792675,NO
29,52,0.01320882833017398,NO
30,268,0.17681732992747137,NO
31,163,0.028200604232525045,NO
32,109,0.031022952672491298,NO
33,147,0.027730695709330205,NO
34,58,0.01320882833017398,NO
35,44,0.01877564084323341,NO
36,106,0.01646279326390149,NO
37,139,0.07076979056645266,NO
38,326,0.04479839210168056,NO
39,648,0.9999999999999047,NO
40,778,1.0,YES
41,314,0.13536839973657608,YES
42,55,0.018758083294619025,NO
43,191,0.02092836664581632,NO
44,90,0.0223521002117299,NO
45,273,0.05573384874221024,NO
46,137,0.09538876894441257,NO
47,79,0.07068103227048841,NO
48,82,0.015743251624911227,NO
49,147,0.2572999807525027,NO
50,422,0.18890337663708978,NO
51,978,0.9999999999999752,YES
52,467,0.9999966202312163,YES
53,189,0.09543574713332242,NO
54,153,0.04892512019303352,NO
55,84,0.022042739927077396,YES
56,182,0.6024815899968892,NO
57,358,0.9999999993338957,NO
58,126,0.07465345466922847,NO
59,106,0.016156970225831794,NO
60,109,0.018233737650803397,NO
61,85,0.022218536652526703,NO
62,236,0.3515549086067109,NO
63,314,0.9085965999567766,YES
64,694,0.9999999999922826,YES
65,27,0.01877564084323341,NO
66,89,0.01604990841096024,NO
67,301,0.9970236990213208,YES
68,153,0.574701265369275,NO
69,92,0.06450762788972747,NO
70,466,0.904138998950459,NO
71,93,0.06450762788972747,NO
72,244,0.7552395519983783,NO
73,192,0.2355048678145129,NO
74,250,0.19191052496783914,YES
75,109,0.054098037695401835,NO
76,601,0.04232354968300908,NO
77,565,0.999999999996725,YES
78,69,0.01583343651276057,NO
79,77,0.01542787246991118,NO
80,94,0.015413396323028477,NO
81,337,0.022691688072867224,NO
82,214,0.022628480648250605,NO
83,79,0.02047811353987849,NO
84,25,0.013115698067850609,NO
85,84,0.01698962778598021,NO
86,34,0.013103362586587633,NO
87,33,0.013103362586587633,NO
88,104,0.029599518488795443,NO
89,172,0.20409688053628494,NO
