ID,Size,Predicted %,Actual value
0,215,0.13109013167529998,NO
1,274,0.23631950930509632,NO
2,461,0.24763609400224468,YES
3,138,0.12810990402493944,NO
4,358,0.1287818589078169,NO
5,1248,0.9999999720704732,YES
6,51,0.11400925365075353,NO
7,45,0.12370886803563243,NO
8,157,0.11935175446026007,NO
9,31,0.11284486160709266,NO
10,1008,0.9479352522478781,YES
11,55,0.21044240942464967,NO
12,204,0.297662908006925,NO
13,55,0.1214584193533112,NO
14,103,0.12827675463730948,NO
15,83,0.12649298864285716,NO
16,262,0.1340833754685079,NO
17,83,0.12450160015854858,NO
18,867,0.9999433324156974,YES
19,40,0.1119127206060753,NO
20,387,0.33397620223606983,YES
21,390,0.1425103746019265,NO
22,51,0.11559854954321866,NO
23,637,0.9919695319225198,YES
24,32,0.11400925365075353,NO
25,68,0.12245910477959979,YES
26,547,0.9606256328745563,YES
27,566,0.7511961678626299,NO
28,314,0.8947262039341973,YES
29,839,0.9999219182704849,YES
30,211,0.22328251467736301,NO
31,31,0.12245910477959979,NO
32,50,0.11214850962554902,NO
33,27,0.11400925365075353,NO
34,175,0.22686068820090882,NO
35,50,0.12242986730876736,NO
36,62,0.11284486160709266,NO
37,87,0.12450160015854858,NO
38,52,0.11284486160709266,NO
39,373,0.9892456806951628,NO
40,224,0.13411497060411381,NO
41,118,0.2286934060659897,YES
42,83,0.11545836288101596,NO
43,147,0.12100535364536241,NO
44,58,0.121711563904852,NO
45,44,0.11284486160709266,NO
46,106,0.11826732458309576,NO
47,189,0.23336196402631287,NO
48,151,0.3858026642823656,NO
49,352,0.12955107601262636,YES
50,849,1.0,YES
51,877,1.0,YES
52,41,0.12370886803563243,NO
53,319,0.1703277113417804,YES
54,27,0.11400925365075353,NO
55,55,0.11565419749178438,NO
56,94,0.11545836288101596,NO
57,191,0.12381426188353369,NO
58,90,0.16012242872375723,NO
59,90,0.16012242872375723,NO
60,271,0.17219767612359854,YES
61,152,0.1548171678242446,NO
62,90,0.1306038530202469,YES
63,82,0.1244867714287727,NO
64,147,0.1430766967872011,NO
65,422,0.6428104125069212,YES
66,1059,0.9999999999671757,YES
67,530,0.531977973901431,YES
68,205,0.24976942397106192,YES
69,190,0.1366397296417015,NO
70,86,0.1283376200991545,NO
71,207,0.25716174650472606,YES
72,397,0.25767978520919943,YES
73,573,0.2975038110417643,NO
74,126,0.11716996989556273,YES
75,167,0.12709991400875217,NO
76,109,0.11474796930367176,YES
77,85,0.11545836288101596,NO
78,237,0.5958527859908473,NO
79,424,0.9999930503373607,YES
80,47,0.11281762446219294,NO
81,1118,1.0,YES
82,27,0.11400925365075353,NO
83,89,0.11543057699783407,NO
84,474,0.6433399669139721,YES
85,166,0.12100535364536241,NO
86,92,0.11545836288101596,NO
87,476,0.7147144014617736,NO
88,93,0.11545836288101596,NO
89,244,0.25969765515358734,NO
90,204,0.8055091317461119,NO
91,252,0.2782380131601507,NO
92,109,0.17820880331911862,YES
93,618,0.3648847419887695,NO
94,565,0.1689811050874293,YES
95,69,0.11400925365075353,NO
96,77,0.1166461766174056,NO
97,97,0.1166461766174056,NO
98,343,0.13274542618683463,NO
99,214,0.12208385900860315,NO
100,79,0.139918749194041,NO
101,25,0.11400925365075353,NO
102,84,0.12043792726773071,NO
103,34,0.11565419749178438,NO
104,33,0.11565419749178438,NO
105,104,0.20079614732507797,NO
106,172,0.8184128302585427,NO
107,70,0.11559854954321866,NO
108,140,0.11740127307300152,NO
109,156,0.11716996989556273,NO
110,142,0.20500059768279777,NO
111,152,0.1559328009096335,NO
112,31,0.11284486160709266,NO
113,60,0.1235732271407233,NO
114,60,0.11281762446219294,NO
115,876,0.9999958394495713,NO
116,61,0.11559854954321866,NO
117,185,0.18597412884610057,NO
118,264,0.3983027011163115,NO
119,43,0.1216970212899497,NO
120,248,0.21368064517450513,NO
121,310,0.23296317278628736,YES
122,199,0.2249073558498327,NO
123,194,0.13109013167529998,NO
124,346,0.33232041985830796,NO
125,90,0.21594763711542744,NO
126,335,0.1462735504860411,YES
127,372,0.5760309004096555,NO
128,84,0.1166461766174056,NO
129,53,0.11281762446219294,NO
130,148,0.17673007220170403,NO
131,4088,0.8586801614350188,NO
132,860,0.9375013650472819,YES
133,47,0.11400925365075353,NO
134,101,0.1205100062711622,NO
135,517,0.1712847634565937,YES
136,327,0.2700264931697423,YES
137,275,0.14610559348586594,YES
138,136,0.12734799205492087,NO
139,56,0.1119127206060753,NO
140,74,0.11450741986073451,YES
141,362,0.30225414504591824,YES
142,174,0.1648078562912495,NO
143,148,0.1491882656471616,NO
144,92,0.1306038530202469,NO
145,45,0.11214850962554902,YES
146,39,0.12547394010487253,NO
147,182,0.1648078562912495,NO
148,77,0.12523402162568123,NO
149,666,0.9998171110339257,NO
150,88,0.12043792726773071,YES
151,263,0.12493076212950133,YES
152,54,0.11214850962554902,NO
153,76,0.13699057527012648,NO
154,132,0.1312120297602826,NO
155,160,0.1490984670966966,YES
156,152,0.19290664797279555,NO
157,39,0.11565419749178438,NO
158,677,0.9993949392964336,NO
159,131,0.1378050599182508,NO
160,47,0.11400925365075353,NO
161,129,0.1430766967872011,NO
162,43,0.11281762446219294,NO
163,73,0.12366462957641358,NO
164,257,0.3705434133988858,NO
165,356,0.9269025686616865,NO
166,62,0.1119127206060753,NO
167,45,0.11565419749178438,NO
168,97,0.1166041277122423,NO
169,131,0.22237773169442981,YES
170,68,0.12370886803563243,YES
171,99,0.1283376200991545,NO
172,53,0.12547394010487253,NO
173,81,0.1283376200991545,NO
174,78,0.1283376200991545,YES
175,69,0.12370886803563243,NO
176,69,0.12245910477959979,NO
177,77,0.12450160015854858,NO
178,72,0.121711563904852,NO
179,72,0.12370886803563243,NO
180,63,0.12547394010487253,NO
181,50,0.12366462957641358,NO
182,28,0.12245910477959979,NO
183,96,0.1252638331696136,NO
184,40,0.12547394010487253,NO
185,76,0.1252638331696136,NO
186,49,0.12366462957641358,NO
187,63,0.12370886803563243,NO
188,55,0.1276970132219238,NO
189,45,0.12242986730876736,NO
190,476,0.350464763662546,NO
191,77,0.11545836288101596,NO
192,69,0.11400925365075353,NO
193,104,0.1166461766174056,NO
194,115,0.1166461766174056,NO
195,421,0.9999999999378225,NO
196,61,0.11400925365075353,NO
197,2009,0.9999940082611419,NO
198,179,0.11990199158805856,NO
199,106,0.1166041277122423,NO
200,33,0.11400925365075353,NO
201,657,0.14789300126188154,NO
202,295,0.12584154215020957,NO
203,872,0.645401870174089,NO
204,444,0.1866141041882186,NO
205,168,0.11741537097725459,NO
206,752,0.15772714515026146,NO
207,135,0.11814007437744255,NO
208,1126,0.19290143617365382,NO
209,163,0.11716996989556273,NO
210,184,0.12212761078727423,NO
211,51,0.11400925365075353,NO
212,25,0.11400925365075353,NO
213,180,0.12089161828563129,NO
214,64,0.11400925365075353,NO
215,101,0.11450741986073451,NO
216,512,0.1381119752424734,NO
217,187,0.12212761078727423,NO
218,56,0.11284486160709266,NO
219,39,0.11400925365075353,NO
220,261,0.12497538892805808,NO
221,73,0.11400925365075353,NO
222,65,0.11400925365075353,NO
223,329,0.1308933744389215,NO
224,64,0.11400925365075353,NO
225,164,0.11930886197088933,NO
226,624,0.17921373850416691,NO
227,74,0.1166461766174056,NO
228,117,0.11473415003612085,NO
229,84,0.1166461766174056,NO
230,226,0.17095529235176435,NO
231,76,0.1166461766174056,NO
232,323,0.14164727654299705,NO
233,72,0.11396803267077803,NO
234,42,0.11281762446219294,NO
235,48,0.11396803267077803,NO
236,89,0.16864988737016634,NO
237,380,0.9999999983400005,NO
238,141,0.11935175446026007,NO
239,148,0.11814007437744255,NO
240,191,0.11990199158805856,NO
241,46,0.11565419749178438,NO
242,165,0.11814007437744255,NO
243,171,0.19290664797279555,NO
244,56,0.1119127206060753,NO
245,179,0.14631266710378635,NO
246,74,0.11545836288101596,NO
247,36,0.11400925365075353,NO
248,37,0.11284486160709266,NO
249,34,0.11400925365075353,NO
250,34,0.11400925365075353,NO
251,38,0.11284486160709266,NO
252,39,0.11284486160709266,NO
253,156,0.1430766967872011,NO
254,84,0.11474796930367176,NO
255,117,0.1166041277122423,NO
256,94,0.1166041277122423,NO
257,71,0.11214850962554902,NO
258,183,0.5895038889141704,NO
259,85,0.11474796930367176,NO
260,183,0.18597412884610057,NO
261,70,0.11400925365075353,NO
262,54,0.11559854954321866,NO
263,160,0.47868000358647605,NO
264,128,0.11930886197088933,NO
265,151,0.11740127307300152,NO
266,422,0.24681676567998329,NO
267,221,0.22751937258814064,NO
268,50,0.11565419749178438,NO
269,42,0.11400925365075353,NO
270,624,0.9910936632871732,NO
271,377,0.13823363356627127,NO
272,382,0.8976117822720862,NO
273,72,0.11400925365075353,NO
274,92,0.11450741986073451,NO
