ID,Size,Predicted %,Actual value
0,215,0.10174466274480344,NO
1,274,0.5806322809936462,NO
2,461,0.5922517997733823,YES
3,138,0.09738613081071129,NO
4,358,0.0521514378861257,NO
5,1248,0.9999999294614476,YES
6,51,0.041856125907990774,NO
7,45,0.08863241186944912,NO
8,157,0.04660475416641976,NO
9,31,0.040789326041451274,NO
10,1008,0.9397404981879383,YES
11,55,0.1230952864287322,NO
12,204,0.5997063385065781,NO
13,55,0.08826208730047444,NO
14,103,0.09654043343345464,NO
15,83,0.2050240019895375,NO
16,262,0.10647169185339482,NO
17,83,0.09154422753785631,NO
18,867,0.9999330595684075,YES
19,40,0.0407705265270185,NO
20,387,0.628009009036981,YES
21,390,0.10974884690535049,NO
22,51,0.04316802351089212,NO
23,637,0.9998170378514593,YES
24,32,0.040980614707890335,NO
25,68,0.09007244801725002,YES
26,547,0.9523140950258505,YES
27,566,0.8753524097548412,NO
28,314,0.9764922924279481,YES
29,839,0.9997800750456417,YES
30,211,0.34929634226713574,NO
31,31,0.08659726603426293,NO
32,50,0.041573161459704605,NO
33,27,0.040980614707890335,NO
34,175,0.3478212714857588,NO
35,50,0.08963644272533383,NO
36,62,0.04160367482813224,NO
37,87,0.09155518387691747,NO
38,52,0.04160367482813224,NO
39,373,0.9918295754819837,NO
40,224,0.1027682334456423,NO
41,118,0.09041254243674825,YES
42,83,0.043380117276365274,NO
43,147,0.04784265601214944,NO
44,58,0.08818045394922451,NO
45,44,0.040789326041451274,NO
46,106,0.04573615447670109,NO
47,189,0.362703463300221,NO
48,151,0.15467625257752257,NO
49,352,0.05265891479509371,YES
50,849,1.0,YES
51,877,0.9999999998828539,YES
52,41,0.0868671797880272,NO
53,319,0.06708533359200204,YES
54,27,0.040980614707890335,NO
55,55,0.04225347233466941,NO
56,94,0.043380117276365274,NO
57,191,0.04961972064290269,NO
58,90,0.05969027643956658,NO
59,90,0.05969027643956658,NO
60,271,0.1296566256311146,YES
61,152,0.1201242582401715,NO
62,90,0.09787548736915264,YES
63,82,0.09207329715901584,NO
64,147,0.055025791281030634,NO
65,422,0.4586411776580758,YES
66,1059,0.9999999999243037,YES
67,530,0.21578902112054996,YES
68,205,0.6040489818385018,YES
69,190,0.2275204597099882,NO
70,86,0.09297406633348713,NO
71,207,0.7553673497182025,YES
72,397,0.39176108981822777,YES
73,573,0.10644071014095241,NO
74,126,0.044900078680897904,YES
75,167,0.21158802691061682,NO
76,109,0.044045232659393835,YES
77,85,0.04328048718857735,NO
78,237,0.2704318591196303,NO
79,424,0.9999520728961123,YES
80,47,0.04210976560212367,NO
81,1118,1.0,YES
82,27,0.040980614707890335,NO
83,89,0.04399869952623934,NO
84,474,0.6399542326747325,YES
85,166,0.04805802289552329,NO
86,92,0.04333994364412452,NO
87,476,0.7372376457457103,NO
88,93,0.04333994364412452,NO
89,244,0.1019976630903774,NO
90,204,0.8093856498012661,NO
91,252,0.11154076454745887,NO
92,109,0.06847116535351414,YES
93,618,0.39081502414887154,NO
94,565,0.06091477917288951,YES
95,69,0.04271078237315339,NO
96,77,0.04271078237315339,NO
97,97,0.043686274459201015,NO
98,343,0.05219699239277327,NO
99,214,0.049460488924464356,NO
100,79,0.05293200072995805,NO
101,25,0.04008620436883496,NO
102,84,0.04598129958582148,NO
103,34,0.04137000863807439,NO
104,33,0.04137000863807439,NO
105,104,0.07748553983525955,NO
106,172,0.4845886438785422,NO
107,70,0.04420503418601925,NO
108,140,0.04591231329193647,NO
109,156,0.04645185031282763,NO
110,142,0.07704394717705446,NO
111,152,0.06256963252118508,NO
112,31,0.040789326041451274,NO
113,60,0.04603369016075803,NO
114,60,0.04202740020462714,NO
115,876,0.9997492064452824,NO
116,61,0.04365196964318641,NO
117,185,0.07206100596874254,NO
118,264,0.158887672656018,NO
119,43,0.08691522033096816,NO
120,248,0.08323564302494385,NO
121,310,0.9325786522154301,YES
122,199,0.5081824123567874,NO
123,194,0.10060220377048487,NO
124,346,0.12935406943943725,NO
125,90,0.32382321751545357,NO
126,335,0.11524619169870845,YES
127,372,0.9801074815034511,NO
128,84,0.043542650890792345,NO
129,53,0.04229529165862983,NO
130,148,0.2745671151935121,NO
131,4088,4.994543034772813E-10,NO
132,860,0.9999666568275845,YES
133,47,0.041856125907990774,NO
134,101,0.0453743235454481,NO
135,517,0.06307030611181162,YES
136,327,0.11018744079033209,YES
137,275,0.1146008849169756,YES
138,136,0.20998578553112104,NO
139,56,0.041718119933944926,NO
140,74,0.04257008366752061,YES
141,362,0.44247125966070094,YES
142,174,0.12470494306698243,NO
143,148,0.11103192863441838,NO
144,92,0.09787548736915264,NO
145,45,0.041567912743000326,YES
146,39,0.0877704053973965,NO
147,182,0.12573543082735383,NO
148,77,0.09137368069017364,NO
149,666,0.9952090442732092,NO
150,88,0.0455906726863234,YES
151,263,0.05112804589907436,YES
152,54,0.041573161459704605,NO
153,76,0.10010310733676937,NO
154,132,0.09847486394681293,NO
155,160,0.059199532362119736,YES
156,152,0.07629052130335981,NO
157,39,0.04137000863807439,NO
158,677,0.9879219992181012,NO
159,131,0.05218600769615335,NO
160,47,0.041856125907990774,NO
161,129,0.05589690708547088,NO
162,43,0.04114846029016492,NO
163,73,0.09257655743359186,NO
164,257,0.1547476532053902,NO
165,356,0.6915373087409856,NO
166,62,0.041641744284892195,NO
167,45,0.04225347233466941,NO
168,97,0.04434235824205422,NO
169,131,0.5539816892590661,YES
170,68,0.090352122058749,YES
171,99,0.0950461368927463,NO
172,53,0.08997025041391782,NO
173,81,0.09340646036240105,NO
174,78,0.09171330612225578,YES
175,69,0.09075679197255883,NO
176,69,0.09015185784118378,NO
177,77,0.08988148284341678,NO
178,72,0.08989225987076335,NO
179,72,0.09075679197255883,NO
180,63,0.09171330612225578,NO
181,50,0.09030289125349678,NO
182,28,0.08667390390005855,NO
183,96,0.09161887560048598,NO
184,40,0.0875858397292444,NO
185,76,0.08995490930752038,NO
186,49,0.09030289125349678,NO
187,63,0.09047305900624374,NO
188,55,0.09347442584723199,NO
189,45,0.08926261206113079,NO
190,476,0.13387964075053002,NO
191,77,0.042511775655580064,NO
192,69,0.04271078237315339,NO
193,104,0.04434982762464396,NO
194,115,0.04434982762464396,NO
195,421,0.999999978790028,NO
196,61,0.04179718960543928,NO
197,2009,0.984900272088631,NO
198,179,0.047054082565912196,NO
199,106,0.04543452996922785,NO
200,33,0.040980614707890335,NO
201,657,0.049753334471945895,NO
202,295,0.050339696151965846,NO
203,872,0.20654699269704282,NO
204,444,0.07371223377201207,NO
205,168,0.046285422429460744,NO
206,752,0.048159923502193995,NO
207,135,0.04566959795810517,NO
208,1126,0.029088097959220727,NO
209,163,0.04636722768985247,NO
210,184,0.04729495310830048,NO
211,51,0.041856125907990774,NO
212,25,0.04008620436883496,NO
213,180,0.0470756372692384,NO
214,64,0.04271078237315339,NO
215,101,0.04409353553200173,NO
216,512,0.05262186532243167,NO
217,187,0.04722873605253446,NO
218,56,0.04169961319598909,NO
219,39,0.040980614707890335,NO
220,261,0.05021238980981933,NO
221,73,0.04271078237315339,NO
222,65,0.04271078237315339,NO
223,329,0.05148621265685169,NO
224,64,0.04265069622421491,NO
225,164,0.04774185202376538,NO
226,624,0.06299296968269437,NO
227,74,0.04265069622421491,NO
228,117,0.04509318037712742,NO
229,84,0.04348144761314997,NO
230,226,0.06932461713481142,NO
231,76,0.04271078237315339,NO
232,323,0.05656818777813499,NO
233,72,0.043376217747990935,NO
234,42,0.04114846029016492,NO
235,48,0.04262623887338237,NO
236,89,0.06356291274888651,NO
237,380,0.9999996979324998,NO
238,141,0.04581834390231299,NO
239,148,0.04566959795810517,NO
240,191,0.04767555207518038,NO
241,46,0.04225347233466941,NO
242,165,0.04632504695577017,NO
243,171,0.07462721653748196,NO
244,56,0.041641744284892195,NO
245,179,0.05759935473086592,NO
246,74,0.042511775655580064,NO
247,36,0.040922858532574484,NO
248,37,0.04082723629787297,NO
249,34,0.040922858532574484,NO
250,34,0.040922858532574484,NO
251,38,0.040789326041451274,NO
252,39,0.04073321969668689,NO
253,156,0.056767738853121745,NO
254,84,0.04324879949355528,NO
255,117,0.04595791271535719,NO
256,94,0.04434235824205422,NO
257,71,0.04242229591538021,NO
258,183,0.2624975004891342,NO
259,85,0.043253221060400956,NO
260,183,0.07289592425210979,NO
261,70,0.04271078237315339,NO
262,54,0.04316802351089212,NO
263,160,0.2028251204985449,NO
264,128,0.046233315965035174,NO
265,151,0.04591231329193647,NO
266,422,0.09536673421707112,NO
267,221,0.08799737414690575,NO
268,50,0.04225347233466941,NO
269,42,0.040980614707890335,NO
270,624,0.9111296647649841,NO
271,377,0.055270372364426175,NO
272,382,0.598979037914983,NO
273,72,0.04271078237315339,NO
274,92,0.04339933606332528,NO
275,282,0.09812898760344389,NO
