ID,Size,Predicted %,Actual value
0,215,0.15214493242471347,NO
1,273,0.20834050163524231,YES
2,460,0.8949633234251116,YES
3,138,0.0942437460950892,NO
4,358,0.5246073814069852,NO
5,1248,1.0,YES
6,51,0.11596937901852451,NO
7,157,0.09259111893102746,NO
8,31,0.13018822158944007,NO
9,981,0.9999999999999682,YES
10,180,0.14537273817192345,NO
11,262,0.2115773845621795,NO
12,553,0.9999580008153314,YES
13,40,0.13017605748906477,NO
14,369,0.7869341331219253,NO
15,390,0.6713283543518127,NO
16,51,0.12112251030592311,NO
17,577,0.9999701233448508,YES
18,32,0.13133386051038717,NO
19,66,0.11596937901852451,NO
20,188,0.11307097921855579,YES
21,582,0.9999993565527074,YES
22,160,0.09174774226045548,YES
23,50,0.11494003203964513,NO
24,27,0.13133386051038717,NO
25,923,0.9999999999998761,YES
26,60,0.1254214211361152,NO
27,62,0.11494003203964513,NO
28,87,0.10771279557396662,NO
29,52,0.11494003203964513,NO
30,268,0.5616723317569932,YES
31,163,0.11366427402927903,NO
32,109,0.2548179766559949,NO
33,147,0.12404563181168071,NO
34,58,0.11494003203964513,NO
35,44,0.13018822158944007,NO
36,106,0.11313425714703769,YES
37,139,0.4597551841427103,NO
38,326,0.44777440595857265,YES
39,648,1.0,YES
40,792,1.0,YES
41,319,0.6812960608812574,YES
42,55,0.11804092824764123,NO
43,191,0.13459854815404707,NO
44,90,0.17263801918161628,NO
45,273,0.3410223031722075,YES
46,137,0.1550114535785628,NO
47,79,0.12288541572561576,NO
48,82,0.1086541515572696,NO
49,147,0.1550114535785628,NO
50,422,0.9940883219579223,YES
51,979,1.0,YES
52,495,0.9976387012922344,YES
53,189,0.1622006949871946,YES
54,167,0.11307097921855579,YES
55,86,0.08925043574142313,NO
56,182,0.1622006949871946,YES
57,361,0.5591434219438178,YES
58,126,0.10729944937033552,YES
59,106,0.10729944937033552,NO
60,109,0.10730973952461925,NO
61,85,0.10771279557396662,NO
62,236,0.8860153345310323,NO
63,315,0.9999881917790493,YES
64,695,1.0,YES
65,27,0.13133386051038717,NO
66,89,0.11059024505228625,NO
67,301,0.7605803146592762,YES
68,153,0.1197874183776876,YES
69,92,0.10771279557396662,NO
70,466,0.9979502054929916,YES
71,93,0.10771279557396662,NO
72,244,0.47696082255598116,NO
73,192,0.8636667701086248,YES
74,252,0.459727630326849,NO
75,109,0.20716388826328733,NO
76,601,0.9996059389724157,YES
77,565,0.9978141353365754,YES
78,69,0.11596937901852451,NO
79,77,0.10868536700073184,NO
80,94,0.11064308735592958,YES
81,337,0.45281741662382263,NO
82,214,0.1599669146785076,NO
83,79,0.15887037777481453,NO
84,25,0.13133386051038717,NO
85,84,0.11762271923067853,NO
86,34,0.13363837483937563,NO
87,33,0.13363837483937563,NO
88,104,0.2556164280450934,NO
89,172,0.9658201051344859,NO
90,70,0.12112251030592311,NO
91,140,0.11465095975848022,NO
92,156,0.09256404586128518,NO
93,248,0.40103918073570244,NO
94,277,0.2082873528338272,YES
