ID,Size,Predicted %,Actual value
0,215,0.01874211618094849,NO
1,273,0.0271640767788276,YES
2,460,0.47370352171639474,YES
3,138,0.010960769672015203,NO
4,358,0.10508200917807546,NO
5,1248,1.0,YES
6,51,0.013791281017277474,NO
7,157,0.010717413775445451,NO
8,31,0.015698744482084304,NO
9,981,0.9999999999996787,YES
10,180,0.017601533726892833,NO
11,262,0.027770397132193935,NO
12,553,0.9995920081486358,YES
13,40,0.01572148004921955,NO
14,369,0.27931230456909867,NO
15,390,0.17851844147933787,NO
16,51,0.014489071492507102,NO
17,577,0.999666883142099,YES
18,32,0.015864609706926255,NO
19,66,0.013791281017277474,NO
20,188,0.01329877118877334,YES
21,582,0.9999933677281023,YES
22,160,0.010572625625061805,YES
23,50,0.013605537214026362,NO
24,27,0.015864609706926255,NO
25,923,0.9999999999987407,YES
26,60,0.01499707937473064,NO
27,62,0.013605537214026362,NO
28,87,0.012656397019851905,NO
29,52,0.013605537214026362,NO
30,268,0.1231917800913517,YES
31,163,0.013429790562785498,NO
32,109,0.03306958931947598,NO
33,147,0.014803627536536215,NO
34,58,0.013605537214026362,NO
35,44,0.015698744482084304,NO
36,106,0.013420843635509756,YES
37,139,0.09387399231669813,NO
38,326,0.08115044907552174,YES
39,648,1.0,YES
40,792,1.0,YES
41,319,0.1832384142850272,YES
42,55,0.014042239035623487,NO
43,191,0.016880085742759256,NO
44,90,0.024025432007672508,NO
45,273,0.05307431005650677,YES
46,137,0.019667020489391597,NO
47,79,0.01455040140124744,NO
48,82,0.012866646803866644,NO
49,147,0.019667020489391597,NO
50,422,0.9442566448832324,YES
51,979,1.0,YES
52,495,0.9751924802284043,YES
53,189,0.020864943040190723,YES
54,167,0.013869314590242526,YES
55,86,0.010283085298648631,NO
56,182,0.020864943040190723,YES
57,361,0.12269975247980083,YES
58,126,0.012658228468841726,YES
59,106,0.012658228468841726,NO
60,109,0.01260161627016142,NO
61,85,0.012656397019851905,NO
62,236,0.4393475291106769,NO
63,315,0.9997983950234477,YES
64,695,1.0,YES
65,27,0.015864609706926255,NO
66,89,0.01312002643601296,NO
67,301,0.2740691562871762,YES
68,153,0.014302077453116019,YES
69,92,0.012694810812935628,NO
70,466,0.9784192854986404,YES
71,93,0.012694810812935628,NO
72,244,0.09091038002773094,NO
73,192,0.3812160683354157,YES
74,252,0.08351230807368999,NO
75,109,0.029478003918301153,NO
76,601,0.9962774704958635,YES
77,565,0.9803901359223187,YES
78,69,0.013791281017277474,NO
79,77,0.01282935162304518,NO
80,94,0.01282935162304518,YES
81,337,0.07947393395070172,NO
82,214,0.019892536537648865,NO
83,79,0.018541188371926216,NO
84,25,0.015864609706926255,NO
85,84,0.01455040140124744,NO
86,34,0.01615267786696358,NO
87,33,0.01615267786696358,NO
88,104,0.03751300890875419,NO
