ID,Size,Predicted %,Actual value
0,215,0.5703576580031738,NO
1,271,0.5852858790094252,YES
2,458,0.35308231495775405,YES
3,137,0.560186901487008,YES
4,357,0.3971585545726702,YES
5,1242,1.0,YES
6,51,0.46515713203217046,NO
7,154,0.34478401912816553,YES
8,31,0.46515713203217046,NO
9,928,0.7991093537057802,NO
10,180,0.5878033908051808,NO
11,260,0.7814537406409682,YES
12,551,0.994354241575627,YES
13,40,0.4722006524645636,NO
14,361,0.516174550547468,YES
15,388,0.5751459528574195,YES
16,51,0.2953288285362781,NO
17,577,0.9992088428689337,NO
18,32,0.46515713203217046,NO
19,66,0.46515713203217046,NO
20,188,0.9996702114764617,YES
21,582,0.9995571108455026,NO
22,158,0.3512016994052202,YES
23,50,0.2817931018629625,NO
24,27,0.46515713203217046,NO
25,928,0.999999745304834,YES
26,60,0.4980719285846665,NO
27,62,0.2817931018629625,NO
28,87,0.31979140843459963,NO
29,52,0.2817931018629625,NO
30,268,0.8665015959910526,NO
31,163,0.55243430793887,NO
32,109,0.41105964897892194,NO
33,147,0.5778884056116057,NO
34,58,0.2817931018629625,NO
35,44,0.46515713203217046,NO
36,106,0.38799651542159874,NO
37,139,0.7031817340588022,NO
38,326,0.5620182213453986,NO
39,648,0.9999999999853986,NO
40,778,1.0,YES
41,314,0.8198008429782239,YES
42,55,0.4589030711295802,NO
43,191,0.3991335937001736,NO
44,90,0.3710757809264709,NO
45,273,0.69207430022437,NO
46,137,0.7404288079075727,NO
47,79,0.6847125664471011,NO
48,82,0.3266620626222865,NO
49,147,0.9402512402411443,NO
50,422,0.830223799115267,NO
51,978,0.9999999999999912,YES
52,467,0.9999999929978425,YES
53,189,0.7917161065289513,NO
54,153,0.5523166773800082,NO
55,84,0.5040235586927834,YES
56,182,0.9860046861477403,NO
57,358,0.9999999999999016,NO
58,126,0.6619317311121776,NO
59,106,0.30723633977434706,NO
60,109,0.30723633977434706,NO
61,85,0.5173784509269339,NO
62,236,0.9047830194289759,NO
63,314,0.952823521522231,YES
64,694,0.9999997032155614,YES
65,27,0.46515713203217046,NO
66,89,0.33430277301848726,NO
67,301,0.9999715433629696,YES
68,153,0.9842120673232156,NO
69,92,0.7061327814454077,NO
70,466,0.9952775742168276,NO
71,93,0.7061327814454077,NO
72,244,0.991390604082089,NO
73,192,0.835995671378298,NO
74,250,0.8739281732076382,YES
75,109,0.6275141068087455,NO
76,601,0.5396792209800756,NO
77,565,1.0,YES
78,69,0.3123480063657863,NO
79,77,0.3250139609084593,NO
80,94,0.36005359035963436,NO
81,337,0.4735950408682959,NO
82,214,0.44678051922940537,NO
83,79,0.42889283178598736,NO
84,25,0.23422452197884647,NO
85,84,0.39697521177849987,NO
86,34,0.2711033577146751,NO
87,33,0.2711033577146751,NO
88,104,0.48325224329179745,NO
89,172,0.7372852107509237,NO
90,70,0.3032255775962111,NO
91,140,0.41355084141031917,NO
92,154,0.41355084141031917,YES
93,248,0.48592076175512755,NO
94,275,0.4389655877947316,YES
95,176,0.5095545701495235,NO
96,624,0.9999999808681344,YES
97,91,0.3136702075824561,YES
98,58,0.4886595758645342,YES
99,132,0.3952072764185005,NO
100,4088,5.622239106615153E-76,NO
101,558,0.6627930292945357,NO
102,727,0.9999024556977957,YES
103,150,0.3391222045633465,YES
104,503,0.6214294406911166,YES
105,325,0.9965803045918943,NO
106,273,0.9946425048213168,YES
107,136,0.7459902015690162,NO
108,56,0.28819325945996804,NO
109,74,0.6803794702532379,NO
110,357,0.9999897934465488,YES
111,174,0.609646305471955,NO
112,148,0.5983985846365394,NO
113,92,0.5431776072205211,NO
114,45,0.27013739346926724,NO
115,168,0.6513432818663201,NO
116,77,0.4886595758645342,NO
117,664,0.9258990278342846,YES
118,88,0.34273477938588415,NO
119,260,0.9300254686927012,YES
120,54,0.4722006524645636,NO
121,48,0.2817931018629625,NO
122,140,0.5731516072447523,NO
123,152,0.4890237676172111,NO
124,39,0.4589030711295802,NO
125,131,0.41741393292038875,NO
126,47,0.46515713203217046,NO
127,129,0.5500272355678538,NO
128,43,0.4800349302509749,NO
129,243,0.8653202185666936,NO
130,62,0.27013739346926724,NO
131,45,0.2711033577146751,NO
132,94,0.38799651542159874,YES
133,72,0.4886595758645342,NO
134,42,0.4800349302509749,NO
135,48,0.4886595758645342,NO
136,89,0.3835923824780675,NO
137,380,0.9992112623272335,NO
138,138,0.34478401912816553,YES
139,142,0.33172625776841363,YES
140,191,0.3745663483031155,NO
141,46,0.4589030711295802,NO
142,165,0.55243430793887,NO
143,171,0.43119966336518556,NO
144,56,0.2817931018629625,NO
145,179,0.7404288079075727,NO
146,74,0.46515713203217046,NO
147,36,0.46515713203217046,NO
148,37,0.46515713203217046,NO
149,34,0.27610400248691597,NO
150,34,0.27610400248691597,NO
151,38,0.46515713203217046,NO
152,39,0.4722006524645636,NO
153,156,0.4637138023208798,NO
154,84,0.3724584673546355,NO
155,117,0.7252995523840217,NO
156,94,0.3214472184441964,NO
157,71,0.44636026521619016,NO
158,183,0.9998834237175415,NO
159,85,0.4913674118697119,NO
160,183,0.4890237676172111,NO
161,70,0.26459691669723445,NO
162,54,0.2953288285362781,NO
163,160,0.6216834809243054,NO
164,125,0.9999999263399395,NO
165,151,0.9929568383604189,NO
166,421,0.9999999441605314,YES
167,219,0.8515140772811235,YES
168,50,0.2711033577146751,NO
169,42,0.43938131529282676,NO
170,624,0.7996250118330733,NO
171,377,0.6764506424963136,NO
172,383,0.808487925154794,NO
173,72,0.27610400248691597,NO
174,92,0.37982880957679493,NO
175,284,0.5951720213132168,YES
176,371,0.6867455467078833,NO
177,47,0.2711033577146751,NO
178,108,0.3742369427001435,NO
179,111,0.39697521177849987,NO
180,319,0.6770433573984744,NO
181,129,0.3229541543106244,NO
182,49,0.2711033577146751,NO
183,358,0.7045838853540267,NO
184,277,0.6860597345922547,NO
185,49,0.25972990559309905,NO
186,89,0.4989080013019737,NO
187,41,0.4589030711295802,NO
188,66,0.46515713203217046,NO
189,63,0.4800349302509749,NO
190,24,0.23422452197884647,NO
191,50,0.2953288285362781,NO
192,72,0.3123480063657863,NO
193,47,0.28819325945996804,NO
194,47,0.4886595758645342,NO
195,183,0.6215137637350175,NO
196,49,0.4589030711295802,NO
197,50,0.4589030711295802,NO
198,98,0.5040235586927834,NO
199,143,0.5878033908051808,NO
200,43,0.4589030711295802,NO
201,42,0.4589030711295802,NO
202,56,0.46515713203217046,NO
203,44,0.28819325945996804,NO
204,26,0.22974165215226078,NO
205,254,0.9928584863374899,NO
206,16883,0.9999999999997573,NO
207,74,0.31951847998239297,NO
208,153,0.560186901487008,NO
209,68,0.6136722819879057,NO
210,100,0.3136702075824561,NO
211,549,0.9978236554252697,YES
212,437,0.42094507712668516,NO
213,1033,0.988863381493597,YES
214,101,0.3136702075824561,YES
215,331,0.43703940116793144,YES
216,123,0.5173784509269339,NO
217,106,0.30827893080285207,NO
218,106,0.30827893080285207,NO
219,93,0.30827893080285207,YES
220,101,0.5040235586927834,YES
221,38,0.27610400248691597,NO
222,584,0.9999999999999966,YES
223,32,0.4589030711295802,NO
224,111,0.5103126035979324,NO
225,35,0.46515713203217046,NO
226,90,0.30827893080285207,NO
227,27,0.4589030711295802,NO
228,28,0.4589030711295802,NO
229,92,0.839376716517171,NO
230,885,1.0,YES
231,67,0.4589030711295802,NO
232,29,0.46515713203217046,NO
233,105,0.3658713988436124,NO
234,72,0.4589030711295802,NO
235,37,0.4722006524645636,NO
236,47,0.2711033577146751,NO
237,31,0.46515713203217046,NO
238,90,0.2959791731857274,NO
239,223,0.999993396635808,NO
240,214,0.8215921926309465,NO
241,107,0.4843003288760082,NO
242,37,0.4722006524645636,NO
243,27,0.46515713203217046,NO
244,48,0.46515713203217046,NO
245,166,0.46167809463232473,YES
246,213,0.7750978111720852,NO
247,866,0.07817750502280404,YES
248,159,0.8108520745729418,NO
249,100,0.4539108642341133,NO
250,96,0.4539108642341133,NO
251,841,0.9969900149354076,YES
252,525,0.9999999855429442,NO
253,83,0.3136702075824561,NO
254,63,0.4980719285846665,NO
255,76,0.4800349302509749,NO
256,202,0.39013766309191145,NO
257,155,0.5344067912710952,YES
258,1262,0.9999999972104292,YES
259,74,0.4589030711295802,NO
260,101,0.4913674118697119,NO
261,27,0.27610400248691597,NO
262,22,0.4048014940723788,NO
263,489,0.7613092620737807,YES
264,62,0.4589030711295802,NO
265,59,0.27610400248691597,NO
266,99,0.41105964897892194,NO
267,27,0.46515713203217046,NO
268,77,0.4800349302509749,NO
269,846,0.9999637662501881,NO
270,64,0.26459691669723445,NO
271,45,0.4800349302509749,NO
272,63,0.5082664209623015,NO
273,54,0.2711033577146751,NO
274,64,0.4722006524645636,NO
275,132,0.34478401912816553,NO
276,177,0.33802627657351014,NO
277,70,0.2711033577146751,NO
278,36,0.4589030711295802,NO
279,58,0.4589030711295802,NO
280,62,0.4589030711295802,NO
281,132,0.560186901487008,NO
282,74,0.46515713203217046,NO
283,83,0.5040235586927834,YES
284,74,0.46515713203217046,NO
285,48,0.4722006524645636,NO
286,74,0.2817931018629625,NO
287,86,0.5173784509269339,NO
288,355,0.4103089792970522,NO
289,53,0.46515713203217046,NO
290,798,0.999999863026219,YES
291,75,0.27013739346926724,NO
292,125,0.9152673167517852,NO
293,200,0.993152922889579,NO
294,134,0.5594935281765339,NO
295,57,0.5082664209623015,NO
296,123,0.45981498525990666,NO
297,204,0.3991335937001736,NO
298,162,0.42195032071819627,NO
299,130,0.3742369427001435,NO
300,108,0.48325224329179745,NO
301,353,0.493605240436519,NO
302,80,0.5756292578335745,NO
303,28,0.4589030711295802,NO
304,57,0.46515713203217046,NO
305,306,0.675653621025249,YES
306,340,0.5230112138513761,YES
307,103,0.5040235586927834,NO
308,35,0.4589030711295802,NO
309,98,0.5040235586927834,NO
310,117,0.3136702075824561,YES
311,84,0.4412187779568251,NO
312,132,0.5983985846365394,NO
313,98,0.3742369427001435,NO
314,100,0.3742369427001435,NO
315,81,0.3658713988436124,NO
316,98,0.36005359035963436,NO
317,341,0.46896831593990507,NO
318,113,0.3297155730898141,NO
319,58,0.46515713203217046,NO
320,127,0.3387900688498855,NO
321,376,0.9192861027103854,NO
322,107,0.4898312636019653,NO
323,70,0.31191027277906525,NO
324,31,0.46515713203217046,NO
325,32,0.4589030711295802,NO
326,227,0.5641811841630086,NO
