ID,Size,Predicted %,Actual value
0,215,0.011542849760032666,NO
1,273,0.029678377117257078,YES
2,460,0.533454884830127,YES
3,138,0.012360767928101427,NO
4,358,0.11926662475343061,NO
5,1248,1.0,YES
6,51,0.008639490169212925,NO
7,157,0.012592552771967297,NO
8,31,0.009339591415853818,NO
9,981,0.9999999999999145,YES
10,180,0.011785760781297647,NO
11,262,0.030616347973005446,NO
12,553,0.9997281628439106,YES
13,40,0.009400853177296222,NO
14,369,0.5733273161360066,NO
15,390,0.22673326684407968,NO
16,51,0.009279355658793922,NO
17,577,0.9996799839505406,YES
18,32,0.009395734086898984,NO
19,66,0.008639490169212925,NO
20,188,0.016752980251855516,YES
21,582,0.9999938783601332,YES
22,160,0.01251981515791402,YES
23,50,0.008581975596411613,NO
24,27,0.010495373489048639,NO
25,923,0.9999999999995492,YES
26,60,0.009601628740386092,NO
27,62,0.008581975596411613,NO
28,87,0.007864658617323586,NO
29,52,0.008581975596411613,NO
30,268,0.07967465009910914,YES
31,163,0.009119963303001506,NO
32,109,0.02129551842296703,NO
33,147,0.009444443064232382,NO
34,58,0.008581975596411613,NO
35,44,0.009339591415853818,NO
36,106,0.008476191327704384,YES
37,139,0.053933054495891405,NO
38,326,0.04481581763886249,YES
39,648,1.0,YES
40,792,1.0,YES
41,319,0.3104367897231842,YES
42,55,0.00874533097268876,NO
43,191,0.01112119798690488,NO
44,90,0.014427890117416697,NO
45,273,0.031057117292326557,YES
46,137,0.012095494492450254,NO
47,79,0.009442599410242272,NO
48,82,0.008267704512048158,NO
49,147,0.01228504750248844,NO
50,422,0.8996575899894066,YES
51,979,1.0,YES
52,495,0.9923624764775356,YES
53,189,0.013387061618062211,YES
54,167,0.015400465941229574,YES
55,86,0.011878948680223296,NO
56,182,0.013387061618062211,YES
57,361,0.1367385887417188,YES
58,126,0.008084053433855527,YES
59,106,0.007895573494271958,NO
60,109,0.007845469924768964,NO
61,85,0.008105826339437018,NO
62,236,0.3126711596383116,NO
63,315,0.9999431357102657,YES
64,695,1.0,YES
65,27,0.010495373489048639,NO
66,89,0.008173423198543502,NO
67,301,0.2944537712395535,YES
68,153,0.009127397206809511,YES
69,92,0.007870024942707854,NO
70,466,0.9909033637759797,YES
71,93,0.007870024942707854,NO
72,244,0.06141752316033516,NO
73,192,0.2740893081311828,YES
74,252,0.10663156534522386,NO
75,109,0.018176312503538503,NO
76,601,0.9947673955157644,YES
77,565,0.9812281877558942,YES
78,69,0.008160176126263016,NO
79,77,0.008160176126263016,NO
80,94,0.007959635941002923,YES
81,337,0.059872119472926526,NO
82,214,0.012287240899346942,NO
83,79,0.012666561070795373,NO
84,25,0.010495373489048639,NO
85,84,0.00924700754620252,NO
86,34,0.009510750614144574,NO
87,33,0.009510750614144574,NO
88,104,0.023840613815236257,NO
89,172,0.6360836680414159,NO
90,70,0.008908969153462927,NO
91,140,0.008186121513456402,NO
92,156,0.012668570428124765,NO
93,248,0.043443915928616454,NO
94,277,0.03793109594439525,YES
95,189,0.049718696955090846,NO
96,194,0.049824911760059716,NO
97,346,0.6605172855087146,NO
98,304,0.15289078276777726,NO
99,356,0.39994666472583873,YES
100,84,0.04037405691300538,NO
101,53,0.013213303154695393,NO
102,132,0.011300966883944077,NO
103,4088,1.0,NO
