ID,Size,Predicted %,Actual value
0,215,0.24214787063758125,NO
1,273,0.26080263768057754,YES
2,460,0.2720313234079076,YES
3,138,0.2524023677012497,NO
4,358,0.26938650963008126,NO
5,1154,0.9999891170660764,YES
6,51,0.24014208190322897,NO
7,157,0.2509808652096429,NO
8,31,0.23920803970319707,NO
9,1009,0.937297953054366,YES
10,193,0.26703253439504493,NO
11,83,0.23861465955815706,YES
12,262,0.2622602909645395,NO
13,638,0.9779628911235962,YES
14,40,0.2391537076526025,NO
15,374,0.34206233562674204,NO
16,390,0.26843752425107187,NO
17,51,0.24636174910560213,NO
18,579,0.8604951973059946,YES
19,32,0.24014208190322897,NO
20,66,0.24014208190322897,NO
21,260,0.36994970286301626,YES
22,596,0.9936117088255101,NO
23,198,0.3020408502576943,NO
24,50,0.2388791508813822,NO
25,27,0.23437781245151457,NO
26,926,0.9454729395395507,NO
27,60,0.24973721628439868,NO
28,62,0.23920803970319707,NO
29,87,0.2443988435545763,NO
30,52,0.23920803970319707,NO
31,297,0.5752412825922928,NO
32,163,0.25001853647496247,NO
33,118,0.4017361670789766,NO
34,83,0.23253022989804864,NO
35,147,0.2608603994103568,NO
36,58,0.2388791508813822,NO
37,44,0.23920803970319707,NO
38,106,0.2391992246715842,NO
39,192,0.3311371831563312,NO
40,151,0.5790827889082584,NO
41,352,0.2534789771989097,YES
42,752,1.0,YES
43,877,0.9999999999935987,YES
44,319,0.38589540545818285,YES
45,27,0.22220893036716022,NO
46,55,0.2416861137472194,NO
47,94,0.23312964266096234,NO
48,191,0.25738616690116756,NO
49,90,0.31913979541374016,NO
50,90,0.3036391263378053,NO
51,271,0.3016551890365529,YES
52,138,0.28245119220548875,NO
53,79,0.2537711314818029,NO
54,82,0.24003313584619304,NO
55,147,0.2887932326868861,NO
56,422,0.7613424299206452,YES
57,1026,0.9999999997855004,YES
58,530,0.747620519273082,NO
59,189,0.281721749339146,YES
60,167,0.24776149573764594,YES
61,86,0.2472495963273841,NO
62,195,0.34596491395994167,YES
63,374,0.33971775249521363,YES
64,573,0.6047482199480002,NO
65,126,0.24467770497442828,YES
66,106,0.2321361949724529,YES
67,109,0.2443988435545763,NO
68,85,0.24473288832112974,NO
69,237,0.7313821768414369,NO
70,345,0.999106701495075,YES
71,47,0.2285258872312979,NO
72,781,1.0,YES
73,27,0.23437781245151457,NO
74,89,0.24708292618631175,NO
75,300,0.6190061542721168,YES
76,166,0.30469399068293823,NO
77,92,0.24473288832112974,NO
78,497,0.9715686799694455,YES
79,93,0.24473288832112974,NO
80,244,0.4502636443588785,NO
81,183,0.7261124618503878,YES
82,252,0.47580269909093165,NO
83,109,0.35572740452605517,YES
84,607,0.4315563487545261,YES
85,565,0.374436539394758,YES
86,69,0.24014208190322897,NO
87,77,0.24014208190322897,NO
88,97,0.23461720648271778,NO
89,343,0.25364850831498587,NO
90,214,0.25966333448825124,NO
91,79,0.28459888087265717,NO
92,25,0.23437781245151457,NO
93,84,0.25542360530058617,NO
94,34,0.2416861137472194,NO
95,33,0.2416861137472194,NO
96,104,0.3850449481286473,NO
97,172,0.891339081410746,NO
98,70,0.24636174910560213,NO
99,140,0.25086862533131654,NO
100,156,0.2499625557459621,NO
101,142,0.36047899302922876,NO
102,152,0.3125219611726246,NO
103,31,0.22629929881954908,NO
104,60,0.24486905138735912,NO
105,60,0.2285258872312979,NO
106,876,0.9999946440202425,NO
107,61,0.23643685788844315,NO
108,185,0.3357052722195741,NO
109,264,0.5743062037175475,NO
110,248,0.3887060776640768,NO
111,286,0.3090362610061876,YES
112,185,0.29718392501853547,NO
113,194,0.2560257001014509,NO
114,346,0.5229613127555693,NO
115,309,0.2534789771989097,NO
116,363,0.7703399410565199,YES
117,84,0.24568153699994555,NO
118,53,0.24152199062951996,NO
119,132,0.28299716628397076,YES
120,4088,0.0837157896322898,NO
121,721,0.8845216578446116,YES
122,47,0.24014208190322897,NO
123,101,0.252278595032199,NO
124,517,0.3698837833609143,YES
125,327,0.44508067575300875,YES
126,274,0.33048371065136184,YES
127,136,0.2455708900245513,YES
128,56,0.2391537076526025,NO
129,74,0.2391537076526025,YES
130,361,0.4024372580111875,YES
131,174,0.30535418255484503,NO
132,148,0.281721749339146,NO
133,92,0.25951759949962744,NO
134,45,0.2388791508813822,NO
135,168,0.31490377510067025,NO
136,77,0.24152199062951996,NO
137,666,0.9997112520389023,NO
138,88,0.25542360530058617,NO
139,263,0.25126500912172356,NO
140,54,0.2388791508813822,NO
141,51,0.22765793888963584,NO
142,132,0.23922486776426044,NO
143,160,0.29090037178191286,YES
144,152,0.37652100466653776,NO
145,39,0.2416861137472194,NO
146,677,0.9994199117836334,NO
147,131,0.27601252779654173,NO
148,47,0.24014208190322897,NO
149,129,0.29077141438710774,NO
150,43,0.24152199062951996,NO
151,257,0.5678338518493555,NO
152,356,0.9507360521922882,NO
153,62,0.2391537076526025,NO
154,45,0.2416861137472194,NO
155,97,0.24922143388605966,NO
156,476,0.5377055841990429,NO
157,77,0.23920803970319707,NO
158,69,0.24014208190322897,NO
159,104,0.24568153699994555,NO
160,115,0.24568153699994555,NO
161,421,0.9999999994476755,NO
162,61,0.24014208190322897,NO
163,2009,0.9999646297480353,NO
164,179,0.2499625557459621,NO
165,106,0.25199709528912095,NO
166,33,0.24014208190322897,NO
167,657,0.28471059015838973,NO
168,295,0.25946815340550156,NO
169,872,0.7356837911598662,NO
170,444,0.35129393857350805,NO
171,168,0.2496796621625113,NO
172,752,0.2970091128745814,NO
173,135,0.24473288832112974,NO
174,1126,0.3005552032885955,NO
175,163,0.2499625557459621,NO
176,184,0.2509808652096429,NO
177,51,0.24014208190322897,NO
178,25,0.23437781245151457,NO
179,180,0.25001853647496247,NO
180,64,0.24014208190322897,NO
181,101,0.24467770497442828,NO
182,512,0.27687765566149736,NO
183,187,0.2509808652096429,NO
184,56,0.24014208190322897,NO
185,39,0.24014208190322897,NO
186,261,0.26080263768057754,NO
187,73,0.24014208190322897,NO
188,65,0.24014208190322897,NO
189,329,0.2652992438154862,NO
190,64,0.24014208190322897,NO
191,164,0.25738616690116756,NO
192,624,0.33215401137108086,NO
193,74,0.24014208190322897,NO
194,117,0.2455708900245513,NO
195,84,0.24568153699994555,NO
196,226,0.34267293220006567,NO
197,76,0.24014208190322897,NO
198,323,0.2848414795658981,NO
199,72,0.2436279421667968,NO
200,42,0.24152199062951996,NO
201,48,0.2436279421667968,NO
202,89,0.33038260090079574,NO
203,380,0.9999999923424765,NO
204,141,0.2509808652096429,NO
205,148,0.25001853647496247,NO
206,191,0.2499625557459621,NO
207,46,0.2416861137472194,NO
208,165,0.25001853647496247,NO
209,171,0.3622604556370961,NO
210,56,0.2391537076526025,NO
211,179,0.29666082590266757,NO
212,74,0.23920803970319707,NO
213,36,0.24014208190322897,NO
214,37,0.24014208190322897,NO
215,34,0.24014208190322897,NO
216,34,0.24014208190322897,NO
217,38,0.23920803970319707,NO
218,39,0.23920803970319707,NO
219,156,0.29666082590266757,NO
220,84,0.2443988435545763,NO
221,117,0.24922143388605966,NO
222,94,0.24922143388605966,NO
223,71,0.2388791508813822,NO
224,183,0.7396350870636659,NO
225,85,0.2443988435545763,NO
