ID,Size,Predicted %,Actual value
0,215,1.0618678428573594E-4,NO
1,273,6.858672692743917E-5,YES
2,460,7.1936164691247E-5,YES
3,138,6.40585423027612E-5,NO
4,358,7.039551501110702E-5,NO
5,1154,0.9999999952148115,YES
6,51,6.305010063835331E-5,NO
7,157,6.49476369272309E-5,NO
8,31,6.027073494493721E-5,NO
9,1009,0.0905680095361616,YES
10,193,1.1214896402485953E-4,NO
11,83,9.992056123855839E-5,YES
12,262,6.764781868969894E-5,NO
13,638,0.12740247873473046,YES
14,40,6.150020003417757E-5,NO
15,374,1.6863747371602392E-4,NO
16,390,7.039551501110702E-5,NO
17,51,6.429033439352869E-5,NO
18,579,0.013629781607401801,YES
19,32,6.305010063835331E-5,NO
20,66,6.305010063835331E-5,NO
21,260,3.7925353939207085E-4,YES
22,596,0.6089227068036934,NO
23,198,6.31127505589739E-4,NO
24,50,6.16699778307926E-5,NO
25,27,6.111043908914632E-5,NO
26,926,0.7674470036284057,NO
27,60,6.59139747327644E-5,NO
28,62,6.16699778307926E-5,NO
29,87,6.16699778307926E-5,NO
30,52,6.16699778307926E-5,NO
31,297,0.0039404201311941025,NO
32,163,6.533353566034459E-5,NO
33,118,3.0924551656822747E-4,NO
34,83,9.664659680788975E-5,NO
35,147,6.789769543635112E-5,NO
36,58,6.16699778307926E-5,NO
37,44,6.218374571928397E-5,NO
38,106,2.5500242391855325E-4,NO
39,192,0.0012760449404549646,NO
40,151,7.169525662512968E-4,NO
41,352,9.110576559286657E-5,YES
42,752,1.0,YES
43,877,1.0,YES
44,319,4.3544412914749614E-4,YES
45,27,1.873743540031872E-4,NO
46,55,6.428364616927617E-5,NO
47,94,9.664659680788975E-5,NO
48,191,6.810954614511915E-5,NO
49,90,9.822875261201005E-5,NO
50,90,1.5266505554478352E-4,NO
51,271,3.601886132282746E-4,YES
52,138,1.3471840727052626E-4,NO
53,79,6.79540129653219E-5,NO
54,82,6.167158186392319E-5,NO
55,147,8.357962335771911E-5,NO
56,422,0.0012226113786026817,YES
57,1026,0.9999999999999929,YES
58,530,0.19636779130560683,NO
59,189,8.155009590523127E-5,YES
60,167,1.1255633540724958E-4,YES
61,86,6.428364616927617E-5,NO
62,195,4.3542420267029034E-4,YES
63,374,1.6879475436182214E-4,YES
64,573,0.9976208631002986,NO
65,126,6.335109395002239E-5,YES
66,106,1.0211417298886002E-4,YES
67,109,6.352598101013493E-5,NO
68,85,6.16699778307926E-5,NO
69,237,0.0021983215666499054,NO
70,345,0.8817276362604275,YES
71,47,7.707682297267478E-5,NO
72,781,1.0,YES
73,27,6.111043908914632E-5,NO
74,89,6.218698054463154E-5,NO
75,300,0.04992929483341677,YES
76,166,0.008885458515378282,NO
77,92,6.218374571928397E-5,NO
78,497,0.9994587419557706,YES
79,93,6.218374571928397E-5,NO
80,244,2.0261859244242954E-4,NO
81,183,0.00510020835770214,YES
82,252,2.556927225054956E-4,NO
83,109,1.2875985779694675E-4,YES
84,607,0.0389119889976228,YES
85,565,0.0011387481308560387,YES
86,69,6.305010063835331E-5,NO
87,77,6.305010063835331E-5,NO
88,97,2.500840569322788E-4,NO
89,343,1.1555362771666726E-4,NO
90,214,6.680085249891664E-5,NO
91,79,8.599819149666183E-5,NO
92,25,6.111043908914632E-5,NO
93,84,6.59139747327644E-5,NO
94,34,6.428364616927617E-5,NO
95,33,6.428364616927617E-5,NO
96,104,1.554473213363783E-4,NO
97,172,0.005452512925754949,NO
98,70,6.429033439352869E-5,NO
99,140,6.35276333147512E-5,NO
100,156,6.35276333147512E-5,NO
101,142,5.766356913091213E-4,NO
102,152,6.953216507909823E-4,NO
103,31,7.73560574289898E-5,NO
104,60,8.912657035083308E-5,NO
105,60,7.86772415210184E-5,NO
106,876,1.0,NO
107,61,8.339244868777516E-5,NO
108,185,0.0018259247023802564,NO
109,264,0.17557553241195892,NO
110,248,1.4898899580915076E-4,NO
111,286,3.515281161845235E-4,YES
112,185,3.339364026054848E-4,NO
113,194,6.587782235932627E-5,NO
114,346,2.969206424305497E-4,NO
115,309,1.1178493511339164E-4,NO
116,363,0.3751652637265815,YES
117,84,6.305010063835331E-5,NO
118,53,6.218698054463154E-5,NO
119,132,8.357962335771911E-5,YES
120,4088,7.126126523325864E-5,NO
121,721,0.9970686811270707,YES
122,47,6.305010063835331E-5,NO
123,101,6.788886626459945E-5,NO
124,517,4.5852679677259257E-4,YES
125,327,8.955899907948574E-4,YES
126,274,9.352721827184692E-4,YES
127,136,6.35276333147512E-5,YES
128,56,6.167158186392319E-5,NO
129,74,6.167158186392319E-5,YES
130,361,0.033611336078835444,YES
131,174,9.110685600750825E-5,NO
132,148,7.929392028044456E-5,NO
133,92,6.79540129653219E-5,NO
134,45,6.16699778307926E-5,NO
135,168,9.710079415986137E-5,NO
136,77,6.218698054463154E-5,NO
137,666,0.9656968173131448,NO
138,88,6.59139747327644E-5,NO
139,263,1.1056164150735059E-4,NO
140,54,6.16699778307926E-5,NO
141,51,2.3747166424581873E-4,NO
142,132,2.0091536864977704E-4,NO
143,160,1.1485535823662531E-4,YES
144,152,1.4108450603137686E-4,NO
145,39,6.428364616927617E-5,NO
146,677,1.0,NO
147,131,7.929392028044456E-5,NO
148,47,6.305010063835331E-5,NO
149,129,8.858630523115775E-5,NO
150,43,6.218698054463154E-5,NO
151,257,0.0013408450690176388,NO
152,356,0.9999650795539726,NO
153,62,6.150020003417757E-5,NO
154,45,6.428364616927617E-5,NO
155,97,6.495270486585878E-5,NO
156,476,3.609120250004203E-4,NO
157,77,6.218374571928397E-5,NO
158,69,6.305010063835331E-5,NO
159,104,6.49476369272309E-5,NO
160,115,6.49476369272309E-5,NO
161,421,1.0,NO
162,61,6.305010063835331E-5,NO
163,2009,0.9989985050181864,NO
164,179,6.515367272553967E-5,NO
165,106,6.622519390108266E-5,NO
166,33,6.305010063835331E-5,NO
167,657,7.582877638964301E-5,NO
168,295,6.877448003909998E-5,NO
169,872,0.0011429569721396835,NO
170,444,1.2347865143316796E-4,NO
171,168,6.533353566034459E-5,NO
172,752,8.16009036190506E-5,NO
173,135,6.405521012926235E-5,NO
174,1126,8.567310455463276E-5,NO
175,163,6.515367272553967E-5,NO
176,184,6.679564036809342E-5,NO
177,51,6.305010063835331E-5,NO
178,25,6.111043908914632E-5,NO
179,180,6.587782235932627E-5,NO
180,64,6.305010063835331E-5,NO
181,101,6.335109395002239E-5,NO
182,512,7.339717899994273E-5,NO
183,187,6.679564036809342E-5,NO
184,56,6.218374571928397E-5,NO
185,39,6.305010063835331E-5,NO
186,261,6.858672692743917E-5,NO
187,73,6.305010063835331E-5,NO
188,65,6.305010063835331E-5,NO
189,329,7.031358451660258E-5,NO
190,64,6.305010063835331E-5,NO
191,164,6.810954614511915E-5,NO
192,624,1.0603380813186558E-4,NO
193,74,6.305010063835331E-5,NO
194,117,6.35276333147512E-5,NO
195,84,6.305010063835331E-5,NO
196,226,1.1515273216097448E-4,NO
197,76,6.305010063835331E-5,NO
198,323,7.856182722364905E-5,NO
199,72,6.305502051938437E-5,NO
200,42,6.218698054463154E-5,NO
201,48,6.305502051938437E-5,NO
202,89,1.1471229835660462E-4,NO
203,380,0.9999999875897083,NO
204,141,6.49476369272309E-5,NO
205,148,6.405521012926235E-5,NO
206,191,6.515367272553967E-5,NO
207,46,6.428364616927617E-5,NO
208,165,6.533353566034459E-5,NO
209,171,1.3242331738454248E-4,NO
210,56,6.150020003417757E-5,NO
211,179,8.595773099907062E-5,NO
212,74,6.218374571928397E-5,NO
213,36,6.305010063835331E-5,NO
214,37,6.218374571928397E-5,NO
215,34,6.305010063835331E-5,NO
216,34,6.305010063835331E-5,NO
217,38,6.218374571928397E-5,NO
218,39,6.16699778307926E-5,NO
219,156,8.357962335771911E-5,NO
220,84,6.16699778307926E-5,NO
221,117,6.495270486585878E-5,NO
222,94,6.305502051938437E-5,NO
223,71,6.16699778307926E-5,NO
224,183,0.0013293147155200348,NO
225,85,6.150020003417757E-5,NO
226,183,1.3242331738454248E-4,NO
227,70,6.305010063835331E-5,NO
228,54,6.429033439352869E-5,NO
229,160,7.879194432189298E-4,NO
230,128,1.0674668093782808E-4,NO
231,151,6.35276333147512E-5,NO
232,422,1.9502116066664487E-4,NO
233,221,1.8187215009348947E-4,NO
234,50,6.428364616927617E-5,NO
235,42,6.305010063835331E-5,NO
236,624,0.19639253298956616,NO
237,377,7.523798275880517E-5,NO
238,382,0.04337852241607576,NO
239,72,6.305010063835331E-5,NO
240,92,6.167158186392319E-5,NO
241,282,2.0261859244242954E-4,NO
242,371,5.287697130489151E-4,NO
243,47,6.428364616927617E-5,NO
244,108,6.622519390108266E-5,NO
245,111,6.622519390108266E-5,NO
246,319,7.856182722364905E-5,NO
247,129,6.405521012926235E-5,NO
248,49,6.428364616927617E-5,NO
249,358,9.261509627283278E-5,NO
250,277,8.373678154617805E-5,NO
251,49,6.428364616927617E-5,NO
252,89,2.0866424915840786E-4,NO
253,41,6.428364616927617E-5,NO
254,66,6.305010063835331E-5,NO
255,63,6.218698054463154E-5,NO
256,24,6.111043908914632E-5,NO
257,50,6.305502051938437E-5,NO
