ID,Size,Predicted %,Actual value
0,215,0.0010136248214542636,NO
1,274,0.012262171065493321,NO
2,461,0.012767434884825268,YES
3,138,9.60227996345529E-4,NO
4,358,5.116944405358205E-4,NO
5,1248,0.9999948516225506,YES
6,51,4.080817099418994E-4,NO
7,45,7.784822673905893E-4,NO
8,157,4.533239821318371E-4,NO
9,31,3.9317792050016083E-4,NO
10,1008,0.132450307850395,YES
11,55,0.0011376249643947195,NO
12,204,0.01357765392661562,NO
13,55,7.991146758536684E-4,NO
14,103,0.0012235084857789643,NO
15,83,0.002210427911048209,NO
16,262,0.001064431661782834,NO
17,83,9.798006746213623E-4,NO
18,867,0.9976528112159153,YES
19,40,4.0522432864069645E-4,NO
20,387,0.014545745983269819,YES
21,390,0.0011076183873126152,NO
22,51,4.1943300998493544E-4,NO
23,637,0.9853064151953554,YES
24,32,3.9568130174968876E-4,NO
25,68,8.612939479195529E-4,YES
26,547,0.9998791333050642,YES
27,566,0.9945502336135883,NO
28,314,0.2605619231296949,YES
29,839,0.9931074711130408,YES
30,211,0.0045821020948971615,NO
31,31,7.577008576405798E-4,NO
32,50,4.046871163392685E-4,NO
33,27,3.9568130174968876E-4,NO
34,175,0.9931938396459857,NO
35,50,8.750251872221977E-4,NO
36,62,4.05003193549459E-4,NO
37,87,8.993189007850112E-4,NO
38,52,4.05003193549459E-4,NO
39,373,0.5325834207944833,NO
40,224,0.0012425191789543237,NO
41,118,9.215304849440314E-4,YES
42,83,4.181416484681009E-4,NO
43,147,4.71667138292552E-4,NO
44,58,8.73599917355527E-4,NO
45,44,4.0549990609236013E-4,NO
46,106,4.436924363955473E-4,NO
47,189,0.005130049631814037,NO
48,151,0.001723134342112043,NO
49,352,5.166667810511674E-4,YES
50,849,1.0,YES
51,877,0.9999999863014796,YES
52,41,7.77552944785444E-4,NO
53,319,6.617947769224107E-4,YES
54,27,3.9568130174968876E-4,NO
55,55,4.1232783479134774E-4,NO
56,94,4.2967101734572654E-4,NO
57,191,4.789742463000555E-4,NO
58,90,5.976116957311322E-4,NO
59,90,5.976116957311322E-4,NO
60,271,0.0013474142585711815,YES
61,152,0.001123396317151595,NO
62,90,9.21180624057314E-4,YES
63,82,9.03517069356772E-4,NO
64,147,5.47154122911148E-4,NO
65,422,0.007481235823218164,YES
66,1059,0.9999999943992056,YES
67,530,0.0025349736362943035,YES
68,205,0.012578972251595166,YES
69,190,0.0022602594729749354,NO
70,86,9.16289982558677E-4,NO
71,207,0.02652091171081136,YES
72,397,0.005427102929615008,YES
73,573,0.001100265060173947,NO
74,126,4.39676718459132E-4,YES
75,167,0.002273704455265931,NO
76,109,4.27950307028503E-4,YES
77,85,4.169323380107665E-4,NO
78,237,0.0033631146932762276,NO
79,424,0.9953810135389803,YES
80,47,4.0998086530836245E-4,NO
81,1118,1.0,YES
82,27,3.9568130174968876E-4,NO
83,89,4.2360782112115224E-4,NO
84,474,0.025695782325849768,YES
85,166,4.659331656135975E-4,NO
86,92,4.289538068305112E-4,NO
87,476,0.022870677547360992,NO
88,93,4.289538068305112E-4,NO
89,244,0.0010445059876161848,NO
90,204,0.032690711719727664,NO
91,252,0.0011636761318270814,NO
92,109,6.816328005358388E-4,YES
93,618,0.005419517191074722,NO
94,565,6.061038796285735E-4,YES
95,69,4.2010149228772375E-4,NO
96,77,4.2010149228772375E-4,NO
97,97,4.329842237546872E-4,NO
98,343,5.111350894565479E-4,NO
99,214,4.80671729963742E-4,NO
100,79,5.211220204426023E-4,NO
101,25,3.9568130174968876E-4,NO
102,84,4.432684447326234E-4,NO
103,34,3.9979845090473156E-4,NO
104,33,3.9979845090473156E-4,NO
105,104,7.763361996539042E-4,NO
106,172,0.008535016472270028,NO
107,70,4.3433920296096884E-4,NO
108,140,4.4217533328260925E-4,NO
109,156,4.508004294772049E-4,NO
110,142,7.792552122248195E-4,NO
111,152,6.169761414966518E-4,NO
112,31,3.9317792050016083E-4,NO
113,60,4.494219935480703E-4,NO
114,60,4.086612826956484E-4,NO
115,876,0.9771007050864116,NO
116,61,4.245949749623223E-4,NO
117,185,7.169241753170567E-4,NO
118,264,0.0017362296160882869,NO
119,43,7.774540763115595E-4,NO
120,248,8.406582263404955E-4,NO
121,310,0.12938164439440802,YES
122,199,0.009140445386556671,NO
123,194,0.0010153186085949002,NO
124,346,0.001367921211560516,NO
125,90,0.008220171919921804,NO
126,335,0.7878150150210185,YES
127,372,0.3154774988881689,NO
128,84,4.2010149228772375E-4,NO
129,53,4.114877583416312E-4,NO
130,148,0.0030581258451780964,NO
131,4088,1.5006030778150917E-11,NO
132,860,0.996951919961161,YES
133,47,4.080817099418994E-4,NO
134,101,4.4248316520186236E-4,NO
135,517,6.278125541542524E-4,YES
136,327,0.0011437955011268806,YES
137,275,0.0011682460448918018,YES
138,136,0.0022758551154944814,NO
139,56,4.058099085904077E-4,NO
140,74,4.177628044652349E-4,YES
141,362,0.00725670731276944,YES
142,174,0.001276941525307431,NO
143,148,0.0011372842713240079,NO
144,92,9.907802690878767E-4,NO
145,45,4.045512524271021E-4,YES
146,39,7.875271783641329E-4,NO
147,182,0.0011676253011604749,NO
148,77,9.144240732648661E-4,NO
149,666,0.6757206066601824,NO
150,88,4.400759770693572E-4,YES
151,263,4.974336600712524E-4,YES
