ID,Size,Predicted %,Actual value
0,215,0.0011657049925353712,NO
1,274,0.013469594744996129,NO
2,461,0.014240517947999408,YES
3,138,0.0011437189330270239,NO
4,358,4.828767827186184E-4,NO
5,1248,0.9999793250535061,YES
6,51,3.9395514599845517E-4,NO
7,45,9.472730198435251E-4,NO
8,157,4.2634992524024436E-4,NO
9,31,3.890452727628204E-4,NO
10,1008,0.1086037418575591,YES
11,55,0.0013863073649953307,NO
12,204,0.01704903677044797,NO
13,55,9.944753688804842E-4,NO
14,103,0.0015966992650656626,NO
15,83,0.0024392097670213153,NO
16,262,0.0012332138738189958,NO
17,83,0.0012253813671233777,NO
18,867,0.9911304005819356,YES
19,40,3.944543100073687E-4,NO
20,387,0.018015616462015414,YES
21,390,0.0012639453700763843,NO
22,51,4.203569832771826E-4,NO
23,637,0.9626213083595873,YES
24,32,3.8803065371323603E-4,NO
25,68,9.913733696027916E-4,YES
26,547,0.999880557257335,YES
27,566,0.9966453453921159,NO
28,314,0.2876571280053176,YES
29,839,0.9782055060267552,YES
30,211,0.00586881124875639,NO
31,31,9.232107368866941E-4,NO
32,50,3.9630301643562855E-4,NO
33,27,3.8803065371323603E-4,NO
34,175,0.9942673956923644,NO
35,50,0.0010648533947742588,NO
36,62,4.0139305736936826E-4,NO
37,87,0.0010670999135933546,NO
38,52,3.955806912075838E-4,NO
39,373,0.4905964715327376,NO
40,224,0.0014425939591987391,NO
41,118,8.184478926935801E-4,YES
42,83,4.0596478058329855E-4,NO
43,147,4.6110692604751604E-4,NO
44,58,0.0010370258575892472,NO
45,44,3.9498525023575767E-4,NO
46,106,4.384138374683692E-4,NO
47,189,0.006558028655495869,NO
48,151,0.0013708332465288808,NO
49,352,4.897122771211603E-4,YES
50,849,0.9999991010904908,YES
51,877,0.9999939904636946,YES
52,41,9.234795209485225E-4,NO
53,319,6.25521184682196E-4,YES
54,27,3.8803065371323603E-4,NO
55,55,3.940537449869329E-4,NO
56,94,4.1146341553458747E-4,NO
57,191,4.680282948305418E-4,NO
58,90,5.69325939636705E-4,NO
59,90,5.69325939636705E-4,NO
60,271,0.001541375142893034,YES
61,152,0.0012999181430785598,NO
62,90,0.0011201539734295022,YES
63,82,0.0010860590819350066,NO
64,147,5.31362761605325E-4,NO
65,422,0.006228219353452631,YES
66,1059,0.9999987236910004,YES
67,530,0.0018757386112599342,YES
68,205,0.014416464258762123,YES
69,190,0.0024706027358965318,NO
70,86,0.0010610474847160545,NO
71,207,0.030379437474272648,YES
72,397,0.006856080939078065,YES
73,573,9.554250759311164E-4,NO
74,126,4.230976834223411E-4,YES
75,167,0.0024953651912424327,NO
76,109,4.142134305515273E-4,YES
77,85,4.070602280649727E-4,NO
78,237,0.002320608350419617,NO
79,424,0.9398718595054095,YES
80,47,4.086691252985825E-4,NO
81,1118,1.0,YES
82,27,3.8803065371323603E-4,NO
83,89,4.2263781640770334E-4,NO
84,474,0.025236245620912097,YES
85,166,4.600401036076144E-4,NO
86,92,4.064475147454081E-4,NO
87,476,0.016630109673262193,NO
88,93,4.064475147454081E-4,NO
89,244,9.002076655445394E-4,NO
90,204,0.02103212047381627,NO
91,252,9.9001214210841E-4,NO
92,109,6.445688636217563E-4,YES
93,618,0.005494233043029492,NO
94,565,5.809311473730562E-4,YES
95,69,3.997436371688662E-4,NO
96,77,4.0538752954723695E-4,NO
97,97,4.1078199425530887E-4,NO
98,343,4.6733104189224274E-4,NO
99,214,4.6836503556460475E-4,NO
100,79,5.176742373302251E-4,NO
101,25,3.81978860506927E-4,NO
102,84,4.4496300833492806E-4,NO
103,34,3.881277704971059E-4,NO
104,33,3.881277704971059E-4,NO
105,104,7.175465563667086E-4,NO
106,172,0.004711651627855492,NO
107,70,4.2935485831106513E-4,NO
108,140,4.3316549762710684E-4,NO
109,156,4.348898338737699E-4,NO
110,142,7.091141447527578E-4,NO
111,152,5.901176289780238E-4,NO
112,31,3.890452727628204E-4,NO
113,60,4.5782017011393954E-4,NO
114,60,4.1273517167834695E-4,NO
115,876,0.7257486203469015,NO
116,61,4.323325719132304E-4,NO
117,185,6.722147736614214E-4,NO
118,264,0.0013881212647556616,NO
119,43,9.672884279657738E-4,NO
120,248,7.608125429876368E-4,NO
121,310,0.07361288111630362,YES
122,199,0.01169412887479747,NO
123,194,0.0011418011183031245,NO
124,346,0.0011219262800876296,NO
125,90,0.011682073454960947,NO
126,335,0.8411449710143044,YES
127,372,0.365491390385951,NO
128,84,4.0538752954723695E-4,NO
129,53,4.1071915528550167E-4,NO
130,148,0.0031865142373889974,NO
131,4088,3.1170134937793715E-9,NO
132,860,0.9883767307927497,YES
133,47,3.9395514599845517E-4,NO
134,101,4.1226206748730024E-4,NO
135,517,5.963185678470767E-4,YES
136,327,9.740526312992092E-4,YES
137,275,0.0013528035484592733,YES
138,136,0.00245799016862868,NO
139,56,4.018464389739426E-4,NO
140,74,4.077508317826886E-4,YES
141,362,0.008893580939855145,YES
142,174,0.0014776207048543882,NO
143,148,0.0013435943286385713,NO
144,92,0.0011734517451111523,NO
145,45,3.9715291716086663E-4,YES
146,39,9.198537295997705E-4,NO
147,182,0.0013671536579933188,NO
148,77,0.001105890337463413,NO
149,666,0.22062471888540508,NO
150,88,4.416174338430032E-4,YES
151,263,4.802557201291197E-4,YES
152,54,3.9630301643562855E-4,NO
153,76,0.0011011342078993986,NO
154,132,0.0011841806534304206,NO
155,160,5.585482221269016E-4,YES
156,152,7.046727231668451E-4,NO
157,39,3.881277704971059E-4,NO
158,677,0.12444995429532527,NO
159,131,5.075557086092391E-4,NO
160,47,3.9395514599845517E-4,NO
161,129,5.380782048418741E-4,NO
162,43,4.0675863303259294E-4,NO
163,73,0.0011651881994034327,NO
164,257,0.0013414178841536272,NO
165,356,0.009107442274725888,NO
166,62,4.063611173081671E-4,NO
167,45,3.940537449869329E-4,NO
168,97,4.330834008036523E-4,NO
169,131,0.015709410996802176,YES
170,68,0.0010589307751477284,YES
171,99,0.001446276284144923,NO
172,53,9.656017843020297E-4,NO
173,81,0.0011962253220696472,NO
174,78,0.001141082200786345,YES
175,69,0.0010580982372833103,NO
176,69,0.001059852313598214,NO
177,77,0.0011390358830500027,NO
178,72,0.0011054708331287538,NO
179,72,0.0010986686336487577,NO
180,63,0.001036483889222138,NO
181,50,0.0010079681115689027,NO
182,28,9.216488598944845E-4,NO
183,96,0.0014381731684951769,NO
184,40,9.194847932338841E-4,NO
185,76,0.0011187462568535876,NO
186,49,0.0010079681115689027,NO
187,63,0.0010354800686050842,NO
188,55,0.0010770616329935983,NO
189,45,9.82090328821234E-4,NO
190,476,0.0011765654701480742,NO
191,77,4.064475147454081E-4,NO
192,69,3.997436371688662E-4,NO
193,104,4.1087834907172394E-4,NO
194,115,4.162077663451175E-4,NO
195,421,0.9996128674649863,NO
196,61,3.999645543575424E-4,NO
197,2009,0.13937112774665408,NO
198,179,4.429643480481874E-4,NO
199,106,4.3567120686698757E-4,NO
200,33,3.8803065371323603E-4,NO
201,657,4.739100136825863E-4,NO
202,295,4.6167180806211844E-4,NO
203,872,0.0018867245059340791,NO
204,444,6.805426641091223E-4,NO
205,168,4.346464477152978E-4,NO
206,752,4.774853145105957E-4,NO
207,135,4.224693689629863E-4,NO
208,1126,3.4140054201066E-4,NO
209,163,4.382840305479242E-4,NO
210,184,4.3575105410900933E-4,NO
211,51,3.9395514599845517E-4,NO
212,25,3.81978860506927E-4,NO
213,180,4.3689039749480205E-4,NO
214,64,3.997436371688662E-4,NO
215,101,4.1638890772276133E-4,NO
216,512,4.902271275479756E-4,NO
217,187,4.3599186201520997E-4,NO
218,56,3.9451612433207895E-4,NO
219,39,3.8803065371323603E-4,NO
220,261,4.520971711082433E-4,NO
221,73,3.997436371688662E-4,NO
222,65,3.997436371688662E-4,NO
223,329,4.6482597823077246E-4,NO
224,64,3.999645543575424E-4,NO
225,164,4.5716224522200844E-4,NO
226,624,6.012329972517694E-4,NO
227,74,3.999645543575424E-4,NO
228,117,4.2613195041036077E-4,NO
229,84,4.0561156455140644E-4,NO
230,226,6.430628068282282E-4,NO
231,76,3.997436371688662E-4,NO
232,323,5.323529274034827E-4,NO
233,72,4.189776232182071E-4,NO
234,42,4.006416727504125E-4,NO
235,48,4.152459989291338E-4,NO
236,89,6.05340571243548E-4,NO
237,380,0.9973321875202359,NO
238,141,4.2160048014181796E-4,NO
239,148,4.274646983277544E-4,NO
240,191,4.415950495284407E-4,NO
241,46,3.940537449869329E-4,NO
242,165,4.329258588295319E-4,NO
243,171,6.880098763945911E-4,NO
244,56,4.004768400506084E-4,NO
245,179,5.496328066211732E-4,NO
246,74,4.007888709421007E-4,NO
247,36,3.882451002689591E-4,NO
248,37,3.885831990567756E-4,NO
249,34,3.882451002689591E-4,NO
250,34,3.882451002689591E-4,NO
251,38,3.890452727628204E-4,NO
252,39,3.8963176269831947E-4,NO
253,156,5.377760531064505E-4,NO
254,84,4.078035062273602E-4,NO
255,117,4.387007087613528E-4,NO
256,94,4.330834008036523E-4,NO
257,71,4.0212599163330653E-4,NO
258,183,0.0022555932580234344,NO
259,85,4.0968472890787867E-4,NO
260,183,6.83578454450508E-4,NO
261,70,3.997436371688662E-4,NO
262,54,4.203569832771826E-4,NO
263,160,0.0017218836063314456,NO
264,128,4.467931266087007E-4,NO
265,151,4.382872438676137E-4,NO
266,422,8.644602769360355E-4,NO
267,221,8.06273530880385E-4,NO
268,50,3.940537449869329E-4,NO
269,42,3.8803065371323603E-4,NO
270,624,0.02930035386567617,NO
271,377,5.178487895419404E-4,NO
272,382,0.006841023465663726,NO
273,72,3.997436371688662E-4,NO
274,92,4.1350772921190686E-4,NO
275,282,8.840582414097152E-4,NO
276,371,0.0015167952483842962,NO
277,47,3.940537449869329E-4,NO
278,108,4.3567120686698757E-4,NO
279,111,4.4703803113473745E-4,NO
280,319,5.275114514512079E-4,NO
281,129,4.2196761381750017E-4,NO
282,49,3.940537449869329E-4,NO
283,358,5.854158744417926E-4,NO
284,277,5.549206535004854E-4,NO
285,49,3.940537449869329E-4,NO
286,89,8.495534550211456E-4,NO
287,41,3.879720167894651E-4,NO
288,66,3.997436371688662E-4,NO
289,63,4.1273517167834695E-4,NO
290,24,3.81978860506927E-4,NO
291,50,4.152459989291338E-4,NO
292,72,3.997436371688662E-4,NO
293,47,4.049858147093595E-4,NO
294,47,4.129107291966756E-4,NO
295,183,5.946108856893165E-4,NO
296,49,3.940537449869329E-4,NO
297,50,3.940537449869329E-4,NO
298,98,4.109811818535254E-4,NO
299,143,4.8258426181638816E-4,NO
300,43,3.940537449869329E-4,NO
301,42,3.881277704971059E-4,NO
302,56,3.9417286545534414E-4,NO
303,44,4.086691252985825E-4,NO
304,26,3.881277704971059E-4,NO
305,254,4.547913952744743E-4,NO
306,16883,0.9999285785300466,NO
307,74,3.998436843198661E-4,NO
308,153,4.402057744171321E-4,NO
309,68,3.997436371688662E-4,NO
310,100,4.1146341553458747E-4,NO
311,550,0.005012582204579288,NO
312,437,5.881293568007998E-4,NO
313,1038,4.487314139519156E-4,NO
314,104,4.1146341553458747E-4,NO
315,332,6.123210779791691E-4,NO
316,123,4.195860883122357E-4,NO
317,106,4.108162609567482E-4,NO
318,106,4.109811818535254E-4,NO
319,94,4.109811818535254E-4,NO
320,101,4.108162609567482E-4,NO
321,38,3.8793965481567685E-4,NO
322,628,0.8830416390746894,NO
323,32,3.881277704971059E-4,NO
324,111,4.162077663451175E-4,NO
325,35,3.8803065371323603E-4,NO
326,90,4.0532627081739733E-4,NO
327,27,3.881277704971059E-4,NO
328,28,3.881277704971059E-4,NO
329,92,5.61107767763575E-4,NO
330,979,0.17758268892685966,NO
331,67,3.998436843198661E-4,NO
332,29,3.882451002689591E-4,NO
333,105,4.1146341553458747E-4,NO
334,72,3.996832309552282E-4,NO
335,37,3.9214393844895664E-4,NO
336,47,3.940537449869329E-4,NO
337,31,3.890452727628204E-4,NO
338,90,4.0548898866892864E-4,NO
339,223,4.609472240560146E-4,NO
340,214,5.604800972069901E-4,NO
341,107,4.1146341553458747E-4,NO
342,37,3.944543100073687E-4,NO
343,27,3.8803065371323603E-4,NO
344,48,3.9417286545534414E-4,NO
345,167,5.723761655738384E-4,NO
346,213,0.0013537831192610291,NO
347,867,5.883074845838296E-4,NO
348,159,0.0024349527734586675,NO
349,100,6.445688636217563E-4,NO
350,96,6.445688636217563E-4,NO
351,842,0.001225602406359808,NO
352,535,7.251465617408666E-4,NO
353,83,4.0538752954723695E-4,NO
354,63,4.323325719132304E-4,NO
355,76,4.077508317826886E-4,NO
356,202,4.69651611866631E-4,NO
357,155,4.365158364068505E-4,NO
358,1263,0.13850608074089815,NO
359,74,3.998436843198661E-4,NO
360,101,4.142134305515273E-4,NO
361,27,3.8803065371323603E-4,NO
362,22,3.820744632195676E-4,NO
363,491,7.038351455131392E-4,NO
364,62,3.998436843198661E-4,NO
365,59,3.9451612433207895E-4,NO
366,99,6.556738897531809E-4,NO
367,27,3.885831990567756E-4,NO
368,77,4.1350772921190686E-4,NO
369,863,0.6658865290086868,NO
370,64,3.997436371688662E-4,NO
371,45,4.049858147093595E-4,NO
372,63,4.4586662523879276E-4,NO
373,54,3.9389561415282897E-4,NO
374,64,4.063611173081671E-4,NO
375,132,4.2126880395063564E-4,NO
376,182,4.3754898289933566E-4,NO
377,70,3.998436843198661E-4,NO
378,36,3.881277704971059E-4,NO
379,58,3.9389561415282897E-4,NO
380,62,3.998436843198661E-4,NO
381,132,4.3316549762710684E-4,NO
382,74,3.999645543575424E-4,NO
383,86,4.0548898866892864E-4,NO
384,74,3.997436371688662E-4,NO
385,48,3.9923882714069155E-4,NO
386,74,4.039810341743405E-4,NO
387,86,4.078035062273602E-4,NO
388,355,5.330714523573098E-4,NO
389,53,3.9395514599845517E-4,NO
390,804,0.0012864613590170464,NO
391,75,4.0139305736936826E-4,NO
392,125,4.179250923504876E-4,NO
393,200,4.760369225911017E-4,NO
394,134,4.2136761756195694E-4,NO
395,57,4.394105433363768E-4,NO
396,123,0.00111458368992105,NO
397,266,5.488261936842043E-4,NO
398,162,4.544468444184815E-4,NO
399,130,4.392975996174025E-4,NO
400,108,7.313013035989679E-4,NO
401,354,5.080168654482386E-4,NO
402,88,5.778480758693357E-4,NO
403,28,3.881277704971059E-4,NO
404,58,3.9386275826772284E-4,NO
405,308,4.92962770966421E-4,NO
406,343,5.213270635240488E-4,NO
407,103,4.109811818535254E-4,NO
408,35,3.881277704971059E-4,NO
409,98,4.109811818535254E-4,NO
410,117,4.168004184186031E-4,NO
