ID,Size,Predicted %,Actual value
0,215,9.62458585290251E-4,NO
1,273,6.306128871877977E-4,YES
2,460,6.685057360056604E-4,YES
3,138,6.031698666693838E-4,NO
4,358,6.598710487801352E-4,NO
5,1154,0.9999981482010463,YES
6,51,5.628594687498032E-4,NO
7,157,5.980865485571329E-4,NO
8,31,5.60088846650216E-4,NO
9,1009,0.14862149473049382,YES
10,193,9.738295751837091E-4,NO
11,83,8.105046367277019E-4,YES
12,262,6.359724805497912E-4,NO
13,638,0.21817173960672975,YES
14,40,5.601290824252189E-4,NO
15,374,0.0013753551117509709,NO
16,390,6.56576047491754E-4,NO
17,51,5.829342217311136E-4,NO
18,579,0.043119312536167374,YES
19,32,5.628594687498032E-4,NO
20,66,5.628594687498032E-4,NO
21,260,0.003441583940754453,YES
22,596,0.6458844578667058,NO
23,198,0.004259771275534112,NO
24,50,5.591817278469107E-4,NO
25,27,5.444473454042524E-4,NO
26,926,0.526984739362838,NO
27,60,5.936766816251832E-4,NO
28,62,5.60088846650216E-4,NO
29,87,5.769733140154426E-4,NO
30,52,5.60088846650216E-4,NO
31,297,0.015729943836494446,NO
32,163,5.951426277710188E-4,NO
33,118,0.00197436651338689,NO
34,83,7.825990816246412E-4,NO
35,147,6.308312677840399E-4,NO
36,58,5.591817278469107E-4,NO
37,44,5.60088846650216E-4,NO
38,106,0.0015483832830191168,NO
39,192,0.008962614502451524,NO
40,151,0.0038971181629308175,NO
41,352,8.301505969189893E-4,YES
42,752,1.0,YES
43,877,0.9999999997365699,YES
44,319,0.002580117599828808,YES
45,27,0.0011647560650053154,NO
46,55,5.675212344310137E-4,NO
47,94,0.0010317885260976952,NO
48,191,6.36653084938152E-4,NO
49,90,8.380427040416991E-4,NO
50,90,0.0012459268383661077,NO
51,271,0.002188241383261063,YES
52,138,0.0011871715420095391,NO
53,79,6.066237108599445E-4,NO
54,82,5.808514461735493E-4,NO
55,147,7.263498868395158E-4,NO
56,422,0.005708634347965301,YES
57,1026,0.999999999574307,YES
58,530,0.13741401209114557,NO
59,189,7.014908721004413E-4,YES
60,167,9.925430685226407E-4,YES
61,86,5.855780047248554E-4,NO
62,195,0.002700080313480793,YES
63,374,0.001528798910449514,YES
64,573,0.9997544780400234,NO
65,126,5.779507933152795E-4,YES
66,106,9.093690945230058E-4,YES
67,109,5.769733140154426E-4,NO
68,85,5.779092780928452E-4,NO
69,237,0.008187446803055087,NO
70,345,0.7284163404324884,YES
71,47,6.840222252248528E-4,NO
72,781,1.0,YES
73,27,5.444473454042524E-4,NO
74,89,5.85704211093294E-4,NO
75,300,0.044171706735988435,YES
76,166,0.011313159493115439,NO
77,92,5.779092780928452E-4,NO
78,497,0.9790029961808072,YES
79,93,5.779092780928452E-4,NO
80,244,0.0014678426803434,NO
81,183,0.013303473449144806,YES
82,252,0.0016276055396361267,NO
83,109,9.874691061631463E-4,YES
84,607,0.047830516897425866,YES
85,565,0.007264869236786516,YES
86,69,5.628594687498032E-4,NO
87,77,5.628594687498032E-4,NO
88,97,0.0015457900001494666,NO
89,343,0.001024267354869748,NO
90,214,6.272082379014049E-4,NO
91,79,7.10146761320567E-4,NO
92,25,5.444473454042524E-4,NO
93,84,6.125651272907413E-4,NO
94,34,5.675212344310137E-4,NO
95,33,5.675212344310137E-4,NO
96,104,0.0011199887607839076,NO
97,172,0.014532370201482942,NO
98,70,5.829342217311136E-4,NO
99,140,5.981724792759983E-4,NO
100,156,5.951853802469505E-4,NO
101,142,0.0041335946931789,NO
102,152,0.00418087740481563,NO
103,31,6.924245137177233E-4,NO
104,60,7.939392187000331E-4,NO
105,60,7.246725705590586E-4,NO
106,876,1.0,NO
107,61,7.579018662554919E-4,NO
108,185,0.013732348498705856,NO
109,264,0.5217195753160887,NO
110,248,0.0011399687972020922,NO
111,286,0.003242014161667492,YES
112,185,0.0030596709313508164,NO
113,194,6.14729530561228E-4,NO
114,346,0.0019664028265581456,NO
115,309,0.0010244880125920561,NO
116,363,0.4474429291862496,YES
117,84,5.807680022690062E-4,NO
118,53,5.676435513346215E-4,NO
119,132,7.05319892973443E-4,YES
120,4088,9.307699819818348E-5,NO
121,721,0.9002619516092001,YES
122,47,5.628594687498032E-4,NO
123,101,6.012650997818327E-4,NO
124,517,0.002756128529672635,YES
125,327,0.004063143746409741,YES
126,274,0.0059964452140702056,YES
127,136,5.981724792759983E-4,YES
128,56,5.601290824252189E-4,NO
129,74,5.601290824252189E-4,YES
130,361,0.04270781662182746,YES
131,174,7.865181615670755E-4,NO
132,148,7.014908721004413E-4,NO
133,92,6.259238218404154E-4,NO
134,45,5.591817278469107E-4,NO
135,168,8.22521931309365E-4,NO
136,77,5.676435513346215E-4,NO
137,666,0.8617867654878854,NO
138,88,6.125651272907413E-4,NO
139,263,0.0010123329975839277,NO
140,54,5.591817278469107E-4,NO
141,51,0.0014860870195964532,NO
142,132,0.0021320911023926317,NO
143,160,0.0010027061389792703,YES
144,152,0.001081198848422602,NO
145,39,5.675212344310137E-4,NO
146,677,1.0,NO
147,131,6.811801301643144E-4,NO
148,47,5.628594687498032E-4,NO
149,129,7.327381077459057E-4,NO
150,43,5.676435513346215E-4,NO
151,257,0.005231305992328968,NO
152,356,0.999926889386795,NO
153,62,5.601290824252189E-4,NO
154,45,5.675212344310137E-4,NO
155,97,5.925577160383755E-4,NO
156,476,0.00208594578087088,NO
157,77,5.60088846650216E-4,NO
158,69,5.628594687498032E-4,NO
159,104,5.807680022690062E-4,NO
160,115,5.807680022690062E-4,NO
161,421,0.999999694324046,NO
162,61,5.628594687498032E-4,NO
163,2009,0.9790029493595539,NO
