ID,Size,Predicted %,Actual value
0,215,0.28,NO
1,274,0.69,NO
2,461,0.55,YES
3,138,0.19399999999999998,NO
4,358,0.4,NO
5,1248,0.89,YES
6,51,0.0,NO
7,45,0.63,NO
8,157,0.2,NO
9,31,0.0,NO
10,1008,0.85,YES
11,55,0.23333333333333336,NO
12,204,0.46,NO
13,55,0.015,NO
14,103,0.01,NO
15,83,0.14,NO
16,262,0.51,NO
17,83,0.04,NO
18,867,0.63,YES
19,40,0.005,NO
20,387,0.68,YES
21,390,0.41,NO
22,51,0.02,NO
23,637,0.55,YES
24,32,0.0,NO
25,68,0.04,YES
26,547,0.58,YES
27,566,0.63,NO
28,314,0.65,YES
29,839,0.74,YES
30,211,0.69,NO
31,31,0.0,NO
32,50,0.0,NO
33,27,0.0,NO
34,175,0.36,NO
35,50,0.02,NO
36,62,0.0,NO
37,87,0.11,NO
38,52,0.0,NO
39,373,0.63,NO
40,224,0.27899999999999997,NO
41,118,0.02,YES
42,83,0.024166666666666666,NO
43,147,0.05,NO
44,58,0.0,NO
45,44,0.0,NO
46,106,0.74,NO
47,189,0.29,NO
48,151,0.02,NO
49,352,0.3,YES
50,849,0.69,YES
51,877,0.69,YES
52,41,0.0,NO
53,319,0.35,YES
54,27,0.0,NO
55,55,0.0,NO
56,94,0.09,NO
57,191,0.07,NO
58,90,0.01,NO
59,90,0.01,NO
60,271,0.75,YES
61,152,0.66,NO
62,90,0.39,YES
63,82,0.12,NO
64,147,0.0,NO
65,422,0.89,YES
66,1059,0.8,YES
67,530,0.24,YES
68,205,0.57,YES
69,190,0.61,NO
70,86,0.255,NO
71,207,0.7,YES
72,397,0.7,YES
73,573,0.48,NO
74,126,0.83,YES
75,167,0.385,NO
76,109,0.01,YES
77,85,0.0,NO
78,237,0.29,NO
79,424,0.69,YES
80,47,0.06,NO
81,1118,0.73,YES
82,27,0.0,NO
83,89,0.0,NO
84,474,0.37,YES
85,166,0.31,NO
86,92,0.03,NO
87,476,0.71,NO
88,93,0.03,NO
89,244,0.22,NO
90,204,0.52,NO
91,252,0.44,NO
92,109,0.0,YES
93,618,0.53,NO
94,565,0.39,YES
95,69,0.02,NO
96,77,0.06,NO
97,97,0.14833333333333337,NO
98,343,0.28,NO
99,214,0.01,NO
100,79,0.01,NO
101,25,0.0,NO
102,84,0.0,NO
103,34,0.0,NO
104,33,0.0,NO
105,104,0.04,NO
106,172,0.08,NO
107,70,0.01,NO
108,140,0.07083333333333335,NO
109,156,0.14,NO
110,142,0.02,NO
111,152,0.01,NO
112,31,0.0,NO
113,60,0.5,NO
114,60,0.03,NO
115,876,0.9,NO
116,61,0.0,NO
117,185,0.02,NO
118,264,0.59,NO
119,43,0.0,NO
120,248,0.08,NO
121,310,0.74,YES
122,199,0.51,NO
123,194,0.34,NO
124,346,0.36,NO
125,90,0.42,NO
126,335,0.03,YES
127,372,0.8,NO
128,84,0.06916666666666665,NO
129,53,0.02,NO
130,148,0.31,NO
131,4088,0.22,NO
132,860,0.84,YES
133,47,0.0,NO
134,101,0.35333333333333333,NO
135,517,0.29,YES
136,327,0.51,YES
137,275,0.36,YES
138,136,0.18666666666666665,NO
139,56,0.0,NO
140,74,0.0,YES
141,362,0.61,YES
142,174,0.29,NO
143,148,0.27,NO
144,92,0.05,NO
145,45,0.00125,YES
146,39,0.0,NO
147,182,0.57,NO
148,77,0.14,NO
149,666,0.88,NO
150,88,0.04,YES
151,263,0.59,YES
152,54,0.0,NO
153,76,0.17,NO
154,132,0.095,NO
155,160,0.01,YES
156,152,0.01,NO
157,39,0.0,NO
158,677,0.84,NO
159,131,0.01,NO
160,47,0.0,NO
161,129,0.0,NO
162,43,0.0,NO
163,73,0.02,NO
164,257,0.49,NO
165,356,0.64,NO
166,62,0.0,NO
167,45,0.03,NO
168,97,0.64,NO
169,131,0.17,YES
170,68,0.04,YES
171,99,0.06583333333333334,NO
172,53,0.01,NO
173,81,0.5433333333333333,NO
174,78,0.7128333333333333,YES
175,69,0.03666666666666667,NO
176,69,0.01,NO
177,77,0.22785714285714284,NO
178,72,0.0,NO
179,72,0.03,NO
180,63,0.1368333333333333,NO
181,50,0.0,NO
182,28,0.0,NO
183,96,0.03,NO
184,40,0.0,NO
185,76,0.06666666666666667,NO
186,49,0.0,NO
187,63,0.1868333333333333,NO
188,55,0.0,NO
189,45,0.16,NO
190,476,0.37,NO
191,77,0.16,NO
192,69,0.02,NO
193,104,0.1,NO
194,115,0.0,NO
195,421,0.55,NO
196,61,0.0,NO
197,2009,0.76,NO
198,179,0.24,NO
199,106,0.5,NO
200,33,0.01,NO
201,657,0.76,NO
202,295,0.58,NO
203,872,0.72,NO
