ID,Size,Predicted %,Actual value
0,215,0.29,NO
1,273,0.37,YES
2,460,0.33,YES
3,138,0.36,NO
4,358,0.47,NO
5,1248,0.89,YES
6,51,0.06,NO
7,157,0.56,NO
8,31,0.0,NO
9,981,0.82,YES
10,180,0.1,NO
11,262,0.44,NO
12,553,0.79,YES
13,40,0.0,NO
14,369,0.63,NO
15,390,0.31,NO
16,51,0.0,NO
17,577,0.74,YES
18,32,0.05,NO
19,66,0.01,NO
20,188,0.14,YES
21,582,0.73,YES
22,160,0.43,YES
23,50,0.0,NO
24,27,0.05,NO
25,923,0.86,YES
26,60,0.03,NO
27,62,0.01,NO
28,87,0.03,NO
29,52,0.01,NO
30,268,0.25,YES
31,163,0.5,NO
32,109,0.13,NO
33,147,0.09,NO
34,58,0.0,NO
35,44,0.23,NO
36,106,0.54,YES
37,139,0.12,NO
38,326,0.26,YES
39,648,0.7,YES
40,792,0.78,YES
41,319,0.53,YES
42,55,0.0,NO
43,191,0.18,NO
44,90,0.33,NO
45,273,0.2,YES
46,137,0.06,NO
47,79,0.28,NO
48,82,0.0,NO
49,147,0.06,NO
50,422,0.56,YES
51,979,0.78,YES
52,495,0.8,YES
53,189,0.07,YES
54,167,0.43,YES
55,86,0.52,NO
56,182,0.03,YES
57,361,0.49,YES
58,126,0.1,YES
59,106,0.38,NO
60,109,0.29,NO
61,85,0.02,NO
62,236,0.51,NO
63,315,0.79,YES
64,695,0.92,YES
65,27,0.05,NO
66,89,0.23,NO
67,301,0.55,YES
68,153,0.14,YES
69,92,0.55,NO
70,466,0.8,YES
71,93,0.41,NO
72,244,0.25,NO
73,192,0.45,YES
74,252,0.45,NO
75,109,0.13,NO
76,601,0.27,YES
77,565,0.31,YES
78,69,0.16,NO
79,77,0.3,NO
80,94,0.41,YES
81,337,0.34,NO
82,214,0.2,NO
83,79,0.25,NO
84,25,0.05,NO
85,84,0.27,NO
86,34,0.0,NO
87,33,0.0,NO
88,104,0.27,NO
89,172,0.45,NO
90,70,0.27,NO
91,140,0.06,NO
92,156,0.29,NO
93,248,0.24,NO
94,277,0.27,YES
95,189,0.82,NO
96,194,0.625,NO
97,346,0.81,NO
98,304,0.59,NO
99,356,0.64,YES
100,84,0.59,NO
101,53,0.1,NO
102,132,0.05,NO
103,4088,0.45,NO
104,691,0.93,YES
105,47,0.14,NO
106,101,0.59,NO
107,510,0.59,YES
108,328,0.38,YES
109,273,0.18,YES
110,136,0.07,NO
111,56,0.0,NO
112,74,0.0,NO
113,359,0.36,YES
114,174,0.03,NO
115,148,0.04,NO
116,92,0.73,NO
117,45,0.19,NO
118,168,0.06,NO
119,77,0.28,NO
120,666,0.86,NO
121,88,0.42,NO
122,262,0.22,NO
123,54,0.0,NO
124,48,0.0,YES
125,140,0.03,YES
126,152,0.06,NO
127,39,0.0,NO
128,131,0.04,NO
129,47,0.14,NO
130,129,0.04,NO
131,43,0.02,NO
132,243,0.36,YES
133,62,0.02,NO
134,45,0.3,NO
135,97,0.51,NO
136,476,0.14,NO
137,77,0.77,NO
138,69,0.26,NO
139,104,0.08,NO
140,115,0.05,NO
141,421,0.26,NO
142,61,0.06,NO
143,2009,0.67,NO
144,179,0.02,NO
145,106,0.04,NO
146,33,0.0,NO
147,657,0.17,NO
148,295,0.23,NO
149,872,0.48,NO
150,444,0.12,NO
151,168,0.01,NO
152,752,0.25,NO
153,135,0.04,NO
154,1126,0.4,NO
155,163,0.08,NO
156,184,0.06166666666666666,NO
157,51,0.03,NO
158,25,0.04,NO
159,180,0.02,NO
160,64,0.71,NO
161,101,0.07,NO
162,512,0.16,NO
163,187,0.24166666666666664,NO
164,56,0.03,NO
165,39,0.01,NO
166,261,0.14666666666666667,NO
167,73,0.18,NO
168,65,0.57,NO
169,329,0.26666666666666666,NO
170,64,0.67,NO
171,164,0.07,NO
172,624,0.47,NO
173,74,0.16,NO
174,117,0.01,NO
175,84,0.11,NO
176,226,0.66,NO
177,76,0.57,NO
178,323,0.39,NO
179,72,0.09,NO
180,42,0.02,NO
181,48,0.0,NO
182,89,0.25,NO
183,380,0.72,NO
184,141,0.57,NO
185,148,0.43,NO
186,191,0.38,NO
187,46,0.08,NO
188,165,0.5,NO
189,171,0.04,NO
190,56,0.0,NO
191,179,0.05,NO
192,74,0.07,NO
193,36,0.0,NO
194,37,0.0,NO
195,34,0.0,NO
196,34,0.0,NO
197,38,0.08,NO
198,39,0.01,NO
199,156,0.1,NO
200,84,0.03,NO
201,117,0.27,NO
202,94,0.67,NO
203,71,0.03,NO
204,183,0.27,NO
205,85,0.11,NO
206,183,0.04,NO
207,70,0.03,NO
208,54,0.0,NO
209,160,0.25,NO
210,125,0.18,NO
211,151,0.11,NO
212,422,0.4,NO
213,221,0.26,NO
214,50,0.02,NO
215,42,0.32,NO
216,624,0.73,NO
217,377,0.25,NO
218,383,0.76,YES
219,72,0.01,NO
220,92,0.29,NO
221,282,0.35,NO
222,371,0.5,NO
223,47,0.02,NO
224,108,0.43,NO
225,111,0.39,NO
226,319,0.23,NO
227,129,0.13,NO
228,49,0.02,NO
229,358,0.27,NO
230,277,0.21,NO
231,49,0.02,NO
232,89,0.24,NO
233,41,0.07,NO
234,66,0.01,NO
235,63,0.13,NO
236,24,0.05,NO
237,50,0.0,NO
238,72,0.01,NO
239,47,0.01,NO
240,47,0.0,NO
241,183,0.03,NO
242,49,0.02,NO
243,50,0.02,NO
244,98,0.06,NO
245,143,0.12,NO
246,43,0.01,NO
247,42,0.0,NO
248,56,0.0,NO
249,44,0.23,NO
250,26,0.0,NO
251,254,0.31,NO
252,16883,0.71,NO
253,74,0.03,NO
254,153,0.1,NO
255,68,0.16,NO
256,100,0.12,NO
257,550,0.82,NO
258,437,0.27,NO
259,1038,0.62,NO
260,104,0.59,NO
261,332,0.44,NO
262,123,0.21,NO
263,106,0.64,NO
264,106,0.7,NO
265,94,0.66,NO
266,101,0.3,NO
267,38,0.62,NO
268,628,0.96,NO
269,32,0.0,NO
270,111,0.13,NO
271,35,0.05,NO
272,90,0.52,NO
273,27,0.0,NO
274,28,0.0,NO
275,92,0.38,NO
276,956,0.89,YES
277,67,0.05,NO
278,29,0.0,NO
279,105,0.44,NO
280,72,0.04,NO
281,37,0.0,NO
282,47,0.02,NO
283,31,0.0,NO
284,90,0.67,NO
285,223,0.19,NO
286,214,0.13,NO
287,107,0.4,NO
288,37,0.0,NO
289,27,0.05,NO
290,48,0.01,NO
291,167,0.24,NO
292,213,0.32,NO
293,867,0.52,NO
294,159,0.46,NO
295,100,0.22,NO
296,96,0.3,NO
297,842,0.75,NO
298,525,0.33,NO
299,83,0.04,NO
300,63,0.12,NO
301,76,0.05,NO
302,202,0.16,NO
303,155,0.18,NO
304,1263,0.8,NO
305,74,0.03,NO
306,101,0.24,NO
307,27,0.05,NO
308,22,0.0,NO
309,491,0.3,NO
310,62,0.01,NO
311,59,0.0,NO
312,99,0.25,NO
313,27,0.0,NO
314,77,0.2,NO
315,846,0.7,YES
