ID,Size,Predicted %,Actual value
0,215,0.01,NO
1,274,0.29,NO
2,461,0.47,YES
3,138,0.043333333333333335,NO
4,358,0.3,NO
5,1248,0.98,YES
6,51,0.0,NO
7,45,0.19,NO
8,157,0.24,NO
9,31,0.0,NO
10,1008,0.88,YES
11,55,0.17,NO
12,204,0.4,NO
13,55,0.032,NO
14,103,0.49,NO
15,83,0.18,NO
16,262,0.01,NO
17,83,0.11,NO
18,867,0.89,YES
19,40,0.0,NO
20,387,0.55,YES
21,390,0.12,NO
22,51,0.01,NO
23,637,0.64,YES
24,32,0.0,NO
25,68,0.06,YES
26,547,0.8,YES
27,566,0.63,NO
28,314,0.81,YES
29,839,0.89,YES
30,211,0.61,NO
31,31,0.0,NO
32,50,0.0,NO
33,27,0.0,NO
34,175,0.69,NO
35,50,0.0,NO
36,62,0.0,NO
37,87,0.04,NO
38,52,0.0,NO
39,373,0.45,NO
40,224,0.02,NO
41,118,0.01,YES
42,83,0.04933333333333332,NO
43,147,0.01,NO
44,58,0.0,NO
45,44,0.0,NO
46,106,0.68,NO
47,189,0.69,NO
48,151,0.2,NO
49,352,0.59,YES
50,849,0.52,YES
51,877,0.57,YES
52,41,0.0,NO
53,319,0.38,YES
54,27,0.0,NO
55,55,0.0,NO
56,94,0.15,NO
57,191,0.05,NO
58,90,0.03,NO
59,90,0.03,NO
60,271,0.88,YES
61,152,0.4,NO
62,90,0.12,YES
63,82,0.0,NO
64,147,0.07,NO
65,422,0.73,YES
66,1059,0.91,YES
67,530,0.08,YES
68,205,0.6,YES
69,190,0.52,NO
70,86,0.04,NO
71,207,0.52,YES
72,397,0.53,YES
73,573,0.4,NO
74,126,0.88,YES
75,167,0.41,NO
76,109,0.0,YES
77,85,0.0,NO
78,237,0.41,NO
79,424,0.21,YES
80,47,0.04,NO
81,1118,0.92,YES
82,27,0.0,NO
83,89,0.03,NO
84,474,0.49,YES
85,166,0.5,NO
86,92,0.05,NO
87,476,0.86,NO
88,93,0.04,NO
89,244,0.24,NO
90,204,0.45,NO
91,252,0.37,NO
92,109,0.0,YES
93,618,0.22,NO
94,565,0.67,YES
95,69,0.03,NO
96,77,0.11166666666666668,NO
97,97,0.16583333333333333,NO
98,343,0.14,NO
99,214,0.0,NO
100,79,0.01,NO
101,25,0.0,NO
102,84,0.01,NO
103,34,0.0,NO
104,33,0.0,NO
105,104,0.0,NO
106,172,0.0,NO
107,70,0.05,NO
108,140,0.035,NO
109,156,0.22,NO
110,142,0.1,NO
111,152,0.04,NO
112,31,0.0,NO
113,60,0.44,NO
114,60,0.01,NO
115,876,0.84,NO
116,61,0.0,NO
117,185,0.15,NO
118,264,0.45,NO
119,43,0.0,NO
120,248,0.05,NO
121,310,0.71,YES
122,199,0.09,NO
123,194,0.14,NO
124,346,0.45,NO
125,90,0.44,NO
126,335,0.5,YES
127,372,0.39,NO
128,84,0.085,NO
129,53,0.03,NO
130,148,0.25,NO
