ID,Size,Predicted %,Actual value
0,215,0.16,NO
1,273,0.67,YES
2,460,0.71,YES
3,138,0.35609523809523813,NO
4,358,0.79,NO
5,1154,0.91,YES
6,51,0.01,NO
7,157,0.58,NO
8,31,0.0,NO
9,1009,0.79,YES
10,193,0.38,NO
11,83,0.15,YES
12,262,0.69,NO
13,638,0.76,YES
14,40,0.0,NO
15,374,0.63,NO
16,390,0.78,NO
17,51,0.13,NO
18,579,0.65,YES
19,32,0.0,NO
20,66,0.0,NO
21,260,0.83,YES
22,596,0.85,NO
23,198,0.51,NO
24,50,0.01,NO
25,27,0.0,NO
26,926,0.83,NO
27,60,0.11,NO
28,62,0.0,NO
29,87,0.01,NO
30,52,0.03,NO
31,297,0.88,NO
32,163,0.1,NO
33,118,0.09,NO
34,83,0.05,NO
35,147,0.02,NO
36,58,0.0,NO
37,44,0.0,NO
38,106,0.13,NO
39,192,0.31,NO
40,151,0.24,NO
41,352,0.62,YES
42,752,0.88,YES
43,877,0.82,YES
44,319,0.9,YES
45,27,0.0,NO
46,55,0.0,NO
47,94,0.18,NO
48,191,0.13333333333333333,NO
49,90,0.07,NO
50,90,0.37,NO
51,271,0.63,YES
52,138,0.13416666666666666,NO
53,79,0.07,NO
54,82,0.035,NO
55,147,0.18,NO
56,422,0.63,YES
57,1026,0.87,YES
58,530,0.69,NO
59,189,0.43,YES
60,167,0.11,YES
61,86,0.7371666666666666,NO
62,195,0.66,YES
63,374,0.42,YES
64,573,0.31,NO
65,126,0.015,YES
66,106,0.18,YES
67,109,0.06,NO
68,85,0.01,NO
69,237,0.5,NO
70,345,0.88,YES
71,47,0.04,NO
72,781,0.78,YES
73,27,0.0,NO
74,89,0.14714285714285713,NO
75,300,0.89,YES
76,166,0.54,NO
77,92,0.41200000000000003,NO
78,497,0.63,YES
79,93,0.42,NO
80,244,0.49,NO
81,183,0.2,YES
82,252,0.73,NO
83,109,0.02,YES
84,607,0.73,YES
85,565,0.46,YES
86,69,0.09,NO
87,77,0.37666666666666665,NO
88,97,0.36666666666666664,NO
89,343,0.38,NO
90,214,0.15666666666666665,NO
91,79,0.09,NO
92,25,0.0,NO
93,84,0.03,NO
94,34,0.0,NO
95,33,0.0,NO
96,104,0.08,NO
97,172,0.13,NO
98,70,0.12,NO
99,140,0.18,NO
100,156,0.31,NO
101,142,0.22,NO
102,152,0.19,NO
103,31,0.0,NO
104,60,0.21,NO
105,60,0.01,NO
106,876,0.64,NO
107,61,0.04,NO
108,185,0.19,NO
109,264,0.63,NO
110,248,0.37,NO
111,286,0.82,YES
112,185,0.2,NO
113,194,0.14,NO
114,346,0.88,NO
115,309,0.5,NO
116,363,0.56,YES
117,84,0.3995,NO
118,53,0.04,NO
119,132,0.03,YES
120,4088,0.79,NO
121,721,0.77,YES
122,47,0.05,NO
123,101,0.4018333333333334,NO
124,517,0.54,YES
125,327,0.81,YES
126,274,0.71,YES
127,136,0.22595238095238096,YES
128,56,0.0,NO
129,74,0.0,YES
130,361,0.78,YES
131,174,0.03,NO
132,148,0.03,NO
133,92,0.19,NO
134,45,0.02,NO
135,168,0.03,NO
136,77,0.027142857142857146,NO
137,666,0.88,NO
138,88,0.15,NO
139,263,0.67,NO
140,54,0.0,NO
141,51,0.02,NO
142,132,0.0,NO
143,160,0.43,YES
144,152,0.04,NO
145,39,0.0,NO
146,677,0.49,NO
147,131,0.0,NO
148,47,0.05,NO
149,129,0.06,NO
150,43,0.0,NO
151,257,0.78,NO
152,356,0.71,NO
153,62,0.0,NO
154,45,0.12,NO
155,97,0.7183333333333333,NO
156,476,0.67,NO
157,77,0.43333333333333335,NO
158,69,0.09,NO
159,104,0.535,NO
160,115,0.06,NO
161,421,0.57,NO
162,61,0.0,NO
163,2009,0.95,NO
164,179,0.21,NO
165,106,0.36833333333333335,NO
166,33,0.04,NO
