ID,Size,Predicted %,Actual value
0,215,0.0,NO
1,271,0.0,YES
2,458,0.01,YES
3,137,0.03,YES
4,357,0.02,YES
5,1242,0.99,YES
6,51,0.0,NO
7,154,0.0,YES
8,31,0.0,NO
9,928,0.65,NO
10,180,0.02,NO
11,260,0.16,YES
12,551,0.81,YES
13,40,0.02,NO
14,361,0.46,YES
15,388,0.0,YES
16,51,0.04,NO
17,577,0.85,NO
18,32,0.0,NO
19,66,0.0,NO
20,188,0.45,YES
21,582,0.59,NO
22,158,0.01,YES
23,50,0.01,NO
24,27,0.0,NO
25,928,0.83,YES
26,60,0.02,NO
27,62,0.0,NO
28,87,0.01,NO
29,52,0.0,NO
30,268,0.49,NO
31,163,0.0,NO
32,109,0.2,NO
33,147,0.02,NO
34,58,0.01,NO
35,44,0.0,NO
36,106,0.06,NO
37,139,0.33,NO
38,326,0.1,NO
39,648,0.81,NO
40,778,0.85,YES
41,314,0.44,YES
42,55,0.0,NO
43,191,0.02,NO
44,90,0.23,NO
45,273,0.51,NO
46,137,0.45,NO
47,79,0.04,NO
48,82,0.02,NO
49,147,0.91,NO
50,422,0.3,NO
51,978,0.91,YES
52,467,0.8,YES
53,189,0.55,NO
54,153,0.03,NO
55,84,0.0,YES
56,182,0.88,NO
57,358,0.41,NO
58,126,0.0,NO
59,106,0.06,NO
60,109,0.02,NO
61,85,0.0,NO
62,236,0.74,NO
63,314,0.86,YES
64,694,0.74,YES
65,27,0.0,NO
66,89,0.03,NO
67,301,0.96,YES
68,153,0.58,NO
69,92,0.07,NO
70,466,0.78,NO
71,93,0.07,NO
72,244,0.83,NO
73,192,0.64,NO
74,250,0.84,YES
75,109,0.63,NO
76,601,0.08,NO
77,565,0.98,YES
78,69,0.06,NO
79,77,0.33,NO
80,94,0.0,NO
81,337,0.04,NO
82,214,0.01,NO
83,79,0.24,NO
84,25,0.0,NO
85,84,0.01,NO
86,34,0.0,NO
87,33,0.0,NO
88,104,0.19,NO
89,172,0.72,NO
90,70,0.1,NO
91,140,0.04,NO
92,154,0.02,YES
93,248,0.2,NO
94,275,0.27,YES
95,176,0.33,NO
96,624,0.71,YES
97,91,0.0,YES
98,58,0.04,YES
99,132,0.27,NO
100,4088,0.46,NO
101,558,0.35,NO
102,727,0.8,YES
103,150,0.0,YES
104,503,0.34,YES
105,325,0.39,NO
106,273,0.38,YES
107,136,0.18,NO
108,56,0.03,NO
109,74,0.19,NO
110,357,0.57,YES
111,174,0.22,NO
112,148,0.27,NO
113,92,0.02,NO
114,45,0.02,NO
115,168,0.37,NO
116,77,0.03,NO
117,664,0.31,YES
118,88,0.02,NO
119,260,0.15,YES
120,54,0.01,NO
121,48,0.03,NO
122,140,0.28,NO
123,152,0.32,NO
124,39,0.0,NO
125,131,0.3,NO
126,47,0.0,NO
127,129,0.34,NO
128,43,0.03,NO
129,243,0.91,NO
130,62,0.06,NO
131,45,0.01,NO
132,94,0.03,YES
133,72,0.02,NO
134,42,0.03,NO
135,48,0.02,NO
136,89,0.22,NO
137,380,0.34,NO
138,138,0.0,YES
139,142,0.01,YES
140,191,0.03,NO
141,46,0.0,NO
142,165,0.0,NO
143,171,0.22,NO
144,56,0.02,NO
145,179,0.33,NO
146,74,0.0,NO
147,36,0.0,NO
148,37,0.0,NO
149,34,0.0,NO
150,34,0.0,NO
