ID,Size,Predicted %,Actual value
0,215,0.12,NO
1,274,0.35,NO
2,461,0.35,YES
3,138,0.09666666666666666,NO
4,358,0.46,NO
5,1248,0.8,YES
6,51,0.0,NO
7,45,0.2,NO
8,157,0.31,NO
9,31,0.0,NO
10,1008,0.94,YES
11,55,0.64,NO
12,204,0.55,NO
13,55,0.0175,NO
14,103,0.49,NO
15,83,0.18,NO
16,262,0.1,NO
17,83,0.2,NO
18,867,0.63,YES
19,40,0.0,NO
20,387,0.49,YES
21,390,0.33,NO
22,51,0.05,NO
23,637,0.76,YES
24,32,0.0,NO
25,68,0.27,YES
26,547,0.86,YES
27,566,0.65,NO
28,314,0.84,YES
29,839,0.98,YES
30,211,0.81,NO
31,31,0.0,NO
32,50,0.08166666666666668,NO
33,27,0.0,NO
34,175,0.88,NO
35,50,0.0,NO
36,62,0.03,NO
37,87,0.04,NO
38,52,0.11,NO
39,373,0.77,NO
40,224,0.16,NO
41,118,0.0,YES
42,83,0.10666666666666666,NO
43,147,0.02,NO
44,58,0.01,NO
45,44,0.02,NO
46,106,0.73,NO
47,189,0.7,NO
48,151,0.05,NO
49,352,0.41,YES
50,849,0.21,YES
51,877,0.26,YES
52,41,0.01,NO
53,319,0.5,YES
54,27,0.0,NO
55,55,0.0,NO
56,94,0.19,NO
57,191,0.11,NO
58,90,0.01,NO
59,90,0.01,NO
60,271,0.45,YES
61,152,0.72,NO
62,90,0.24,YES
63,82,0.11,NO
64,147,0.02,NO
65,422,0.46,YES
66,1059,0.78,YES
67,530,0.28,YES
68,205,0.45,YES
69,190,0.68,NO
70,86,0.37,NO
71,207,0.43,YES
72,397,0.6,YES
73,573,0.47,NO
74,126,1.0,YES
75,167,0.54,NO
76,109,0.0,YES
77,85,0.0,NO
78,237,0.24,NO
79,424,0.34,YES
80,47,0.2,NO
81,1118,0.73,YES
82,27,0.0,NO
83,89,0.01,NO
84,474,0.78,YES
85,166,0.51,NO
86,92,0.06,NO
87,476,0.71,NO
88,93,0.1,NO
89,244,0.28,NO
90,204,0.36,NO
91,252,0.43,NO
92,109,0.0,YES
93,618,0.7,NO
94,565,0.25,YES
95,69,0.03,NO
96,77,0.06,NO
97,97,0.47,NO
98,343,0.26,NO
99,214,0.01,NO
100,79,0.03,NO
101,25,0.0,NO
102,84,0.03,NO
103,34,0.0,NO
104,33,0.0,NO
105,104,0.01,NO
106,172,0.06,NO
107,70,0.06,NO
108,140,0.095,NO
109,156,0.45,NO
110,142,0.09,NO
111,152,0.05,NO
112,31,0.0,NO
113,60,0.48,NO
114,60,0.04,NO
115,876,0.96,NO
116,61,0.03,NO
117,185,0.06,NO
118,264,0.68,NO
119,43,0.0,NO
120,248,0.15,NO
121,310,0.63,YES
122,199,0.21,NO
123,194,0.32,NO
124,346,0.32,NO
125,90,0.42,NO
126,335,0.57,YES
127,372,0.52,NO
128,84,0.1,NO
129,53,0.46,NO
130,148,0.22,NO
131,4088,0.22,NO
132,860,0.93,YES
133,47,0.03,NO
134,101,0.24702380952380953,NO
135,517,0.25,YES
136,327,0.38,YES
137,275,0.26,YES
138,136,0.14,NO
139,56,0.03,NO
140,74,0.0,YES
141,362,0.54,YES
142,174,0.14,NO
143,148,0.3566666666666667,NO
144,92,0.16,NO
145,45,0.14,YES
146,39,0.0,NO
147,182,0.43,NO
148,77,0.06,NO
149,666,0.96,NO
150,88,0.03,YES
151,263,0.48,YES
152,54,0.02,NO
153,76,0.02,NO
154,132,0.015,NO
155,160,0.06,YES
156,152,0.01,NO
157,39,0.0,NO
158,677,0.95,NO
159,131,0.03,NO
160,47,0.03,NO
161,129,0.0,NO
162,43,0.0,NO
163,73,0.05,NO
164,257,0.65,NO
165,356,0.73,NO
166,62,0.04,NO
167,45,0.04,NO
168,97,0.87,NO
169,131,0.14,YES
170,68,0.02,YES
171,99,0.17166666666666663,NO
172,53,0.025,NO
173,81,0.6733333333333333,NO
174,78,0.86,YES
175,69,0.07,NO
176,69,0.12,NO
177,77,0.245,NO
178,72,0.03,NO
179,72,0.08,NO
180,63,0.08916666666666666,NO
181,50,0.0,NO
182,28,0.0,NO
183,96,0.2,NO
184,40,0.02,NO
185,76,0.07,NO
186,49,0.0,NO
187,63,0.2923333333333334,NO
188,55,0.01,NO
189,45,0.06,NO
190,476,0.39,NO
191,77,0.115,NO
192,69,0.03,NO
193,104,0.41,NO
194,115,0.0,NO
195,421,0.44,NO
196,61,0.0,NO
197,2009,0.9,NO
198,179,0.23,NO
199,106,0.44,NO
200,33,0.0,NO
201,657,0.66,NO
202,295,0.6,NO
203,872,0.71,NO
204,444,0.55,NO
205,168,0.22,NO
206,752,0.43,NO
207,135,0.09,NO
208,1126,0.44,NO
209,163,0.4,NO
210,184,0.08,NO
211,51,0.0,NO
212,25,0.0,NO
213,180,0.01,NO
214,64,0.013333333333333332,NO
215,101,0.2,NO
216,512,0.65,NO
217,187,0.21,NO
218,56,0.01,NO
219,39,0.34,NO
220,261,0.56,NO
221,73,0.01,NO
222,65,0.03,NO
223,329,0.6,NO
224,64,0.01,NO
225,164,0.3,NO
226,624,0.52,NO
227,74,0.0,NO
228,117,0.25,NO
229,84,0.13,NO
230,226,0.34,NO
231,76,0.015,NO
232,323,0.16,NO
233,72,0.02,NO
234,42,0.0,NO
235,48,0.0016666666666666666,NO
236,89,0.0,NO
237,380,0.22,NO
238,141,0.41,NO
239,148,0.255,NO
240,191,0.16,NO
241,46,0.0,NO
242,165,0.02,NO
243,171,0.0,NO
244,56,0.03,NO
245,179,0.02,NO
