ID,Size,Predicted %,Actual value
0,215,0.18,NO
1,274,0.51,NO
2,461,0.65,YES
3,138,0.32457142857142857,NO
4,358,0.7,NO
5,1248,0.98,YES
6,51,0.02,NO
7,45,0.26,NO
8,157,0.6,NO
9,31,0.0,NO
10,1008,0.94,YES
11,55,0.61,NO
12,204,0.65,NO
13,55,0.17952380952380947,NO
14,103,0.85,NO
15,83,0.37,NO
16,262,0.32,NO
17,83,0.31833333333333336,NO
18,867,0.91,YES
19,40,0.03752380952380952,NO
20,387,0.9,YES
21,390,0.64,NO
22,51,0.15,NO
23,637,0.9,YES
24,32,0.0,NO
25,68,0.228,YES
26,547,0.93,YES
27,566,0.88,NO
28,314,0.92,YES
29,839,0.95,YES
30,211,0.78,NO
31,31,0.0,NO
32,50,0.039,NO
33,27,0.0,NO
34,175,0.92,NO
35,50,0.01,NO
36,62,0.01,NO
37,87,0.3,NO
38,52,0.03,NO
39,373,0.69,NO
40,224,0.23,NO
41,118,0.07,YES
42,83,0.24383333333333332,NO
43,147,0.17266666666666666,NO
44,58,0.02,NO
45,44,0.05,NO
46,106,0.97,NO
47,189,0.9,NO
48,151,0.35,NO
49,352,0.89,YES
50,849,0.78,YES
51,877,0.81,YES
52,41,0.02,NO
53,319,0.71,YES
54,27,0.0,NO
55,55,0.0,NO
56,94,0.34,NO
57,191,0.35,NO
58,90,0.19,NO
59,90,0.19,NO
60,271,1.0,YES
61,152,0.78,NO
62,90,0.34,YES
63,82,0.21,NO
64,147,0.24,NO
65,422,0.91,YES
66,1059,0.99,YES
67,530,0.29,YES
68,205,0.88,YES
69,190,0.9,NO
70,86,0.42,NO
71,207,0.81,YES
72,397,0.81,YES
73,573,0.61,NO
74,126,1.0,YES
75,167,0.68,NO
76,109,0.08,YES
77,85,0.02,NO
78,237,0.72,NO
79,424,0.6,YES
80,47,0.10099999999999999,NO
81,1118,0.99,YES
82,27,0.0,NO
83,89,0.14,NO
84,474,0.79,YES
85,166,0.63,NO
86,92,0.21,NO
87,476,0.98,NO
88,93,0.25,NO
89,244,0.67,NO
90,204,0.66,NO
91,252,0.64,NO
92,109,0.02,YES
93,618,0.61,NO
94,565,0.87,YES
95,69,0.128,NO
96,77,0.4101428571428572,NO
97,97,0.34833333333333333,NO
98,343,0.43,NO
99,214,0.09,NO
100,79,0.14,NO
101,25,0.0,NO
102,84,0.11,NO
103,34,0.0,NO
104,33,0.0,NO
105,104,0.05,NO
106,172,0.29,NO
107,70,0.15,NO
108,140,0.3230833333333334,NO
109,156,0.5666666666666667,NO
110,142,0.22,NO
111,152,0.14,NO
112,31,0.0,NO
113,60,0.7,NO
114,60,0.18,NO
115,876,1.0,NO
116,61,0.12,NO
117,185,0.25,NO
118,264,0.68,NO
119,43,0.0,NO
120,248,0.33,NO
121,310,0.85,YES
122,199,0.32,NO
123,194,0.35,NO
124,346,0.71,NO
125,90,0.74,NO
126,335,0.82,YES
127,372,0.71,NO
128,84,0.3,NO
129,53,0.07,NO
130,148,0.45,NO
131,4088,0.34,NO
132,860,0.83,YES
133,47,0.11428571428571428,NO
134,101,0.5005,NO
135,517,0.47,YES
136,327,0.89,YES
137,275,0.9,YES
138,136,0.31683333333333336,NO
139,56,0.10157142857142856,NO
140,74,0.01,YES
141,362,1.0,YES
142,174,0.4,NO
143,148,0.59,NO
144,92,0.32,NO
145,45,0.17038095238095238,YES
146,39,0.02,NO
147,182,0.67,NO
148,77,0.31,NO
149,666,0.9,NO
150,88,0.23,YES
151,263,0.42,YES
152,54,0.019,NO
153,76,0.29,NO
154,132,0.09,NO
155,160,0.45,YES
156,152,0.08,NO
157,39,0.01,NO
158,677,0.94,NO
159,131,0.07,NO
160,47,0.11428571428571428,NO
161,129,0.07,NO
162,43,0.0,NO
163,73,0.15,NO
164,257,0.68,NO
165,356,0.97,NO
166,62,0.09466666666666665,NO
167,45,0.13,NO
168,97,0.81,NO
169,131,0.37,YES
170,68,0.20633333333333334,YES
171,99,0.25,NO
172,53,0.0,NO
173,81,0.8169047619047619,NO
174,78,0.99,YES
175,69,0.3438333333333333,NO
176,69,0.165,NO
177,77,0.6241666666666666,NO
178,72,0.07,NO
179,72,0.22383333333333333,NO
180,63,0.14683333333333332,NO
181,50,0.03,NO
182,28,0.0,NO
183,96,0.26,NO
184,40,0.04,NO
185,76,0.1925,NO
186,49,0.03,NO
187,63,0.6927380952380952,NO
188,55,0.05,NO
189,45,0.16,NO
190,476,0.45,NO
