ID,Size,Predicted %,Actual value
0,215,0.35,NO
1,273,0.44095238095238093,YES
2,460,0.23,YES
3,138,0.01,NO
4,358,0.16,NO
5,1248,0.73,YES
6,51,0.18,NO
7,157,0.5292857142857144,NO
8,31,0.0,NO
9,981,0.84,YES
10,180,0.01,NO
11,262,0.09,NO
12,553,0.73,YES
13,40,0.01,NO
14,369,0.65,NO
15,390,0.27,NO
16,51,0.53,NO
17,577,0.74,YES
18,32,0.1,NO
19,66,0.08,NO
20,188,0.42,YES
21,582,0.44,YES
22,160,0.24,YES
23,50,0.16,NO
24,27,0.1,NO
25,923,0.95,YES
26,60,0.19,NO
27,62,0.15,NO
28,87,0.16,NO
29,52,0.25,NO
30,268,0.62,YES
31,163,0.35,NO
32,109,0.12,NO
33,147,0.03,NO
34,58,0.0,NO
35,44,0.11,NO
36,106,0.66,YES
37,139,0.11,NO
38,326,0.1,YES
39,648,0.1,YES
40,792,0.69,YES
41,319,0.72,YES
42,55,0.0,NO
43,191,0.42,NO
44,90,0.66,NO
45,273,0.22,YES
46,137,0.2,NO
47,79,0.12,NO
48,82,0.05,NO
49,147,0.35,NO
50,422,0.28,YES
51,979,0.2,YES
52,495,0.79,YES
53,189,0.38,YES
54,167,0.12,YES
55,86,0.32,NO
56,182,0.01,YES
57,361,0.14,YES
58,126,0.1,YES
59,106,0.4,NO
60,109,0.29,NO
61,85,0.11,NO
62,236,0.72,NO
63,315,0.92,YES
64,695,0.99,YES
65,27,0.1,NO
66,89,0.39,NO
67,301,0.63,YES
68,153,0.12,YES
69,92,0.59,NO
70,466,0.8,YES
71,93,0.58,NO
72,244,0.76,NO
73,192,0.74,YES
74,252,0.79,NO
75,109,0.12,NO
76,601,0.04,YES
77,565,0.03,YES
78,69,0.23,NO
79,77,0.58,NO
80,94,0.62,YES
81,337,0.32,NO
82,214,0.06,NO
83,79,0.16,NO
84,25,0.1,NO
85,84,0.21,NO
86,34,0.0,NO
87,33,0.0,NO
88,104,0.41,NO
89,172,0.54,NO
90,70,0.35,NO
91,140,0.05,NO
92,156,0.08,NO
93,248,0.61,NO
94,277,0.24,YES
95,189,0.34,NO
96,194,0.36,NO
97,346,0.8,NO
98,304,0.9,NO
99,356,0.87,YES
100,84,0.2,NO
101,53,0.01,NO
102,132,0.09,NO
103,4088,0.4,NO
104,691,0.93,YES
105,47,0.1,NO
106,101,0.33949999999999997,NO
107,510,0.53,YES
108,328,0.68,YES
109,273,0.09,YES
110,136,0.05,NO
111,56,0.0,NO
112,74,0.01,NO
113,359,0.33,YES
114,174,0.03,NO
115,148,0.11,NO
116,92,0.57,NO
117,45,0.15,NO
118,168,0.15,NO
119,77,0.08,NO
120,666,0.19,NO
121,88,0.34,NO
122,262,0.12,NO
123,54,0.0,NO
124,48,0.03,YES
125,140,0.01,YES
126,152,0.23,NO
127,39,0.0,NO
128,131,0.01,NO
129,47,0.28,NO
130,129,0.1,NO
131,43,0.04,NO
132,243,0.81,YES
133,62,0.04,NO
134,45,0.18,NO
135,97,0.51,NO
136,476,0.32,NO
137,77,0.76,NO
138,69,0.35,NO
139,104,0.54,NO
140,115,0.39,NO
141,421,0.21,NO
142,61,0.19,NO
143,2009,0.75,NO
144,179,0.32,NO
145,106,0.63,NO
146,33,0.0,NO
147,657,0.29,NO
148,295,0.24,NO
149,872,0.31,NO
150,444,0.09,NO
151,168,0.48,NO
152,752,0.15,NO
153,135,0.85,NO
154,1126,0.14,NO
155,163,0.36,NO
156,184,0.570952380952381,NO
157,51,0.06,NO
158,25,0.0,NO
159,180,0.5633333333333334,NO
160,64,0.67,NO
161,101,0.41,NO
162,512,0.21,NO
163,187,0.7666666666666666,NO
164,56,0.02,NO
165,39,0.14,NO
166,261,0.45095238095238094,NO
167,73,0.19,NO
168,65,0.41,NO
169,329,0.46095238095238095,NO
170,64,0.56,NO
171,164,0.2,NO
172,624,0.59,NO
173,74,0.07,NO
174,117,0.05,NO
175,84,0.52,NO
176,226,0.67,NO
177,76,0.67,NO
178,323,0.14,NO
179,72,0.06,NO
180,42,0.04,NO
181,48,0.07,NO
182,89,0.45,NO
183,380,0.43,NO
184,141,0.92,NO
185,148,0.7583333333333333,NO
186,191,0.88,NO
187,46,0.01,NO
188,165,0.32,NO
189,171,0.11,NO
190,56,0.0,NO
191,179,0.13,NO
192,74,0.08,NO
193,36,0.04,NO
194,37,0.02,NO
195,34,0.01,NO
196,34,0.01,NO
197,38,0.07,NO
198,39,0.02,NO
199,156,0.32,NO
200,84,0.17,NO
201,117,0.17,NO
202,94,0.78,NO
203,71,0.13,NO
204,183,0.21,NO
205,85,0.37,NO
206,183,0.13,NO
207,70,0.19,NO
208,54,0.17,NO
209,160,0.23,NO
210,125,0.13,NO
211,151,0.14,NO
212,422,0.26,NO
213,221,0.41,NO
214,50,0.0,NO
215,42,0.46,NO
216,624,0.44,NO
217,377,0.1,NO
218,383,0.93,YES
219,72,0.09,NO
220,92,0.27,NO
221,282,0.64,NO
222,371,0.43,NO
223,47,0.01,NO
224,108,0.47,NO
225,111,0.32,NO
226,319,0.12,NO
227,129,0.42,NO
228,49,0.0,NO
229,358,0.27,NO
230,277,0.18,NO
231,49,0.0,NO
232,89,0.39,NO
233,41,0.05,NO
234,66,0.08,NO
235,63,0.17,NO
236,24,0.1,NO
237,50,0.22,NO
238,72,0.09,NO
239,47,0.04,NO
240,47,0.03,NO
241,183,0.13,NO
242,49,0.0,NO
243,50,0.0,NO
244,98,0.08,NO
245,143,0.04,NO
246,43,0.0,NO
247,42,0.0,NO
248,56,0.0,NO
249,44,0.15,NO
250,26,0.0,NO
251,254,0.31,NO
252,16883,0.26,NO
253,74,0.05,NO
254,153,0.12,NO
255,68,0.21,NO
256,100,0.39,NO
