ID,Size,Predicted %,Actual value
0,215,0.41,NO
1,273,0.95,YES
2,460,0.87,YES
3,138,0.8405714285714286,NO
4,358,0.83,NO
5,1154,0.97,YES
6,51,0.07,NO
7,157,0.76,NO
8,31,0.0,NO
9,1009,0.91,YES
10,193,0.59,NO
11,83,0.34,YES
12,262,0.71,NO
13,638,0.85,YES
14,40,0.01,NO
15,374,0.81,NO
16,390,0.85,NO
17,51,0.34,NO
18,579,0.81,YES
19,32,0.13,NO
20,66,0.09,NO
21,260,0.95,YES
22,596,0.97,NO
23,198,0.68,NO
24,50,0.01,NO
25,27,0.07,NO
26,926,0.91,NO
27,60,0.39,NO
28,62,0.07,NO
29,87,0.21,NO
30,52,0.06,NO
31,297,0.96,NO
32,163,0.41,NO
33,118,0.27,NO
34,83,0.33666666666666667,NO
35,147,0.29583333333333334,NO
36,58,0.07,NO
37,44,0.09,NO
38,106,0.51,NO
39,192,0.41,NO
40,151,0.49,NO
41,352,0.9,YES
42,752,0.97,YES
43,877,0.91,YES
44,319,0.96,YES
45,27,0.0,NO
46,55,0.0,NO
47,94,0.49,NO
48,191,0.31,NO
49,90,0.42,NO
50,90,0.62,NO
51,271,0.52,YES
52,138,0.39,NO
53,79,0.23,NO
54,82,0.228,NO
55,147,0.27,NO
56,422,0.74,YES
57,1026,0.91,YES
58,530,0.85,NO
59,189,0.2,YES
60,167,0.4375,YES
61,86,0.885,NO
62,195,0.84,YES
63,374,0.8,YES
64,573,0.6,NO
65,126,0.3741666666666667,YES
66,106,0.48,YES
67,109,0.3783333333333333,NO
68,85,0.21,NO
69,237,0.71,NO
70,345,0.95,YES
71,47,0.06,NO
72,781,0.86,YES
73,27,0.07,NO
74,89,0.418,NO
75,300,0.96,YES
76,166,0.84,NO
77,92,0.715,NO
78,497,0.76,YES
79,93,0.735,NO
80,244,0.58,NO
81,183,0.42,YES
82,252,0.65,NO
83,109,0.11,YES
84,607,0.91,YES
85,565,0.86,YES
86,69,0.19,NO
87,77,0.6829999999999999,NO
88,97,0.5983333333333333,NO
89,343,0.66,NO
90,214,0.32,NO
