ID,Size,Predicted %,Actual value
0,215,0.67,NO
1,273,0.51,YES
2,460,0.6,YES
3,138,0.47,NO
4,358,0.54,NO
5,1248,0.85,YES
6,51,0.26,NO
7,157,0.72,NO
8,31,0.03,NO
9,981,0.81,YES
10,180,0.57,NO
11,262,0.45,NO
12,553,0.82,YES
13,40,0.07,NO
14,369,0.87,NO
15,390,0.53,NO
16,51,0.07,NO
17,577,0.78,YES
18,32,0.52,NO
19,66,0.03,NO
20,188,0.13,YES
21,582,0.76,YES
22,160,0.71,YES
23,50,0.0,NO
24,27,0.52,NO
25,923,0.99,YES
26,60,0.17,NO
27,62,0.11,NO
28,87,0.2,NO
29,52,0.01,NO
30,268,0.27,YES
31,163,0.9,NO
32,109,0.12,NO
33,147,0.34,NO
34,58,0.0,NO
35,44,0.34,NO
36,106,0.75,YES
37,139,0.24,NO
38,326,0.73,YES
39,648,0.73,YES
40,792,0.94,YES
41,319,0.71,YES
42,55,0.0,NO
43,191,0.44,NO
44,90,0.17,NO
45,273,0.26,YES
46,137,0.02,NO
47,79,0.57,NO
48,82,0.04,NO
49,147,0.02,NO
50,422,0.78,YES
51,979,0.8,YES
52,495,0.92,YES
53,189,0.08,YES
54,167,0.45,YES
55,86,0.4,NO
56,182,0.08,YES
57,361,0.44,YES
58,126,0.41,YES
59,106,0.66,NO
60,109,0.62,NO
61,85,0.22,NO
62,236,0.57,NO
63,315,0.79,YES
64,695,0.96,YES
65,27,0.52,NO
66,89,0.28,NO
67,301,0.83,YES
68,153,0.44,YES
69,92,0.76,NO
70,466,0.97,YES
71,93,0.79,NO
72,244,0.24,NO
73,192,0.47,YES
74,252,0.49,NO
75,109,0.12,NO
76,601,0.45,YES
77,565,0.56,YES
78,69,0.13,NO
79,77,0.31,NO
80,94,0.7,YES
81,337,0.63,NO
82,214,0.56,NO
83,79,0.2,NO
84,25,0.52,NO
85,84,0.35,NO
86,34,0.0,NO
87,33,0.0,NO
88,104,0.22,NO
89,172,0.45,NO
90,70,0.35,NO
91,140,0.5,NO
92,156,0.52,NO
93,248,0.25,NO
94,277,0.48,YES
95,189,0.63,NO
96,194,0.43,NO
97,346,0.75,NO
98,304,0.35,NO
99,356,0.7233333333333333,YES
100,84,0.28,NO
101,53,0.07,NO
102,132,0.01,NO
103,4088,0.59,NO
104,691,0.96,YES
105,47,0.2,NO
106,101,0.44,NO
107,510,0.79,YES
108,328,0.52,YES
109,273,0.4,YES
110,136,0.5,NO
111,56,0.01,NO
112,74,0.02,NO
113,359,0.58,YES
114,174,0.07,NO
115,148,0.0,NO
116,92,0.83,NO
117,45,0.29,NO
118,168,0.13,NO
119,77,0.2,NO
120,666,0.83,NO
121,88,0.49,NO
122,262,0.41,NO
123,54,0.0,NO
124,48,0.03,YES
125,140,0.04,YES
126,152,0.07,NO
127,39,0.0,NO
128,131,0.0,NO
129,47,0.45,NO
130,129,0.01,NO
131,43,0.24,NO
132,243,0.38,YES
133,62,0.13,NO
134,45,0.15,NO
135,97,0.83,NO
136,476,0.78,NO
137,77,0.62,NO
138,69,0.46,NO
139,104,0.10142857142857142,NO
140,115,0.041428571428571426,NO
141,421,0.22,NO
142,61,0.02,NO
143,2009,0.49,NO
144,179,0.0,NO
145,106,0.03,NO
146,33,0.02,NO
147,657,0.31,NO
148,295,0.13,NO
149,872,0.87,NO
150,444,0.55,NO
151,168,0.0,NO
152,752,0.35,NO
153,135,0.0,NO
154,1126,0.36,NO
155,163,0.04,NO
156,184,0.0245,NO
157,51,0.0,NO
158,25,0.02,NO
159,180,0.0,NO
160,64,0.84,NO
161,101,0.03,NO
162,512,0.39,NO
163,187,0.1045,NO
164,56,0.0,NO
165,39,0.0,NO
166,261,0.0325,NO
167,73,0.63,NO
168,65,0.79,NO
169,329,0.4775,NO
170,64,0.68,NO
171,164,0.03,NO
172,624,0.68,NO
173,74,0.41,NO
174,117,0.0,NO
175,84,0.06,NO
176,226,0.53,NO
177,76,0.8,NO
178,323,0.44,NO
179,72,0.04,NO
180,42,0.21,NO
181,48,0.08,NO
182,89,0.11,NO
183,380,0.73,NO
184,141,0.89,NO
185,148,0.55,NO
186,191,0.76,NO
187,46,0.02,NO
188,165,0.89,NO
189,171,0.12,NO
190,56,0.01,NO
191,179,0.08,NO
192,74,0.15,NO
193,36,0.02,NO
194,37,0.02,NO
195,34,0.02,NO
196,34,0.02,NO
197,38,0.33,NO
198,39,0.09,NO
199,156,0.05,NO
200,84,0.16,NO
201,117,0.6,NO
202,94,0.95,NO
203,71,0.04,NO
204,183,0.47,NO
205,85,0.16,NO
206,183,0.14,NO
207,70,0.03,NO
208,54,0.07,NO
209,160,0.43,NO
210,125,0.47,NO
211,151,0.62,NO
212,422,0.56,NO
213,221,0.3,NO
214,50,0.0,NO
215,42,0.61,NO
216,624,0.75,NO
217,377,0.65,NO
218,383,0.78,YES
219,72,0.01,NO
220,92,0.59,NO
221,282,0.44,NO
222,371,0.66,NO
223,47,0.0,NO
224,108,0.72,NO
225,111,0.58,NO
226,319,0.51,NO
227,129,0.3,NO
228,49,0.0,NO
229,358,0.42,NO
230,277,0.35,NO
231,49,0.0,NO
232,89,0.11,NO
233,41,0.1,NO
234,66,0.03,NO
235,63,0.62,NO
236,24,0.52,NO
237,50,0.06,NO
238,72,0.01,NO
239,47,0.16,NO
240,47,0.08,NO
241,183,0.14,NO
242,49,0.0,NO
243,50,0.0,NO
244,98,0.01,NO
245,143,0.26,NO
246,43,0.0,NO
247,42,0.0,NO
248,56,0.0,NO
249,44,0.43,NO
250,26,0.0,NO
251,254,0.79,NO
252,16883,0.73,NO
253,74,0.01,NO
254,153,0.64,NO
255,68,0.13,NO
256,100,0.3,NO
257,550,0.85,NO
258,437,0.41,NO
259,1038,0.7,NO
260,104,0.61,NO
261,332,0.55,NO
262,123,0.57,NO
263,106,0.67,NO
264,106,0.97,NO
265,94,0.51,NO
266,101,0.29,NO
267,38,0.98,NO
268,628,0.96,NO
269,32,0.0,NO
270,111,0.2,NO
271,35,0.57,NO
272,90,0.65,NO
273,27,0.0,NO
274,28,0.0,NO
275,92,0.24,NO
276,956,0.85,YES
277,67,0.01,NO
278,29,0.0,NO
279,105,0.63,NO
280,72,0.0,NO
281,37,0.0,NO
282,47,0.0,NO
283,31,0.03,NO
284,90,0.8,NO
285,223,0.61,NO
286,214,0.17,NO
287,107,0.63,NO
288,37,0.0,NO
289,27,0.52,NO
290,48,0.05,NO
291,167,0.17,NO
292,213,0.41,NO
293,867,0.64,NO
294,159,0.43,NO
295,100,0.24,NO
296,96,0.26,NO
297,842,0.84,NO
298,525,0.6,NO
299,83,0.14,NO
300,63,0.46,NO
301,76,0.03,NO
302,202,0.44,NO
303,155,0.44,NO
304,1263,0.86,NO
305,74,0.01,NO
306,101,0.48,NO
307,27,0.52,NO
308,22,0.0,NO
309,491,0.52,NO
310,62,0.01,NO
311,59,0.0,NO
312,99,0.24,NO
313,27,0.0,NO
314,77,0.18,NO
315,846,0.73,YES
316,64,0.06,NO
317,45,0.39,NO
318,63,0.63,NO
319,54,0.01,NO
320,64,0.24,NO
321,132,0.13,NO
322,177,0.79,NO
323,70,0.02,NO
324,36,0.0,NO
325,58,0.01,NO
326,62,0.01,NO
327,132,0.48,NO
328,74,0.04,NO
329,86,0.48,NO
330,74,0.01,NO
331,48,0.03,NO
332,74,0.04,NO
333,86,0.17,NO
334,355,0.51,NO
335,53,0.07,NO
336,804,0.83,NO
337,75,0.12,NO
338,125,0.53,NO
339,200,0.44,NO
340,134,0.14,NO
341,57,0.21,NO
342,123,0.23,NO
343,266,0.45,NO
344,162,0.68,NO
345,130,0.41,NO
346,108,0.13,NO
347,354,0.47,NO
348,88,0.41,NO
349,28,0.0,NO
350,58,0.17,NO
351,308,0.49,NO
352,343,0.38,NO
353,103,0.35,NO
354,35,0.0,NO
355,98,0.01,NO
356,117,0.31,NO
357,558,0.78,NO
