ID,Size,Predicted %,Actual value
0,215,0.35,NO
1,273,0.67,YES
2,460,0.61,YES
3,138,0.34083333333333327,NO
4,358,0.5,NO
5,1154,0.82,YES
6,51,0.05,NO
7,157,0.24,NO
8,31,0.0,NO
9,1009,0.53,YES
10,193,0.49,NO
11,83,0.02,YES
12,262,0.4825000000000001,NO
13,638,0.74,YES
14,40,0.01,NO
15,374,0.61,NO
16,390,0.53,NO
17,51,0.28,NO
18,579,0.85,YES
19,32,0.01,NO
20,66,0.02,NO
21,260,0.79,YES
22,596,0.5,NO
23,198,0.39,NO
24,50,0.02,NO
25,27,0.01,NO
26,926,0.7,NO
27,60,0.13,NO
28,62,0.14,NO
29,87,0.09,NO
30,52,0.4,NO
31,297,0.49,NO
32,163,0.13,NO
33,118,0.29,NO
34,83,0.11,NO
35,147,0.05,NO
36,58,0.04,NO
37,44,0.11,NO
38,106,0.19,NO
39,192,0.38,NO
40,151,0.24,NO
41,352,0.62,YES
42,752,0.93,YES
43,877,0.84,YES
44,319,0.83,YES
45,27,0.0,NO
46,55,0.0,NO
47,94,0.18,NO
48,191,0.07,NO
49,90,0.14,NO
50,90,0.75,NO
51,271,0.57,YES
52,138,0.36,NO
53,79,0.13,NO
54,82,0.10333333333333333,NO
55,147,0.0,NO
56,422,0.55,YES
57,1026,0.76,YES
58,530,0.44,NO
59,189,0.0,YES
60,167,0.15,YES
61,86,0.8079999999999999,NO
62,195,0.5,YES
63,374,0.58,YES
64,573,0.49,NO
65,126,0.11,YES
66,106,0.28,YES
67,109,0.13,NO
68,85,0.08,NO
69,237,0.53,NO
70,345,0.73,YES
71,47,0.0,NO
72,781,0.85,YES
73,27,0.01,NO
74,89,0.12833333333333333,NO
75,300,0.81,YES
76,166,0.39,NO
77,92,0.41166666666666674,NO
78,497,0.51,YES
79,93,0.43166666666666664,NO
80,244,0.22,NO
81,183,0.29,YES
82,252,0.4,NO
83,109,0.12,YES
84,607,0.66,YES
85,565,0.68,YES
86,69,0.48,NO
87,77,0.3983333333333334,NO
88,97,0.43,NO
89,343,0.73,NO
90,214,0.1775,NO
91,79,0.03,NO
92,25,0.01,NO
93,84,0.28,NO
94,34,0.0,NO
95,33,0.0,NO
96,104,0.4,NO
97,172,0.26,NO
98,70,0.23,NO
99,140,0.11583333333333334,NO
100,156,0.1325,NO
101,142,0.49,NO
102,152,0.31,NO
103,31,0.02,NO
104,60,0.02,NO
105,60,0.0,NO
106,876,0.65,NO
107,61,0.01,NO
108,185,0.26,NO
109,264,0.57,NO
110,248,0.2,NO
111,286,0.94,YES
112,185,0.37,NO
113,194,0.06,NO
114,346,0.45,NO
115,309,0.5,NO
116,363,0.56,YES
117,84,0.516,NO
118,53,0.15,NO
119,132,0.0,YES
120,4088,0.56,NO
121,721,0.68,YES
122,47,0.01,NO
123,101,0.6836666666666668,NO
124,517,0.65,YES
125,327,0.58,YES
126,274,0.64,YES
127,136,0.14833333333333334,YES
128,56,0.02,NO
129,74,0.12,YES
130,361,0.66,YES
131,174,0.0,NO
132,148,0.0,NO
133,92,0.3,NO
134,45,0.06,NO
135,168,0.0,NO
136,77,0.025,NO
137,666,0.84,NO
138,88,0.39,NO
139,263,0.44,NO
140,54,0.03,NO
141,51,0.08,NO
142,132,0.0,NO
143,160,0.46,YES
144,152,0.01,NO
145,39,0.0,NO
146,677,0.71,NO
147,131,0.0,NO
148,47,0.01,NO
149,129,0.0,NO
150,43,0.0,NO
151,257,0.58,NO
152,356,0.68,NO
153,62,0.02,NO
154,45,0.11,NO
155,97,0.7366666666666667,NO
156,476,0.51,NO
157,77,0.51,NO
158,69,0.48,NO
159,104,0.735,NO
160,115,0.04,NO
161,421,0.74,NO
162,61,0.0,NO
163,2009,0.84,NO
164,179,0.2425,NO
165,106,0.6883333333333334,NO
166,33,0.01,NO
167,657,0.71,NO
168,295,0.51,NO
169,872,0.65,NO
170,444,0.45,NO
171,168,0.1625,NO
172,752,0.62,NO
173,135,0.305,NO
174,1126,0.6,NO
175,163,0.3225,NO
176,184,0.09,NO
177,51,0.05,NO
178,25,0.01,NO
179,180,0.1,NO
180,64,0.0,NO
181,101,0.45166666666666666,NO
182,512,0.58,NO
183,187,0.13,NO
184,56,0.02,NO
185,39,0.31,NO
186,261,0.67,NO
187,73,0.34,NO
188,65,0.0,NO
189,329,0.67,NO
190,64,0.03,NO
191,164,0.11,NO
192,624,0.5,NO
193,74,0.03,NO
194,117,0.035,NO
195,84,0.375,NO
196,226,0.08,NO
197,76,0.305,NO
198,323,0.42,NO
199,72,0.04,NO
200,42,0.0,NO
201,48,0.03,NO
202,89,0.13,NO
203,380,0.73,NO
204,141,0.2725,NO
205,148,0.30833333333333335,NO
206,191,0.2425,NO
207,46,0.0,NO
208,165,0.06,NO
209,171,0.01,NO
210,56,0.02,NO
211,179,0.0,NO
212,74,0.04,NO
213,36,0.01,NO
214,37,0.0,NO
215,34,0.0,NO
216,34,0.0,NO
217,38,0.06,NO
218,39,0.03,NO
219,156,0.02,NO
220,84,0.09,NO
221,117,0.29166666666666663,NO
222,94,0.62,NO
223,71,0.25,NO
224,183,0.14,NO
225,85,0.09,NO
226,183,0.01,NO
227,70,0.35,NO
228,54,0.25,NO
229,160,0.16,NO
230,128,0.29,NO
231,151,0.0475,NO
232,422,0.43,NO
233,221,0.08,NO
234,50,0.0,NO
235,42,0.25,NO
236,624,0.84,NO
237,377,0.51,NO
238,382,0.68,NO
239,72,0.23,NO
240,92,0.16,NO
241,282,0.42,NO
242,371,0.49,NO
243,47,0.0,NO
244,108,0.4016666666666666,NO
245,111,0.3383333333333333,NO
246,319,0.42,NO
247,129,0.14,NO
248,49,0.0,NO
249,358,0.39,NO
250,277,0.38,NO
251,49,0.0,NO
252,89,0.13,NO
253,41,0.0,NO
254,66,0.02,NO
255,63,0.06,NO
256,24,0.01,NO
257,50,0.03,NO
258,72,0.23,NO
259,47,0.0,NO
260,47,0.0,NO
261,183,0.0,NO
262,49,0.0,NO
263,50,0.0,NO
264,98,0.0,NO
265,143,0.04,NO
266,43,0.0,NO
267,42,0.0,NO
268,56,0.0,NO
269,44,0.07,NO
270,26,0.0,NO
271,254,0.4725,NO
272,16883,0.84,NO
273,74,0.021666666666666664,NO
274,153,0.0525,NO
275,68,0.47,NO
276,100,0.6233333333333333,NO
277,550,0.68,NO
278,437,0.43,NO
279,1038,0.5,NO
280,104,0.72,NO
281,332,0.39,NO
282,123,0.04,NO
283,106,0.92,NO
284,106,0.27,NO
285,94,0.57,NO
286,101,0.48900000000000005,NO
287,38,0.66,NO
288,628,0.84,NO
289,32,0.0,NO
290,111,0.07,NO
291,35,0.02,NO
292,90,0.767,NO
293,27,0.0,NO
294,28,0.0,NO
295,92,0.17,NO
296,979,0.69,NO
297,67,0.03666666666666667,NO
298,29,0.0,NO
299,105,0.7,NO
300,72,0.124,NO
301,37,0.0,NO
302,47,0.0,NO
303,31,0.0,NO
304,90,0.9666666666666667,NO
305,223,0.22666666666666666,NO
306,214,0.02,NO
307,107,0.59,NO
308,37,0.0,NO
309,27,0.01,NO
310,48,0.0,NO
311,167,0.0,NO
312,213,0.09,NO
313,867,0.51,NO
314,159,0.27,NO
315,100,0.38333333333333336,NO
316,96,0.39,NO
317,842,0.59,NO
318,535,0.64,NO
319,83,0.4925,NO
320,63,0.03,NO
321,76,0.03,NO
322,202,0.09,NO
323,155,0.0575,NO
324,1263,0.84,NO
325,74,0.021666666666666664,NO
326,101,0.4383333333333333,NO
