ID,Size,Predicted %,Actual value
0,215,0.47,NO
1,273,0.95,YES
2,460,0.83,YES
3,138,0.8782380952380953,NO
4,358,0.6646666666666667,NO
5,1154,0.94,YES
6,51,0.11,NO
7,157,0.68,NO
8,31,0.0,NO
9,1009,0.82,YES
10,193,0.74,NO
11,83,0.27,YES
12,262,0.6796666666666666,NO
13,638,0.85,YES
14,40,0.03,NO
15,374,0.81,NO
16,390,0.7066666666666667,NO
17,51,0.4,NO
18,579,0.87,YES
19,32,0.09,NO
20,66,0.02,NO
21,260,0.87,YES
22,596,0.8,NO
23,198,0.67,NO
24,50,0.02,NO
25,27,0.06,NO
26,926,0.73,NO
27,60,0.51,NO
28,62,0.04,NO
29,87,0.19,NO
30,52,0.02,NO
31,297,0.71,NO
32,163,0.42,NO
33,118,0.42,NO
34,83,0.31,NO
35,147,0.42,NO
36,58,0.08,NO
37,44,0.19,NO
38,106,0.39,NO
39,192,0.51,NO
40,151,0.56,NO
41,352,0.77,YES
42,752,0.95,YES
43,877,0.86,YES
44,319,0.87,YES
45,27,0.04,NO
46,55,0.0,NO
47,94,0.57,NO
48,191,0.26,NO
49,90,0.26,NO
50,90,0.87,NO
51,271,0.58,YES
52,138,0.46,NO
53,79,0.38,NO
54,82,0.22916666666666669,NO
55,147,0.15,NO
56,422,0.77,YES
57,1026,0.89,YES
58,530,0.75,NO
59,189,0.09,YES
60,167,0.51,YES
61,86,0.86,NO
62,195,0.7,YES
63,374,0.76,YES
64,573,0.62,NO
65,126,0.5026666666666667,YES
66,106,0.66,YES
67,109,0.551,NO
68,85,0.24,NO
69,237,0.64,NO
70,345,0.87,YES
71,47,0.07,NO
72,781,0.96,YES
73,27,0.06,NO
74,89,0.40399999999999997,NO
75,300,0.75,YES
76,166,0.69,NO
77,92,0.736,NO
78,497,0.76,YES
79,93,0.7559999999999999,NO
80,244,0.38,NO
81,183,0.55,YES
82,252,0.53,NO
83,109,0.245,YES
84,607,0.91,YES
85,565,0.85,YES
86,69,0.11,NO
87,77,0.47666666666666674,NO
88,97,0.65,NO
89,343,0.72,NO
90,214,0.418,NO
91,79,0.2,NO
92,25,0.06,NO
93,84,0.45,NO
94,34,0.01,NO
95,33,0.01,NO
96,104,0.285,NO
97,172,0.46,NO
98,70,0.55,NO
99,140,0.5580714285714286,NO
100,156,0.49333333333333335,NO
101,142,0.68,NO
102,152,0.6333333333333333,NO
103,31,0.02,NO
104,60,0.14,NO
105,60,0.1,NO
106,876,0.79,NO
107,61,0.15,NO
108,185,0.67,NO
109,264,0.81,NO
110,248,0.3,NO
111,286,0.96,YES
112,185,0.68,NO
113,194,0.44,NO
114,346,0.61,NO
115,309,0.68,NO
116,363,0.83,YES
117,84,0.76,NO
118,53,0.3,NO
119,132,0.171,YES
120,4088,0.66,NO
121,721,0.78,YES
122,47,0.25,NO
123,101,0.6632380952380953,NO
124,517,0.78,YES
125,327,0.65,YES
126,274,0.66,YES
127,136,0.5897380952380952,YES
128,56,0.03,NO
129,74,0.05,YES
130,361,0.92,YES
131,174,0.07,NO
132,148,0.17,NO
133,92,0.59,NO
134,45,0.18,NO
135,168,0.07,NO
136,77,0.28,NO
137,666,1.0,NO
138,88,0.51,NO
139,263,0.54,NO
140,54,0.03,NO
141,51,0.17,NO
142,132,0.04,NO
143,160,0.82,YES
144,152,0.1,NO
145,39,0.05,NO
146,677,0.81,NO
147,131,0.161,NO
148,47,0.25,NO
149,129,0.141,NO
150,43,0.07,NO
151,257,0.7,NO
152,356,0.92,NO
153,62,0.08,NO
154,45,0.23,NO
155,97,0.95,NO
156,476,0.66,NO
157,77,0.62,NO
158,69,0.11,NO
159,104,0.69,NO
160,115,0.45,NO
161,421,0.88,NO
162,61,0.02,NO
163,2009,0.98,NO
164,179,0.44666666666666666,NO
165,106,0.91,NO
166,33,0.13,NO
167,657,0.7566666666666667,NO
168,295,0.65,NO
169,872,0.82,NO
170,444,0.53,NO
171,168,0.57,NO
172,752,0.715,NO
173,135,0.6543333333333333,NO
174,1126,0.6883333333333334,NO
175,163,0.5933333333333334,NO
176,184,0.55,NO
177,51,0.11,NO
178,25,0.06,NO
179,180,0.44,NO
180,64,0.02,NO
181,101,0.6251666666666666,NO
182,512,0.6796666666666666,NO
183,187,0.49,NO
184,56,0.05,NO
185,39,0.7,NO
186,261,0.95,NO
187,73,0.03,NO
188,65,0.01,NO
189,329,0.97,NO
190,64,0.01,NO
191,164,0.455,NO
192,624,0.52,NO
193,74,0.03,NO
194,117,0.41,NO
195,84,0.7,NO
196,226,0.22,NO
197,76,0.3,NO
198,323,0.53,NO
199,72,0.3,NO
200,42,0.06,NO
201,48,0.25,NO
202,89,0.22,NO
203,380,0.88,NO
204,141,0.6083333333333334,NO
205,148,0.67,NO
206,191,0.51,NO
207,46,0.09,NO
208,165,0.34,NO
209,171,0.04,NO
210,56,0.03,NO
211,179,0.07,NO
212,74,0.1,NO
213,36,0.06,NO
214,37,0.06,NO
215,34,0.02,NO
216,34,0.02,NO
217,38,0.22,NO
218,39,0.06,NO
219,156,0.16,NO
220,84,0.29,NO
221,117,0.765,NO
222,94,0.93,NO
223,71,0.11,NO
224,183,0.29,NO
225,85,0.34,NO
226,183,0.04,NO
227,70,0.1,NO
228,54,0.53,NO
229,160,0.25,NO
230,128,0.66,NO
231,151,0.418,NO
232,422,0.54,NO
