@relation avro_Training_1

@attribute LOC numeric
@attribute num_comments numeric
@attribute num_revisions numeric
@attribute num_auth numeric
@attribute num_fix numeric
@attribute LOC_touched numeric
@attribute LOC_added numeric
@attribute MAX_LOC_added numeric
@attribute AVG_LOC_added numeric
@attribute churn numeric
@attribute MAX_churn numeric
@attribute AVG_churn numeric
@attribute buggy {'YES', 'NO'}

@data
24,17,2,1,0,48,48,24,24,48,24,24,NO
25,18,3,1,0,59,56,28,18,59,28,19,NO
339,48,12,1,0,813,726,300,60,647,300,53,YES
725,64,15,1,0,1648,1412,451,94,1204,451,80,YES
24,17,2,1,0,48,48,24,24,48,24,24,NO
218,29,5,1,0,466,446,208,89,426,208,85,NO
193,35,5,1,0,402,389,183,77,376,183,75,YES
32,18,2,1,0,64,64,32,32,64,32,32,NO
36,22,2,1,0,72,72,36,36,72,36,36,YES
36,24,3,1,0,75,74,37,24,75,37,25,NO
279,23,9,1,0,569,549,250,61,543,250,60,NO
462,84,14,1,0,1483,1105,265,78,883,265,63,YES
252,53,8,1,0,541,479,164,59,419,164,52,YES
24,19,1,1,0,24,24,24,24,24,24,24,NO
28,19,2,1,0,56,56,28,28,56,28,28,NO
57,18,5,1,0,144,129,57,25,114,57,22,NO
54,21,4,1,0,135,121,53,30,107,53,26,NO
300,57,2,1,0,310,305,305,152,310,305,155,NO
250,37,2,1,0,282,266,266,133,282,266,141,NO
622,118,1,1,0,622,622,622,622,622,622,622,YES
37,24,4,1,0,85,81,39,20,79,39,19,NO
35,23,4,1,0,79,75,36,18,73,36,18,NO
287,222,2,1,0,291,289,279,144,287,279,143,NO
275,212,2,1,0,281,278,269,139,275,269,137,NO
383,92,1,1,0,383,383,383,383,383,383,383,NO
223,81,1,1,0,223,223,223,223,223,223,223,NO
489,51,1,1,0,489,489,489,489,489,489,489,NO
358,27,1,1,0,358,358,358,358,358,358,358,NO
225,38,1,1,0,225,225,225,225,225,225,225,NO
40,18,3,1,0,92,88,44,29,92,44,30,NO
86,28,5,1,0,189,172,69,34,155,69,31,NO
87,23,3,1,0,176,175,87,58,174,87,58,NO
183,24,7,1,0,382,335,105,47,288,105,41,NO
174,26,8,1,0,378,338,124,42,298,124,37,NO
110,18,4,1,0,294,261,118,65,244,118,61,NO
93,18,3,1,0,180,180,87,60,180,87,60,NO
42,18,3,1,0,82,82,40,27,82,40,27,NO
30,19,1,1,0,30,30,30,30,30,30,30,YES
244,34,8,1,0,500,469,194,58,440,194,55,YES
118,19,7,1,0,336,273,92,39,246,92,35,YES
67,18,7,1,0,187,158,61,22,153,61,21,YES
85,19,4,1,0,186,174,77,43,162,77,40,YES
124,21,7,1,0,282,262,118,37,244,118,34,YES
105,22,3,1,0,203,196,84,65,189,84,63,NO
28,18,3,1,0,62,59,28,19,56,28,18,NO
269,31,11,1,0,556,525,225,47,500,225,45,NO
48,18,7,1,0,433,303,125,43,379,125,54,YES
36,18,5,1,0,111,95,43,19,93,43,18,YES
40,18,1,1,0,40,40,40,40,40,40,40,NO
28,18,1,1,0,28,28,28,28,28,28,28,NO
28,19,3,1,0,62,60,30,20,62,30,20,NO
64,18,1,1,0,64,64,64,64,64,64,64,NO
56,19,3,1,0,121,115,53,38,109,53,36,YES
41,18,3,1,0,105,96,46,32,97,46,32,YES
80,18,2,1,0,160,160,80,80,160,80,80,NO
622,118,1,1,0,622,622,622,622,622,622,622,NO
471,244,4,1,0,811,696,426,174,581,337,145,NO
420,214,3,1,0,617,564,382,188,511,329,170,NO
1,0,3,1,0,123,82,41,27,123,41,41,NO
1,0,3,1,0,132,88,44,29,132,44,44,NO
136,0,2,1,0,272,272,136,136,272,136,136,NO
112,0,2,1,0,224,224,112,112,224,112,112,NO
