Name, Release, LOC, #Comments, #Revisions, #Auth, #Fix, LOC touched, LOC added, MAX LOC added, AVG LOC added, churn, MAX churn, AVG churn, Buggy
src/java/org/apache/avro/AvroRuntimeException.java,1.0.0,24,17,2,1,0,48,48,24,24,48,24,24,NO
src/java/org/apache/avro/AvroTypeException.java,1.0.0,25,18,3,1,0,59,56,28,18,59,28,19,NO
src/java/org/apache/avro/Protocol.java,1.0.0,339,48,12,1,0,813,726,300,60,647,300,53,NO
src/java/org/apache/avro/Schema.java,1.0.0,725,64,15,1,0,1648,1412,451,94,1204,451,80,NO
src/java/org/apache/avro/SchemaParseException.java,1.0.0,24,17,2,1,0,48,48,24,24,48,24,24,NO
src/java/org/apache/avro/file/DataFileReader.java,1.0.0,218,29,5,1,0,466,446,208,89,426,208,85,YES
src/java/org/apache/avro/file/DataFileWriter.java,1.0.0,193,35,5,1,0,402,389,183,77,376,183,75,YES
src/java/org/apache/avro/file/SeekableFileInput.java,1.0.0,32,18,2,1,0,64,64,32,32,64,32,32,NO
src/java/org/apache/avro/file/SeekableInput.java,1.0.0,36,22,2,1,0,72,72,36,36,72,36,36,YES
src/java/org/apache/avro/generic/GenericArray.java,1.0.0,36,24,3,1,0,75,74,37,24,75,37,25,NO
src/java/org/apache/avro/generic/GenericData.java,1.0.0,279,23,9,1,0,569,549,250,61,543,250,60,YES
src/java/org/apache/avro/generic/GenericDatumReader.java,1.0.0,462,84,14,1,0,1483,1105,265,78,883,265,63,YES
src/java/org/apache/avro/generic/GenericDatumWriter.java,1.0.0,252,53,8,1,0,541,479,164,59,419,164,52,YES
src/java/org/apache/avro/generic/GenericFixed.java,1.0.0,24,19,1,1,0,24,24,24,24,24,24,24,NO
src/java/org/apache/avro/generic/GenericRecord.java,1.0.0,28,19,2,1,0,56,56,28,28,56,28,28,NO
src/java/org/apache/avro/generic/GenericRequestor.java,1.0.0,57,18,5,1,0,144,129,57,25,114,57,22,NO
src/java/org/apache/avro/generic/GenericResponder.java,1.0.0,54,21,4,1,0,135,121,53,30,107,53,26,NO
src/java/org/apache/avro/io/BinaryDecoder.java,1.0.0,300,57,2,1,0,310,305,305,152,310,305,155,NO
src/java/org/apache/avro/io/BinaryEncoder.java,1.0.0,250,37,2,1,0,282,266,266,133,282,266,141,NO
src/java/org/apache/avro/io/BlockingBinaryEncoder.java,1.0.0,622,118,1,1,0,622,622,622,622,622,622,622,YES
src/java/org/apache/avro/io/DatumReader.java,1.0.0,37,24,4,1,0,85,81,39,20,79,39,19,NO
src/java/org/apache/avro/io/DatumWriter.java,1.0.0,35,23,4,1,0,79,75,36,18,73,36,18,NO
src/java/org/apache/avro/io/Decoder.java,1.0.0,287,222,2,1,0,291,289,279,144,287,279,143,NO
src/java/org/apache/avro/io/Encoder.java,1.0.0,275,212,2,1,0,281,278,269,139,275,269,137,NO
src/java/org/apache/avro/io/ParsingTable.java,1.0.0,383,92,1,1,0,383,383,383,383,383,383,383,NO
src/java/org/apache/avro/io/ResolvingDecoder.java,1.0.0,223,81,1,1,0,223,223,223,223,223,223,223,NO
src/java/org/apache/avro/io/ResolvingTable.java,1.0.0,489,51,1,1,0,489,489,489,489,489,489,489,NO
src/java/org/apache/avro/io/ValidatingDecoder.java,1.0.0,358,27,1,1,0,358,358,358,358,358,358,358,NO
src/java/org/apache/avro/io/ValidatingEncoder.java,1.0.0,225,38,1,1,0,225,225,225,225,225,225,225,NO
src/java/org/apache/avro/ipc/AvroRemoteException.java,1.0.0,40,18,3,1,0,92,88,44,29,92,44,30,NO
src/java/org/apache/avro/ipc/ByteBufferInputStream.java,1.0.0,86,28,5,1,0,189,172,69,34,155,69,31,NO
src/java/org/apache/avro/ipc/ByteBufferOutputStream.java,1.0.0,87,23,3,1,0,176,175,87,58,174,87,58,NO
src/java/org/apache/avro/ipc/Requestor.java,1.0.0,183,24,7,1,0,382,335,105,47,288,105,41,NO
src/java/org/apache/avro/ipc/Responder.java,1.0.0,174,26,8,1,0,378,338,124,42,298,124,37,NO
src/java/org/apache/avro/ipc/SocketServer.java,1.0.0,110,18,4,1,0,294,261,118,65,244,118,61,NO
src/java/org/apache/avro/ipc/SocketTransceiver.java,1.0.0,93,18,3,1,0,180,180,87,60,180,87,60,NO
src/java/org/apache/avro/ipc/Transceiver.java,1.0.0,42,18,3,1,0,82,82,40,27,82,40,27,NO
src/java/org/apache/avro/reflect/FixedSize.java,1.0.0,30,19,1,1,0,30,30,30,30,30,30,30,YES
src/java/org/apache/avro/reflect/ReflectData.java,1.0.0,244,34,8,1,0,500,469,194,58,440,194,55,YES
src/java/org/apache/avro/reflect/ReflectDatumReader.java,1.0.0,118,19,7,1,0,336,273,92,39,246,92,35,YES
src/java/org/apache/avro/reflect/ReflectDatumWriter.java,1.0.0,67,18,7,1,0,187,158,61,22,153,61,21,YES
src/java/org/apache/avro/reflect/ReflectRequestor.java,1.0.0,85,19,4,1,0,186,174,77,43,162,77,40,NO
src/java/org/apache/avro/reflect/ReflectResponder.java,1.0.0,124,21,7,1,0,282,262,118,37,244,118,34,YES
src/java/org/apache/avro/specific/ProtocolTask.java,1.0.0,105,22,3,1,0,203,196,84,65,189,84,63,NO
src/java/org/apache/avro/specific/SchemaTask.java,1.0.0,28,18,3,1,0,62,59,28,19,56,28,18,NO
src/java/org/apache/avro/specific/SpecificCompiler.java,1.0.0,269,31,11,1,0,556,525,225,47,500,225,45,YES
src/java/org/apache/avro/specific/SpecificDatumReader.java,1.0.0,48,18,7,1,0,433,303,125,43,379,125,54,YES
src/java/org/apache/avro/specific/SpecificDatumWriter.java,1.0.0,36,18,5,1,0,111,95,43,19,93,43,18,YES
src/java/org/apache/avro/specific/SpecificExceptionBase.java,1.0.0,40,18,1,1,0,40,40,40,40,40,40,40,NO
