Iteration,%TrainingInstances,Classifier,Feature Selection,Sampling,Cost Sensitive,Precision,Recall,AUC,Kappa,TP,FP,TN,FN
1,63.768115942028984,RandomForest,none,none,none,NaN,0.0,0.7166666666666667,0.0,0.0,0.0,60.0,15.0
1,63.768115942028984,IBk,none,none,none,0.5,0.13333333333333333,0.5572222222222222,0.13793103448275876,2.0,2.0,58.0,13.0
1,63.768115942028984,NaiveBayes,none,none,none,NaN,0.0,0.6055555555555555,0.0,0.0,0.0,60.0,15.0
1,63.768115942028984,RandomForest,BestFirst(backward),none,none,NaN,0.0,0.6955555555555556,0.0,0.0,0.0,60.0,15.0
1,63.768115942028984,IBk,BestFirst(backward),none,none,NaN,0.0,0.6955555555555556,0.0,0.0,0.0,60.0,15.0
1,63.768115942028984,NaiveBayes,BestFirst(backward),none,none,NaN,0.0,0.3566666666666667,0.0,0.0,0.0,60.0,15.0
1,63.768115942028984,RandomForest,none,SMOTE,none,0.0,0.0,0.7088888888888889,-0.09195402298850568,0.0,4.0,56.0,15.0
1,63.768115942028984,IBk,none,SMOTE,none,0.6,0.2,0.59,0.22222222222222227,3.0,2.0,58.0,12.0
1,63.768115942028984,NaiveBayes,none,SMOTE,none,NaN,0.0,0.6783333333333333,0.0,0.0,0.0,60.0,15.0
1,63.768115942028984,RandomForest,none,none,Sensitive Threshold,0.16666666666666666,0.06666666666666667,0.7772222222222223,-0.02150537634408589,1.0,5.0,55.0,14.0
1,63.768115942028984,IBk,none,none,Sensitive Threshold,0.5,0.13333333333333333,0.5572222222222222,0.13793103448275876,2.0,2.0,58.0,13.0
1,63.768115942028984,NaiveBayes,none,none,Sensitive Threshold,NaN,0.0,0.6055555555555555,0.0,0.0,0.0,60.0,15.0
1,63.768115942028984,RandomForest,BestFirst(backward),SMOTE,none,0.0,0.0,0.6505555555555556,-0.049382716049382935,0.0,2.0,58.0,15.0
1,63.768115942028984,IBk,BestFirst(backward),SMOTE,none,0.3333333333333333,0.06666666666666667,0.5244444444444445,0.04761904761904734,1.0,2.0,58.0,14.0
1,63.768115942028984,NaiveBayes,BestFirst(backward),SMOTE,none,NaN,0.0,0.5527777777777778,0.0,0.0,0.0,60.0,15.0
1,63.768115942028984,RandomForest,BestFirst(backward),none,Sensitive Threshold,0.4444444444444444,0.26666666666666666,0.6955555555555556,0.21568627450980382,4.0,5.0,55.0,11.0
1,63.768115942028984,IBk,BestFirst(backward),none,Sensitive Threshold,0.4444444444444444,0.26666666666666666,0.6955555555555556,0.21568627450980382,4.0,5.0,55.0,11.0
1,63.768115942028984,NaiveBayes,BestFirst(backward),none,Sensitive Threshold,0.08333333333333333,0.2,0.3566666666666667,-0.22950819672131145,3.0,33.0,27.0,12.0
2,50.61124694376528,RandomForest,none,none,none,0.038461538461538464,0.5,0.82375,0.05403458213256509,1.0,25.0,175.0,1.0
2,50.61124694376528,IBk,none,none,none,0.0,0.0,0.465,-0.018242918867018995,0.0,19.0,181.0,2.0
