Iteration,%TrainingInstances,Classifier,Feature Selection,Balancing,Cost Sensitive,Precision,Recall,AUC,Kappa,F1,TP,FP,TN,FN,Cost
1,45.25547445255474,RandomForest,none,none,none,NaN,0.0,0.6472222222222223,0.0,NaN,0.0,0.0,60.0,15.0,150.0
1,45.25547445255474,IBk,none,none,none,0.0,0.0,0.4166666666666667,-0.1904761904761905,0.0,0.0,10.0,50.0,15.0,160.0
1,45.25547445255474,NaiveBayes,none,none,none,1.0,0.06666666666666667,0.5272222222222223,0.10256410256410249,0.125,1.0,0.0,60.0,14.0,140.0
1,45.25547445255474,RandomForest,BestFirst(backward),none,none,NaN,0.0,0.4083333333333333,0.0,NaN,0.0,0.0,60.0,15.0,150.0
1,45.25547445255474,IBk,BestFirst(backward),none,none,NaN,0.0,0.39611111111111114,0.0,NaN,0.0,0.0,60.0,15.0,150.0
1,45.25547445255474,NaiveBayes,BestFirst(backward),none,none,NaN,0.0,0.3566666666666667,0.0,NaN,0.0,0.0,60.0,15.0,150.0
1,45.25547445255474,RandomForest,none,SMOTE,none,0.0,0.0,0.7033333333333334,-0.049382716049382935,0.0,0.0,2.0,58.0,15.0,152.0
1,45.25547445255474,IBk,none,SMOTE,none,0.0,0.0,0.4166666666666667,-0.1904761904761905,0.0,0.0,10.0,50.0,15.0,160.0
1,45.25547445255474,NaiveBayes,none,SMOTE,none,NaN,0.0,0.5105555555555555,0.0,NaN,0.0,0.0,60.0,15.0,150.0
1,45.25547445255474,RandomForest,none,none,SensitiveThreshold,0.3333333333333333,0.2,0.6466666666666666,0.11764705882352951,0.25,3.0,6.0,54.0,12.0,126.0
1,45.25547445255474,IBk,none,none,SensitiveThreshold,0.0,0.0,0.4166666666666667,-0.1904761904761905,0.0,0.0,10.0,50.0,15.0,160.0
1,45.25547445255474,NaiveBayes,none,none,SensitiveThreshold,1.0,0.06666666666666667,0.5272222222222223,0.10256410256410249,0.125,1.0,0.0,60.0,14.0,140.0
1,45.25547445255474,RandomForest,BestFirst(backward),SMOTE,none,0.0,0.0,0.5066666666666667,-0.14583333333333331,0.0,0.0,7.0,53.0,15.0,157.0
1,45.25547445255474,IBk,BestFirst(backward),SMOTE,none,0.4,0.13333333333333333,0.5494444444444444,0.11111111111111091,0.2,2.0,3.0,57.0,13.0,133.0
1,45.25547445255474,NaiveBayes,BestFirst(backward),SMOTE,none,1.0,0.06666666666666667,0.5644444444444444,0.10256410256410249,0.125,1.0,0.0,60.0,14.0,140.0
1,45.25547445255474,RandomForest,BestFirst(backward),none,SensitiveThreshold,0.17647058823529413,0.8,0.4083333333333333,-0.05734767025089604,0.28915662650602414,12.0,56.0,4.0,3.0,86.0
1,45.25547445255474,IBk,BestFirst(backward),none,SensitiveThreshold,0.17647058823529413,0.8,0.4083333333333333,-0.05734767025089604,0.28915662650602414,12.0,56.0,4.0,3.0,86.0
1,45.25547445255474,NaiveBayes,BestFirst(backward),none,SensitiveThreshold,0.2,1.0,0.3566666666666667,0.0,0.33333333333333337,15.0,60.0,0.0,0.0,60.0
2,39.52095808383233,RandomForest,none,none,none,0.030303030303030304,0.5,0.75125,0.039204381666186096,0.05714285714285715,1.0,32.0,168.0,1.0,42.0
2,39.52095808383233,IBk,none,none,none,0.034482758620689655,0.5,0.68375,0.046859746176374444,0.06451612903225806,1.0,28.0,172.0,1.0,38.0
2,39.52095808383233,NaiveBayes,none,none,none,0.09523809523809523,1.0,0.965,0.15870232354230657,0.17391304347826084,2.0,19.0,181.0,0.0,19.0
2,39.52095808383233,RandomForest,BestFirst(backward),none,none,0.02857142857142857,0.5,0.80125,0.0359967275702206,0.05405405405405405,1.0,34.0,166.0,1.0,44.0
2,39.52095808383233,IBk,BestFirst(backward),none,none,0.02702702702702703,0.5,0.725,0.033117723156532546,0.05128205128205129,1.0,36.0,164.0,1.0,46.0
2,39.52095808383233,NaiveBayes,BestFirst(backward),none,none,0.045454545454545456,0.5,0.9325,0.06638655462184866,0.08333333333333334,1.0,21.0,179.0,1.0,31.0
